Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,157.54300,157.63900,155.73600,155.83200,101.15300,-0.99%,4536194
2015-03-25,155.90800,155.90800,152.19900,152.19900,98.79500,-2.33%,5678451
2015-03-26,152.26600,154.15900,151.92200,153.52800,99.65700,0.87%,4598241
2015-03-27,153.71900,153.82400,152.22800,153.34600,99.53900,-0.12%,3637805
2015-03-30,154.21600,156.40500,154.15900,155.51600,100.94800,1.42%,4328366
2015-03-31,153.99600,155.19100,153.34600,153.44200,99.60200,-1.33%,4450895
2015-04-01,153.18400,153.55600,151.42400,152.18000,98.78200,-0.82%,3871027
2015-04-02,152.50500,155.39200,151.90200,153.39400,99.57100,0.80%,4886470
2015-04-06,152.66700,155.64100,151.72300,154.91400,100.55700,0.99%,3625102
2015-04-07,154.56000,156.63500,154.51200,154.94300,100.57600,0.02%,3292772
2015-04-08,154.60800,156.35800,153.92900,154.73200,100.43900,-0.14%,2640441
2015-04-09,154.58900,155.32500,153.65200,155.20100,100.74300,0.30%,2367610
2015-04-10,155.20100,156.14700,154.15900,155.69800,101.06600,0.32%,2631320
2015-04-13,155.22900,156.78800,155.22000,155.23900,100.76800,-0.29%,4046880
2015-04-14,155.27700,155.57900,153.71900,155.16300,100.71900,-0.05%,2844374
2015-04-15,155.47800,157.70600,155.35400,156.91200,101.85400,1.13%,3659698
2015-04-16,156.12800,156.76900,155.39200,155.95600,101.23400,-0.61%,3281246
2015-04-17,154.63700,154.74200,152.99200,153.60400,99.70700,-1.51%,4507088
2015-04-20,154.97100,159.31200,154.78000,158.85300,103.11400,3.42%,10051227
2015-04-21,158.76700,160.01900,156.83600,157.03600,101.93500,-1.14%,10129037
2015-04-22,157.16100,158.70000,155.72700,158.08800,102.61800,0.67%,4209809
2015-04-23,157.96400,164.35000,157.87800,162.75300,105.64600,2.95%,8608990
2015-04-24,162.74400,163.33700,161.31900,162.31400,105.36000,-0.27%,4067307
2015-04-27,163.37500,163.94800,162.81100,163.22200,105.95000,0.56%,3312251
2015-04-28,163.31700,167.00800,162.54300,166.27200,107.93000,1.87%,6083858
2015-04-29,165.77400,167.42900,165.20100,166.73000,108.22700,0.28%,4724980
2015-04-30,166.12800,166.61600,162.81100,163.75700,106.29800,-1.78%,5295493
2015-05-01,165.58300,166.34800,164.83700,166.03300,107.77400,1.39%,3464406
2015-05-04,166.79700,168.54700,166.06100,166.31900,107.96100,0.17%,4208947
2015-05-05,165.88000,166.56800,164.39800,165.46800,107.40800,-0.51%,3758764
2015-05-06,165.29600,166.39600,161.43400,162.57200,106.33500,-1.75%,3777001
2015-05-07,162.17000,164.41700,161.60600,163.47000,106.92300,0.55%,2586367
2015-05-08,165.33500,165.70700,164.66500,165.08600,107.97900,0.99%,3234858
2015-05-11,165.05700,165.38200,163.34600,163.59500,107.00400,-0.90%,2783437
2015-05-12,163.05000,163.94800,161.41500,163.05000,106.64700,-0.33%,3097978
2015-05-13,163.70900,165.14300,163.24100,164.70400,107.72900,1.01%,2570566
2015-05-14,165.87000,166.73000,165.60200,166.39600,108.83600,1.03%,2550847
2015-05-15,166.26200,166.74000,165.01000,165.64100,108.34200,-0.45%,3050256
2015-05-18,165.81300,165.86000,164.72300,165.44900,108.21700,-0.12%,2061278
2015-05-19,165.36300,166.10900,164.36900,165.85100,108.48000,0.24%,2639060
2015-05-20,165.70700,166.76900,164.87600,166.11900,108.65500,0.16%,2406524
2015-05-21,165.69800,166.48200,165.42500,165.71700,108.39200,-0.24%,2401187
2015-05-22,165.43000,165.76500,164.61800,164.64600,107.69200,-0.65%,2980777
2015-05-26,164.54100,164.55100,161.69200,162.64800,106.38500,-1.21%,4025779
2015-05-27,163.63300,164.89500,162.99200,164.43600,107.55400,1.10%,2891539
2015-05-28,163.91000,164.28300,163.15500,164.15900,107.37300,-0.17%,1811015
2015-05-29,163.81500,163.81500,162.18900,162.18900,106.08500,-1.20%,4279636
2015-06-01,162.72500,163.51800,161.59700,162.69600,106.41600,0.31%,3122811
2015-06-02,162.19900,162.95400,161.02300,162.18900,106.08500,-0.31%,2690063
2015-06-03,163.00200,164.01500,162.17000,162.44700,106.25300,0.16%,2229058
2015-06-04,162.07500,163.09800,160.54500,160.97500,105.29000,-0.91%,3220983
2015-06-05,160.85100,161.48200,159.84700,160.03800,104.67800,-0.58%,3243128
2015-06-08,159.81800,159.92400,157.76300,158.06900,103.39000,-1.23%,3931627
2015-06-09,158.06900,158.71900,156.18500,158.39400,103.60200,0.21%,3552112
2015-06-10,159.16800,161.94100,158.75700,161.49100,105.62800,1.96%,4895850
2015-06-11,161.81600,162.94500,161.12800,161.35800,105.54100,-0.08%,3623357
2015-06-12,160.83200,160.89900,159.35900,159.64600,104.42100,-1.06%,3206078
2015-06-15,158.05900,159.12000,157.02700,158.94800,103.96500,-0.44%,4440957
2015-06-16,159.01500,160.03800,158.61400,159.50300,104.32700,0.35%,3399334
2015-06-17,159.65600,160.46600,158.79500,159.81800,104.53400,0.20%,2994690
2015-06-18,159.70400,161.30000,159.70400,160.85100,105.20900,0.65%,3484083
2015-06-19,160.24900,161.01300,159.43600,159.64600,104.42100,-0.75%,7397332
2015-06-22,160.27700,160.93700,159.84700,160.35400,104.88400,0.44%,2443242
2015-06-23,160.97500,162.49500,160.20400,161.20500,105.44100,0.53%,3871912
2015-06-24,161.29100,161.41500,159.49300,159.62700,104.40900,-0.98%,3711290
2015-06-25,160.42100,160.73600,158.77600,158.77600,103.85200,-0.53%,2519583
2015-06-26,158.92000,159.47600,157.96400,158.18400,103.46500,-0.37%,9356977
2015-06-29,156.71100,158.07800,155.72700,155.80300,101.90800,-1.51%,3467154
