Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,69.81000,69.81000,68.95000,69.38000,61.51300,-0.90%,479204
2015-03-25,69.34000,69.57000,68.37600,68.47000,60.70600,-1.31%,642611
2015-03-26,68.06000,69.08000,67.79000,68.84000,61.03400,0.54%,281881
2015-03-27,68.94000,68.95400,68.30000,68.68000,60.89200,-0.23%,216097
2015-03-30,68.96000,70.10000,68.85000,69.67000,61.77000,1.44%,253549
2015-03-31,69.58000,69.91000,69.49000,69.89000,61.96500,0.32%,647372
2015-04-01,70.01000,70.01000,68.68000,69.61000,61.71700,-0.40%,314090
2015-04-02,69.64000,70.25000,69.41000,69.69000,61.78800,0.11%,356131
2015-04-06,69.37000,70.23000,69.34000,70.09000,62.14300,0.57%,429239
2015-04-07,70.06000,70.18400,69.18000,69.33000,61.46900,-1.08%,291901
2015-04-08,69.46000,69.51000,68.58000,69.07000,61.23800,-0.38%,491011
2015-04-09,68.85000,69.19000,67.89000,68.42000,60.66200,-0.94%,511550
2015-04-10,68.62000,68.73000,67.77100,68.03000,60.31600,-0.57%,366614
2015-04-13,68.00000,68.51000,67.80000,68.15000,60.42300,0.18%,348681
2015-04-14,68.03000,68.45000,67.65000,68.41000,60.65300,0.38%,363833
2015-04-15,68.66000,68.88000,67.62000,67.62000,59.95300,-1.15%,369868
2015-04-16,67.46000,67.63000,67.08000,67.33000,59.69500,-0.43%,275325
2015-04-17,67.11000,67.12000,66.17000,66.69000,59.12800,-0.95%,216803
2015-04-20,67.24000,67.59000,66.88000,67.10000,59.49200,0.61%,223642
2015-04-21,67.26000,67.85000,67.13000,67.70000,60.02400,0.89%,402248
2015-04-22,67.69000,68.10000,67.42000,68.03000,60.31600,0.49%,185773
2015-04-23,67.95000,68.38000,67.74000,68.14000,60.41400,0.16%,237423
2015-04-24,68.07000,68.07000,67.20000,67.45000,59.80200,-1.01%,356781
2015-04-27,67.49000,67.74000,66.97000,67.25000,59.62500,-0.30%,255176
2015-04-28,67.09000,68.01000,66.94000,67.95000,60.24500,1.04%,226494
2015-04-29,67.56000,68.26000,67.26000,67.46000,59.81100,-0.72%,272464
2015-04-30,67.08000,67.58000,66.35500,66.51000,58.96800,-1.41%,334582
2015-05-01,66.73000,67.41000,66.22500,66.96000,59.36700,0.68%,155644
2015-05-04,66.98000,67.58000,66.98000,67.20000,59.58000,0.36%,259937
2015-05-05,67.05000,67.51000,66.14000,66.28000,58.76500,-1.37%,383072
2015-05-06,66.27000,67.20000,66.11000,67.09000,59.48300,1.22%,312215
2015-05-07,61.65000,66.27000,60.10000,66.00000,58.51600,-1.62%,1307597
2015-05-08,65.80000,66.56000,64.44500,65.08000,57.70100,-1.39%,772750
2015-05-11,64.84000,65.46000,64.59000,65.15000,57.76300,0.11%,412651
2015-05-12,64.88000,65.28000,64.16000,65.00000,57.63000,-0.23%,331342
2015-05-13,65.28000,65.79000,64.90000,65.01000,57.63900,0.02%,271013
2015-05-14,65.18000,65.67000,64.87500,65.61000,58.17100,0.92%,315462
2015-05-15,65.45000,65.94000,64.82000,65.03000,57.65600,-0.88%,408164
2015-05-18,65.03000,65.80000,64.73500,65.69000,58.24100,1.01%,346318
2015-05-19,65.81000,66.24000,65.07000,65.62000,58.17900,-0.11%,273489
2015-05-20,65.58000,66.01000,65.35000,65.37000,57.95800,-0.38%,192636
2015-05-21,65.20000,65.50000,64.79000,64.99000,57.84200,-0.58%,449749
2015-05-22,64.99000,65.46000,64.77000,65.10000,57.94000,0.17%,360697
2015-05-26,64.57000,65.23000,64.12000,64.20000,57.13900,-1.38%,480103
2015-05-27,64.20000,65.19000,63.92500,65.15000,57.98500,1.48%,364970
2015-05-28,65.07000,65.35000,64.76000,65.09000,57.93100,-0.09%,167108
2015-05-29,65.11000,65.29000,64.37000,65.08000,57.92300,-0.02%,369968
2015-06-01,65.33000,65.67000,64.40000,65.10000,57.94000,0.03%,366346
2015-06-02,64.83000,65.34000,64.36000,65.10000,57.94000,,247216
2015-06-03,65.23000,65.95000,64.79000,65.74000,58.51000,0.98%,302079
2015-06-04,65.47000,65.87000,64.94000,64.98000,57.83400,-1.16%,276827
2015-06-05,64.98000,65.40500,64.43000,65.38000,58.19000,0.62%,195228
2015-06-08,65.42000,65.96000,64.89000,65.04000,57.88700,-0.52%,228440
2015-06-09,65.18000,65.18000,64.52000,64.79000,57.66400,-0.38%,248198
2015-06-10,64.88000,65.72000,64.78000,65.22000,58.04700,0.66%,339316
2015-06-11,65.35000,65.97000,65.26000,65.93000,58.67900,1.09%,251405
2015-06-12,65.69000,65.96000,65.33000,65.53000,58.32300,-0.61%,261635
2015-06-15,65.31000,65.31000,64.51000,65.05000,57.89600,-0.73%,181804
2015-06-16,64.97000,66.15000,64.86500,65.71000,58.48300,1.01%,393218
2015-06-17,65.70000,65.96000,65.24000,65.25000,58.07400,-0.70%,223797
2015-06-18,65.36000,66.15000,65.02000,66.14000,58.86600,1.36%,225887
2015-06-19,66.42000,67.05000,65.89000,66.14000,58.86600,,427665
2015-06-22,66.45000,66.45000,65.69000,66.02000,58.75900,-0.18%,355794
2015-06-23,66.19000,66.25000,65.47000,65.71000,58.48300,-0.47%,349443
2015-06-24,65.44000,65.95000,65.38000,65.83000,58.59000,0.18%,274318
2015-06-25,65.85000,66.37000,65.80000,66.09000,58.82100,0.39%,271369
2015-06-26,65.98000,66.53400,65.73000,66.05000,58.78600,-0.06%,892274
2015-06-29,65.65000,66.02000,65.01000,65.36000,58.17200,-1.04%,735376
2015-06-30,65.78000,65.89000,64.57000,64.70000,57.58400,-1.01%,661389
2015-07-01,64.76000,65.77000,64.76000,65.68000,58.45700,1.51%,341791
2015-07-02,65.84000,66.04500,65.14000,65.64000,58.42100,-0.06%,287863
2015-07-06,64.99000,65.90000,64.51500,65.80000,58.56300,0.24%,650712
2015-07-07,65.59000,66.02000,65.06000,65.94000,58.68800,0.21%,331681
2015-07-08,65.35000,65.79000,65.04000,65.72000,58.49200,-0.33%,548485
2015-07-09,66.09000,66.34000,65.82000,65.97000,58.71500,0.38%,465366
2015-07-10,66.55000,66.92000,66.11000,66.86000,59.50700,1.35%,329544
2015-07-13,67.41000,67.43000,66.97000,67.15000,59.76500,0.43%,384940
2015-07-14,67.50000,67.77000,67.42000,67.65000,60.21000,0.74%,280400
2015-07-15,67.62000,68.22000,67.45000,68.03000,60.54800,0.56%,300008
2015-07-16,68.29000,68.97000,68.10000,68.93000,61.34900,1.32%,536677
2015-07-17,69.15000,69.36800,68.25000,68.42000,60.89500,-0.74%,366331
2015-07-20,68.74000,69.23000,68.61000,69.05000,61.45600,0.92%,360906
2015-07-21,69.27000,69.27000,68.41000,68.91000,61.33100,-0.20%,354647
2015-07-22,69.06000,69.81000,68.94000,69.70000,62.03400,1.15%,398046
2015-07-23,69.70000,70.00000,69.20000,69.38000,61.75000,-0.46%,365335
2015-07-24,69.61000,69.87000,69.06000,69.42000,61.78500,0.06%,407828
2015-07-27,68.97000,69.22000,68.51000,68.76000,61.19800,-0.95%,231364
2015-07-28,68.91000,69.26000,68.50000,69.10000,61.50000,0.49%,286948
2015-07-29,68.97000,70.03000,68.97000,69.95000,62.25700,1.23%,248321
2015-07-30,69.73000,70.50000,67.81000,70.09000,62.38200,0.20%,394121
2015-07-31,70.41000,70.42000,69.73000,69.86000,62.17700,-0.33%,351237
2015-08-03,69.90000,69.90000,69.17500,69.71000,62.04300,-0.21%,245591
2015-08-04,69.82000,70.36000,69.79000,69.97000,62.27500,0.37%,235795
2015-08-05,70.22000,70.78000,70.15000,70.45000,62.70200,0.69%,184937
2015-08-06,70.40000,70.81000,69.50000,69.72000,62.05200,-1.04%,342326
2015-08-07,69.67000,70.48000,69.64000,70.24000,62.51500,0.75%,300897
2015-08-10,70.75000,71.36000,70.39000,71.11000,63.28900,1.24%,267333
2015-08-11,70.42000,71.01000,69.97000,70.23000,62.50600,-1.24%,294887
2015-08-12,70.10000,70.99000,69.07000,70.83000,63.04000,0.85%,339915
2015-08-13,70.58000,71.57000,70.38000,71.31000,63.46700,0.68%,210823
2015-08-14,71.03000,71.47000,70.80000,71.22000,63.38700,-0.13%,251143
2015-08-17,71.02000,71.65000,70.52000,71.63000,63.75200,0.58%,284116
2015-08-18,71.48000,71.75000,71.39000,71.59000,63.71700,-0.06%,110541
2015-08-19,71.41000,71.56000,70.81000,71.22000,63.38700,-0.52%,138593
2015-08-20,70.97000,71.37000,70.13000,70.14000,62.42600,-1.52%,228574
2015-08-21,69.68000,70.00000,68.25000,68.27000,60.76200,-2.67%,431784
2015-08-24,65.50000,67.63200,63.84000,65.95000,58.69700,-3.40%,663267
2015-08-25,67.76000,67.76000,65.83000,65.88000,58.63500,-0.11%,458356
2015-08-26,67.83000,69.15000,66.00000,68.71000,61.15300,4.30%,1155611
2015-08-27,69.25000,69.50500,67.30000,67.82000,60.36100,-1.30%,681296
2015-08-28,67.40000,68.83000,67.40000,68.78000,61.21600,1.42%,336568
2015-08-31,68.50000,68.53000,67.74000,67.96000,60.48600,-1.19%,337942
2015-09-01,66.88000,67.14000,65.07000,65.61000,58.39400,-3.46%,779095
2015-09-02,66.24000,66.98000,65.35000,66.90000,59.76500,1.97%,560811
2015-09-03,67.12000,67.69000,67.08000,67.47000,60.27400,0.85%,476769
2015-09-04,66.80000,67.14000,66.00000,66.44000,59.35400,-1.53%,210954
2015-09-08,67.46000,68.40000,66.64000,68.35000,61.06000,2.87%,345925
2015-09-09,68.90000,69.07000,67.59000,67.67000,60.45300,-0.99%,465411
2015-09-10,67.47000,68.76000,67.31000,68.12000,60.85500,0.66%,360314
2015-09-11,67.87000,69.13000,67.77000,69.10000,61.73000,1.44%,371903
2015-09-14,69.22000,69.22000,68.47500,68.59000,61.27500,-0.74%,293977
2015-09-15,68.70000,69.64000,68.46000,69.59000,62.16800,1.46%,282521
2015-09-16,69.54000,70.20000,69.31000,70.08000,62.60600,0.70%,192863
2015-09-17,70.12000,70.84000,69.81000,70.00000,62.53400,-0.11%,243516
2015-09-18,68.93000,69.84000,68.92000,69.51000,62.09700,-0.70%,2215763
2015-09-21,69.90000,70.95000,69.67500,70.00000,62.53400,0.70%,258735
2015-09-22,69.50000,69.88500,68.96000,69.56000,62.14100,-0.63%,487416
2015-09-23,69.83000,70.05000,69.31000,69.82000,62.37300,0.37%,156065
2015-09-24,69.25000,69.92000,68.93000,69.61000,62.18600,-0.30%,237860
2015-09-25,70.21000,70.82000,69.60000,69.93000,62.47200,0.46%,372696
2015-09-28,69.60000,69.99000,68.41000,68.45000,61.15000,-2.12%,300562
2015-09-29,68.33000,69.15000,68.09000,68.89000,61.54300,0.64%,572285
2015-09-30,69.55000,69.90000,69.01000,69.61000,62.18600,1.05%,295746
2015-10-01,69.75000,69.89000,69.04000,69.67000,62.23900,0.09%,281956
2015-10-02,68.64000,70.91000,68.31000,70.87000,63.31200,1.72%,369902
2015-10-05,71.46000,72.29000,71.06500,72.09000,64.40100,1.72%,423121
2015-10-06,72.14000,72.35000,71.44000,71.97000,64.29400,-0.17%,394623
2015-10-07,72.17000,72.58000,71.86000,72.57000,64.83000,0.83%,550306
2015-10-08,72.47000,73.56000,72.17000,73.51000,65.67000,1.30%,337311
2015-10-09,73.72000,73.93000,73.43000,73.89000,66.00900,0.52%,186741
2015-10-12,74.13000,75.03200,73.89000,74.08000,66.17900,0.26%,219615
2015-10-13,73.50000,74.13000,73.44000,73.55000,65.70600,-0.72%,218881
2015-10-14,73.50000,74.12000,72.95000,73.03000,65.24100,-0.71%,232483
2015-10-15,73.12000,73.60000,73.03000,73.40000,65.57200,0.51%,251209
2015-10-16,73.28000,73.63500,73.09000,73.54000,65.69700,0.19%,200437
2015-10-19,73.35000,74.21000,73.25900,74.09000,66.18800,0.75%,386946
2015-10-20,74.00000,74.22000,73.88000,74.00000,66.10800,-0.12%,285130
2015-10-21,74.10000,74.29000,73.31000,73.37000,65.54500,-0.85%,129865
2015-10-22,73.85000,75.71000,73.80000,75.22000,67.19800,2.52%,446569
2015-10-23,75.52000,76.13000,74.94000,76.10000,67.98400,1.17%,211624
2015-10-26,76.00000,76.55000,75.76000,76.33000,68.18900,0.30%,259653
2015-10-27,75.97000,76.44000,75.26000,75.41000,67.36700,-1.21%,374176
2015-10-28,75.52000,77.46000,75.47000,77.46000,69.19900,2.72%,291393
2015-10-29,77.10000,77.78000,76.93000,77.71000,69.42200,0.32%,257911
2015-10-30,77.92000,78.27500,77.34000,77.34000,69.09100,-0.48%,294317
2015-11-02,77.30000,77.93000,76.67000,77.55000,69.27900,0.27%,281401
2015-11-03,77.12000,77.73000,77.07000,77.13000,68.90400,-0.54%,293112
2015-11-04,77.18000,77.99500,77.07500,77.59000,69.31500,0.60%,487319
2015-11-05,77.55000,78.69000,76.74300,77.19000,68.95700,-0.52%,389616
2015-11-06,77.41000,77.93000,76.76000,77.87000,69.56500,0.88%,417178
2015-11-09,77.91000,78.77000,77.57000,78.50000,70.12800,0.81%,436056
2015-11-10,78.33000,78.69000,78.01000,78.39000,70.02900,-0.14%,527054
2015-11-11,78.69000,78.99000,77.94000,78.00000,69.68100,-0.50%,678186
2015-11-12,77.57000,78.19000,77.13000,77.31000,69.06500,-0.88%,250448
2015-11-13,77.03000,77.97600,76.52000,76.89000,68.68900,-0.54%,332632
2015-11-16,76.87000,78.61000,76.87000,78.57000,70.19000,2.18%,523406
2015-11-17,78.39000,79.50000,78.25000,78.77000,70.36900,0.25%,232527
2015-11-18,78.96000,79.63000,78.47000,79.57000,71.08400,1.02%,216583
2015-11-19,79.47000,79.82500,78.65000,79.10000,70.66400,-0.59%,355650
2015-11-20,79.41000,79.62000,79.01000,79.17000,70.72600,0.09%,276834
2015-11-23,79.26000,79.85000,78.79000,78.84000,70.43100,-0.42%,348521
2015-11-24,78.35000,78.97000,78.04000,78.64000,70.25300,-0.25%,688391
2015-11-25,78.62000,79.29000,78.50000,78.70000,70.30600,0.08%,191927
2015-11-27,78.58000,78.81000,78.26000,78.78000,70.60100,0.10%,142410
2015-11-30,78.99000,79.51000,78.60000,79.38000,71.13900,0.76%,503987
2015-12-01,79.63000,79.91000,79.20000,79.58000,71.31800,0.25%,349873
2015-12-02,79.49000,79.92000,78.87000,79.14000,70.92400,-0.55%,319833
2015-12-03,79.15000,79.23000,78.33000,78.94000,70.74500,-0.25%,545600
2015-12-04,78.92000,79.72000,78.63000,79.00000,70.79800,0.08%,424229
2015-12-07,78.99000,79.28000,78.23000,78.87000,70.68200,-0.16%,537151
2015-12-08,78.29000,78.56000,77.78500,78.22000,70.09900,-0.82%,645487
2015-12-09,77.75000,78.22000,76.88000,77.68000,69.61500,-0.69%,503468
2015-12-10,77.74000,78.30000,77.50000,77.93000,69.83900,0.32%,387907
2015-12-11,77.14000,77.77000,76.99000,77.40000,69.36400,-0.68%,536349
2015-12-14,77.48000,78.04000,76.94000,77.83000,69.75000,0.56%,490032
2015-12-15,78.25000,78.40500,77.62000,78.13000,70.01900,0.39%,852824
2015-12-16,78.45000,78.84500,77.33000,77.74000,69.66900,-0.50%,754169
2015-12-17,77.69000,78.03000,76.77000,77.22000,69.20300,-0.67%,323087
2015-12-18,77.22000,77.84000,76.69000,77.53000,69.48100,0.40%,1237627
2015-12-21,77.86000,78.15000,76.88000,77.51000,69.46300,-0.03%,267255
2015-12-22,77.66000,77.84000,76.79000,77.76000,69.68700,0.32%,314524
2015-12-23,78.18000,78.48000,77.69000,77.92000,69.83100,0.21%,487536
2015-12-24,78.07000,78.37000,77.65500,78.14000,70.02800,0.28%,199933
2015-12-28,77.81000,78.44000,77.69000,78.42000,70.27900,0.36%,548036
2015-12-29,78.62000,79.44000,78.47000,79.25000,71.02200,1.06%,441434
2015-12-30,79.32000,79.64000,78.93000,78.99000,70.78900,-0.33%,221371
2015-12-31,78.77000,79.09000,78.03000,78.06000,69.95600,-1.18%,498515
2016-01-04,76.82000,76.83000,76.08000,76.53000,68.58500,-1.96%,501902
2016-01-05,76.57000,77.83000,76.45500,77.65000,69.58900,1.46%,376254
2016-01-06,76.92000,78.01000,76.82000,77.71000,69.64200,0.08%,512126
2016-01-07,76.58000,77.26000,76.00000,76.88000,68.89800,-1.07%,512834
2016-01-08,77.07000,77.28000,76.34000,76.45000,68.51300,-0.56%,702156
2016-01-11,76.94000,77.18000,76.35000,76.73000,68.76400,0.37%,738702
2016-01-12,77.12000,78.08000,76.80000,77.90000,69.81300,1.52%,599953
2016-01-13,78.05000,78.05000,75.64000,75.78000,67.91300,-2.72%,842024
2016-01-14,75.94000,77.45000,75.56000,77.12000,69.11400,1.77%,685665
2016-01-15,75.64000,77.88000,74.03000,74.53000,66.79200,-3.36%,715654
2016-01-19,75.37000,76.02500,74.56000,75.62000,67.76900,1.46%,516955
2016-01-20,74.68000,75.56000,73.19000,75.14000,67.33900,-0.63%,638599
2016-01-21,75.28000,77.00000,74.92000,76.55000,68.60300,1.88%,895571
2016-01-22,77.51000,78.74000,76.99300,78.32000,70.18900,2.31%,869703
2016-01-25,77.88000,78.29000,77.17000,77.38000,69.34700,-1.20%,534360
2016-01-26,77.51000,78.11500,76.03000,77.98000,69.88400,0.78%,430991
2016-01-27,77.87000,78.80000,75.00000,77.92000,69.83100,-0.08%,540177
2016-01-28,78.88000,78.96000,77.52500,78.15000,70.03700,0.30%,436446
2016-01-29,78.57000,81.28000,78.39000,81.18000,72.75200,3.88%,777916
2016-02-01,81.22000,82.16000,80.85000,81.34000,72.89500,0.20%,530304
2016-02-02,80.88000,81.54000,80.32000,80.71000,72.33100,-0.77%,608829
2016-02-03,80.79000,82.89000,78.62000,79.88000,71.58700,-1.03%,996771
2016-02-04,79.44000,79.80000,76.07000,79.75000,71.47100,-0.16%,598058
2016-02-05,79.75000,79.89000,78.02000,78.61000,70.44900,-1.43%,671983
2016-02-08,77.98000,78.17500,76.09000,76.57000,68.62100,-2.60%,675364
2016-02-09,75.61000,77.11000,75.00000,76.60000,68.64800,0.04%,619344
2016-02-10,77.04000,78.25000,76.54800,77.30000,69.27500,0.91%,436520
2016-02-11,76.06000,77.45000,75.87000,77.01000,69.01500,-0.38%,357867
2016-02-12,77.50000,79.44000,77.05000,79.29000,71.05800,2.96%,652598
2016-02-16,80.54000,81.32000,80.54000,80.97000,72.56400,2.12%,824106
2016-02-17,81.23000,81.70000,79.58000,80.02000,71.71200,-1.17%,490524
2016-02-18,80.45000,82.13000,80.04000,82.11000,73.58600,2.61%,639139
2016-02-19,82.01000,83.29000,81.79000,83.01000,74.39200,1.10%,389004
2016-02-22,83.68000,84.70000,83.62000,84.30000,75.54800,1.55%,658824
2016-02-23,84.13000,84.66000,83.54000,83.57000,74.89400,-0.87%,764361
2016-02-24,83.18000,84.15000,82.37500,83.91000,75.19900,0.41%,350787
2016-02-25,83.99000,84.42000,83.30000,84.41000,75.64700,0.60%,276251
2016-02-26,84.75000,85.03000,82.80000,83.24000,74.59800,-1.39%,904968
2016-02-29,83.17000,83.75000,82.14000,82.24000,73.95300,-1.20%,577876
2016-03-01,82.63000,83.04000,81.83000,82.75000,74.41200,0.62%,689948
2016-03-02,82.82000,82.83000,81.28000,82.10000,73.82700,-0.79%,459528
2016-03-03,81.92000,82.30000,81.49000,82.12000,73.84500,0.02%,472043
2016-03-04,82.08000,82.43000,81.01000,82.20000,73.91700,0.10%,406798
2016-03-07,81.79000,82.17000,81.39000,81.94000,73.68300,-0.32%,344380
2016-03-08,81.43500,81.82000,80.90000,80.99000,72.82900,-1.16%,385624
2016-03-09,81.31000,81.59000,80.83000,81.02000,72.85600,0.04%,545939
2016-03-10,81.20000,82.14000,80.71000,81.09000,72.91900,0.09%,909676
2016-03-11,81.14000,82.10000,80.94100,81.38000,73.18000,0.36%,298114
2016-03-14,80.95000,81.40500,80.66000,81.23000,73.04500,-0.18%,817908
2016-03-15,80.87000,82.09000,80.87000,81.20000,73.01800,-0.04%,427626
2016-03-16,80.96000,82.23000,80.85300,82.07000,73.80000,1.07%,272835
2016-03-17,81.84000,83.26000,81.84000,82.86000,74.51000,0.96%,340860
2016-03-18,82.48000,82.99000,81.82000,82.83000,74.48300,-0.04%,641556
2016-03-21,82.69000,83.22000,82.30000,82.77000,74.43000,-0.07%,231264
2016-03-22,82.55000,83.19400,82.30100,82.92000,74.56400,0.18%,282617
2016-03-23,82.94000,83.34000,82.56000,82.97000,74.60900,0.06%,315913
2016-03-24,82.58000,83.11000,82.42000,82.99000,74.62700,0.02%,208799
2016-03-28,82.90000,83.40000,82.72000,83.02000,74.65400,0.04%,256886
2016-03-29,82.66000,84.56000,82.58000,84.46000,75.94900,1.73%,344360
2016-03-30,84.62000,86.23000,84.62000,85.96000,77.29800,1.78%,498118
2016-03-31,85.71000,86.14000,84.43000,84.57000,76.04800,-1.62%,901119
2016-04-01,84.22000,85.38000,84.13000,85.13000,76.55200,0.66%,668882
2016-04-04,85.08000,85.20000,83.98000,84.10000,75.62600,-1.21%,322048
2016-04-05,83.50000,84.07000,83.29000,83.50000,75.08600,-0.71%,340729
2016-04-06,83.33000,84.52000,83.31000,84.41000,75.90400,1.09%,481240
2016-04-07,83.88000,83.96000,83.04000,83.74000,75.30200,-0.79%,543233
2016-04-08,84.14000,84.49500,83.35000,83.49000,75.07700,-0.30%,251833
2016-04-11,84.10000,84.61000,82.60000,82.66000,74.33100,-0.99%,314028
2016-04-12,82.92000,82.92000,81.50000,82.17000,73.89000,-0.59%,382768
2016-04-13,82.70000,82.96000,81.87000,82.55000,74.23200,0.46%,325049
2016-04-14,82.41000,82.78000,81.82000,82.25000,73.96200,-0.36%,385100
2016-04-15,82.35000,82.70000,81.99000,82.41000,74.10600,0.19%,369977
2016-04-18,81.91000,82.65000,81.91000,82.47000,74.16000,0.07%,361415
2016-04-19,83.16000,83.52000,82.30000,83.33000,74.93300,1.04%,356658
2016-04-20,83.13000,83.70000,82.57000,83.09000,74.71700,-0.29%,255942
2016-04-21,83.15000,83.15000,82.08000,82.10000,73.82700,-1.19%,348733
2016-04-22,82.05000,82.48000,81.26000,81.88000,73.62900,-0.27%,302658
2016-04-25,81.78000,82.35000,80.98000,81.89000,73.63800,0.01%,367791
2016-04-26,81.90000,82.60500,81.33300,82.23000,73.94400,0.42%,261434
2016-04-27,82.09000,82.82000,81.29800,82.13000,73.85400,-0.12%,342776
2016-04-28,82.02000,82.99000,81.71500,81.94000,73.68300,-0.23%,370272
2016-04-29,81.84000,81.86000,80.66000,81.03000,72.86500,-1.11%,292411
2016-05-02,81.05000,82.39000,81.05000,82.35000,74.05200,1.63%,365162
2016-05-03,81.57000,82.70000,80.67900,81.45000,73.24300,-1.09%,465549
2016-05-04,80.49000,84.13000,80.43700,83.08000,74.70800,2.00%,678763
2016-05-05,83.37000,83.89000,82.76000,82.81000,74.46600,-0.32%,504857
2016-05-06,82.69000,83.81000,82.23000,83.60000,75.17600,0.95%,360573
2016-05-09,83.54000,84.51000,82.60000,84.10000,75.62600,0.60%,348063
2016-05-10,84.17000,84.89000,83.96800,84.75000,76.21000,0.77%,200330
2016-05-11,84.60000,84.88000,83.50000,83.59000,75.16700,-1.37%,680612
2016-05-12,84.10000,84.58000,83.73000,84.43000,75.92200,1.00%,301853
2016-05-13,84.04000,84.46000,83.23000,83.69000,75.25700,-0.88%,337899
2016-05-16,83.86000,85.28000,83.79000,84.71000,76.17400,1.22%,353568
2016-05-17,84.55000,85.10000,83.60000,83.82000,75.37400,-1.05%,334513
2016-05-18,83.57000,84.16000,82.94000,83.57000,75.14900,-0.30%,450932
2016-05-19,83.40000,83.73000,81.96000,82.85000,74.50100,-0.86%,398397
2016-05-20,83.34000,83.54000,82.78500,83.06000,74.69000,0.25%,434891
2016-05-23,82.86000,83.05000,82.02000,82.21000,74.17800,-1.02%,440824
2016-05-24,82.59000,84.16000,82.59000,84.01000,75.80200,2.19%,351813
2016-05-25,84.45000,84.45000,83.48000,83.63000,75.45900,-0.45%,272344
2016-05-26,83.59000,83.90000,83.03000,83.49000,75.33300,-0.17%,319284
2016-05-27,83.66000,84.35000,83.29000,84.34000,76.10000,1.02%,260603
2016-05-31,84.57000,84.81000,83.84000,84.43000,76.18100,0.11%,382795
2016-06-01,83.80000,84.67000,83.68000,84.55000,76.28900,0.14%,282456
2016-06-02,84.17000,85.27000,83.92000,85.27000,76.93900,0.85%,291448
2016-06-03,85.17000,85.17000,84.15000,84.81000,76.52400,-0.54%,217980
2016-06-06,85.05000,85.13000,84.58000,84.99000,76.68600,0.21%,179523
2016-06-07,85.01000,85.21000,84.69800,85.01000,76.70400,0.02%,205759
2016-06-08,85.04000,85.60000,84.92000,85.44000,77.09200,0.51%,128765
2016-06-09,85.32000,85.86000,84.97000,85.78000,77.39900,0.40%,159090
2016-06-10,85.61000,85.61000,84.36000,84.52000,76.26200,-1.47%,455638
2016-06-13,84.17000,85.03000,83.71000,83.77000,75.58500,-0.89%,614473
2016-06-14,83.60000,84.77000,83.60000,84.70000,76.42400,1.11%,280174
2016-06-15,84.71000,84.95000,83.85000,83.92000,75.72100,-0.92%,391503
2016-06-16,83.63000,83.93000,83.12000,83.83000,75.63900,-0.11%,264206
2016-06-17,83.54000,83.82000,82.10000,82.49000,74.43000,-1.60%,574869
2016-06-20,83.44000,83.92000,83.44000,83.65000,75.47700,1.41%,245074
2016-06-21,83.78000,84.02000,83.35000,83.48000,75.32400,-0.20%,236577
2016-06-22,83.71000,83.85500,83.24000,83.38000,75.23300,-0.12%,307265
