Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,38.94000,38.99000,38.30000,38.68000,38.68000,-0.54%,569447
2015-03-25,38.63000,38.78000,37.21000,37.26000,37.26000,-3.67%,441840
2015-03-26,37.09000,37.25000,36.60000,36.72000,36.72000,-1.45%,479507
2015-03-27,36.73000,36.73000,36.22000,36.27000,36.27000,-1.23%,413528
2015-03-30,36.36000,36.70000,36.05000,36.12000,36.12000,-0.41%,630743
2015-03-31,36.09000,37.32000,35.94000,37.15000,37.15000,2.85%,809102
2015-04-01,37.18000,37.48000,36.43000,36.61000,36.61000,-1.45%,593701
2015-04-02,36.73000,37.47000,36.62000,36.79000,36.79000,0.49%,395303
2015-04-06,36.70000,36.89000,36.45000,36.73000,36.73000,-0.16%,933511
2015-04-07,36.68000,36.88000,36.29000,36.38000,36.38000,-0.95%,556471
2015-04-08,36.52000,36.72000,36.34000,36.49000,36.49000,0.30%,497850
2015-04-09,36.40000,37.24000,36.40000,37.18000,37.18000,1.89%,336832
2015-04-10,37.17000,37.39000,36.75000,37.05000,37.05000,-0.35%,505049
2015-04-13,36.98000,37.45000,36.58000,36.59000,36.59000,-1.24%,228258
2015-04-14,36.46000,36.76000,36.05100,36.15000,36.15000,-1.20%,351237
2015-04-15,36.25000,36.54000,36.11000,36.19000,36.19000,0.11%,370633
2015-04-16,36.31000,36.31000,36.00000,36.07000,36.07000,-0.33%,389873
2015-04-17,35.93000,36.12000,35.28000,35.36000,35.36000,-1.97%,616442
2015-04-20,35.47000,36.31000,35.47000,36.13000,36.13000,2.18%,594623
2015-04-21,36.18000,36.36000,35.79000,36.21000,36.21000,0.22%,494362
2015-04-22,36.20000,36.23000,35.89000,36.01000,36.01000,-0.55%,486749
2015-04-23,35.75000,35.75000,35.35500,35.44000,35.44000,-1.58%,512901
2015-04-24,35.45000,35.45000,34.97000,34.99000,34.99000,-1.27%,444091
2015-04-27,35.02000,35.23000,34.15000,34.34000,34.34000,-1.86%,1144725
2015-04-28,34.22000,34.42000,33.91000,33.94000,33.94000,-1.16%,1625489
2015-04-29,33.90000,33.95000,33.58000,33.78000,33.78000,-0.47%,1244676
2015-04-30,33.61000,33.98000,33.37000,33.46000,33.46000,-0.95%,790119
2015-05-01,33.59000,33.87000,33.43000,33.61000,33.61000,0.45%,882321
2015-05-04,34.44000,35.35800,34.44000,34.48000,34.48000,2.59%,1342099
2015-05-05,34.48000,34.81000,33.98000,34.00000,34.00000,-1.39%,880128
2015-05-06,34.11000,34.11000,33.59500,33.65000,33.65000,-1.03%,587188
2015-05-07,33.71000,34.09000,33.70000,33.91000,33.91000,0.77%,726347
2015-05-08,34.24000,34.70000,34.11000,34.58000,34.58000,1.98%,597879
2015-05-11,34.59000,35.11000,34.52000,35.02000,35.02000,1.27%,586612
2015-05-12,34.85000,34.92000,34.26000,34.76000,34.76000,-0.74%,670139
2015-05-13,34.90000,35.63000,34.80000,35.25000,35.25000,1.41%,697799
2015-05-14,35.41000,35.49000,35.10000,35.19000,35.19000,-0.17%,584748
2015-05-15,35.31000,35.45000,35.15000,35.33000,35.33000,0.40%,418228
2015-05-18,35.36000,36.31000,35.35000,36.22000,36.22000,2.52%,905438
2015-05-19,36.20000,36.27500,34.61000,34.99000,34.99000,-3.40%,1747414
2015-05-20,33.04000,33.07000,32.25000,32.38000,32.38000,-7.46%,5979425
2015-05-21,32.34000,33.11000,32.17000,33.03000,33.03000,2.01%,2218580
2015-05-22,33.00000,33.12000,32.74000,33.08000,33.08000,0.15%,2249485
2015-05-26,33.01000,33.15000,32.34000,32.61000,32.61000,-1.42%,1020681
2015-05-27,32.60000,33.00000,32.55000,32.97000,32.97000,1.10%,619065
2015-05-28,32.98000,32.98800,32.70000,32.90000,32.90000,-0.21%,695987
2015-05-29,32.84000,33.13000,32.78000,32.86000,32.86000,-0.12%,699257
2015-06-01,32.87000,32.98000,32.69000,32.84000,32.84000,-0.06%,1046705
2015-06-02,32.69000,33.10500,32.63000,32.97000,32.97000,0.40%,535414
2015-06-03,33.15000,33.41000,32.94000,33.22000,33.22000,0.76%,837736
2015-06-04,33.06000,33.30000,32.77000,32.88000,32.88000,-1.02%,498229
2015-06-05,32.93000,33.06800,32.50000,32.89000,32.89000,0.03%,514843
2015-06-08,32.92000,32.98000,32.65000,32.77000,32.77000,-0.36%,384661
2015-06-09,32.82000,33.00500,32.66000,32.86000,32.86000,0.27%,721346
2015-06-10,32.89000,33.19500,32.79000,33.11000,33.11000,0.76%,1087170
2015-06-11,33.12000,33.22000,32.94000,33.15000,33.15000,0.12%,1596128
2015-06-12,33.11000,33.16000,32.92000,33.03000,33.03000,-0.36%,454243
2015-06-15,32.79000,32.92200,32.35000,32.62000,32.62000,-1.24%,634872
2015-06-16,32.53000,32.74000,32.28000,32.62000,32.62000,,472467
2015-06-17,32.68000,33.11000,32.65500,33.01000,33.01000,1.20%,768042
2015-06-18,32.99000,33.40000,32.95000,33.40000,33.40000,1.18%,701208
2015-06-19,33.49000,33.49000,33.16000,33.29000,33.29000,-0.33%,844788
2015-06-22,33.40000,33.71000,33.19000,33.50000,33.50000,0.63%,898955
2015-06-23,33.55000,33.55000,32.76000,32.89000,32.89000,-1.82%,903113
2015-06-24,32.94000,33.00000,32.44100,32.46000,32.46000,-1.31%,622076
2015-06-25,32.53000,32.73000,31.95500,32.16000,32.16000,-0.92%,693845
2015-06-26,32.25000,32.38000,31.73000,32.25000,32.25000,0.28%,3082893
2015-06-29,31.85000,32.07000,31.38000,31.40000,31.40000,-2.64%,988176
2015-06-30,31.65000,31.80000,31.02000,31.19000,31.19000,-0.67%,1050594
2015-07-01,31.35000,31.39400,30.84000,31.25000,31.25000,0.19%,1025434
2015-07-02,31.37000,31.59000,31.33000,31.47000,31.47000,0.70%,449653
2015-07-06,31.09000,31.45000,31.01000,31.25000,31.25000,-0.70%,1126768
2015-07-07,31.22000,31.48000,30.82000,31.23000,31.23000,-0.06%,1156753
2015-07-08,30.93000,31.22000,30.25000,30.38000,30.38000,-2.72%,936235
2015-07-09,30.62000,30.62000,30.25000,30.32000,30.32000,-0.20%,1021752
2015-07-10,30.59000,30.65300,30.29000,30.35000,30.35000,0.10%,707724
2015-07-13,30.53000,30.84000,30.42000,30.74000,30.74000,1.29%,574172
2015-07-14,30.75000,30.94000,30.68000,30.93000,30.93000,0.62%,463988
2015-07-15,30.90000,31.16000,30.50000,30.51000,30.51000,-1.36%,733508
2015-07-16,30.73000,31.01000,30.69000,30.79000,30.79000,0.92%,2007322
2015-07-17,30.87000,30.97100,30.50000,30.56000,30.56000,-0.75%,988452
2015-07-20,30.64000,30.89000,30.55000,30.76000,30.76000,0.65%,499099
2015-07-21,30.70000,30.86000,30.39000,30.42000,30.42000,-1.11%,709907
2015-07-22,30.18000,30.78000,30.13000,30.74000,30.74000,1.05%,582881
