Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,55.54000,55.61000,54.43000,54.50000,49.77900,-1.78%,297937
2015-03-25,54.90000,54.90000,51.72500,52.04000,47.53200,-4.51%,532504
2015-03-26,51.32000,51.84000,50.35000,51.37000,46.92000,-1.29%,665680
2015-03-27,51.21000,53.04500,50.96000,52.80000,48.40900,2.78%,281502
2015-03-30,52.92000,53.54000,52.36000,53.34000,48.90400,1.02%,310840
2015-03-31,53.12000,53.24000,52.52000,52.65000,48.27100,-1.29%,327625
2015-04-01,52.59000,52.64000,50.93000,51.99000,47.66600,-1.25%,335908
2015-04-02,52.00000,52.05000,51.50000,51.70000,47.40000,-0.56%,301769
2015-04-06,51.28000,52.01000,50.95000,51.90000,47.58400,0.39%,240696
2015-04-07,51.87000,52.25500,51.41500,51.51000,47.22600,-0.75%,344725
2015-04-08,51.60000,52.10000,51.31000,51.75000,47.44600,0.47%,253199
2015-04-09,51.48000,52.10000,51.32000,51.81000,47.50100,0.12%,184722
2015-04-10,52.14000,52.38000,51.91000,52.21000,47.86800,0.77%,131081
2015-04-13,52.29000,52.82000,51.66000,51.74000,47.43700,-0.90%,161723
2015-04-14,51.78000,52.11000,51.22000,51.64000,47.34500,-0.19%,233176
2015-04-15,51.97000,53.37000,51.88000,52.96000,48.55500,2.56%,238196
2015-04-16,52.58000,53.84000,52.21000,53.47000,49.02300,0.96%,285916
2015-04-17,53.00000,53.05000,51.95000,52.79000,48.40000,-1.27%,306600
2015-04-20,52.95000,53.94000,52.95000,53.40000,48.95900,1.16%,298609
2015-04-21,53.90000,54.15000,53.40000,53.96000,49.47200,1.05%,283591
2015-04-22,54.47000,54.59000,53.02000,53.92000,49.43600,-0.07%,236752
2015-04-23,54.43000,55.56000,50.55000,53.51000,49.06000,-0.76%,683942
2015-04-24,53.50000,54.18000,49.25000,49.96000,45.80500,-6.63%,1124712
2015-04-27,49.70000,51.09000,49.39000,50.42000,46.22700,0.92%,616960
2015-04-28,50.40000,51.14000,49.80000,50.98000,46.74000,1.11%,540801
2015-04-29,50.69000,52.22000,50.68000,52.01000,47.68400,2.02%,820832
2015-04-30,51.61000,52.28000,51.32000,51.83000,47.51900,-0.35%,827493
2015-05-01,52.00000,53.06000,51.87000,52.92000,48.51900,2.10%,475265
2015-05-04,52.70000,53.06000,52.52500,52.79000,48.40000,-0.25%,498780
