Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,36.74000,36.79000,35.83000,35.85000,27.79600,-2.14%,6220690
2015-03-25,35.79000,36.09000,35.61000,35.74500,27.71500,-0.29%,4567267
2015-03-26,35.43000,35.68000,35.26000,35.55000,27.56300,-0.55%,5171059
2015-03-27,35.64000,35.64000,34.97500,35.10000,27.21500,-1.27%,4975924
2015-03-30,35.22000,35.44000,35.01000,35.38000,27.43200,0.80%,3443522
2015-03-31,35.34000,35.70000,35.06000,35.46000,27.49400,0.23%,2945108
2015-04-01,35.40000,35.43000,34.94000,35.27000,27.34600,-0.54%,2787781
2015-04-02,35.32000,35.93000,35.14000,35.62500,27.62200,1.01%,4377450
2015-04-06,35.36000,36.14000,35.21000,36.03000,27.93600,1.14%,2686874
2015-04-07,36.07000,36.16000,35.77000,35.80500,27.76100,-0.62%,3231627
2015-04-08,35.75000,35.92000,35.43000,35.82000,27.90100,0.04%,3282902
2015-04-09,35.69000,35.92000,35.45000,35.74000,27.83800,-0.22%,3285671
2015-04-10,35.71000,35.78000,35.19000,35.47000,27.62800,-0.76%,4165685
2015-04-13,35.47000,35.68000,35.38000,35.41000,27.58100,-0.17%,2480964
2015-04-14,35.32000,35.98000,35.23000,35.87000,27.94000,1.30%,4476919
2015-04-15,35.95000,36.75000,35.74000,36.73000,28.61000,2.40%,3795300
2015-04-16,36.57000,36.66000,36.22000,36.36000,28.32100,-1.01%,3152980
2015-04-17,36.09000,36.55000,35.65000,35.97000,28.01800,-1.07%,4618339
2015-04-20,36.24000,36.43000,35.80000,35.99000,28.03300,0.06%,2855635
2015-04-21,36.19000,36.21000,35.74000,36.00000,28.04100,0.03%,3194874
2015-04-22,36.01000,36.29500,35.96000,36.14000,28.15000,0.39%,1881491
2015-04-23,36.01000,36.42000,35.98000,36.29000,28.26700,0.42%,1701661
2015-04-24,36.36000,36.36000,35.92000,36.12000,28.13400,-0.47%,2276153
2015-04-27,36.12000,36.58500,35.96000,36.37000,28.32900,0.69%,2725679
2015-04-28,36.43000,36.67000,36.13000,36.60000,28.50800,0.63%,1486069
2015-04-29,36.37000,37.07000,36.28000,36.80000,28.66400,0.55%,3079560
2015-04-30,36.54000,36.95600,36.17000,36.25000,28.23600,-1.49%,2558368
2015-05-01,36.45000,36.79000,36.33000,36.69000,28.57800,1.21%,1277334
2015-05-04,36.70000,36.98000,36.62000,36.71000,28.59400,0.05%,1489263
2015-05-05,36.54000,36.66000,35.85000,35.91000,27.97100,-2.18%,2126262
2015-05-06,35.90000,36.03000,35.32500,35.39000,27.56600,-1.45%,2910035
2015-05-07,35.43000,35.77000,35.23000,35.57000,27.70600,0.51%,1865126
2015-05-08,35.69000,35.88000,35.35000,35.64500,27.76400,0.21%,2589534
2015-05-11,35.28000,35.44000,34.78000,34.95500,27.22700,-1.94%,5266305
2015-05-12,34.75000,35.05000,34.62000,34.86000,27.15300,-0.27%,3604093
2015-05-13,34.90000,35.37500,34.75000,35.30000,27.49600,1.26%,4991461
2015-05-14,35.63000,36.05500,35.51000,35.96000,28.01000,1.87%,3470948
2015-05-15,36.00000,36.10000,35.39000,35.40000,27.57400,-1.56%,3879047
2015-05-18,35.37000,35.48000,34.74000,34.80000,27.10600,-1.69%,6203336
2015-05-19,34.69000,35.54000,34.57000,35.35000,27.53500,1.58%,4520525
2015-05-20,35.40000,35.68000,35.17000,35.33000,27.51900,-0.06%,4799278
2015-05-21,31.05000,32.12900,30.85000,31.77000,24.74600,-10.08%,25743849
2015-05-22,31.65000,33.26000,31.46000,33.14000,25.81300,4.31%,12065395
2015-05-26,32.97000,33.14000,32.33000,32.56000,25.36100,-1.75%,5687833
2015-05-27,32.67000,33.10000,32.58000,33.02000,25.72000,1.41%,4781652
2015-05-28,33.01000,33.35000,32.83000,33.26000,25.90700,0.73%,3661389
2015-05-29,33.26000,33.42000,32.97000,33.40000,26.01600,0.42%,7223708
2015-06-01,33.27000,33.40000,32.87000,33.15500,25.82500,-0.73%,4324907
2015-06-02,33.04000,33.58000,32.98000,33.33500,25.96500,0.54%,5554653
2015-06-03,33.40000,33.83000,33.21000,33.24500,25.89500,-0.27%,3286938
2015-06-04,33.01000,33.87000,32.94000,33.86500,26.37800,1.86%,5443100
2015-06-05,33.87000,34.00000,33.52000,33.94000,26.43600,0.22%,5039985
2015-06-08,33.95000,33.98000,32.92000,33.16000,25.82900,-2.30%,4179384
2015-06-09,33.29000,33.39000,32.97000,33.10000,25.78200,-0.18%,4099624
2015-06-10,33.92000,33.92000,33.18000,33.54000,26.12500,1.33%,5439208
2015-06-11,33.54000,33.96000,33.40000,33.68000,26.23400,0.42%,3124767
2015-06-12,33.48000,33.61000,33.27000,33.48000,26.07800,-0.59%,2830385
2015-06-15,33.35000,33.61000,32.97000,33.55000,26.13300,0.21%,3632976
2015-06-16,33.45000,33.73000,33.30000,33.55000,26.13300,,2460124
2015-06-17,33.65000,33.92500,33.56000,33.78000,26.31200,0.69%,3019993
2015-06-18,33.81000,34.07000,33.71500,33.76500,26.30000,-0.04%,3325407
2015-06-19,33.82000,34.00000,33.68000,33.93000,26.42900,0.49%,6715556
2015-06-22,34.00000,34.48000,33.94000,34.39000,26.78700,1.36%,3570841
2015-06-23,34.16000,34.72000,34.16000,34.55000,26.91100,0.47%,3909235
2015-06-24,34.47000,34.50600,33.08500,33.18000,25.84400,-3.97%,5315601
2015-06-25,33.20000,33.28500,32.45500,32.64500,25.42800,-1.61%,6070984
2015-06-26,32.62000,32.84000,32.24000,32.36000,25.20600,-0.87%,4692397
2015-06-29,32.04000,32.37000,31.63000,31.67500,24.67200,-2.12%,4804819
2015-06-30,31.88000,31.99000,31.42000,31.56000,24.58300,-0.36%,3358093
2015-07-01,32.28000,32.28000,31.46000,31.59000,24.60600,0.10%,2782030
2015-07-02,31.50000,31.72000,31.37500,31.49500,24.53200,-0.30%,2803150
2015-07-06,31.22000,31.49000,31.10000,31.30000,24.38000,-0.62%,2857067
2015-07-07,31.44000,31.63000,30.91000,31.60000,24.61400,0.96%,3726165
2015-07-08,31.62000,31.62000,30.51000,30.60000,23.97500,-3.16%,4466018
2015-07-09,30.73000,30.99000,30.26000,30.35000,23.77900,-0.82%,4698458
2015-07-10,30.74000,30.92000,30.40000,30.60000,23.97500,0.82%,2364857
2015-07-13,30.69000,30.97000,30.50000,30.91000,24.21800,1.01%,2656449
2015-07-14,30.97000,31.10000,30.72000,30.89000,24.20200,-0.06%,2913229
2015-07-15,31.21000,31.39900,30.93000,31.14000,24.39800,0.81%,4241064
2015-07-16,31.14000,31.37000,31.06000,31.22000,24.46100,0.26%,3851202
2015-07-17,31.17000,31.21000,30.97000,31.14000,24.39800,-0.26%,3505098
2015-07-20,31.19000,31.29000,30.87000,30.94000,24.24100,-0.64%,4063190
2015-07-21,30.84000,30.92000,30.25000,30.89000,24.20200,-0.16%,3298643
2015-07-22,30.68000,31.25000,30.42000,31.15000,24.40600,0.84%,3544421
2015-07-23,31.23000,32.18000,31.11000,31.40000,24.60200,0.80%,4703956
2015-07-24,31.46000,31.62000,31.03000,31.10000,24.36700,-0.96%,3067809
2015-07-27,30.87000,31.03000,30.62000,30.80000,24.13200,-0.96%,3924549
2015-07-28,31.00000,31.11000,30.77000,30.95000,24.24900,0.49%,4003841
2015-07-29,30.89000,31.17000,30.81000,30.96000,24.25700,0.03%,3509084
2015-07-30,30.90000,31.64000,30.84000,31.57000,24.73500,1.97%,2484428
2015-07-31,31.62000,31.62000,31.10000,31.15000,24.40600,-1.33%,2641858
2015-08-03,31.17000,31.45000,30.57000,30.69000,24.04500,-1.48%,1839392
2015-08-04,30.64000,30.76000,30.44000,30.58000,23.95900,-0.36%,2128302
2015-08-05,30.86000,31.24000,30.55000,30.87000,24.18700,0.95%,3228149
2015-08-06,30.96000,31.00000,30.51900,30.69000,24.04500,-0.58%,2813474
2015-08-07,30.59000,30.89000,30.47000,30.52000,23.91200,-0.55%,1911138
2015-08-10,30.75000,31.68000,30.75000,31.50000,24.68000,3.21%,2843587
2015-08-11,31.35000,31.36000,30.56000,30.71000,24.06100,-2.51%,1968017
2015-08-12,30.55000,30.99000,30.28000,30.99000,24.28100,0.91%,2917988
2015-08-13,30.94000,31.06000,30.54000,30.62000,23.99100,-1.19%,2008826
2015-08-14,30.45000,30.80000,30.45000,30.75000,24.09200,0.42%,2415660
2015-08-17,30.25000,30.56000,30.00000,30.54000,23.92800,-0.68%,3448043
2015-08-18,30.40000,30.73000,29.91500,30.28000,23.72400,-0.85%,3342072
2015-08-19,30.20000,30.27000,29.53500,29.78000,23.33300,-1.65%,6541316
2015-08-20,31.98000,32.29000,30.48000,30.78000,24.11600,3.36%,14103318
2015-08-21,30.44000,31.19000,30.21000,30.21000,23.66900,-1.85%,7086161
2015-08-24,28.96000,30.84000,28.88000,29.87000,23.40300,-1.13%,9015759
2015-08-25,30.51000,30.51000,29.05000,29.07000,22.77600,-2.68%,6646275
2015-08-26,29.64000,30.64000,29.46000,30.58000,23.95900,5.19%,5517628
2015-08-27,30.85000,31.44000,30.73000,31.39000,24.59400,2.65%,4360546
2015-08-28,31.34000,31.83500,31.31000,31.62000,24.77400,0.73%,3294926
2015-08-31,31.52000,32.04000,31.41000,31.96000,25.04100,1.08%,4870458
2015-09-01,31.07000,31.28000,30.80000,30.95500,24.25300,-3.14%,4465103
2015-09-02,31.42000,31.45000,30.89000,31.27000,24.50000,1.02%,2849444
2015-09-03,31.27000,31.69000,31.11500,31.19000,24.43700,-0.26%,3113046
2015-09-04,30.75000,30.95000,30.52000,30.57000,23.95100,-1.99%,3484043
2015-09-08,30.90000,31.54500,30.78000,31.49000,24.67200,3.01%,3501534
2015-09-09,31.73000,31.94500,31.07000,31.12000,24.38200,-1.17%,2495287
2015-09-10,31.07000,31.64000,30.95000,31.36000,24.57000,0.77%,2416820
2015-09-11,31.18000,31.59000,31.05000,31.58000,24.74300,0.70%,1930060
2015-09-14,31.62000,31.62000,31.04500,31.14000,24.39800,-1.39%,2103699
2015-09-15,31.38000,32.21500,31.22000,32.19000,25.22100,3.37%,3790802
2015-09-16,32.02000,32.48000,31.91000,32.36000,25.35400,0.53%,2060406
2015-09-17,32.34000,32.73000,32.16000,32.21000,25.23600,-0.46%,2754916
2015-09-18,31.81000,32.12000,31.17500,31.36000,24.57000,-2.64%,7859083
2015-09-21,31.43000,31.72000,31.14500,31.22000,24.46100,-0.45%,2690994
2015-09-22,30.29000,30.39000,29.74000,30.07000,23.56000,-3.68%,5679292
2015-09-23,30.14000,30.18000,29.54000,29.70000,23.27000,-1.23%,2587971
2015-09-24,29.50000,29.89000,29.11000,29.49000,23.10500,-0.71%,3338707
2015-09-25,29.58000,29.70000,29.37000,29.57000,23.16800,0.27%,4860401
2015-09-28,29.36000,29.66000,29.09000,29.10000,22.80000,-1.59%,3009480
2015-09-29,29.25000,29.72500,28.81000,28.95000,22.68200,-0.52%,3255942
2015-09-30,29.20000,29.73000,28.75000,29.60000,23.19100,2.25%,4047221
2015-10-01,29.65000,29.75000,28.87000,29.24000,22.90900,-1.22%,3108458
2015-10-02,28.89000,29.93000,28.85000,29.93000,23.45000,2.36%,2737790
2015-10-05,30.18000,30.95000,30.12100,30.89000,24.20200,3.21%,2336717
2015-10-06,30.84000,31.58000,30.84000,31.33000,24.54700,1.42%,2896387
2015-10-07,31.34000,31.76900,31.07000,31.53000,24.84500,0.64%,3386480
2015-10-08,31.62000,32.28000,31.46000,32.27000,25.42800,2.35%,3788789
2015-10-09,32.30000,33.19500,32.30000,33.16000,26.12900,2.76%,4768220
2015-10-12,33.57000,33.66000,32.68000,33.37000,26.29500,0.63%,4380378
2015-10-13,33.10000,33.87000,32.90100,33.43000,26.34200,0.18%,3464579
2015-10-14,33.46000,33.95000,33.42000,33.88000,26.69600,1.35%,3204987
2015-10-15,33.63000,33.78000,33.37000,33.78000,26.61800,-0.30%,3037447
2015-10-16,33.79000,33.83000,33.48000,33.82000,26.64900,0.12%,2326515
2015-10-19,33.74000,33.92000,33.60100,33.68000,26.53900,-0.41%,1626077
2015-10-20,33.53000,33.84000,33.50000,33.72000,26.57000,0.12%,2017760
2015-10-21,33.78000,33.84500,33.32000,33.40000,26.31800,-0.95%,2948204
2015-10-22,33.56000,34.40000,33.34000,34.38000,27.09000,2.93%,2748345
2015-10-23,34.50000,34.81000,34.22000,34.67000,27.31900,0.84%,2917693
2015-10-26,33.92000,34.02500,33.11000,33.15000,26.12100,-4.38%,3371933
2015-10-27,32.97000,33.54000,32.86000,33.36000,26.28700,0.63%,3926424
2015-10-28,33.56000,34.08000,33.37500,34.06000,26.83800,2.10%,2682236
2015-10-29,33.73000,34.06500,33.61000,33.76000,26.60200,-0.88%,1732013
2015-10-30,33.97000,34.09000,33.39000,34.00000,26.79100,0.71%,1900746
2015-11-02,33.93000,34.39000,33.86000,34.38000,27.09000,1.12%,2187547
2015-11-03,34.28000,34.73000,34.18000,34.49000,27.17700,0.32%,2015098
2015-11-04,34.49000,34.53000,33.77000,33.82000,26.64900,-1.94%,2834387
2015-11-05,33.95000,34.60000,33.93000,34.20000,26.94900,1.12%,3309830
