Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,105.01000,105.19000,103.36000,104.04000,93.76800,-0.81%,3230994
2015-03-25,104.42000,104.46000,98.58000,100.15000,90.26200,-3.74%,5903993
2015-03-26,96.01000,99.00000,93.05000,97.50000,87.87400,-2.65%,8746723
2015-03-27,98.42000,100.64000,97.24000,99.92000,90.05500,2.48%,4993027
2015-03-30,101.02000,103.99000,101.02000,102.43000,92.31700,2.51%,3731992
2015-03-31,101.68000,102.55000,100.17000,100.36000,90.45100,-2.02%,2527388
2015-04-01,100.00000,100.65000,98.08100,99.75000,89.90200,-0.61%,3302491
2015-04-02,99.91000,100.89000,98.82000,99.27000,89.46900,-0.48%,1958336
2015-04-06,97.66000,100.06000,97.16000,99.96000,90.09100,0.70%,3237314
2015-04-07,99.78000,101.80000,99.78000,100.38000,90.46900,0.42%,3295321
2015-04-08,101.00000,102.93000,100.41000,101.86000,91.80300,1.47%,2057852
2015-04-09,101.18000,102.27000,100.90000,102.10000,92.02000,0.24%,1392776
2015-04-10,102.75000,102.88000,100.91000,101.34000,91.33500,-0.74%,1467236
2015-04-13,101.23000,101.80000,99.25000,100.29000,90.38800,-1.04%,1566683
2015-04-14,100.13000,100.52000,97.80000,98.63000,88.89200,-1.66%,2088237
2015-04-15,99.30000,100.98000,99.30000,100.75000,90.80300,2.15%,2388982
2015-04-16,100.94000,102.53000,100.55600,101.63000,91.59600,0.87%,1848634
2015-04-17,100.13000,100.76500,99.11000,99.73000,89.88400,-1.87%,2072718
2015-04-20,100.58000,102.20000,100.12000,101.03000,91.05500,1.30%,1749105
2015-04-21,101.93000,101.99000,100.70000,101.24000,91.24400,0.21%,1347957
2015-04-22,101.75000,103.12000,100.42300,102.69000,92.55100,1.43%,1485160
2015-04-23,99.90000,101.00000,98.35000,98.58000,88.84700,-4.00%,4554374
2015-04-24,98.76000,98.96000,93.76000,95.33000,85.91800,-3.30%,6699310
2015-04-27,96.71000,98.14000,96.22000,96.93000,87.36000,1.68%,2932483
2015-04-28,97.04000,97.39000,93.45000,96.22000,86.72000,-0.73%,3285782
2015-04-29,96.26000,96.40000,94.55000,95.42000,85.99900,-0.83%,2763303
2015-04-30,97.14000,99.84000,95.62000,96.12000,86.63000,0.73%,6248641
2015-05-01,95.94000,102.28000,95.80000,100.99000,91.01900,5.07%,4764857
2015-05-04,101.22000,101.67000,98.96000,100.13000,90.24400,-0.85%,2447562
2015-05-05,99.30000,100.14000,97.28000,97.44000,87.82000,-2.69%,2936786
