Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,44.33000,44.50000,43.71000,43.71000,37.45100,-1.22%,14912741
2015-03-25,43.68000,43.75000,42.93000,42.93000,36.78300,-1.78%,17490793
2015-03-26,42.78000,43.23000,42.46000,42.99000,36.83400,0.14%,14064718
2015-03-27,42.93000,43.12000,42.42000,42.64000,36.53400,-0.81%,18028483
2015-03-30,43.23000,43.63000,43.11500,43.44000,37.22000,1.88%,12730145
2015-03-31,43.31000,43.57000,43.13000,43.15000,36.97100,-0.67%,13264196
2015-04-01,42.99000,43.12000,42.72000,42.94000,36.79100,-0.49%,12050921
2015-04-02,42.99000,43.11000,42.48000,42.62000,36.64600,-0.75%,11183925
2015-04-06,42.28000,43.10000,42.21000,42.96000,36.93800,0.80%,9766515
2015-04-07,42.99000,43.48000,42.94000,42.96000,36.93800,,8075376
2015-04-08,42.85000,43.34000,42.85000,43.11000,37.06700,0.35%,6947138
2015-04-09,42.97000,43.31000,42.74000,43.20000,37.14400,0.21%,9399527
2015-04-10,43.08000,43.89000,43.08000,43.51000,37.41100,0.72%,12542736
2015-04-13,43.55000,43.79000,43.03000,43.08000,37.04100,-0.99%,10943399
2015-04-14,43.04000,43.06000,42.51000,42.73000,36.74000,-0.81%,10510451
2015-04-15,42.95000,44.19000,42.83000,43.99000,37.82400,2.95%,18188736
2015-04-16,43.69000,43.96000,43.25000,43.46000,37.36800,-1.20%,11960843
2015-04-17,43.06000,43.40000,42.86000,43.00000,36.97200,-1.06%,12465511
2015-04-20,43.31000,43.81000,43.25000,43.32000,37.24800,0.74%,10426440
2015-04-21,43.51000,43.87000,43.40000,43.42000,37.33400,0.23%,9312916
2015-04-22,43.51000,43.75000,43.34000,43.55000,37.44500,0.30%,7343916
2015-04-23,43.51000,43.63000,42.98500,43.39000,37.30800,-0.37%,11302049
2015-04-24,43.41000,43.58000,42.75000,43.08000,37.04100,-0.71%,17767086
2015-04-27,43.10000,43.95000,43.07000,43.61000,37.49700,1.23%,12916010
2015-04-28,43.71000,44.58000,43.45000,44.50000,38.26200,2.04%,18287732
2015-04-29,44.40000,44.90000,43.68000,44.73000,38.46000,0.52%,36605198
2015-04-30,44.05000,44.41000,43.50500,43.62000,37.50600,-2.48%,20196267
2015-05-01,43.44000,44.38000,43.44000,44.37000,38.15000,1.72%,11941981
2015-05-04,44.55000,44.85000,44.24000,44.59000,38.34000,0.50%,9168246
2015-05-05,44.47000,44.62000,43.89000,43.92000,37.76300,-1.50%,11410732
2015-05-06,44.20000,44.24000,43.00000,43.26000,37.19600,-1.50%,12732068
2015-05-07,43.17000,43.66000,43.02000,43.48000,37.38500,0.51%,8787086
2015-05-08,43.83000,44.24000,43.69000,44.01000,37.84100,1.22%,9582856
2015-05-11,43.97000,44.20000,43.60000,43.84000,37.69500,-0.39%,7429355
2015-05-12,43.65000,43.69000,43.28000,43.57000,37.46300,-0.62%,8515835
2015-05-13,43.76000,44.07000,43.62000,43.79000,37.65200,0.50%,7451216
2015-05-14,44.11000,44.40000,44.00000,44.38000,38.15900,1.35%,7292755
2015-05-15,44.41000,44.44000,43.94000,44.15000,37.96100,-0.52%,9369535
2015-05-18,43.94000,44.41000,43.87500,44.24000,38.03900,0.20%,6070949
2015-05-19,44.42000,44.46000,44.16000,44.32000,38.10700,0.18%,8639951
2015-05-20,44.22000,44.60000,44.09000,44.29000,38.08200,-0.07%,9051727
2015-05-21,44.22000,44.45000,43.95000,44.28000,38.07300,-0.02%,8036392
2015-05-22,44.20000,44.27000,43.88000,43.93000,37.77200,-0.79%,7484345
2015-05-26,43.74000,43.83000,43.15000,43.33000,37.25600,-1.37%,10440143
2015-05-27,43.54000,44.25000,43.41000,44.14000,37.95300,1.87%,11096773
2015-05-28,44.08000,44.25000,43.64000,43.86000,37.71200,-0.63%,7273163
2015-05-29,43.79000,43.84000,43.36000,43.49000,37.39400,-0.84%,10358719
2015-06-01,43.84000,44.06000,43.64000,43.79000,37.65200,0.69%,9763923
2015-06-02,43.51000,44.01000,43.14000,43.70000,37.57400,-0.21%,8275894
2015-06-03,43.74000,44.09000,43.59000,43.97000,37.80600,0.62%,9220901
2015-06-04,43.74000,44.11000,43.50800,43.77000,37.63500,-0.45%,13783142
2015-06-05,43.83000,44.02000,43.49000,43.81000,37.66900,0.09%,12850735
2015-06-08,43.81000,43.89000,43.08000,43.10000,37.05800,-1.62%,9112216
2015-06-09,43.35000,43.37000,42.82000,43.07000,37.03300,-0.07%,7634180
2015-06-10,43.28000,44.05000,43.06000,43.94000,37.78100,2.02%,15518411
2015-06-11,44.17000,44.42000,44.03000,44.28000,38.07300,0.77%,12519260
2015-06-12,43.98000,44.39000,43.90000,44.34000,38.12500,0.14%,11742306
2015-06-15,43.90000,43.99000,43.41000,43.72000,37.59200,-1.40%,16727756
2015-06-16,43.91000,44.88000,43.76000,44.64000,38.38300,2.10%,18271560
2015-06-17,44.86000,45.24000,44.37000,44.91000,38.61500,0.60%,27080848
2015-06-18,41.91000,42.98000,40.97000,42.74000,36.74900,-4.83%,79125734
2015-06-19,42.90000,43.10000,41.56000,41.59000,35.76000,-2.69%,37418881
2015-06-22,41.80000,41.95500,41.45000,41.49000,35.67400,-0.24%,22367621
2015-06-23,41.94000,42.06000,41.48000,41.71000,35.86300,0.53%,17394280
2015-06-24,41.54000,41.77000,41.20000,41.20000,35.42500,-1.22%,17768033
2015-06-25,41.24000,41.47000,41.05500,41.06000,35.30400,-0.34%,13547448
2015-06-26,41.10000,41.37000,40.97000,40.99000,35.24400,-0.17%,39685430
2015-06-29,40.63000,40.90000,40.38000,40.42000,34.75400,-1.39%,18194515
2015-06-30,40.60000,40.75000,40.11000,40.30000,34.65100,-0.30%,16691538
2015-07-01,40.61000,40.70000,39.93000,40.24000,34.59900,-0.15%,13948619
2015-07-02,40.38000,40.42000,40.15000,40.36000,34.70300,0.30%,11644070
2015-07-06,39.93000,40.29000,39.77000,40.15000,34.65100,-0.52%,12433917
2015-07-07,40.04000,40.27000,39.84000,40.16000,34.66000,0.02%,16437099
2015-07-08,39.90000,40.24000,39.70000,39.77000,34.32300,-0.97%,14598700
2015-07-09,40.24000,40.48000,40.15000,40.18000,34.67700,1.03%,13348301
2015-07-10,40.56000,40.65000,40.21000,40.36000,34.83200,0.45%,10469957
2015-07-13,40.52000,40.86000,40.38000,40.80000,35.21200,1.09%,10716991
2015-07-14,40.81000,40.90000,40.58000,40.78000,35.19500,-0.05%,9298777
2015-07-15,40.63000,40.92000,40.63000,40.79000,35.20300,0.02%,9326667
2015-07-16,41.02000,41.02000,40.55500,40.96000,35.35000,0.42%,14861034
2015-07-17,40.75000,40.86000,40.16000,40.40000,34.86700,-1.37%,14574365
2015-07-20,40.36000,40.39000,39.87000,39.93000,34.46100,-1.16%,17486720
2015-07-21,39.76000,39.98500,39.39000,39.57000,34.15000,-0.90%,14678796
2015-07-22,39.36000,39.67500,39.25000,39.42000,34.02100,-0.38%,16796882
2015-07-23,39.55000,39.60000,38.96000,39.00000,33.65800,-1.07%,18083839
2015-07-24,39.10000,39.17000,38.80000,39.00000,33.65800,,12029224
2015-07-27,38.72000,38.82000,38.47000,38.51000,33.23600,-1.26%,15756829
2015-07-28,38.79000,39.36500,38.44000,39.28000,33.90000,2.00%,14289205
2015-07-29,39.37000,39.87000,39.26000,39.79000,34.34000,1.30%,13016410
2015-07-30,40.03000,40.10000,39.54500,39.65000,34.21900,-0.35%,13634217
2015-07-31,39.76000,40.12000,39.70000,39.94000,34.47000,0.73%,13706065
2015-08-03,39.95000,40.01000,39.46100,39.71000,34.27100,-0.58%,12443502
2015-08-04,39.59000,40.00000,39.52500,39.66000,34.22800,-0.13%,9697334
2015-08-05,39.90000,40.02000,39.63000,39.64000,34.21100,-0.05%,11944864
2015-08-06,39.63000,39.84000,39.14500,39.32000,33.93500,-0.81%,10613026
2015-08-07,39.36000,39.69000,39.23000,39.56000,34.14200,0.61%,10655096
2015-08-10,39.76000,40.04500,39.70000,39.89000,34.42700,0.83%,9525807
2015-08-11,39.53000,39.68000,39.02000,39.17000,33.80500,-1.80%,10600501
2015-08-12,38.74000,39.35900,38.50000,39.28000,33.90000,0.28%,11150861
2015-08-13,39.22000,39.56000,38.99000,39.31000,33.92600,0.08%,7785664
2015-08-14,39.33000,39.50000,39.18000,39.41000,34.01200,0.25%,7184959
2015-08-17,39.41000,39.72500,39.09000,39.72000,34.28000,0.79%,7631157
2015-08-18,39.52000,40.03000,39.51000,39.83000,34.37500,0.28%,9950594
2015-08-19,39.70000,39.94000,39.31000,39.53000,34.11600,-0.75%,11112865
2015-08-20,39.19000,39.50000,38.60000,38.63000,33.33900,-2.28%,13071171
2015-08-21,38.32000,38.77000,37.55000,37.55000,32.40700,-2.80%,19411149
2015-08-24,35.73000,37.06000,35.14000,36.08000,31.13800,-3.91%,32521258
2015-08-25,36.97000,37.21000,35.38000,35.45000,30.59500,-1.75%,21388021
2015-08-26,36.03000,37.02000,35.60000,36.91000,31.85500,4.12%,20532137
2015-08-27,37.36000,37.51000,36.01000,36.82000,31.77700,-0.24%,28218161
2015-08-28,36.82000,37.49500,36.78000,37.46000,32.32900,1.74%,21559081
2015-08-31,37.35000,37.51000,36.93000,37.09000,32.01000,-0.99%,15352750
2015-09-01,36.30000,36.55000,35.89000,36.01000,31.07800,-2.91%,19947424
2015-09-02,36.26000,36.75000,36.11000,36.75000,31.71700,2.05%,15049271
2015-09-03,36.81000,37.27000,36.77000,36.90000,31.84600,0.41%,11787777
2015-09-04,36.35000,36.68000,36.09000,36.27000,31.30200,-1.71%,13147872
2015-09-08,36.73000,37.82000,36.73000,37.68000,32.51900,3.89%,18949464
2015-09-09,37.90000,38.18000,37.01000,37.09000,32.01000,-1.57%,14710188
2015-09-10,37.03000,37.94000,37.03000,37.61000,32.45900,1.40%,16930643
2015-09-11,37.45000,37.96000,37.40000,37.92000,32.72600,0.82%,12948612
2015-09-14,37.81000,37.94000,37.37000,37.56000,32.41600,-0.95%,15021459
2015-09-15,37.77000,38.18000,37.40000,37.99000,32.78700,1.14%,14877921
2015-09-16,38.26000,38.52000,37.93000,38.27000,33.02800,0.74%,19550210
2015-09-17,36.74000,37.67000,36.50000,36.74000,31.70800,-4.00%,37298982
2015-09-18,36.29000,36.98000,36.26000,36.38000,31.39700,-0.98%,34919765
2015-09-21,36.60000,37.05900,36.42500,36.83000,31.78600,1.24%,14964384
2015-09-22,36.34000,36.49000,35.97000,36.19000,31.23300,-1.74%,19978673
2015-09-23,36.19000,36.21500,35.83000,35.99000,31.06100,-0.55%,16991591
2015-09-24,35.85000,36.23000,35.39000,36.06000,31.12100,0.19%,18059542
2015-09-25,36.20000,36.32000,35.91000,36.05000,31.11200,-0.03%,19386998
2015-09-28,35.72000,36.14000,35.40000,35.44000,30.58600,-1.69%,21624021
2015-09-29,35.31000,35.66000,35.24000,35.51000,30.64600,0.20%,19785913
2015-09-30,35.89000,36.19000,35.77500,36.12000,31.17300,1.72%,16061168
2015-10-01,36.23000,36.42000,35.85000,36.24000,31.27600,0.33%,18331147
2015-10-02,35.71000,36.91000,35.64000,36.89000,31.83700,1.79%,18772805
2015-10-05,37.26000,37.73000,37.02000,37.59000,32.44200,1.90%,12741707
2015-10-06,37.52000,37.85000,37.51000,37.73000,32.56200,0.37%,12426637
2015-10-07,37.75000,37.98000,37.35000,37.66000,32.50200,-0.19%,16369772
2015-10-08,37.39000,37.98500,37.34000,37.89000,32.70000,0.61%,13247649
2015-10-09,37.98000,38.20000,37.66000,38.10000,33.01100,0.55%,14656414
2015-10-12,37.92000,38.12000,37.69000,38.04000,32.95900,-0.16%,11022515
2015-10-13,37.91000,38.20000,37.74000,37.82000,32.76900,-0.58%,11575627
2015-10-14,37.17000,37.58000,37.14000,37.26000,32.28300,-1.48%,14067798
2015-10-15,37.55000,37.67000,37.26000,37.55000,32.53500,0.78%,12205521
2015-10-16,37.80000,37.80000,37.14000,37.37000,32.37900,-0.48%,19694441
2015-10-19,36.86000,37.10000,36.57000,36.87000,31.94500,-1.34%,18100494
2015-10-20,36.62000,37.00000,36.62000,36.86000,31.93700,-0.03%,13678087
2015-10-21,36.98000,37.12000,36.57000,36.62000,31.72900,-0.65%,11072051
2015-10-22,36.85000,37.86000,36.85000,37.79000,32.74300,3.19%,14701321
2015-10-23,38.12000,38.16000,37.79000,38.07000,32.98500,0.74%,16469067
2015-10-26,37.94000,38.62000,37.94000,38.37000,33.24500,0.79%,12330620
2015-10-27,38.33000,38.45000,38.04000,38.34000,33.21900,-0.08%,14110454
2015-10-28,38.63000,38.89000,38.37000,38.88000,33.68700,1.41%,14019989
2015-10-29,38.53000,38.91000,38.52500,38.86000,33.67000,-0.05%,11432860
2015-10-30,38.92000,39.04000,38.50000,38.84000,33.65200,-0.05%,16471536
2015-11-02,39.05000,39.78000,38.90000,39.75000,34.44100,2.34%,19789618
2015-11-03,39.69000,40.27000,39.58000,40.20000,34.83100,1.13%,17153098
2015-11-04,40.35000,40.57000,40.06000,40.48000,35.07300,0.70%,16863143
2015-11-05,40.16000,40.60000,40.15000,40.35000,34.96100,-0.32%,16358495
2015-11-06,40.32000,40.64000,40.13000,40.62000,35.19500,0.67%,16481502
2015-11-09,40.41000,40.50000,39.78000,40.10000,34.74400,-1.28%,14604873
2015-11-10,39.83000,40.17000,39.79000,39.92000,34.58800,-0.45%,11294021
2015-11-11,39.24000,39.60000,38.98000,39.04000,33.82600,-2.20%,18861512
2015-11-12,38.65000,39.10500,38.51000,38.63000,33.47000,-1.05%,14590012
2015-11-13,38.48000,38.60000,37.22000,37.30000,32.31800,-3.44%,23987129
2015-11-16,37.69000,38.39000,37.56000,38.12000,33.02800,2.20%,16740998
2015-11-17,38.23000,38.51500,37.97000,38.13000,33.03700,0.03%,14819972
2015-11-18,38.19000,38.73000,38.15000,38.70000,33.53100,1.49%,11958895
2015-11-19,38.67000,39.32000,38.62000,39.02000,33.80800,0.83%,12306010
2015-11-20,39.25000,39.57500,39.20000,39.34000,34.08600,0.82%,12023190
2015-11-23,39.44000,39.53000,39.05000,39.14000,33.91200,-0.51%,9111899
2015-11-24,38.78000,39.62000,38.78000,39.46000,34.18900,0.82%,13766246
2015-11-25,39.47000,39.60000,39.24500,39.26000,34.01600,-0.51%,8014997
2015-11-27,39.14000,39.34000,39.08000,39.18000,33.94700,-0.20%,6869874
2015-11-30,39.11000,39.29000,38.97000,38.97000,33.76500,-0.54%,18939685
2015-12-01,39.09000,39.27500,38.91000,39.23000,33.99000,0.67%,12718191
2015-12-02,39.15000,39.39000,38.65000,38.70000,33.53100,-1.35%,13694239
2015-12-03,38.96000,38.96000,37.75000,37.81000,32.76000,-2.30%,20322432
2015-12-04,38.02000,39.24000,37.87500,39.16000,33.93000,3.57%,18206591
2015-12-07,39.16000,39.24000,38.50000,38.82000,33.63500,-0.87%,13798471
2015-12-08,38.29000,38.87000,38.26000,38.73000,33.55700,-0.23%,15219174
2015-12-09,38.63000,39.35000,38.32500,38.58000,33.42700,-0.39%,17516146
2015-12-10,38.61000,38.82000,38.11000,38.19000,33.08900,-1.01%,18358278
2015-12-11,37.62000,37.85000,37.03500,37.21000,32.24000,-2.57%,20346816
2015-12-14,37.15000,37.68000,36.85000,37.65000,32.62100,1.18%,20134909
2015-12-15,38.10000,38.53000,37.95000,38.21000,33.10600,1.49%,19263508
2015-12-16,38.67000,39.14000,38.34500,38.91000,33.71300,1.83%,23463499
2015-12-17,38.09000,38.20000,36.54000,36.93000,31.99700,-5.09%,42879939
2015-12-18,36.89000,37.08000,36.31000,36.35000,31.49500,-1.57%,28648184
2015-12-21,36.72000,36.84000,36.10000,36.42000,31.55600,0.19%,15042213
2015-12-22,36.39000,36.71000,36.25000,36.59000,31.70300,0.47%,13924822
2015-12-23,36.66000,37.21500,36.65000,36.93000,31.99700,0.93%,12831771
