Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,51.31000,51.52000,51.10000,51.30000,37.91800,0.08%,2528067
2015-03-25,50.81000,50.95000,49.18000,49.20000,36.36500,-4.09%,3855582
2015-03-26,48.89000,49.32500,48.55000,49.01000,36.22500,-0.39%,2489295
2015-03-27,48.88000,49.65000,48.75500,49.55000,36.62400,1.10%,2184841
2015-03-30,49.72000,50.13000,49.67000,50.01000,36.96400,0.93%,1352506
2015-03-31,49.91000,50.06000,49.61000,49.61500,36.67200,-0.79%,1798879
2015-04-01,49.22000,49.55000,48.69100,49.49500,36.58300,-0.24%,2334593
2015-04-02,49.81000,49.81000,49.11000,49.25000,36.40200,-0.49%,1808790
2015-04-06,49.59000,49.67000,49.09000,49.21000,36.37300,-0.08%,2222658
2015-04-07,49.18000,49.40000,49.13000,49.14000,36.32100,-0.14%,1914800
2015-04-08,49.13000,49.55000,48.92000,49.34000,36.46900,0.41%,2128888
2015-04-09,49.41000,49.47000,48.79000,49.39000,36.50600,0.10%,1141650
2015-04-10,49.60000,49.61000,49.21000,49.28000,36.42500,-0.22%,1374899
2015-04-13,49.38000,49.58000,49.01000,49.06000,36.26200,-0.45%,1217724
2015-04-14,48.74000,49.18000,48.73000,48.90000,36.14400,-0.33%,929149
2015-04-15,48.96000,49.17000,48.80000,48.98000,36.20300,0.16%,1102246
2015-04-16,48.80000,49.19000,48.61000,49.04000,36.24700,0.12%,1198798
2015-04-17,48.72000,48.99000,48.00000,48.28000,35.68500,-1.55%,2139123
2015-04-20,48.53000,49.07000,48.33000,48.98000,36.20300,1.45%,1397695
2015-04-21,49.75000,49.80000,49.03000,49.06000,36.26200,0.16%,1509415
2015-04-22,49.25000,49.43000,48.79000,49.28000,36.42500,0.45%,1246949
2015-04-23,49.10000,49.71000,49.01000,49.51500,36.59800,0.48%,1105369
2015-04-24,49.51000,49.51000,48.58000,49.23000,36.38800,-0.58%,1320910
2015-04-27,49.34000,49.37500,48.90000,49.28000,36.42500,0.10%,1673230
2015-04-28,49.14000,49.33400,48.78000,49.27000,36.41700,-0.02%,1302638
2015-04-29,48.98000,49.12000,48.63000,48.83500,36.09600,-0.88%,1376253
2015-04-30,48.66000,48.95000,48.19000,48.39000,35.76700,-0.91%,1728512
2015-05-01,48.51000,48.99000,48.43000,48.85000,36.10700,0.95%,1837192
2015-05-04,48.95000,49.54000,48.87000,49.39000,36.50600,1.11%,3355527
2015-05-05,49.35000,49.35000,48.66000,49.09000,36.28400,-0.61%,2230098
2015-05-06,49.08000,49.32000,48.62000,49.00000,36.21800,-0.18%,2037481
2015-05-07,48.60000,49.04000,48.43800,48.80000,36.35100,-0.41%,1581317
2015-05-08,49.15000,49.56000,49.03000,49.13000,36.59600,0.68%,1454133
2015-05-11,49.00000,49.36000,48.91000,49.07000,36.55200,-0.12%,1605473
2015-05-12,48.95000,49.29000,48.54000,49.00500,36.50300,-0.13%,1823400
2015-05-13,49.15000,49.46000,48.88000,48.97000,36.47700,-0.07%,1114782
2015-05-14,49.26000,49.96000,49.23000,49.93000,37.19200,1.96%,1550571
2015-05-15,50.09000,50.19000,49.61000,49.78500,37.08400,-0.29%,1235194
2015-05-18,49.66000,50.26000,49.66000,50.12000,37.33400,0.67%,1620141
2015-05-19,50.12000,50.42000,49.87000,50.33000,37.49000,0.42%,1119149
2015-05-20,50.37000,50.68000,50.15000,50.28000,37.45300,-0.10%,1166992
2015-05-21,50.35000,50.40000,50.12000,50.26000,37.43800,-0.04%,1010790
2015-05-22,50.25000,50.38000,49.84000,49.86000,37.14000,-0.80%,1351574
2015-05-26,49.71000,49.85000,49.04000,49.31000,36.73100,-1.10%,1402576
2015-05-27,49.22000,49.85000,49.21000,49.72000,37.03600,0.83%,1317615
2015-05-28,49.66000,49.79000,49.41000,49.57500,36.92800,-0.29%,1122808
2015-05-29,49.41000,49.58000,49.04000,49.41000,36.80500,-0.33%,2042597
2015-06-01,49.58000,49.79000,49.09000,49.41000,36.80500,,1259332
2015-06-02,49.21000,49.47000,48.80000,49.16000,36.61900,-0.51%,3412931
2015-06-03,49.19000,49.32000,48.85000,49.00000,36.50000,-0.33%,2852441
2015-06-04,48.98000,49.14000,48.19000,48.19000,35.89600,-1.65%,2149593
2015-06-05,48.17000,48.60500,48.04000,48.43000,36.07500,0.50%,2455529
2015-06-08,48.31000,48.50000,48.02000,48.05500,35.79600,-0.77%,1207056
2015-06-09,48.08000,48.09000,47.64500,47.69000,35.52400,-0.76%,1965545
2015-06-10,47.87000,48.36000,47.79000,48.10000,35.82900,0.86%,1816780
2015-06-11,48.09000,48.43000,47.79000,48.25000,35.94100,0.31%,2313748
2015-06-12,47.94000,48.25000,47.89000,47.99500,35.75100,-0.53%,1587162
2015-06-15,47.74000,47.79000,47.18000,47.49000,35.37500,-1.05%,1701082
2015-06-16,47.27000,47.89000,47.14000,47.71000,35.53900,0.46%,1062238
2015-06-17,47.90000,48.03000,47.61000,47.79500,35.60200,0.18%,997022
2015-06-18,47.89000,48.41000,47.89000,48.24000,35.93300,0.93%,1803400
2015-06-19,48.25000,48.36000,48.00000,48.10000,35.82900,-0.29%,2446002
2015-06-22,48.35000,49.05500,48.31000,48.79000,36.34300,1.43%,1814740
2015-06-23,48.83000,48.87000,48.60000,48.80000,36.35100,0.02%,1240759
2015-06-24,48.64000,48.75000,48.08000,48.14500,35.86300,-1.34%,1346637
2015-06-25,48.19000,48.41000,48.03000,48.23000,35.92600,0.18%,1744848
2015-06-26,48.34000,48.51000,47.79000,47.99000,35.74700,-0.50%,1675225
2015-06-29,47.55000,47.76000,46.75000,46.79500,34.85700,-2.49%,2111304
2015-06-30,47.10000,47.47000,46.52100,46.88000,34.92000,0.18%,3013307
2015-07-01,46.00000,47.83000,44.38000,47.31000,35.24100,0.92%,4253230
2015-07-02,47.80000,48.19000,47.28000,47.64500,35.49000,0.71%,3003525
2015-07-06,47.49000,48.25000,47.39000,48.17000,35.88100,1.10%,3088364
2015-07-07,48.25000,48.45000,47.27600,48.01000,35.76200,-0.33%,2936802
2015-07-08,47.66000,47.91000,47.29000,47.32000,35.24800,-1.44%,2079424
2015-07-09,47.82000,48.13000,47.33000,47.43000,35.33000,0.23%,1923118
2015-07-10,47.95000,48.11000,47.56500,47.78000,35.59100,0.74%,1371778
2015-07-13,47.97000,48.44000,47.97000,48.39000,36.04500,1.28%,1553912
2015-07-14,48.37000,48.39000,48.02000,48.17000,35.88100,-0.45%,1271517
2015-07-15,48.23000,48.37300,47.68000,47.76000,35.57600,-0.85%,2484589
2015-07-16,47.68000,47.95000,47.35000,47.91000,35.68800,0.31%,2798216
2015-07-17,47.82000,47.82000,47.24000,47.45000,35.34500,-0.96%,2456018
2015-07-20,47.61000,47.63000,47.14000,47.30000,35.23300,-0.32%,2103170
2015-07-21,47.28000,47.38000,47.04000,47.27000,35.21100,-0.06%,1677025
2015-07-22,47.24000,47.55000,47.18000,47.27000,35.21100,,1234493
2015-07-23,47.23000,47.25000,46.59000,46.65000,34.74900,-1.31%,1636506
2015-07-24,46.53000,46.82000,46.03000,46.11000,34.34700,-1.16%,2246600
2015-07-27,46.00000,46.48000,45.34000,46.28000,34.47400,0.37%,2188782
2015-07-28,46.48000,46.63000,46.16000,46.61000,34.71900,0.71%,1439384
2015-07-29,46.55000,46.88000,46.28000,46.71000,34.79400,0.21%,2281886
2015-07-30,46.23000,46.57000,45.71000,46.23000,34.74900,-1.03%,2654008
2015-07-31,46.45000,46.51000,46.13000,46.40000,34.87700,0.37%,1961606
2015-08-03,46.16000,47.69500,45.94000,47.52000,35.71900,2.41%,4018792
2015-08-04,47.64000,48.40000,46.30000,47.69000,35.84700,0.36%,3880413
2015-08-05,48.00000,48.66000,47.85000,48.27000,36.28200,1.22%,2682040
2015-08-06,48.50000,48.50000,47.36000,47.56000,35.74900,-1.47%,2189237
2015-08-07,47.30000,47.67500,47.22000,47.62000,35.79400,0.13%,1774444
2015-08-10,47.87000,48.36000,47.87000,48.10000,36.15500,1.01%,1388749
2015-08-11,47.83000,48.28000,47.56000,47.88000,35.98900,-0.46%,2145930
2015-08-12,47.30000,47.97000,47.20000,47.81000,35.93700,-0.15%,1930822
2015-08-13,47.78000,48.33000,47.63000,48.13000,36.17700,0.67%,1807983
2015-08-14,48.27000,48.39000,48.00000,48.30000,36.30500,0.35%,1259830
2015-08-17,48.13000,48.41000,47.74000,48.37000,36.35800,0.14%,1609252
2015-08-18,48.23000,48.63000,48.22000,48.45000,36.41800,0.17%,1079325
2015-08-19,48.15000,48.45000,47.67000,48.01000,36.08700,-0.91%,1520198
2015-08-20,47.72000,47.97000,47.27000,47.30000,35.55300,-1.48%,1545616
2015-08-21,47.00000,47.23000,45.68000,45.69000,34.34300,-3.40%,2869877
2015-08-24,43.10000,44.86000,41.59000,43.99000,33.06500,-3.72%,5152063
2015-08-25,44.95000,44.95000,42.92000,42.92000,32.26100,-2.43%,5178835
2015-08-26,43.98000,44.66000,43.19000,44.62000,33.53900,3.96%,3443735
2015-08-27,45.04000,45.51000,44.50000,45.25000,34.01200,1.41%,2642014
2015-08-28,44.95000,45.37000,44.70000,44.95000,33.78700,-0.66%,2622308
2015-08-31,44.80000,45.06000,44.59000,44.66000,33.56900,-0.65%,2209458
2015-09-01,43.81000,44.26500,43.19000,43.46000,32.66700,-2.69%,2863894
2015-09-02,44.22000,44.49000,43.72000,44.49000,33.44100,2.37%,2000352
2015-09-03,44.56000,45.01000,44.53000,44.70000,33.59900,0.47%,1501182
2015-09-04,43.83000,44.55000,43.83000,44.31000,33.30600,-0.87%,1659014
2015-09-08,45.03000,45.60000,44.50000,45.58000,34.26100,2.87%,1866598
2015-09-09,45.94000,45.98000,45.23000,45.34000,34.08000,-0.53%,2292934
2015-09-10,45.21000,45.79000,45.13000,45.30000,34.05000,-0.09%,2434946
2015-09-11,45.16000,45.73000,45.03000,45.71000,34.35800,0.91%,1567052
2015-09-14,45.70000,45.71500,45.22500,45.31000,34.05800,-0.88%,1567736
2015-09-15,45.48000,46.15500,45.27500,45.97000,34.55400,1.46%,1972115
2015-09-16,45.88000,46.52000,45.72000,46.28000,34.78700,0.67%,1627482
2015-09-17,46.19000,47.05000,46.07000,46.69000,35.09500,0.89%,3175024
2015-09-18,46.14000,47.06000,46.03000,46.53000,34.97500,-0.34%,4849696
2015-09-21,46.70000,47.08000,46.43000,46.65000,35.06500,0.26%,1969688
2015-09-22,46.03000,46.39000,45.71000,46.03000,34.59900,-1.33%,2027301
2015-09-23,46.04000,46.61000,45.99000,46.39000,34.86900,0.78%,1501905
