Date,Open,High,Low,Close,Adj. Close,Change,Volume
2020-10-01,9.69000,10.10000,9.23000,9.46000,9.46000,-0.42%,124297587
2020-10-02,9.06000,9.28000,8.94000,9.20000,9.20000,-2.75%,55018343
2020-10-05,9.43000,9.49000,8.92000,9.03000,9.03000,-1.85%,36316878
2020-10-06,9.04000,10.18000,8.90000,9.90000,9.90000,9.63%,90864039
2020-10-07,10.04000,10.49000,9.99000,10.00000,10.00000,1.01%,54672419
2020-10-08,10.29000,10.40000,9.99000,10.00000,10.00000,,34989186
2020-10-09,10.13000,10.19000,9.89000,9.95000,9.95000,-0.50%,19653450
2020-10-12,10.04000,10.05000,9.66000,9.89000,9.89000,-0.60%,20623565
2020-10-13,9.88000,9.88000,9.41000,9.47000,9.47000,-4.25%,21847177
2020-10-14,9.60000,9.66000,9.29000,9.34000,9.34000,-1.37%,13785097
2020-10-15,9.27000,9.91000,9.18000,9.91000,9.91000,6.10%,12924093
2020-10-16,9.94000,9.95000,9.66000,9.71000,9.71000,-2.02%,11142464
2020-10-19,9.79000,9.82000,9.53000,9.57000,9.57000,-1.44%,9126352
2020-10-20,9.60000,9.66000,9.27000,9.27000,9.27000,-3.13%,11138223
2020-10-21,9.30000,9.48000,9.20000,9.20000,9.20000,-0.76%,9189978
2020-10-22,9.37000,9.75000,9.22000,9.68000,9.68000,5.22%,17928578
2020-10-23,9.71000,9.83000,9.47000,9.49000,9.49000,-1.96%,12618010
2020-10-26,9.72000,9.97000,9.60000,9.95000,9.95000,4.85%,23767344
2020-10-27,10.00000,11.04000,9.92000,10.95000,10.95000,10.05%,53695925
2020-10-28,10.66000,10.98500,10.10000,10.85000,10.85000,-0.91%,30941720
2020-10-29,10.90000,11.10000,10.56000,10.75000,10.75000,-0.92%,20515706
2020-10-30,10.61000,10.68000,9.85000,10.13000,10.13000,-5.77%,19728372
2020-11-02,10.23000,10.57000,10.23000,10.54000,10.54000,4.05%,11677845
2020-11-03,10.57000,10.94000,10.44000,10.50000,10.50000,-0.38%,21652807
2020-11-04,10.82000,10.92000,10.55000,10.72000,10.72000,2.10%,15783356
2020-11-05,10.90000,12.13000,10.85000,11.88000,11.88000,10.82%,48560380
2020-11-06,12.22000,14.96000,12.05000,13.83000,13.83000,16.41%,89977555
2020-11-09,14.96000,15.90000,14.11000,14.67000,14.67000,6.07%,60098963
2020-11-10,14.99000,15.01000,13.18000,14.00000,14.00000,-4.57%,38078742
2020-11-11,14.57000,15.97000,14.40000,15.96000,15.96000,14.00%,47027940
2020-11-12,16.66000,17.06000,14.41000,14.58000,14.58000,-8.65%,99287571
2020-11-13,14.49000,16.00000,14.49000,15.80000,15.80000,8.37%,76622565
2020-11-16,15.96000,16.10000,15.01000,15.93000,15.93000,0.82%,65325988
2020-11-17,16.29000,18.75000,16.18000,17.85000,17.85000,12.05%,116618543
2020-11-18,18.28000,19.25000,17.54000,17.90000,17.90000,0.28%,89957892
