Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,35.90000,36.14000,35.66000,35.79000,35.79000,-0.24%,1348948
2015-03-25,35.80000,36.00400,35.27000,35.35000,35.35000,-1.23%,1529288
2015-03-26,35.18000,36.05000,35.00000,35.75500,35.75500,1.15%,987498
2015-03-27,35.69000,36.13000,35.63000,36.05000,36.05000,0.83%,1593118
2015-03-30,36.35000,36.74400,36.05000,36.09000,36.09000,0.11%,802472
2015-03-31,35.95000,36.36000,35.79000,36.17000,36.17000,0.22%,852806
2015-04-01,36.13000,36.20000,35.72000,36.15000,36.15000,-0.06%,703155
2015-04-02,36.17000,36.56000,36.00000,36.51000,36.51000,1.00%,1076944
2015-04-06,36.38000,37.23700,36.08800,37.17000,37.17000,1.81%,845195
2015-04-07,37.45000,37.48000,36.89000,37.05000,37.05000,-0.32%,879514
2015-04-08,37.44000,37.78000,37.12000,37.57000,37.57000,1.40%,1697493
2015-04-09,37.89000,38.00000,37.43000,37.93500,37.93500,0.97%,513822
2015-04-10,37.87000,38.15000,37.71000,37.94000,37.94000,0.01%,542530
2015-04-13,38.04000,38.11000,37.08000,37.13500,37.13500,-2.12%,977832
2015-04-14,37.14000,37.34000,36.69000,37.04500,37.04500,-0.24%,921469
2015-04-15,38.69500,38.85500,36.97000,37.16000,37.16000,0.31%,500825
2015-04-16,37.03000,37.42000,36.92000,37.22500,37.22500,0.17%,397376
2015-04-17,36.92000,36.92000,36.34500,36.84000,36.84000,-1.03%,944410
2015-04-20,37.01000,37.44000,36.75000,36.76000,36.76000,-0.22%,458400
2015-04-21,37.00000,37.05000,36.74000,36.87000,36.87000,0.30%,366241
2015-04-22,37.05000,37.21500,36.64000,37.19000,37.19000,0.87%,305734
2015-04-23,37.04000,37.67000,36.90500,37.36000,37.36000,0.46%,411327
2015-04-24,37.52000,37.60000,37.04000,37.18000,37.18000,-0.48%,302897
2015-04-27,37.22000,37.48000,36.55000,36.73000,36.73000,-1.21%,800967
2015-04-28,36.65000,36.99000,36.43000,36.74000,36.74000,0.03%,758343
2015-04-29,36.67000,36.99000,36.54000,36.68000,36.68000,-0.16%,863882
2015-04-30,37.53000,38.40000,36.40000,38.34000,38.34000,4.53%,1886241
2015-05-01,38.38000,38.83000,37.90000,38.73000,38.73000,1.02%,1050261
2015-05-04,38.89000,38.89000,38.49500,38.60000,38.60000,-0.34%,785434
2015-05-05,38.40000,38.72000,38.02000,38.20500,38.20500,-1.02%,765709
2015-05-06,38.20000,38.43000,37.87000,38.07000,38.07000,-0.35%,945482
2015-05-07,38.08000,38.37000,37.84000,38.08000,38.08000,0.03%,652876
2015-05-08,38.38000,38.75000,38.21000,38.69000,38.69000,1.60%,409967
2015-05-11,38.71000,39.07000,38.47000,38.74000,38.74000,0.13%,722657
