Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,170.86000,172.24000,170.53000,171.81000,161.99100,0.18%,316569
2015-03-25,171.94000,172.72000,170.65000,170.65000,160.89800,-0.68%,514511
2015-03-26,170.47000,170.91000,169.81000,170.48000,160.73700,-0.10%,389291
2015-03-27,169.77000,172.11000,169.44000,171.41000,161.61400,0.55%,441676
2015-03-30,172.32000,174.19000,171.75000,174.02000,164.07500,1.52%,245995
2015-03-31,173.01000,173.60000,171.67000,172.00000,162.17100,-1.16%,446166
2015-04-01,171.41000,171.41000,168.92000,169.77000,160.06800,-1.30%,582626
2015-04-02,169.85000,172.65000,169.35000,171.38000,161.58600,0.95%,405333
2015-04-06,170.75000,172.91000,170.43000,172.13000,162.29300,0.44%,385479
2015-04-07,171.89000,172.84000,170.80000,170.95000,161.18100,-0.69%,277615
2015-04-08,170.91000,172.06000,169.50000,169.78000,160.31300,-0.68%,722646
2015-04-09,169.69000,170.69000,168.82000,170.49000,160.98400,0.42%,562329
2015-04-10,171.29000,171.45000,169.84000,170.31000,160.81400,-0.11%,312477
2015-04-13,170.61000,170.61000,168.93000,169.13000,159.69900,-0.69%,369997
2015-04-14,168.57000,169.78000,167.74000,169.62000,160.16200,0.29%,245366
2015-04-15,170.41000,171.56000,169.34000,171.22000,161.67300,0.94%,344242
2015-04-16,170.62000,171.44000,169.21000,170.65000,161.13500,-0.33%,276374
2015-04-17,169.53000,169.53000,166.01000,167.08000,157.76400,-2.09%,405900
2015-04-20,167.78000,169.58000,167.10000,169.09000,159.66200,1.20%,369573
2015-04-21,169.27000,169.64000,168.04000,168.24000,158.85900,-0.50%,536104
2015-04-22,168.23000,169.03000,165.95000,168.93000,159.51100,0.41%,594455
2015-04-23,168.29000,170.81500,167.44000,170.05000,160.56800,0.66%,554344
2015-04-24,169.94000,170.70000,168.01000,169.92000,160.44500,-0.08%,660540
2015-04-27,174.52000,176.41000,172.04200,172.55000,162.92900,1.55%,694017
2015-04-28,170.30000,172.94000,169.51000,172.93000,163.28800,0.22%,580445
2015-04-29,171.76000,172.87000,169.28000,171.15000,161.60700,-1.03%,433841
2015-04-30,170.41000,170.65000,167.88000,168.17000,158.79300,-1.74%,676804
2015-05-01,168.53000,170.14000,167.72000,169.51000,160.05800,0.80%,479193
2015-05-04,169.57000,171.08000,168.77000,170.40000,160.89900,0.53%,393751
2015-05-05,169.65000,170.85000,168.18000,168.24000,158.85900,-1.27%,323651
2015-05-06,169.13000,169.49000,166.85000,168.32000,158.93500,0.05%,507022
2015-05-07,167.59000,169.16000,166.77000,168.88000,159.46300,0.33%,379623
2015-05-08,170.76000,172.77000,169.92000,172.34000,162.73000,2.05%,561846
2015-05-11,171.58000,172.47500,171.08000,171.12000,161.57800,-0.71%,422006
2015-05-12,170.36000,172.65000,169.87000,172.43000,162.81500,0.77%,402360
