Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,3.66200,3.67900,3.52100,3.53600,3.53600,-3.49%,6736880
2015-03-25,3.53600,3.55300,3.32500,3.33200,3.33200,-5.77%,9167360
2015-03-26,3.23900,3.35200,3.20900,3.32000,3.32000,-0.36%,8509850
2015-03-27,3.30400,3.41200,3.30400,3.39100,3.39100,2.14%,4448200
2015-03-30,3.39200,3.45900,3.39100,3.41100,3.41100,0.59%,3755960
2015-03-31,3.39600,3.40300,3.31700,3.32100,3.32100,-2.64%,4100720
2015-04-01,3.31300,3.38000,3.26700,3.37200,3.37200,1.54%,3972430
2015-04-02,3.37600,3.43000,3.37600,3.40700,3.40700,1.04%,3656820
2015-04-06,3.38200,3.41800,3.34700,3.36700,3.36700,-1.17%,2504270
2015-04-07,3.37900,3.41400,3.34100,3.36700,3.36700,,2643100
2015-04-08,3.37300,3.47000,3.36900,3.42500,3.42500,1.72%,2882370
2015-04-09,3.43100,3.46000,3.36800,3.45400,3.45400,0.85%,3218830
2015-04-10,3.46000,3.54200,3.44200,3.51200,3.51200,1.68%,2793730
2015-04-13,3.53100,3.59300,3.52200,3.53200,3.53200,0.57%,3694460
2015-04-14,3.54100,3.57800,3.50800,3.54500,3.54500,0.37%,2570500
2015-04-15,3.55400,3.71900,3.54600,3.69500,3.69500,4.23%,7039320
2015-04-16,3.69600,3.79900,3.63900,3.77700,3.77700,2.22%,5301310
2015-04-17,3.73300,3.73300,3.64600,3.68100,3.68100,-2.54%,4553050
2015-04-20,3.69200,3.78600,3.68100,3.70600,3.70600,0.68%,5079260
2015-04-21,3.72000,3.75200,3.45600,3.48100,3.48100,-6.07%,18036160
2015-04-22,3.37500,3.40000,3.06300,3.19000,3.19000,-8.36%,40533750
2015-04-23,3.17200,3.18100,3.10800,3.12300,3.12300,-2.10%,7687190
2015-04-24,3.12100,3.15200,3.01600,3.04400,3.04400,-2.53%,8536440
2015-04-27,3.04300,3.14100,3.04000,3.07900,3.07900,1.15%,9740020
2015-04-28,3.06600,3.07500,2.95600,2.96800,2.96800,-3.61%,9545810
2015-04-29,2.94900,2.99800,2.88600,2.98400,2.98400,0.54%,10892150
2015-04-30,2.96700,3.00300,2.83400,2.87700,2.87700,-3.59%,7401010
2015-05-01,2.88300,2.95200,2.88000,2.92800,2.92800,1.77%,4685180
2015-05-04,2.93000,3.01700,2.92900,2.98400,2.98400,1.91%,5893700
2015-05-05,2.97800,3.00000,2.88700,2.91000,2.91000,-2.48%,5009400
2015-05-06,2.97200,3.05200,2.96800,2.98500,2.98500,2.58%,6743500
2015-05-07,2.98700,3.03800,2.96400,3.01000,3.01000,0.84%,5831880
2015-05-08,3.05000,3.14700,3.01100,3.09000,3.09000,2.66%,7647850
2015-05-11,3.09100,3.14300,3.07900,3.09300,3.09300,0.10%,4480240
2015-05-12,3.08800,3.15100,3.06300,3.11900,3.11900,0.84%,5366700
2015-05-13,3.12500,3.23500,3.12500,3.20000,3.20000,2.60%,7588690
2015-05-14,3.23200,3.33200,3.20000,3.32400,3.32400,3.87%,6940860
2015-05-15,3.32600,3.32800,3.26200,3.30900,3.30900,-0.45%,8102760
2015-05-18,3.30500,3.35300,3.26200,3.34800,3.34800,1.18%,8143910
2015-05-19,3.34800,3.34800,3.26100,3.28800,3.28800,-1.79%,8918270
2015-05-20,3.24500,3.33200,3.24400,3.30400,3.30400,0.49%,8117310
2015-05-21,3.29700,3.33100,3.26100,3.32600,3.32600,0.67%,3840870
2015-05-22,3.32000,3.38100,3.31500,3.36000,3.36000,1.02%,4211310
2015-05-26,3.33500,3.38600,3.31000,3.35100,3.35100,-0.27%,7550690
2015-05-27,3.34900,3.43500,3.33000,3.42000,3.42000,2.06%,6285160
2015-05-28,3.42200,3.44600,3.36300,3.37700,3.37700,-1.26%,4274740
2015-05-29,3.37400,3.39100,3.33000,3.34600,3.34600,-0.92%,6672210
2015-06-01,3.47400,3.55100,3.37500,3.52100,3.52100,5.23%,8925750
2015-06-02,3.50100,3.51500,3.45000,3.46000,3.46000,-1.73%,4995970
2015-06-03,3.46500,3.53700,3.44700,3.49600,3.49600,1.04%,3113470
2015-06-04,3.46000,3.49800,3.33200,3.35200,3.35200,-4.12%,11315750
2015-06-05,3.33800,3.38600,3.31300,3.36800,3.36800,0.48%,4230540
2015-06-08,3.35200,3.38000,3.31100,3.35400,3.35400,-0.42%,5184670
2015-06-09,3.36300,3.37900,3.32100,3.34400,3.34400,-0.30%,2893240
2015-06-10,3.35300,3.48100,3.35300,3.46500,3.46500,3.62%,5746580
2015-06-11,3.44700,3.52900,3.43600,3.47400,3.47400,0.26%,6701280
2015-06-12,3.45000,3.46700,3.38500,3.39300,3.39300,-2.33%,4931020
2015-06-15,3.42600,3.44700,3.28600,3.29200,3.29200,-2.98%,7650700
2015-06-16,3.28100,3.30800,3.20300,3.25700,3.25700,-1.06%,7239300
2015-06-17,3.25000,3.28800,3.22800,3.25200,3.25200,-0.15%,8306680
2015-06-18,3.26400,3.30400,3.25100,3.29400,3.29400,1.29%,5102650
2015-06-19,3.30300,3.33500,3.29300,3.32100,3.32100,0.82%,6853940
2015-06-22,3.33900,3.34300,3.27900,3.33100,3.33100,0.30%,4946410
2015-06-23,3.34200,3.34300,3.29700,3.33200,3.33200,0.03%,3237200
2015-06-24,3.33100,3.33100,3.26500,3.26700,3.26700,-1.95%,3776960
2015-06-25,3.28300,3.28300,3.15000,3.15600,3.15600,-3.40%,4249800
2015-06-26,3.14800,3.17700,3.02800,3.03900,3.03900,-3.71%,6502380
2015-06-29,3.00000,3.00800,2.93200,2.94100,2.94100,-3.22%,8491130
2015-06-30,2.97400,2.99300,2.93400,2.95800,2.95800,0.58%,4762080
2015-07-01,2.98000,3.03200,2.97700,3.02500,3.02500,2.27%,5303500
2015-07-02,3.02600,3.04700,2.89500,2.90200,2.90200,-4.07%,4260650
2015-07-06,2.85100,2.90000,2.78000,2.79800,2.79800,-3.58%,8018650
2015-07-07,2.80100,2.81000,2.67300,2.76100,2.76100,-1.32%,9481710
2015-07-08,2.75100,2.78400,2.70000,2.75500,2.75500,-0.22%,8024150
2015-07-09,2.76100,2.81100,2.52000,2.58100,2.58100,-6.32%,15633470
2015-07-10,2.60800,2.64300,2.54200,2.58500,2.58500,0.15%,5660440
2015-07-13,2.58700,2.61600,2.53600,2.54100,2.54100,-1.70%,5227070
2015-07-14,2.56400,2.61700,2.55100,2.60400,2.60400,2.48%,7139120
2015-07-15,2.61500,2.63100,2.49000,2.51700,2.51700,-3.34%,8451200
2015-07-16,2.54500,2.59300,2.50700,2.51900,2.51900,0.08%,8687450
2015-07-17,2.52900,2.53900,2.47000,2.51400,2.51400,-0.20%,6225470
2015-07-20,2.53000,2.53900,2.46900,2.49900,2.49900,-0.60%,4689100
2015-07-21,2.50600,2.53900,2.48100,2.50600,2.50600,0.28%,3975910
2015-07-22,2.50400,2.55500,2.47100,2.53900,2.53900,1.32%,4563990
2015-07-23,2.54500,2.64000,2.53000,2.57600,2.57600,1.46%,6180780
2015-07-24,2.56900,2.60300,2.51500,2.54500,2.54500,-1.20%,4855910
2015-07-27,2.52400,2.54200,2.48500,2.52000,2.52000,-0.98%,2272650
2015-07-28,2.54300,2.55000,2.45900,2.53300,2.53300,0.52%,5084250
2015-07-29,2.53500,2.59700,2.52700,2.57000,2.57000,1.46%,3038690
2015-07-30,2.55200,2.58200,2.51600,2.57700,2.57700,0.27%,2363950
2015-07-31,2.61500,2.70100,2.61500,2.66700,2.66700,3.49%,7408160
2015-08-03,2.65000,2.66100,2.57800,2.66100,2.66100,-0.22%,8159040
