Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,101.94000,102.71000,100.36000,101.46000,84.33200,-0.29%,3644486
2015-03-25,101.24000,101.46000,94.02000,95.57000,79.43700,-5.81%,10500008
2015-03-26,91.97000,93.47000,88.25000,93.04000,77.33400,-2.65%,13850746
2015-03-27,93.59000,99.53000,93.55000,98.83000,82.14600,6.22%,9735671
2015-03-30,100.09000,101.10000,99.11000,100.13000,83.22700,1.32%,4715410
2015-03-31,99.57000,100.59000,98.02000,98.29000,81.69700,-1.84%,3861148
2015-04-01,97.98000,98.30000,94.77000,96.84000,80.49200,-1.48%,4613291
2015-04-02,97.11000,97.64000,96.01000,96.51000,80.21800,-0.34%,3025664
2015-04-06,94.14000,96.12000,93.61000,95.47000,79.35300,-1.08%,3263793
2015-04-07,95.53000,97.70000,95.25000,96.78000,80.44200,1.37%,3088045
2015-04-08,96.65000,97.70000,96.08000,97.47000,81.01600,0.71%,2974678
2015-04-09,97.24000,99.94000,97.06000,99.84000,82.98600,2.43%,3253064
2015-04-10,99.87000,100.43000,98.80000,99.64000,82.81900,-0.20%,2127956
2015-04-13,99.50000,100.56600,98.38500,98.58000,81.93800,-1.06%,2450045
2015-04-14,98.24000,98.47000,94.57000,95.64000,79.49500,-2.98%,4966499
2015-04-15,96.70000,97.39000,95.52500,96.23000,79.98500,0.62%,3041336
2015-04-16,95.55000,96.39000,95.06000,95.68000,79.52800,-0.57%,2606784
2015-04-17,94.76000,94.90000,93.25000,94.28000,78.36400,-1.46%,3517314
2015-04-20,94.99000,96.00000,94.61000,94.93000,78.90500,0.69%,2304906
2015-04-21,96.05000,96.29000,94.91000,95.42000,79.31200,0.52%,2075708
2015-04-22,95.79000,96.99000,94.80000,96.83000,80.48400,1.48%,2454282
2015-04-23,95.46000,96.45000,95.10000,95.81500,79.64000,-1.05%,1914006
2015-04-24,95.74000,95.80500,92.10000,93.38500,77.62000,-2.54%,4133853
2015-04-27,93.81000,96.22000,93.55000,94.55000,78.58900,1.25%,3831298
2015-04-28,95.28000,95.49000,90.68000,94.54500,78.58500,-0.01%,4526161
2015-04-29,93.26000,94.21000,92.30000,93.59000,77.79100,-1.01%,3534536
2015-04-30,94.15000,94.75000,91.34000,92.25000,76.67700,-1.43%,5306384
2015-05-01,95.87000,98.33000,94.20000,98.29500,81.70200,6.55%,7376272
2015-05-04,98.94000,99.47000,97.57000,99.11000,82.37900,0.83%,4707802
2015-05-05,98.49000,98.74000,94.62000,94.63000,78.65500,-4.52%,4777723
2015-05-06,95.19000,95.49000,92.33000,94.57000,78.60500,-0.06%,4255068
2015-05-07,96.00000,97.35000,95.93000,97.07000,80.68300,2.64%,3199379
2015-05-08,97.87000,98.49500,97.41000,97.71000,81.21500,0.66%,3028125
2015-05-11,97.74000,97.74000,96.31000,97.16000,80.75800,-0.56%,2035065
2015-05-12,96.33000,97.40000,95.91000,96.79000,80.55900,-0.38%,2022210
2015-05-13,97.05000,97.99000,96.49000,96.65000,80.44200,-0.14%,1618139
2015-05-14,97.46000,98.90000,96.97000,98.48000,81.96500,1.89%,2222509
2015-05-15,98.71000,99.00000,97.31000,97.56000,81.20000,-0.93%,2019718
2015-05-18,97.83000,103.75000,97.67000,103.03000,85.75200,5.61%,6081111
2015-05-19,103.75000,105.99000,103.32000,103.99000,86.55100,0.93%,5683165
2015-05-20,104.55000,105.15000,103.13000,103.73500,86.33900,-0.25%,2683905
2015-05-21,104.43000,104.49000,102.75000,103.89000,86.46800,0.15%,1947029
2015-05-22,104.15000,106.83000,104.15000,104.69000,87.13400,0.77%,2966789
2015-05-26,104.70000,104.77000,102.96000,103.72000,86.32700,-0.93%,2204121
2015-05-27,104.06000,108.71000,104.06000,108.63000,90.41300,4.73%,4782231
2015-05-28,108.59000,110.39100,106.95000,107.65000,89.59700,-0.90%,3731997
2015-05-29,108.57000,109.86000,107.72100,109.36000,91.02100,1.59%,3632602
2015-06-01,110.38000,111.60000,109.18000,109.45000,91.09600,0.08%,2943457
2015-06-02,109.55000,109.57000,107.65000,108.12000,89.98900,-1.22%,2338013
2015-06-03,108.46000,108.90000,105.34000,105.39000,87.71600,-2.52%,3723405
2015-06-04,104.43000,106.95000,103.61000,105.62000,87.90800,0.22%,3655095
2015-06-05,105.01000,106.09000,103.67000,105.74000,88.00800,0.11%,3529559
2015-06-08,106.54000,106.75000,102.20000,102.32000,85.16100,-3.23%,3547969
2015-06-09,101.58000,102.74000,98.07000,102.24000,85.09500,-0.08%,6186667
2015-06-10,103.44000,105.97000,103.28000,105.54000,87.84100,3.23%,3554150
2015-06-11,105.85000,106.54000,104.93000,105.63000,87.91600,0.09%,2529083
2015-06-12,104.49000,105.71000,103.98000,104.95000,87.35000,-0.64%,1672193
2015-06-15,104.04000,106.28000,102.84000,106.11000,88.31600,1.11%,2465791
2015-06-16,105.59000,107.00000,105.25000,106.33000,88.49900,0.21%,1899506
2015-06-17,106.34000,107.03000,105.55500,106.57000,88.69900,0.23%,1943413
2015-06-18,107.07000,110.21000,107.07000,109.98000,91.53700,3.20%,3606496
2015-06-19,110.76500,112.88000,109.43000,110.20000,91.72000,0.20%,4114289
2015-06-22,110.72000,112.23000,109.54000,110.92000,92.31900,0.65%,2253908
2015-06-23,111.52000,111.60000,109.03000,110.28000,91.78600,-0.58%,1886429
2015-06-24,108.60000,109.73000,108.07000,108.40000,90.22200,-1.70%,1982113
2015-06-25,109.09000,110.89500,108.55100,109.87000,91.44500,1.36%,1923225
2015-06-26,109.50000,109.65000,106.13000,106.90000,88.97300,-2.70%,4270663
2015-06-29,102.89000,105.80000,100.33000,102.03500,84.92400,-4.55%,6050466
2015-06-30,104.13000,105.10000,102.60000,104.10000,86.64300,2.02%,3931240
2015-07-01,106.00000,106.74000,103.60000,103.91000,86.48500,-0.18%,2395248
2015-07-02,104.68000,105.00000,103.42000,104.85000,87.26700,0.90%,1805596
2015-07-06,103.13000,104.15000,101.25000,101.94000,84.84500,-2.78%,2944653
2015-07-07,101.34000,101.43000,94.21000,100.49000,83.63800,-1.42%,8426431
2015-07-08,97.40000,98.48000,94.70000,95.60000,79.56800,-4.87%,7241886
2015-07-09,98.16000,98.66000,93.27000,94.51000,78.66100,-1.14%,6788789
2015-07-10,97.05000,101.05000,96.51000,100.20000,83.39700,6.02%,5566393
2015-07-13,102.93000,103.00000,99.56400,100.49000,83.63800,0.29%,4039731
2015-07-14,101.18000,102.40000,100.13000,102.03000,84.92000,1.53%,2451058
2015-07-15,102.26000,102.37000,100.29000,100.90000,83.97900,-1.11%,1934583
2015-07-16,101.48000,102.53000,100.11000,102.37000,85.20300,1.46%,2381550
2015-07-17,102.90000,103.32000,101.50000,102.91000,85.65200,0.53%,2310056
2015-07-20,104.19000,105.41000,102.98000,103.14000,85.84400,0.22%,3133802
2015-07-21,103.13000,104.14000,102.07000,103.97000,86.53500,0.80%,2551790
2015-07-22,97.47000,100.13000,96.00000,99.64000,82.93100,-4.16%,6546728
2015-07-23,102.49000,105.00000,100.50000,103.12000,85.82700,3.49%,5896534
2015-07-24,106.43000,106.50000,97.44000,97.71000,81.32400,-5.25%,10488695
2015-07-27,96.10000,96.30000,92.26000,93.49000,77.81200,-4.32%,6172730
2015-07-28,94.82000,96.53000,93.21000,95.68000,79.63500,2.34%,3631263
2015-07-29,95.74000,96.10000,93.65000,95.19000,79.22700,-0.51%,3355421
2015-07-30,95.19000,97.05000,93.56000,96.76000,80.53400,1.65%,4306320
2015-07-31,96.83000,97.21500,95.18000,95.67000,79.62600,-1.13%,7096726
2015-08-03,95.17000,95.75000,91.63000,92.78000,77.22100,-3.02%,5236206
2015-08-04,90.89000,91.00000,85.07000,88.69000,74.03300,-4.41%,12171326
2015-08-05,86.63000,90.57000,86.63000,88.96000,74.25900,0.30%,4721323
2015-08-06,89.99000,89.99000,84.33000,85.98000,71.77100,-3.35%,6850733
2015-08-07,85.25000,88.40000,85.01000,88.36000,73.75800,2.77%,5157998
2015-08-10,89.90000,91.45000,88.58100,91.03000,75.98700,3.02%,4561492
2015-08-11,88.53000,91.14000,87.68000,88.97000,74.26700,-2.26%,4769907
2015-08-12,86.88000,90.59000,86.50000,89.90000,75.04300,1.05%,4220432
2015-08-13,90.12000,91.53000,89.42000,89.64000,74.82600,-0.29%,2666155
2015-08-14,89.04000,89.37800,87.60000,89.10000,74.37600,-0.60%,2824967
2015-08-17,88.59000,91.00000,88.15500,90.93000,75.90300,2.05%,2577166
2015-08-18,90.80000,90.90000,85.15000,85.70000,71.53800,-5.75%,5824293
2015-08-19,86.54000,88.22000,85.35000,87.23000,72.81500,1.79%,5614964
2015-08-20,85.89000,86.88000,82.42000,82.44000,68.81600,-5.49%,5447557
2015-08-21,80.17000,82.00000,78.22000,79.07000,66.00300,-4.09%,7272181
2015-08-24,71.01000,84.80000,70.80000,80.51000,67.20500,1.82%,12093517
