Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,25.75000,25.77000,25.57000,25.61000,25.61000,-0.60%,596546
2015-03-25,25.60000,25.61000,24.71000,24.72000,24.72000,-3.48%,1190711
2015-03-26,24.64000,24.74000,24.37000,24.42000,24.42000,-1.21%,1168278
2015-03-27,24.45000,24.45000,24.18000,24.25000,24.25000,-0.70%,893592
2015-03-30,24.40000,24.60000,24.23000,24.45000,24.45000,0.82%,1546389
2015-03-31,24.37000,25.25000,24.32000,25.20000,25.20000,3.07%,1671289
2015-04-01,25.18000,25.18000,24.57000,24.71000,24.71000,-1.94%,1151984
2015-04-02,24.68000,25.00000,24.58000,24.68000,24.68000,-0.12%,809195
2015-04-06,24.55000,24.90000,24.39800,24.75500,24.75500,0.30%,1522406
2015-04-07,24.76000,25.02000,24.57000,24.70000,24.70000,-0.22%,1623801
2015-04-08,24.75000,24.91300,24.40500,24.51000,24.51000,-0.77%,1470129
2015-04-09,24.54000,25.41000,24.54000,25.39000,25.39000,3.59%,1490526
2015-04-10,25.45000,25.77000,25.24400,25.76000,25.76000,1.46%,1029489
2015-04-13,25.67000,25.80000,25.47000,25.48000,25.48000,-1.09%,645602
2015-04-14,25.45000,25.49000,25.04000,25.20000,25.20000,-1.10%,1040094
2015-04-15,25.32000,26.13000,25.22200,25.92000,25.92000,2.86%,1160247
2015-04-16,25.89000,25.89000,25.57000,25.64000,25.64000,-1.08%,951986
2015-04-17,25.41000,25.55000,24.93000,25.02000,25.02000,-2.42%,760132
2015-04-20,25.19000,25.64000,25.19000,25.52000,25.52000,2.00%,639797
2015-04-21,25.67000,25.70000,25.21000,25.57500,25.57500,0.22%,660298
2015-04-22,25.55000,25.80500,25.31000,25.72500,25.72500,0.59%,622171
2015-04-23,25.56000,25.81000,25.37200,25.72000,25.72000,-0.02%,523536
2015-04-24,25.82000,25.97000,25.33000,25.38000,25.38000,-1.32%,502237
2015-04-27,25.42000,25.82000,25.32000,25.80000,25.80000,1.65%,1531886
2015-04-28,25.80000,25.80000,24.93000,25.11000,25.11000,-2.67%,1409260
2015-04-29,24.91000,25.88000,24.90000,25.58000,25.58000,1.87%,1174602
2015-04-30,25.47000,25.87000,25.10000,25.43000,25.43000,-0.59%,1743389
2015-05-01,24.77000,26.36000,24.52100,26.26000,26.26000,3.26%,3680339
2015-05-04,26.19000,26.25000,25.54000,25.62000,25.62000,-2.44%,1845848
2015-05-05,25.49000,25.89000,25.32000,25.39000,25.39000,-0.90%,1514483
2015-05-06,25.49000,25.56000,25.14000,25.34000,25.34000,-0.20%,1692875
2015-05-07,25.13000,25.41000,25.13000,25.29000,25.29000,-0.20%,2055462
2015-05-08,25.57000,25.82000,25.46000,25.49000,25.49000,0.79%,1043972
2015-05-11,25.52000,25.72000,25.34000,25.50000,25.50000,0.04%,983969
2015-05-12,25.48000,25.48000,25.00000,25.04000,25.04000,-1.80%,986301
2015-05-13,25.03000,25.26000,24.77000,24.79000,24.79000,-1.00%,1495159
2015-05-14,24.84000,25.21000,24.76000,25.18000,25.18000,1.57%,1786951
2015-05-15,25.20000,25.33000,24.87000,24.91000,24.91000,-1.07%,1257817
2015-05-18,24.85000,25.02000,24.61000,24.79000,24.79000,-0.48%,1411980
2015-05-19,24.82000,24.86000,24.24000,24.42000,24.42000,-1.49%,2342937
2015-05-20,24.40000,24.50000,24.18000,24.26000,24.26000,-0.66%,2381478
2015-05-21,24.26000,24.46000,24.02000,24.10000,24.10000,-0.66%,1614404
2015-05-22,24.10000,24.37000,24.01000,24.25000,24.25000,0.62%,1043106
2015-05-26,24.16000,24.40000,23.78000,23.82000,23.82000,-1.77%,1312279
2015-05-27,23.91000,24.02000,23.68000,23.85000,23.85000,0.13%,1589234
2015-05-28,23.85000,24.04000,23.56000,23.82500,23.82500,-0.10%,1944504
2015-05-29,23.80000,23.80000,23.36000,23.44000,23.44000,-1.62%,3912251
2015-06-01,23.48000,23.63000,23.28000,23.45000,23.45000,0.04%,1886549
2015-06-02,23.37000,23.71000,23.37000,23.60000,23.60000,0.64%,1785725
2015-06-03,23.60000,23.93000,23.60000,23.84000,23.84000,1.02%,1931814
2015-06-04,23.69000,23.83000,23.19000,23.19000,23.19000,-2.73%,1399781
2015-06-05,23.20000,23.38000,22.96000,23.24000,23.24000,0.22%,1028482
2015-06-08,23.19000,23.33000,22.51000,23.17000,23.17000,-0.30%,1226788
2015-06-09,23.16000,23.31000,22.99000,23.01000,23.01000,-0.69%,695041
2015-06-10,23.10000,23.29500,22.99000,23.17000,23.17000,0.70%,1338763
2015-06-11,23.27000,23.27000,22.97000,23.10000,23.10000,-0.30%,1907594
2015-06-12,22.98000,23.12000,22.85000,22.96000,22.96000,-0.61%,1198199
2015-06-15,22.84000,22.88500,22.28000,22.79000,22.79000,-0.74%,1494973
2015-06-16,22.72000,23.18000,22.50000,23.01000,23.01000,0.97%,3825259
2015-06-17,23.04000,23.27000,22.71000,22.92000,22.92000,-0.39%,1851932
2015-06-18,22.96000,23.52000,22.79000,23.49000,23.49000,2.49%,2286006
2015-06-19,23.54000,23.60000,23.33000,23.57500,23.57500,0.36%,2326545
2015-06-22,23.76000,23.76000,23.47000,23.64000,23.64000,0.28%,1185993
2015-06-23,23.68000,23.81000,23.49000,23.66000,23.66000,0.08%,1164369
2015-06-24,23.59000,23.69000,23.33000,23.43000,23.43000,-0.97%,1543797
2015-06-25,23.45000,23.49400,23.17500,23.33000,23.33000,-0.43%,1318347
2015-06-26,23.35000,23.59000,23.22000,23.48000,23.48000,0.64%,6014929
2015-06-29,23.26000,23.49000,22.93000,23.01000,23.01000,-2.00%,1859295
2015-06-30,23.20000,23.48000,23.03000,23.46000,23.46000,1.96%,2557453
2015-07-01,23.59000,23.64000,23.10000,23.47000,23.47000,0.04%,3144276
2015-07-02,23.81000,24.47000,23.47000,23.62000,23.62000,0.64%,1630389
2015-07-06,23.40000,23.82000,23.28000,23.53000,23.53000,-0.38%,1647876
2015-07-07,23.47000,23.53000,22.95000,23.39000,23.39000,-0.59%,1506345
2015-07-08,23.18000,23.28000,22.99000,23.16000,23.16000,-0.98%,1629331
2015-07-09,23.37000,23.48000,22.91000,22.91000,22.91000,-1.08%,1381117
2015-07-10,23.08000,23.23800,22.87000,23.06000,23.06000,0.65%,891716
2015-07-13,23.14000,23.64000,23.12000,23.61000,23.61000,2.39%,1025281
2015-07-14,23.61000,23.81500,23.48000,23.75000,23.75000,0.59%,937320
2015-07-15,23.79000,23.89000,23.46000,23.55000,23.55000,-0.84%,882702
2015-07-16,23.61000,23.76000,23.46000,23.54000,23.54000,-0.04%,938497
2015-07-17,23.62000,23.71000,23.43000,23.59000,23.59000,0.21%,1025770
2015-07-20,23.59000,23.91000,23.54000,23.89000,23.89000,1.27%,1251770
2015-07-21,23.85000,23.91000,23.58500,23.64000,23.64000,-1.05%,1076123
2015-07-22,23.41000,23.94000,23.32000,23.61000,23.61000,-0.13%,729190
2015-07-23,23.58000,23.84000,23.50000,23.73000,23.73000,0.51%,926474
2015-07-24,23.61000,23.72000,23.08000,23.10000,23.10000,-2.65%,1090421
2015-07-27,22.96000,22.96000,22.59000,22.65000,22.65000,-1.95%,1079488
2015-07-28,22.80000,22.87500,22.49000,22.79000,22.79000,0.62%,1305227
2015-07-29,22.75000,23.14000,22.64000,22.87000,22.87000,0.35%,1442405
2015-07-30,22.79000,23.41000,22.71000,23.31000,23.31000,1.92%,1189199
2015-07-31,23.34000,23.35000,23.06000,23.10000,23.10000,-0.90%,948206
2015-08-03,23.08000,23.21000,22.70000,22.83000,22.83000,-1.17%,1046885
2015-08-04,22.79000,23.15000,22.63000,22.85000,22.85000,0.09%,1058378
2015-08-05,19.75000,20.41000,19.04500,19.18000,19.18000,-16.06%,7413666
2015-08-06,19.18000,19.59000,19.01000,19.52000,19.52000,1.77%,4045201
2015-08-07,19.47000,19.80000,19.44000,19.70000,19.70000,0.92%,3182269
