Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,58.79000,59.02000,58.41000,58.44000,44.59900,-0.38%,3665738
2015-03-25,58.41000,58.60000,55.73000,55.73000,42.53100,-4.64%,11203979
2015-03-26,55.09000,56.25000,54.62000,55.80000,42.58500,0.13%,6830785
2015-03-27,55.77000,57.17500,55.56000,56.76000,43.31700,1.72%,5144252
2015-03-30,57.10000,58.12000,56.84000,58.00000,44.26400,2.18%,5336098
2015-03-31,57.74000,57.91000,57.08000,57.18500,43.64200,-1.41%,4905280
2015-04-01,57.05000,57.23000,56.23000,56.53500,43.14600,-1.14%,5322936
2015-04-02,56.68000,57.20000,56.42000,56.72000,43.28700,0.33%,3545900
2015-04-06,56.19000,57.15000,55.86000,56.81000,43.35600,0.16%,3120491
2015-04-07,56.69000,57.43000,56.57000,56.94000,43.45500,0.23%,3259624
2015-04-08,56.80000,57.29000,56.56000,56.97000,43.47800,0.05%,4142189
2015-04-09,56.72000,57.84000,56.53000,57.78000,44.09600,1.42%,4362186
2015-04-10,57.83000,57.85000,57.54000,57.70000,44.03500,-0.14%,3410804
2015-04-13,57.82000,57.99000,57.19000,57.20500,43.65700,-0.86%,3004448
2015-04-14,57.15000,57.41000,56.58000,56.75000,43.31000,-0.80%,3875078
2015-04-15,57.11000,58.69000,56.99000,58.50000,44.64500,3.08%,6654631
2015-04-16,58.14000,58.57500,58.08000,58.41000,44.57700,-0.15%,4058777
2015-04-17,57.84000,58.20000,57.20000,57.33000,43.75200,-1.85%,5231157
2015-04-20,57.60000,58.53000,57.60000,58.17000,44.39300,1.47%,3220401
2015-04-21,58.87000,58.87000,58.03000,58.16000,44.38600,-0.02%,2853693
2015-04-22,58.54000,58.86000,57.97000,58.73000,44.82100,0.98%,4473476
2015-04-23,54.30000,54.93000,53.93000,54.72000,41.76100,-6.83%,22987496
2015-04-24,54.68000,54.83000,54.13000,54.73000,41.76800,0.02%,10533630
2015-04-27,55.32000,56.30000,55.09000,55.56000,42.40200,1.52%,8397286
2015-04-28,55.31000,55.52000,54.64000,55.09000,42.30200,-0.85%,6730280
2015-04-29,54.67000,55.32000,54.37000,55.02000,42.24900,-0.13%,5276336
2015-04-30,54.91000,55.15000,53.92000,54.21000,41.62700,-1.47%,6756944
2015-05-01,54.71000,55.43000,54.42000,55.31000,42.47100,2.03%,5726716
2015-05-04,55.30000,55.61000,55.01000,55.29500,42.46000,-0.03%,4061568
2015-05-05,54.97000,55.03000,53.85400,54.01000,41.47300,-2.32%,7970070
2015-05-06,54.13000,54.55000,53.34000,53.70000,41.23500,-0.57%,7737305
2015-05-07,53.97000,54.40000,53.82000,54.06000,41.51100,0.67%,5846585
2015-05-08,54.50000,55.17000,54.34000,54.70000,42.00300,1.18%,4814557
2015-05-11,54.62000,54.75000,54.31000,54.44000,41.80300,-0.48%,4204433
2015-05-12,54.20000,54.58700,53.74500,54.16500,41.59200,-0.51%,4315521
2015-05-13,54.16000,54.96000,54.13000,54.69000,41.99500,0.97%,4332585
2015-05-14,55.12000,55.86000,55.00000,55.60500,42.69800,1.67%,4109316
2015-05-15,55.90000,56.00000,55.27000,55.61000,42.70200,0.01%,4165318
2015-05-18,55.51000,55.90000,55.28100,55.79000,42.84000,0.32%,3861286
2015-05-19,55.89000,56.13000,55.56500,55.78000,42.83200,-0.02%,4848455
2015-05-20,55.81000,56.27000,55.56000,55.63000,42.71700,-0.27%,4179316
2015-05-21,55.51000,56.00000,55.26000,55.50000,42.61700,-0.23%,4260836
2015-05-22,55.23000,55.60000,55.23000,55.36500,42.51400,-0.24%,5419800
2015-05-26,55.25000,55.25000,54.20000,54.56000,41.89500,-1.45%,5311997
