Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,65.99000,66.81000,65.70000,66.29000,66.29000,0.45%,950045
2015-03-25,66.22000,66.50000,65.08000,65.13000,65.13000,-1.75%,1274649
2015-03-26,64.80000,65.37000,64.16000,64.92000,64.92000,-0.32%,923793
2015-03-27,65.22000,66.78000,64.92000,66.29500,66.29500,2.12%,1138301
2015-03-30,66.55000,67.03000,66.34000,66.99000,66.99000,1.05%,716061
2015-03-31,66.80000,67.50000,66.30000,66.97000,66.97000,-0.03%,916120
2015-04-01,66.69000,67.17000,66.02000,66.57000,66.57000,-0.60%,787412
2015-04-02,66.67000,66.85000,66.25000,66.69000,66.69000,0.18%,1206751
2015-04-06,66.12000,67.10000,65.67000,66.60000,66.60000,-0.13%,714765
2015-04-07,66.50000,67.13000,66.20000,66.52000,66.52000,-0.12%,590320
2015-04-08,66.43000,67.24000,66.26000,67.23000,67.23000,1.07%,1653118
2015-04-09,67.18000,67.79000,66.71000,67.52000,67.52000,0.43%,471650
2015-04-10,67.61000,67.93000,67.18200,67.75000,67.75000,0.34%,645119
2015-04-13,67.69000,67.96000,67.45000,67.51500,67.51500,-0.35%,781698
2015-04-14,67.39000,67.92000,66.86000,67.58000,67.58000,0.10%,4183980
2015-04-15,68.01000,68.23000,67.43000,67.70000,67.70000,0.18%,959755
2015-04-16,67.60000,67.89000,67.25000,67.87000,67.87000,0.25%,591752
2015-04-17,67.36000,67.58000,65.79000,66.05500,66.05500,-2.67%,1045994
2015-04-20,66.31000,66.64000,66.24000,66.49000,66.49000,0.66%,1056428
2015-04-21,66.94000,67.17000,66.45000,67.06000,67.06000,0.86%,1231640
2015-04-22,67.62000,67.66000,66.60000,67.23000,67.23000,0.25%,543392
2015-04-23,67.20000,68.25000,67.03000,67.73000,67.73000,0.74%,1027703
2015-04-24,65.02000,66.63000,62.62000,65.04000,65.04000,-3.97%,4066928
2015-04-27,65.08000,65.44000,64.27000,64.42000,64.42000,-0.95%,937102
2015-04-28,64.47000,65.11000,64.19000,64.71000,64.71000,0.45%,776743
2015-04-29,64.19000,64.81000,63.91000,64.14000,64.14000,-0.88%,823811
2015-04-30,63.68000,64.44000,63.13000,63.51000,63.51000,-0.98%,1326770
2015-05-01,63.90000,64.31000,63.53000,64.15000,64.15000,1.01%,1087275
2015-05-04,64.15000,64.89000,64.09000,64.42000,64.42000,0.42%,974720
2015-05-05,64.09000,64.37000,62.67500,62.85000,62.85000,-2.44%,1809776
2015-05-06,63.08000,63.71000,62.72000,63.34000,63.34000,0.78%,1048703
2015-05-07,63.47000,64.19000,63.30000,63.56000,63.56000,0.35%,803192
2015-05-08,64.14000,64.43000,63.85000,63.90000,63.90000,0.53%,987681
2015-05-11,63.96000,64.49000,63.57500,63.60000,63.60000,-0.47%,1247706
2015-05-12,63.11000,63.92000,62.85000,63.67000,63.67000,0.11%,673964
2015-05-13,63.68000,64.22000,63.46000,63.85000,63.85000,0.28%,641535
2015-05-14,64.36000,64.40000,63.95000,64.12000,64.12000,0.42%,1306721
2015-05-15,64.25000,64.71000,63.60000,64.09000,64.09000,-0.05%,887976
2015-05-18,63.93000,64.74000,63.87000,64.57000,64.57000,0.75%,596939
2015-05-19,64.61000,64.84000,64.14000,64.31000,64.31000,-0.40%,548668
2015-05-20,64.28000,64.67000,63.95000,64.24000,64.24000,-0.11%,464758
2015-05-21,64.09000,64.60000,64.05000,64.51000,64.51000,0.42%,594297
2015-05-22,64.57000,64.73000,64.23000,64.52000,64.52000,0.02%,587426
2015-05-26,64.45000,64.52000,63.42000,63.51000,63.51000,-1.57%,831993
2015-05-27,63.51000,64.61000,63.23000,64.48000,64.48000,1.53%,1489897
2015-05-28,64.15000,64.60000,63.63000,63.66000,63.66000,-1.27%,1001136
2015-05-29,63.66000,64.17000,63.02000,63.19000,63.19000,-0.74%,1514386
2015-06-01,63.62000,63.81000,62.77000,63.26000,63.26000,0.11%,683045
2015-06-02,62.95000,63.19000,61.76000,62.31000,62.31000,-1.50%,1147302
2015-06-03,62.43000,63.27000,62.17000,62.98000,62.98000,1.08%,987766
2015-06-04,62.75000,63.59000,62.65000,62.72000,62.72000,-0.41%,947537
2015-06-05,62.76000,63.08000,62.47000,62.65000,62.65000,-0.11%,601145
2015-06-08,62.72000,62.78000,61.99000,62.01000,62.01000,-1.02%,626834
2015-06-09,61.92000,62.28000,61.50000,61.54000,61.54000,-0.76%,646917
2015-06-10,61.90000,63.22500,61.64000,62.81000,62.81000,2.06%,912333
2015-06-11,62.97000,63.78000,62.75000,63.10000,63.10000,0.46%,1358579
2015-06-12,63.08000,63.40000,62.81000,62.95000,62.95000,-0.24%,416943
2015-06-15,62.52000,62.60000,61.89000,62.50000,62.50000,-0.71%,474992
2015-06-16,62.20000,63.14000,62.20000,63.01000,63.01000,0.82%,516900
2015-06-17,63.30000,63.92000,62.82000,63.47000,63.47000,0.73%,668705
2015-06-18,63.74000,64.66000,63.67000,64.63000,64.63000,1.83%,1086836
2015-06-19,64.45000,64.68800,63.89000,64.19000,64.19000,-0.68%,1805727
2015-06-22,64.64000,64.88000,64.12000,64.39000,64.39000,0.31%,651845
2015-06-23,64.52000,64.52000,63.74000,64.16500,64.16500,-0.35%,591173
2015-06-24,64.09000,64.09000,63.28000,63.33000,63.33000,-1.30%,652425
2015-06-25,63.51000,63.70000,63.13000,63.28000,63.28000,-0.08%,432429
2015-06-26,63.39000,63.54000,62.65000,62.95000,62.95000,-0.52%,800004
2015-06-29,62.50000,62.72000,61.31000,61.38000,61.38000,-2.49%,648790
2015-06-30,61.97000,62.13000,61.51000,61.72000,61.72000,0.55%,1015929
2015-07-01,62.39000,63.38000,62.29000,63.30000,63.30000,2.56%,1093136
2015-07-02,63.32000,63.66000,62.49000,62.87000,62.87000,-0.68%,721243
2015-07-06,62.31000,63.14000,62.16000,62.78000,62.78000,-0.14%,552416
2015-07-07,62.73000,63.15000,61.81000,63.10000,63.10000,0.51%,1359789
2015-07-08,62.54000,62.85800,61.42000,61.50000,61.50000,-2.54%,845024
2015-07-09,62.29000,62.84000,62.15000,62.21000,62.21000,1.15%,587436
2015-07-10,62.98000,63.41000,62.82000,63.19000,63.19000,1.58%,400388
2015-07-13,63.59000,64.10000,63.42000,64.06000,64.06000,1.38%,423769
2015-07-14,64.13000,64.66000,63.88000,64.19000,64.19000,0.20%,568524
2015-07-15,64.27000,64.73000,63.99000,64.30000,64.30000,0.17%,744753
2015-07-16,64.63000,65.12000,64.33000,64.95000,64.95000,1.01%,594836
2015-07-17,65.20000,65.37000,64.79000,65.02000,65.02000,0.11%,516462
2015-07-20,65.01000,65.71000,64.76000,65.53000,65.53000,0.78%,576758
2015-07-21,65.40000,65.68000,65.03000,65.08000,65.08000,-0.69%,742180
2015-07-22,65.02000,65.88000,65.00000,65.85000,65.85000,1.18%,817835
2015-07-23,65.85000,66.40000,65.63000,66.02000,66.02000,0.26%,1227852
2015-07-24,65.83000,70.99000,65.15000,67.73000,67.73000,2.59%,2755893
2015-07-27,67.33000,68.25000,67.24000,67.93000,67.93000,0.30%,1903098
2015-07-28,68.52000,70.08000,68.09000,69.97000,69.97000,3.00%,1441353
2015-07-29,70.13000,70.55000,69.61000,70.54000,70.54000,0.81%,1548045
2015-07-30,70.40000,71.26800,70.05000,71.03000,71.03000,0.69%,1032593
2015-07-31,71.23000,71.73000,70.80000,70.94000,70.94000,-0.13%,867452
2015-08-03,70.61000,70.89000,69.97000,70.63000,70.63000,-0.44%,843343
2015-08-04,70.45000,71.08000,70.32000,70.88000,70.88000,0.35%,581088
2015-08-05,71.35000,71.82000,70.83000,71.07000,71.07000,0.27%,892168
2015-08-06,71.04000,71.27000,70.17000,70.62000,70.62000,-0.63%,976196
2015-08-07,71.00000,71.18000,70.24000,70.90000,70.90000,0.40%,937873
2015-08-10,71.55000,71.64000,71.20000,71.37000,71.37000,0.66%,585845
2015-08-11,70.93000,71.29000,70.39000,70.86000,70.86000,-0.71%,1521194
2015-08-12,70.41000,70.78000,69.89000,70.72000,70.72000,-0.20%,1410598
2015-08-13,70.70000,71.00000,69.92800,70.62000,70.62000,-0.14%,565859
2015-08-14,70.63000,71.18000,70.39000,71.09000,71.09000,0.67%,591571
2015-08-17,71.15000,71.35500,70.71000,71.19000,71.19000,0.14%,606556
2015-08-18,71.19000,71.58000,70.81500,70.93000,70.93000,-0.37%,521548
2015-08-19,70.78000,71.16000,70.39500,70.58000,70.58000,-0.49%,710678
2015-08-20,70.00000,70.02000,68.94000,69.15000,69.15000,-2.03%,1133723
2015-08-21,68.71000,69.21000,67.77000,67.81000,67.81000,-1.94%,1143741
2015-08-24,64.60000,67.63000,64.00000,65.94000,65.94000,-2.76%,1910738
2015-08-25,67.55000,67.92000,65.77000,65.92000,65.92000,-0.03%,1670096
2015-08-26,67.29000,68.13000,65.92000,68.08000,68.08000,3.28%,1841348
2015-08-27,68.71000,69.86000,68.20000,69.85000,69.85000,2.60%,1652379
2015-08-28,69.19000,69.86000,68.43500,69.55000,69.55000,-0.43%,920676
2015-08-31,69.42000,69.61000,68.64500,68.94000,68.94000,-0.88%,954408
2015-09-01,67.84000,67.95000,66.25000,66.56000,66.56000,-3.45%,754777
2015-09-02,67.60000,68.09000,66.61000,68.04000,68.04000,2.22%,1121575
2015-09-03,68.23000,68.78000,67.85000,68.23000,68.23000,0.28%,605642
2015-09-04,66.98000,67.52500,66.79000,67.13000,67.13000,-1.61%,640487
2015-09-08,68.30000,68.41000,67.10000,68.23000,68.23000,1.64%,822596
2015-09-09,68.76000,69.17000,67.96000,68.10000,68.10000,-0.19%,825100
2015-09-10,67.76000,69.17000,67.76000,68.79000,68.79000,1.01%,583952
2015-09-11,68.50000,69.16000,68.30000,69.16000,69.16000,0.54%,476553
2015-09-14,69.33000,69.44000,68.66000,69.22000,69.22000,0.09%,939867
2015-09-15,69.32000,70.31000,69.08000,70.16000,70.16000,1.36%,771098
2015-09-16,70.24000,70.74000,69.99000,70.61000,70.61000,0.64%,578379
2015-09-17,70.59000,71.29000,70.26000,70.49000,70.49000,-0.17%,546836
2015-09-18,69.64000,70.34000,69.48000,69.95000,69.95000,-0.77%,2215936
2015-09-21,70.11000,71.19000,69.44000,71.10000,71.10000,1.64%,662400
2015-09-22,70.23000,70.73000,69.61000,69.89000,69.89000,-1.70%,508330
2015-09-23,70.05000,70.71500,69.72500,70.25000,70.25000,0.52%,563510
2015-09-24,69.84000,69.86000,68.72000,69.60000,69.60000,-0.93%,567015
2015-09-25,70.15000,70.20000,68.93000,69.31000,69.31000,-0.42%,404004
2015-09-28,69.16000,69.99000,67.34000,67.64000,67.64000,-2.41%,787942
2015-09-29,67.56000,68.26000,67.04000,68.19000,68.19000,0.81%,723626
2015-09-30,69.12000,70.68000,68.92000,70.56000,70.56000,3.48%,963838
2015-10-01,70.76000,71.75000,70.21000,71.42000,71.42000,1.22%,1984634
2015-10-02,71.15000,73.32000,70.52000,73.31000,73.31000,2.65%,1118173
2015-10-05,73.70000,75.00000,73.37000,74.88000,74.88000,2.14%,1354041
2015-10-06,75.11000,75.17000,72.99000,73.27000,73.27000,-2.15%,1898031
2015-10-07,73.44000,74.71000,73.22000,74.54000,74.54000,1.73%,1113416
2015-10-08,74.40000,74.75000,73.19000,74.71000,74.71000,0.23%,666350
2015-10-09,74.76000,75.17000,74.44000,75.07000,75.07000,0.48%,1106483
2015-10-12,75.20000,75.67500,75.00000,75.30000,75.30000,0.31%,749729
2015-10-13,75.22000,75.29000,74.50000,74.57000,74.57000,-0.97%,588743
2015-10-14,74.68000,75.11000,74.09000,74.33000,74.33000,-0.32%,1961995
2015-10-15,74.83000,74.90000,74.04800,74.66000,74.66000,0.44%,496701
2015-10-16,74.96000,75.04000,74.31200,74.67000,74.67000,0.01%,864593
2015-10-19,74.61000,75.55000,74.13000,75.50000,75.50000,1.11%,570618
2015-10-20,75.63000,76.11000,75.26000,75.79000,75.79000,0.38%,744190
2015-10-21,75.93000,76.14000,74.42000,74.46000,74.46000,-1.75%,564952
2015-10-22,74.77000,75.74000,74.77000,75.41000,75.41000,1.28%,900541
2015-10-23,75.82000,81.40000,75.40500,80.18000,80.18000,6.33%,3592495
2015-10-26,80.14000,81.21000,79.31000,80.47000,80.47000,0.36%,1239071
2015-10-27,80.21000,80.46000,79.42000,79.83000,79.83000,-0.80%,944344
2015-10-28,79.47000,80.96000,79.47000,80.90000,80.90000,1.34%,1034427
2015-10-29,80.84000,81.19000,80.19000,80.74000,80.74000,-0.20%,892147
2015-10-30,80.74000,81.49000,80.38000,80.60000,80.60000,-0.17%,740130
2015-11-02,80.86000,81.82500,80.04000,81.72000,81.72000,1.39%,609958
2015-11-03,81.80000,82.04000,80.67000,80.93000,80.93000,-0.97%,833704
2015-11-04,81.02000,81.49000,80.76000,81.28000,81.28000,0.43%,624023
2015-11-05,81.62000,82.14500,80.93800,81.30000,81.30000,0.02%,584323
2015-11-06,80.92000,82.58000,80.92000,82.51000,82.51000,1.49%,1680328
2015-11-09,82.11000,82.36500,80.77000,81.24000,81.24000,-1.54%,980938
2015-11-10,80.83000,81.78000,80.54000,81.72000,81.72000,0.59%,2811287
2015-11-11,82.29000,82.93000,81.69000,82.53000,82.53000,0.99%,647862
2015-11-12,82.38000,83.21000,81.70000,82.25000,82.25000,-0.34%,678435
2015-11-13,82.12000,82.40000,81.45000,81.56000,81.56000,-0.84%,518115
2015-11-16,81.76000,83.43000,81.47000,83.37000,83.37000,2.22%,692256
2015-11-17,83.42000,84.43000,83.08000,83.92000,83.92000,0.66%,662145
2015-11-18,84.64000,86.54500,84.21000,86.27000,86.27000,2.80%,993897
2015-11-19,85.83000,86.66000,85.60000,86.60000,86.60000,0.38%,783841
2015-11-20,86.86000,90.80000,86.76100,90.30000,90.30000,4.27%,3801155
2015-11-23,90.33000,91.22000,89.42500,90.18000,90.18000,-0.13%,1784072
2015-11-24,89.87000,89.87000,87.57000,88.54000,88.54000,-1.82%,3041025
2015-11-25,88.63000,89.60000,88.46000,89.39000,89.39000,0.96%,678773
2015-11-27,89.28000,89.68000,88.79000,89.30000,89.30000,-0.10%,302613
2015-11-30,89.62000,90.13000,88.93300,89.44000,89.44000,0.16%,1389744
2015-12-01,89.44000,91.10000,89.44000,90.90000,90.90000,1.63%,1148247
2015-12-02,90.25000,91.04000,89.12000,89.51000,89.51000,-1.53%,1329372
2015-12-03,90.21000,93.25000,90.21000,92.04000,92.04000,2.83%,1630543
2015-12-04,92.09000,93.94000,91.50000,93.12000,93.12000,1.17%,1113685
2015-12-07,93.11000,93.70500,91.92000,92.49000,92.49000,-0.68%,628419
2015-12-08,92.03000,93.76000,91.51000,92.57000,92.57000,0.09%,1401012
2015-12-09,91.92000,93.11000,91.12000,91.28000,91.28000,-1.39%,1257358
2015-12-10,91.28000,91.72500,90.57000,90.87000,90.87000,-0.45%,980411
2015-12-11,90.00000,90.62000,88.69000,89.04000,89.04000,-2.01%,1557818
2015-12-14,88.95000,89.49000,88.00000,88.86000,88.86000,-0.20%,1453206
2015-12-15,89.72000,90.29000,89.20000,89.97000,89.97000,1.25%,1885387
2015-12-16,90.24000,91.27000,88.30000,90.01000,90.01000,0.04%,1150329
2015-12-17,90.59000,90.59000,87.64000,87.85000,87.85000,-2.40%,1171063
2015-12-18,87.32000,88.29000,86.39000,86.44000,86.44000,-1.61%,2169919
2015-12-21,86.80000,87.67000,85.98000,86.81000,86.81000,0.43%,854501
2015-12-22,87.38000,87.57000,86.11000,87.57000,87.57000,0.88%,612318
2015-12-23,87.79000,88.16000,87.01000,87.80000,87.80000,0.26%,645483
2015-12-24,87.55000,88.27000,87.45000,87.78000,87.78000,-0.02%,287474
2015-12-28,87.50000,87.91000,86.91000,87.89000,87.89000,0.13%,511157
2015-12-29,88.22000,89.08000,87.74000,88.74000,88.74000,0.97%,452126
2015-12-30,88.70000,88.95000,88.10000,88.14000,88.14000,-0.68%,468415
2015-12-31,88.11000,88.66000,87.35000,87.36000,87.36000,-0.88%,493945
2016-01-04,85.69000,86.15000,82.44000,83.95000,83.95000,-3.90%,1540175
2016-01-05,81.72000,83.91000,80.58000,81.41000,81.41000,-3.03%,2165363
2016-01-06,80.41000,81.76000,79.82000,81.02000,81.02000,-0.48%,1508421
2016-01-07,79.62000,80.87000,79.40000,80.55000,80.55000,-0.58%,1689331
2016-01-08,80.90000,81.37300,77.97000,78.15000,78.15000,-2.98%,1050681
2016-01-11,78.18000,78.76000,76.99000,78.07000,78.07000,-0.10%,1117202
2016-01-12,78.72000,79.60000,78.15000,79.29000,79.29000,1.56%,938993
2016-01-13,79.32000,80.13000,75.95000,76.09000,76.09000,-4.04%,1251579
2016-01-14,76.35000,76.44000,74.19100,75.65000,75.65000,-0.58%,1149519
2016-01-15,73.82000,74.88000,72.81000,74.25000,74.25000,-1.85%,1075504
2016-01-19,74.85000,75.40000,73.78000,74.60000,74.60000,0.47%,1175971
2016-01-20,73.56000,75.19000,72.54000,74.14000,74.14000,-0.62%,1300823
2016-01-21,74.29000,74.67000,73.52000,73.85000,73.85000,-0.39%,969002
2016-01-22,75.00000,75.27000,74.28000,75.21000,75.21000,1.84%,666731
2016-01-25,74.73000,75.66000,74.15000,74.62000,74.62000,-0.78%,648294
2016-01-26,75.01000,75.63500,74.26500,75.15000,75.15000,0.71%,587298
2016-01-27,75.03000,76.15000,74.41000,74.74000,74.74000,-0.55%,1247266
2016-01-28,75.59000,77.23000,74.80000,77.08000,77.08000,3.13%,1308660
2016-01-29,76.95000,77.36000,75.30000,75.60000,75.60000,-1.92%,1619841
2016-02-01,75.03000,75.99000,74.69000,75.65000,75.65000,0.07%,1120935
2016-02-02,75.04000,75.53000,73.85000,74.24000,74.24000,-1.86%,850926
2016-02-03,74.54000,76.39000,73.66500,76.20000,76.20000,2.64%,1494561
2016-02-04,76.03000,77.10000,74.50000,77.01000,77.01000,1.06%,1106713
2016-02-05,76.94000,77.00000,74.83500,75.67000,75.67000,-1.74%,1528343
2016-02-08,74.51000,74.70500,70.84000,71.77000,71.77000,-5.15%,1482383
2016-02-09,71.03000,73.63000,70.26000,72.62000,72.62000,1.18%,1273281
2016-02-10,73.50000,74.97000,73.19000,73.79000,73.79000,1.61%,722644
2016-02-11,72.41000,74.62000,71.78000,74.16000,74.16000,0.50%,1360728
2016-02-12,75.90000,77.51000,73.80000,76.97000,76.97000,3.79%,1417960
2016-02-16,77.94000,79.81000,77.69000,79.68000,79.68000,3.52%,1661443
2016-02-17,80.00000,81.87000,80.00000,81.45000,81.45000,2.22%,2006824
2016-02-18,81.56000,81.85500,80.49000,80.62000,80.62000,-1.02%,898830
2016-02-19,80.54000,80.99000,79.93000,80.67000,80.67000,0.06%,1352414
2016-02-22,81.85000,84.56500,81.85000,83.99000,83.99000,4.12%,1847868
2016-02-23,83.20000,84.07000,82.23600,82.49000,82.49000,-1.79%,1034235
2016-02-24,81.66000,83.44000,80.64000,83.20000,83.20000,0.86%,762141
2016-02-25,83.48000,84.81000,83.20000,84.33000,84.33000,1.36%,833280
2016-02-26,84.79000,86.09000,84.42000,85.88000,85.88000,1.84%,1240401
2016-02-29,85.40000,86.29800,84.45000,84.49000,84.49000,-1.62%,1120492
2016-03-01,85.08000,87.70000,84.65000,87.38000,87.38000,3.42%,1170315
2016-03-02,87.54000,88.61000,86.64000,87.54000,87.54000,0.18%,987023
2016-03-03,87.20000,88.74000,86.54000,88.64000,88.64000,1.26%,831304
2016-03-04,88.59000,89.39000,87.71000,89.14000,89.14000,0.56%,854850
2016-03-07,89.31000,89.59000,87.13000,87.99000,87.99000,-1.29%,1121783
2016-03-08,87.25000,87.99000,86.50000,87.11000,87.11000,-1.00%,937385
2016-03-09,87.21000,88.34000,86.56000,86.96000,86.96000,-0.17%,1439760
2016-03-10,87.48000,88.89000,86.14000,87.18000,87.18000,0.25%,815720
2016-03-11,88.18000,88.36500,87.37000,88.26000,88.26000,1.24%,792507
2016-03-14,87.80000,88.54000,87.46000,87.73000,87.73000,-0.60%,725561
2016-03-15,87.23000,88.71000,86.75000,88.49000,88.49000,0.87%,772425
2016-03-16,88.05000,89.94000,87.90000,89.52000,89.52000,1.16%,897351
2016-03-17,89.53000,90.61000,89.30000,89.92000,89.92000,0.45%,812368
2016-03-18,90.12000,90.12000,88.16000,88.56000,88.56000,-1.51%,1344741
2016-03-21,88.50000,89.02800,88.21000,88.58000,88.58000,0.02%,767447
2016-03-22,88.36000,89.69000,88.30000,89.35000,89.35000,0.87%,780422
2016-03-23,89.37000,89.48000,88.37000,88.89000,88.89000,-0.51%,502332
2016-03-24,88.54000,89.57000,88.54000,89.25000,89.25000,0.40%,463939
2016-03-28,89.32000,89.90500,88.15000,88.46000,88.46000,-0.89%,979186
2016-03-29,88.41000,89.48000,88.04000,89.11000,89.11000,0.73%,664494
2016-03-30,89.45000,89.70000,88.85000,89.59000,89.59000,0.54%,854680
2016-03-31,89.21000,89.87000,88.47000,88.54000,88.54000,-1.17%,960640
2016-04-01,88.19000,89.67000,87.35000,89.64000,89.64000,1.24%,881309
2016-04-04,90.13000,91.14500,89.49000,89.55000,89.55000,-0.10%,524089
2016-04-05,89.18000,89.69000,88.51500,88.71000,88.71000,-0.94%,1273167
2016-04-06,88.79000,89.86000,88.79000,89.84000,89.84000,1.27%,696813
2016-04-07,89.34000,90.22000,88.75500,89.59000,89.59000,-0.28%,769076
2016-04-08,90.03000,90.26000,89.29500,89.76000,89.76000,0.19%,496784
2016-04-11,90.28000,91.28000,89.02000,89.08000,89.08000,-0.76%,572582
2016-04-12,89.53000,89.55000,88.13000,88.61000,88.61000,-0.53%,2376540
2016-04-13,89.35000,89.81000,88.79000,89.52000,89.52000,1.03%,734034
2016-04-14,89.52000,89.98000,89.05000,89.11000,89.11000,-0.46%,637769
2016-04-15,89.00000,89.24000,88.28000,88.70000,88.70000,-0.46%,625686
2016-04-18,88.63000,89.90000,88.35000,89.66000,89.66000,1.08%,600694
2016-04-19,89.88000,89.91000,88.12000,88.79000,88.79000,-0.97%,896882
2016-04-20,88.82000,89.95000,87.72000,89.29000,89.29000,0.56%,649010
2016-04-21,89.49000,89.80000,88.24000,88.53000,88.53000,-0.85%,574990
2016-04-22,88.37000,89.00000,87.84000,88.64000,88.64000,0.12%,611134
2016-04-25,88.36000,89.41000,88.22000,89.28000,89.28000,0.72%,1649082
2016-04-26,89.49000,90.39000,88.68000,89.16000,89.16000,-0.13%,885012
2016-04-27,88.71000,89.77000,88.22000,89.41000,89.41000,0.28%,732474
2016-04-28,89.23000,91.23000,89.09000,89.42000,89.42000,0.01%,962373
2016-04-29,91.53000,91.99000,86.17000,86.40000,86.40000,-3.38%,1592544
2016-05-02,86.49000,88.37000,85.30000,88.13000,88.13000,2.00%,1401584
2016-05-03,87.51000,87.59000,86.50000,87.16000,87.16000,-1.10%,724098
2016-05-04,86.63000,86.73000,84.83000,84.93000,84.93000,-2.56%,1032772
2016-05-05,85.14000,85.70000,84.28000,84.41000,84.41000,-0.61%,1087125
2016-05-06,84.30000,85.32000,84.04000,85.19000,85.19000,0.92%,690905
2016-05-09,84.88000,85.34500,84.23000,84.50000,84.50000,-0.81%,805069
2016-05-10,84.97000,85.70000,83.58000,85.61000,85.61000,1.31%,769813
2016-05-11,85.67000,86.41000,84.74000,84.78000,84.78000,-0.97%,735044
2016-05-12,84.95000,85.49000,84.40000,84.96000,84.96000,0.21%,656684
2016-05-13,84.86000,85.84000,84.72000,84.72000,84.72000,-0.28%,500552
2016-05-16,84.73000,85.97000,84.11000,85.15000,85.15000,0.51%,779922
2016-05-17,85.29000,86.00000,83.33000,83.52000,83.52000,-1.91%,1295282
2016-05-18,83.37000,84.29000,82.70000,83.70000,83.70000,0.22%,710316
2016-05-19,83.54000,83.57000,82.06000,82.90000,82.90000,-0.96%,609301
