Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-24,85.09000,87.84000,84.94000,86.49000,86.49000,1.49%,1358885
2015-03-25,86.21000,86.37600,82.68000,83.26000,83.26000,-3.73%,1446801
2015-03-26,82.81000,84.56000,82.50000,83.98000,83.98000,0.86%,2130861
2015-03-27,83.88000,85.60000,83.20000,85.06000,85.06000,1.29%,970411
2015-03-30,85.41000,86.37000,84.49000,86.14000,86.14000,1.27%,858035
2015-03-31,85.90000,86.77000,84.27000,84.41000,84.41000,-2.01%,1173809
2015-04-01,83.59000,84.74000,81.39000,83.41000,83.41000,-1.18%,2494851
2015-04-02,83.25000,86.73000,82.89000,86.23000,86.23000,3.38%,1474509
2015-04-06,85.66000,89.33000,85.21000,88.50000,88.50000,2.63%,1518816
2015-04-07,88.92000,89.32000,87.31000,87.48000,87.48000,-1.15%,1156611
2015-04-08,87.69000,89.15000,87.26000,88.00000,88.00000,0.59%,1163752
2015-04-09,88.02000,88.46000,86.62000,87.69000,87.69000,-0.35%,991444
2015-04-10,87.91000,89.65000,87.66000,88.70000,88.70000,1.15%,861319
2015-04-13,88.40000,89.57000,87.16100,87.27000,87.27000,-1.61%,1706966
2015-04-14,87.25000,87.40000,84.95000,86.38000,86.38000,-1.02%,1120073
2015-04-15,87.11000,88.50500,85.16000,88.18000,88.18000,2.08%,1345728
2015-04-16,88.30000,90.29000,88.30000,89.72000,89.72000,1.75%,1737045
2015-04-17,87.67000,88.12500,84.17000,84.37000,84.37000,-5.96%,3561180
2015-04-20,85.00000,86.29000,84.21000,86.11000,86.11000,2.06%,1677511
2015-04-21,86.57000,87.50000,85.83000,86.02000,86.02000,-0.10%,952344
2015-04-22,85.90000,87.67000,85.44000,87.59000,87.59000,1.83%,1055761
2015-04-23,86.76000,88.70000,85.64000,87.90000,87.90000,0.35%,904786
2015-04-24,88.46000,89.41000,87.79000,88.53000,88.53000,0.72%,819934
2015-04-27,88.60000,89.52000,87.65000,87.77000,87.77000,-0.86%,617522
2015-04-28,87.92000,88.40000,86.24500,86.64000,86.64000,-1.29%,885787
2015-04-29,86.15000,92.50000,85.80000,90.22000,90.22000,4.13%,3585144
2015-04-30,89.05000,91.33000,88.96000,91.21000,91.21000,1.10%,1680244
2015-05-01,91.21000,91.87000,88.82000,89.50000,89.50000,-1.87%,1160525
2015-05-04,89.49000,91.45000,89.37000,90.74000,90.74000,1.39%,753864
2015-05-05,90.14000,92.48000,89.06000,90.07000,90.07000,-0.74%,1665394
2015-05-06,89.97000,91.30000,88.94200,90.48000,90.48000,0.46%,1111778
2015-05-07,90.23000,90.23000,87.69000,89.68000,89.68000,-0.88%,1425375
2015-05-08,90.26000,91.22000,89.38000,89.51000,89.51000,-0.19%,611093
2015-05-11,89.60000,90.48000,89.29000,90.26000,90.26000,0.84%,708915
2015-05-12,89.48000,89.58500,87.59600,88.41000,88.41000,-2.05%,1106881
2015-05-13,88.90000,89.96000,88.41000,89.19000,89.19000,0.88%,868396
2015-05-14,89.51000,91.92000,88.30000,90.85000,90.85000,1.86%,2248392
2015-05-15,90.29000,90.78000,89.55000,90.08000,90.08000,-0.85%,955682
2015-05-18,90.25000,92.36000,90.06000,91.90000,91.90000,2.02%,1186608
2015-05-19,91.77000,92.50000,90.54000,90.65000,90.65000,-1.36%,925387
2015-05-20,92.00000,92.00000,88.81000,90.43000,90.43000,-0.24%,1637803
2015-05-21,91.69000,92.29000,89.71000,91.82000,91.82000,1.54%,1267959
2015-05-22,91.70000,92.72000,91.01100,92.18000,92.18000,0.39%,1458456
2015-05-26,91.67000,93.62000,91.52000,92.49000,92.49000,0.34%,4267803
2015-05-27,84.03000,85.00000,81.14000,82.00000,82.00000,-11.34%,9322465
2015-05-28,82.21000,82.64000,79.70000,80.14000,80.14000,-2.27%,4362031
2015-05-29,79.89000,80.02000,78.46000,78.92000,78.92000,-1.52%,3062218
2015-06-01,79.09000,79.53500,78.24000,79.09000,79.09000,0.22%,2007646
2015-06-02,79.61000,80.74000,78.68000,79.80000,79.80000,0.90%,2205588
2015-06-03,79.50000,80.99000,78.56000,80.65000,80.65000,1.07%,2248369
2015-06-04,79.97000,80.28000,77.80000,78.21000,78.21000,-3.03%,1983381
2015-06-05,78.62000,79.58000,77.50000,79.38000,79.38000,1.50%,1319971
2015-06-08,79.27000,79.38000,77.18000,78.04000,78.04000,-1.69%,1313699
2015-06-09,78.17000,78.36000,77.05000,78.13000,78.13000,0.12%,896948
2015-06-10,78.32000,79.72000,78.14400,79.60000,79.60000,1.88%,1792968
2015-06-11,79.99000,80.49000,79.34000,80.06000,80.06000,0.58%,1507773
2015-06-12,79.91000,80.01000,79.03000,79.63000,79.63000,-0.54%,1495904
2015-06-15,78.85000,79.69500,78.03000,79.57000,79.57000,-0.08%,712095
2015-06-16,79.32000,79.91000,78.50100,78.99000,78.99000,-0.73%,669149
2015-06-17,79.50000,79.50000,78.62000,79.10000,79.10000,0.14%,900876
2015-06-18,78.96000,80.51000,78.74000,80.47000,80.47000,1.73%,1079837
2015-06-19,80.48000,80.48000,79.51000,79.97000,79.97000,-0.62%,1125220
2015-06-22,80.37000,81.03000,80.10000,80.35000,80.35000,0.48%,913004
2015-06-23,80.57000,81.54000,80.15000,81.46000,81.46000,1.38%,1050226
2015-06-24,81.20000,81.51000,78.64000,79.20000,79.20000,-2.77%,1113411
2015-06-25,79.36000,80.23000,79.13700,79.54000,79.54000,0.43%,710266
2015-06-26,79.74000,79.74000,77.97000,78.60000,78.60000,-1.18%,1290272
2015-06-29,77.49000,78.08000,76.11000,76.31000,76.31000,-2.91%,1175836
2015-06-30,77.15000,77.27000,75.69800,76.39000,76.39000,0.10%,1077569
2015-07-01,76.96000,77.51000,75.23000,75.90000,75.90000,-0.64%,1277538
2015-07-02,75.80000,76.18000,75.16000,75.79000,75.79000,-0.14%,821598
2015-07-06,75.10000,76.81000,74.26000,76.68000,76.68000,1.17%,1554527
2015-07-07,76.56000,78.17500,75.43000,77.65000,77.65000,1.26%,1473151
2015-07-08,76.90000,77.71000,76.33000,76.83000,76.83000,-1.06%,1101242
2015-07-09,78.30000,79.23000,77.42000,77.96000,77.96000,1.47%,1293608
2015-07-10,78.78000,79.89000,78.71000,79.52000,79.52000,2.00%,1382053
2015-07-13,79.91000,80.38000,78.86000,79.27000,79.27000,-0.31%,1192943
2015-07-14,80.08000,82.97000,79.96000,82.18000,82.18000,3.67%,1974882
2015-07-15,82.19000,83.52000,81.58200,83.21000,83.21000,1.25%,2187854
2015-07-16,83.25000,84.77000,83.22000,84.45000,84.45000,1.49%,2261387
2015-07-17,84.70000,84.96000,83.90000,84.70000,84.70000,0.30%,2465306
2015-07-20,84.76000,85.25000,83.98500,84.60000,84.60000,-0.12%,944652
2015-07-21,84.59000,84.99000,83.37000,84.77000,84.77000,0.20%,935759
2015-07-22,84.58000,84.86000,83.87000,83.99000,83.99000,-0.92%,644507
2015-07-23,84.00000,84.32000,82.50000,83.02000,83.02000,-1.15%,1091614
2015-07-24,83.41000,83.96000,82.51000,82.59000,82.59000,-0.52%,1092698
2015-07-27,81.99000,82.57000,80.10000,81.08000,81.08000,-1.83%,1409025
2015-07-28,81.56000,83.40000,79.59000,83.15000,83.15000,2.55%,1296293
2015-07-29,82.00000,83.53000,80.88000,83.39000,83.39000,0.29%,1197034
2015-07-30,83.27000,83.79000,82.28000,83.75000,83.75000,0.43%,653113
2015-07-31,83.48000,84.42000,83.32000,84.33000,84.33000,0.69%,965540
2015-08-03,84.27000,84.47000,83.12100,84.00000,84.00000,-0.39%,652712
2015-08-04,83.77000,84.37000,82.72000,82.80000,82.80000,-1.43%,830601
2015-08-05,83.78000,84.64000,83.32000,83.40000,83.40000,0.72%,893530
2015-08-06,83.52000,83.98800,80.76000,81.92000,81.92000,-1.77%,768141
2015-08-07,81.87000,83.09000,81.38000,82.51000,82.51000,0.72%,664132
2015-08-10,82.87000,83.64000,82.44000,83.25000,83.25000,0.90%,520481
2015-08-11,82.41000,84.54000,82.31000,83.06000,83.06000,-0.23%,918641
2015-08-12,82.61000,83.36000,80.52000,82.96000,82.96000,-0.12%,1152510
2015-08-13,83.10000,83.78000,82.17000,82.26000,82.26000,-0.84%,584463
2015-08-14,82.12000,84.59000,82.05000,84.18000,84.18000,2.33%,1228603
2015-08-17,83.59000,84.84000,83.23000,84.80000,84.80000,0.74%,764232
2015-08-18,84.07000,84.80000,82.46000,82.58000,82.58000,-2.62%,966918
2015-08-19,82.31000,83.47000,81.01000,82.38000,82.38000,-0.24%,826202
2015-08-20,81.71000,82.16000,76.96000,77.02000,77.02000,-6.51%,2194219
2015-08-21,74.55000,75.38000,71.27000,71.84000,71.84000,-6.73%,4094770
2015-08-24,65.84000,71.65000,65.33000,69.34000,69.34000,-3.48%,4423463
2015-08-25,72.50000,73.54000,70.02000,70.02000,70.02000,0.98%,1922897
2015-08-26,71.74000,72.64000,69.66000,72.40000,72.40000,3.40%,3373812
2015-08-27,71.85000,76.58000,71.49000,75.37000,75.37000,4.10%,7360790
2015-08-28,75.00000,75.00000,72.22000,72.76000,72.76000,-3.46%,2338337
2015-08-31,72.62000,72.78000,69.97000,70.26000,70.26000,-3.44%,2102109
2015-09-01,68.86000,70.87000,68.73000,69.59000,69.59000,-0.95%,2337318
2015-09-02,70.50000,71.57000,69.34000,71.11000,71.11000,2.18%,1605343
2015-09-03,71.54000,72.97000,71.07000,71.69000,71.69000,0.82%,1015263
2015-09-04,70.63000,70.77000,69.94000,70.09000,70.09000,-2.23%,1075382
2015-09-08,71.18000,72.14000,70.31000,71.77000,71.77000,2.40%,1485563
2015-09-09,72.26000,72.65000,70.01000,70.27000,70.27000,-2.09%,1097718
2015-09-10,69.95000,70.77000,69.38000,70.16000,70.16000,-0.16%,1349454
2015-09-11,70.56000,71.39000,70.09000,71.36000,71.36000,1.71%,1068021
2015-09-14,71.28000,71.38000,69.55000,69.87000,69.87000,-2.09%,974489
2015-09-15,70.14000,71.33000,69.71500,70.67000,70.67000,1.14%,1326167
2015-09-16,70.80000,72.34000,70.51000,71.96000,71.96000,1.83%,1159827
2015-09-17,71.61000,73.27000,71.06000,72.02000,72.02000,0.08%,1380358
2015-09-18,71.22000,73.71000,71.05000,73.49000,73.49000,2.04%,1719280
2015-09-21,74.10000,74.38000,72.65000,73.18000,73.18000,-0.42%,1408366
2015-09-22,72.70000,73.13000,71.68000,72.89000,72.89000,-0.40%,1190916
2015-09-23,72.68000,73.37000,71.75000,72.63000,72.63000,-0.36%,844740
2015-09-24,71.96000,72.55000,70.37000,72.49000,72.49000,-0.19%,1406358
2015-09-25,73.23000,74.23000,71.67000,72.57000,72.57000,0.11%,1763432
2015-09-28,71.81000,72.51000,69.87000,70.55000,70.55000,-2.78%,1718455
2015-09-29,70.25000,71.54000,68.77000,70.70000,70.70000,0.21%,2008452
2015-09-30,69.87000,71.19000,66.36000,68.86000,68.86000,-2.60%,4204504
2015-10-01,69.51000,72.29000,69.33000,72.20000,72.20000,4.85%,3420631
2015-10-02,70.95000,74.77000,69.77000,74.09000,74.09000,2.62%,2430956
2015-10-05,74.30000,76.46000,73.84000,75.50000,75.50000,1.90%,1914422
2015-10-06,75.64000,75.99000,74.15700,74.85000,74.85000,-0.86%,1130259
2015-10-07,75.39000,76.39000,74.25000,76.36000,76.36000,2.02%,1006488
2015-10-08,76.06000,76.20200,73.84000,75.86000,75.86000,-0.65%,1985738
2015-10-09,76.24000,77.69000,75.76000,77.57000,77.57000,2.25%,1046001
2015-10-12,77.52000,78.37000,77.10000,77.51000,77.51000,-0.08%,804176
2015-10-13,77.55000,78.62000,76.41000,76.50000,76.50000,-1.30%,1233323
2015-10-14,76.35000,76.90000,74.75000,74.93000,74.93000,-2.05%,851424
2015-10-15,75.10000,77.79000,74.76000,77.29000,77.29000,3.15%,1996322
2015-10-16,77.67000,78.78000,77.16000,78.69000,78.69000,1.81%,690201
2015-10-19,78.44000,79.40000,77.82000,78.53000,78.53000,-0.20%,860270
2015-10-20,79.02000,79.95000,78.18000,79.88000,79.88000,1.72%,1545965
2015-10-21,79.37000,79.99000,77.31000,78.23000,78.23000,-2.07%,1826208
2015-10-22,78.51000,81.03000,78.27000,79.89000,79.89000,2.12%,1780680
2015-10-23,81.15000,81.15000,78.15000,79.85000,79.85000,-0.05%,1819705
