Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,42.13,42.13,41.01,41.09,37.854,-2.63%,3625952
2015/3/25,41.17,41.695,40.79,40.81,37.596,-0.68%,2776181
2015/3/26,40.68,40.97,40.37,40.7,37.495,-0.27%,1573740
2015/3/27,40.6,41.18,40.58,41.11,37.965,1.01%,1932749
2015/3/30,41.52,41.86,41.32,41.72,38.528,1.48%,2064181
2015/3/31,41.28,41.78,41.102,41.55,38.371,-0.41%,1659169
2015/4/1,41.46,41.52,40.72,41.39,38.223,-0.39%,2170331
2015/4/2,41.47,42.13,41.33,42.05,38.833,1.59%,2135918
2015/4/6,41.68,42.2,41.51,41.93,38.722,-0.29%,2379808
2015/4/7,41.94,42.52,41.87,42.44,39.193,1.22%,3072418
2015/4/8,42.43,42.59,42.025,42.26,39.027,-0.42%,2443178
2015/4/9,42.16,42.59,42.07,42.49,39.239,0.54%,1332519
2015/4/10,42.8,43.56,42.57,43.55,40.218,2.49%,3370597
2015/4/13,43.59,43.59,42.99,43.04,39.747,-1.17%,3708641
2015/4/14,42.96,43.2,42.58,43.07,39.775,0.07%,1777705
2015/4/15,43.28,43.56,43.18,43.38,40.061,0.72%,1445622
2015/4/16,43.14,43.36,43.06,43.13,39.83,-0.58%,1070232
2015/4/17,42.74,43.05,42.6,42.98,39.692,-0.35%,2333369
2015/4/20,43.33,43.44,43.15,43.19,39.886,0.49%,1410574
2015/4/21,43.42,43.5,42.87,42.89,39.608,-0.69%,1719710
2015/4/22,42.72,42.84,42.37,42.71,39.442,-0.42%,2726140
2015/4/23,42.42,42.86,42.24,42.62,39.359,-0.21%,3973179
2015/4/24,42.71,42.81,42.42,42.49,39.239,-0.31%,2200155
2015/4/27,42.74,42.77,41.965,41.98,38.768,-1.20%,2298298
2015/4/28,41.87,42.31,41.57,42.18,38.953,0.48%,1803453
2015/4/29,42.04,42.2,41.44,41.96,38.75,-0.52%,2160963
2015/4/30,41.83,41.94,41.11,41.37,38.205,-1.41%,1726312
2015/5/1,41.41,41.93,41.24,41.83,38.63,1.11%,1880177
2015/5/4,41.88,42.08,41.7,41.94,38.731,0.26%,1073820
2015/5/5,41.72,41.85,41.455,41.59,38.408,-0.83%,1254801
2015/5/6,41.86,41.86,41.36,41.59,38.408,0.00%,934611
2015/5/7,41.59,41.85,41.31,41.8,38.602,0.50%,999682
2015/5/8,42.23,42.53,42.21,42.5,39.248,1.67%,1034717
2015/5/11,42.39,42.83,42.39,42.62,39.359,0.28%,975490
2015/5/12,42.36,42.5,41.5,41.91,38.703,-1.67%,2617833
2015/5/13,42.05,42.39,41.71,41.81,38.611,-0.24%,1992774
2015/5/14,42.18,42.225,41.87,42.05,38.833,0.57%,2883667
2015/5/15,42.14,42.26,41.99,42.04,38.823,-0.02%,2147413
2015/5/18,42.05,42.7,41.98,42.63,39.368,1.40%,1965122
2015/5/19,41.57,42.83,41.5,42.37,39.128,-0.61%,5277345
2015/5/20,42.5,42.838,42.43,42.61,39.35,0.57%,2652326
2015/5/21,42.57,42.73,42.2,42.32,39.082,-0.68%,2126157
2015/5/22,42.27,42.67,42.07,42.5,39.248,0.43%,1484752
2015/5/26,42.48,42.63,41.985,42.06,38.842,-1.04%,1919645
2015/5/27,42.27,42.93,42.1,42.61,39.35,1.31%,2507443
2015/5/28,42.45,42.71,41.35,41.75,38.556,-2.02%,3347403
2015/5/29,41.79,41.83,40.82,41.19,38.039,-1.34%,5022554
2015/6/1,41.43,41.43,40.85,40.92,37.789,-0.66%,2440065
2015/6/2,40.94,41.14,40.67,41.11,37.965,0.46%,2947454
2015/6/3,41.31,41.36,40.94,41.1,37.955,-0.02%,2722286
2015/6/4,40.89,41.08,40.01,40.54,37.438,-1.36%,4091870
2015/6/5,40.54,40.67,40.2,40.31,37.226,-0.57%,1760467
2015/6/8,40.26,40.35,39.91,39.95,36.893,-0.89%,1353411
2015/6/9,39.93,40.33,39.83,40.12,37.05,0.43%,1439015
2015/6/10,40.4,40.59,40.27,40.52,37.42,1.00%,1789330
2015/6/11,40.57,40.6,40.29,40.53,37.429,0.02%,1576987
2015/6/12,40.33,40.49,39.735,39.84,36.792,-1.70%,2769551
2015/6/15,39.63,39.63,39.25,39.52,36.496,-0.80%,2361878
2015/6/16,39.59,39.81,39.38,39.79,36.746,0.68%,1422563
2015/6/17,39.76,39.8,39.32,39.6,36.57,-0.48%,1519421
2015/6/18,39.8,40.055,39.72,39.9,36.847,0.76%,1865267
2015/6/19,39.8,39.94,39.49,39.49,36.469,-1.03%,2658779
2015/6/22,39.81,40.01,39.73,39.81,36.764,0.81%,3909250
2015/6/23,39.89,39.95,39.42,39.6,36.57,-0.53%,2053553
2015/6/24,39.47,40.45,39.025,40.19,37.115,1.49%,6127695
2015/6/25,39.8,40.52,39.38,40.05,36.986,-0.35%,5265772
2015/6/26,40,40.17,39.775,40.02,37.05,-0.07%,3350458
2015/6/29,39.6,39.8,38.74,38.74,35.865,-3.20%,2516360
2015/6/30,39.08,39.19,38.48,38.58,35.717,-0.41%,3037436
2015/7/1,38.89,39.295,38.75,39.26,36.347,1.76%,4486572
2015/7/2,39.36,39.64,39.15,39.58,36.643,0.82%,2160799
2015/7/6,39.11,39.66,39.08,39.36,36.439,-0.56%,2509428
2015/7/7,39.53,39.79,39.136,39.79,36.837,1.09%,2927761
2015/7/8,39.48,39.48,38.71,38.75,35.875,-2.61%,3390976
2015/7/9,39.27,39.33,38.91,38.92,36.032,0.44%,2237945
2015/7/10,39.29,39.44,39.155,39.4,36.476,1.23%,2107093
2015/7/13,39.72,40,39.54,39.96,36.995,1.42%,1579730
2015/7/14,40.05,40.66,39.89,40.49,37.486,1.33%,2801301
2015/7/15,40.42,40.52,40.02,40.13,37.152,-0.89%,2247745
2015/7/16,40.36,40.44,40.12,40.34,37.347,0.52%,1826485
2015/7/17,40.2,40.33,39.84,39.95,36.986,-0.97%,2412373
2015/7/20,40.06,40.13,39.95,40.06,37.087,0.28%,1155252
2015/7/21,39.97,40.01,39.54,39.57,36.634,-1.22%,1160904
2015/7/22,39.29,40.42,39.29,40.33,37.337,1.92%,2949376
2015/7/23,40.37,40.37,40.01,40.25,37.263,-0.20%,1708801
2015/7/24,40.11,40.17,39.22,39.31,36.393,-2.34%,1844946
2015/7/27,39.04,39.65,38.61,39.61,36.671,0.76%,5261424
2015/7/28,40,40.47,39.5,40.45,37.448,2.12%,2768225
2015/7/29,40.5,40.73,40.24,40.4,37.402,-0.12%,2014066
2015/7/30,40.26,41.05,40.07,40.97,37.93,1.41%,2440415
2015/7/31,41.05,41.14,40.78,40.95,37.911,-0.05%,2247715
2015/8/3,40.92,41.13,40.58,41,37.958,0.12%,2104591
2015/8/4,40.94,41.35,40.55,40.62,37.606,-0.93%,1448062
2015/8/5,40.94,41.19,40.69,40.72,37.698,0.25%,941866
2015/8/6,40.95,40.96,39.91,40.12,37.143,-1.47%,1932226
2015/8/7,40.14,40.21,39.63,39.99,37.023,-0.32%,1513076
2015/8/10,40.24,40.64,40.16,40.47,37.467,1.20%,1554542
2015/8/11,40.19,40.19,39.3,39.42,36.495,-2.59%,1575708
2015/8/12,39.05,39.11,38.27,38.89,36.004,-1.34%,3440282
2015/8/13,38.94,38.94,38.46,38.56,35.699,-0.85%,2848432
2015/8/14,38.62,38.73,38.32,38.65,35.782,0.23%,2632739
2015/8/17,38.36,39.015,38.12,38.82,35.939,0.44%,3302058
2015/8/18,39.11,40.35,39,39.02,36.125,0.52%,6416891
2015/8/19,38.69,38.805,38.3,38.4,35.551,-1.59%,2730429
2015/8/20,38.01,38.31,37.5,37.51,34.727,-2.32%,2145028
2015/8/21,37.13,37.495,36.175,36.23,33.542,-3.41%,3828206
2015/8/24,33.87,36.01,33.57,34.68,32.107,-4.28%,4114990
2015/8/25,35.68,36.17,34.3,34.36,31.81,-0.92%,3802732
2015/8/26,35.36,35.7,34.47,35.62,32.977,3.67%,3221877
2015/8/27,36.15,36.67,35.89,36.64,33.921,2.86%,2406297
2015/8/28,36.44,36.66,36.15,36.51,33.801,-0.35%,1783861
2015/8/31,36.37,36.553,35.95,36.31,33.616,-0.55%,2554666
2015/9/1,35.37,35.58,34.57,34.75,32.171,-4.30%,2954093
2015/9/2,35.41,35.53,34.88,35.53,32.894,2.24%,2119191
2015/9/3,35.61,36.12,35.525,35.75,33.097,0.62%,2140822
2015/9/4,35.04,35.51,34.9,35.06,32.458,-1.93%,2819027
2015/9/8,35.82,36.25,35.51,36.21,33.523,3.28%,1787408
2015/9/9,36.5,36.8,35.44,35.54,32.903,-1.85%,1885293
2015/9/10,35.61,36.04,35.44,35.86,33.199,0.90%,1628726
2015/9/11,35.66,35.96,35.44,35.96,33.292,0.28%,1443721
2015/9/14,35.92,36.09,35.32,35.55,32.912,-1.14%,2223319
2015/9/15,35.75,36.295,35.51,36.15,33.468,1.69%,1752721
2015/9/16,36.15,36.865,36.06,36.52,33.81,1.02%,2130117
2015/9/17,36.63,36.99,36.29,36.4,33.699,-0.33%,1819067
2015/9/18,35.86,36.22,35.585,35.74,33.088,-1.81%,3352296
2015/9/21,35.96,36.07,35.41,35.69,33.042,-0.14%,2640363
2015/9/22,35.19,35.33,34.94,35.05,32.449,-1.79%,2283337
2015/9/23,35.1,35.24,34.81,34.95,32.357,-0.29%,1962552
2015/9/24,34.56,34.64,34.15,34.55,31.986,-1.14%,2028940
2015/9/25,34.7,35.02,34.1,34.45,31.986,-0.29%,2730672
2015/9/28,34.13,34.27,33.32,33.37,30.984,-3.13%,2612153
2015/9/29,33.36,34.06,33.245,33.74,31.327,1.11%,2252364
2015/9/30,34.08,34.43,33.67,34.33,31.875,1.75%,2539760
2015/10/1,34.32,34.48,33.48,33.74,31.327,-1.72%,3011460
2015/10/2,33.18,34.68,33.115,34.67,32.191,2.76%,3519448
2015/10/5,35.04,35.39,34.84,35.34,32.813,1.93%,1675429
2015/10/6,35.13,35.21,34.53,34.9,32.404,-1.25%,1833679
2015/10/7,35.2,35.78,35.1,35.54,32.998,1.83%,3089575
2015/10/8,35.39,36.07,35.34,36.01,33.435,1.32%,2598314
2015/10/9,35.94,36.34,35.88,36.23,33.639,0.61%,3232938
2015/10/12,36.08,36.179,35.86,35.99,33.416,-0.66%,1349866
2015/10/13,35.76,36.24,35.53,35.63,33.082,-1.00%,2383212
2015/10/14,35.64,35.77,34.97,35.05,32.543,-1.63%,1647407
2015/10/15,35.12,35.68,34.79,35.58,33.035,1.51%,1432995
2015/10/16,35.69,36.02,35.37,35.78,33.221,0.56%,1754319
2015/10/19,35.69,36.23,35.59,36.23,33.639,1.26%,3685845
