Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,31.808,32.01,31.64,31.673,28.291,-0.41%,131369216
2015/3/25,31.635,31.705,30.845,30.845,27.552,-2.61%,206620708
2015/3/26,30.69,31.22,30.65,31.06,27.744,0.70%,190291476
2015/3/27,31.143,31.175,30.728,30.813,27.523,-0.80%,158184604
2015/3/30,31.013,31.6,31,31.593,28.22,2.53%,188398680
2015/3/31,31.523,31.623,31.089,31.108,27.786,-1.54%,168362212
2015/4/1,31.205,31.28,30.775,31.063,27.746,-0.14%,162485748
2015/4/2,31.258,31.39,31.048,31.33,27.985,0.86%,128880524
2015/4/6,31.118,31.878,31.083,31.838,28.439,1.62%,148775900
2015/4/7,31.91,32.03,31.495,31.503,28.139,-1.05%,140049072
2015/4/8,31.463,31.6,31.243,31.4,28.048,-0.33%,149316972
2015/4/9,31.463,31.645,31.165,31.64,28.262,0.76%,129935896
2015/4/10,31.488,31.803,31.315,31.775,28.383,0.43%,160751812
2015/4/13,32.093,32.143,31.653,31.713,28.327,-0.20%,145460492
2015/4/14,31.75,31.823,31.478,31.575,28.204,-0.44%,102098372
2015/4/15,31.603,31.783,31.503,31.695,28.311,0.38%,115881676
2015/4/16,31.57,31.775,31.528,31.543,28.175,-0.48%,113475948
2015/4/17,31.388,31.535,31.115,31.188,27.858,-1.13%,207828184
2015/4/20,31.393,32.03,31.293,31.9,28.494,2.28%,188217240
2015/4/21,32.025,32.05,31.668,31.728,28.34,-0.54%,129740228
2015/4/22,31.748,32.218,31.58,32.155,28.722,1.35%,150618020
2015/4/23,32.075,32.605,32.035,32.418,28.957,0.82%,183083608
2015/4/24,32.623,32.658,32.308,32.57,29.093,0.47%,178103620
2015/4/27,33.078,33.283,32.788,33.163,29.622,1.82%,387816828
2015/4/28,33.614,33.635,32.393,32.64,29.155,-1.58%,475695880
2015/4/29,32.54,32.898,32.075,32.16,28.727,-1.47%,253544332
2015/4/30,31.875,31.97,31.145,31.288,27.947,-2.71%,332781692
2015/5/1,31.525,32.533,31.325,32.238,28.796,3.04%,234050552
2015/5/4,32.375,32.643,32.065,32.175,28.74,-0.20%,203953112
2015/5/5,32.038,32.112,31.445,31.45,28.092,-2.25%,197085664
2015/5/6,31.64,31.688,30.84,31.253,27.916,-0.63%,288564040
2015/5/7,31.193,31.52,31.005,31.315,28.088,0.20%,175763580
2015/5/8,31.67,31.905,31.528,31.905,28.617,1.88%,222201528
