Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,91.49,91.49,89.28,89.41,75.477,-2.33%,2948550
2015/3/25,89.41,89.95,88.18,88.21,74.464,-1.34%,3606465
2015/3/26,91.51,94.98,90.94,94.17,79.495,6.76%,7156948
2015/3/27,93.92,94.14,92.65,93.94,79.301,-0.24%,4352015
2015/3/30,94.15,94.84,93.94,94.42,79.706,0.51%,3333089
2015/3/31,94.01,94.49,93.55,93.69,79.09,-0.77%,2708039
2015/4/1,93.56,93.93,92.68,93.56,78.98,-0.14%,2737163
2015/4/2,93.7,94.42,93.1,94.18,79.503,0.66%,2145674
2015/4/6,93.46,96,93.13,95.69,80.778,1.60%,2563700
2015/4/7,95.64,96.78,95.14,96.39,81.369,0.73%,4233017
2015/4/8,95.46,96.16,94.66,95.12,81.158,-1.32%,2652113
2015/4/9,95.4,95.66,94.68,95.47,81.456,0.37%,1952209
2015/4/10,95.45,95.47,94.53,94.69,80.791,-0.82%,2158015
2015/4/13,94.34,94.88,93.44,93.49,79.767,-1.27%,2443882
2015/4/14,93.57,94.22,93.22,93.81,80.04,0.34%,2087008
2015/4/15,94.27,94.5,94.01,94.16,80.339,0.37%,2094737
2015/4/16,93.91,94.22,93.67,94.06,80.253,-0.11%,1934824
2015/4/17,93.29,93.41,92.16,92.39,78.829,-1.78%,2647838
2015/4/20,92.99,93.56,92.62,93.27,79.579,0.95%,3294388
2015/4/21,93.91,94,92.865,93,79.349,-0.29%,1949793
2015/4/22,93.34,93.63,92.755,93.38,79.673,0.41%,1896224
2015/4/23,93.38,94.27,92.85,93.84,80.066,0.49%,2165463
2015/4/24,93.29,93.82,92.64,93.4,79.69,-0.47%,2250827
2015/4/27,94.03,94.4,93.53,93.76,79.997,0.39%,2156362
2015/4/28,93.6,94.49,92.74,94.42,80.561,0.70%,1976294
2015/4/29,94.25,94.41,92.91,93.65,79.904,-0.82%,1701872
2015/4/30,93.23,93.86,92.13,92.65,79.05,-1.07%,1804775
2015/5/1,93.32,93.67,92.7,93.36,79.656,0.77%,1852249
