Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,76.11,76.42,75.38,75.45,75.45,-1.18%,2782843
2015/3/25,75.5,75.59,73.12,73.13,73.13,-3.07%,3444655
2015/3/26,72.43,73.358,72.12,72.97,72.97,-0.22%,2965546
2015/3/27,72.72,73.46,72.56,73.31,73.31,0.47%,2085213
2015/3/30,73.51,73.86,73.1,73.6,73.6,0.40%,1880790
2015/3/31,73.11,74.6,72.94,73.94,73.94,0.46%,2555952
2015/4/1,73.61,75.1,73.03,75.07,75.07,1.53%,3976036
2015/4/2,75.17,76.17,74.61,75.68,75.68,0.81%,2158435
2015/4/6,75.13,76.65,74.75,76.23,76.23,0.73%,2556459
2015/4/7,76.07,76.68,75.62,75.65,75.65,-0.76%,2601250
2015/4/8,75.68,76.35,75.12,75.44,75.44,-0.28%,1938515
2015/4/9,75.62,76.35,75.21,76.33,76.33,1.18%,1556186
2015/4/10,76.3,76.63,76,76.53,76.53,0.26%,1801204
2015/4/13,76.44,77,75.89,76.02,76.02,-0.67%,1230003
2015/4/14,76.02,76.6,75.59,75.95,75.95,-0.09%,1924755
2015/4/15,76.09,76.5,75.9,76.03,76.03,0.11%,1355474
2015/4/16,75.41,75.69,75.095,75.15,75.15,-1.16%,2069782
2015/4/17,74.38,74.55,72.78,73.15,73.15,-2.66%,3856527
2015/4/20,73.42,74.3,73.42,73.92,73.92,1.05%,1688291
2015/4/21,74.31,74.88,74.21,74.62,74.62,0.95%,1894585
2015/4/22,74.68,75.52,74.634,75.5,75.5,1.18%,1523834
2015/4/23,75.08,76.8,75,76.52,76.52,1.35%,1714116
2015/4/24,76.41,77.21,75.84,76.54,76.54,0.03%,1831099
2015/4/27,76.84,77.29,76.36,76.55,76.55,0.01%,1653200
2015/4/28,76.34,77.09,75.87,76.02,76.02,-0.69%,1698227
2015/4/29,75.61,77.26,75.465,76.65,76.65,0.83%,2423865
2015/4/30,76.4,77.24,75.31,76.06,76.06,-0.77%,2109174
2015/5/1,76.29,76.67,75.66,76.43,76.43,0.49%,1745421
2015/5/4,76.43,76.99,75.82,75.85,75.85,-0.76%,1655632
2015/5/5,75.35,75.63,74.75,75,75,-1.12%,2052192
2015/5/6,75.08,75.47,73.96,74.48,74.48,-0.69%,1997335
2015/5/7,74.4,74.84,74.17,74.73,74.73,0.34%,2010135
2015/5/8,75.28,76.52,75.05,76.31,76.31,2.11%,1585632
2015/5/11,76.32,77.34,76.07,76.785,76.785,0.62%,2140410
2015/5/12,76.26,76.9,75.3,76.57,76.57,-0.28%,2082578
2015/5/13,76.6,77.48,76.53,77.08,77.08,0.67%,1830543
2015/5/14,77.64,79.81,77.1,79.43,79.43,3.05%,3068066
2015/5/15,80,80,78.625,78.92,78.92,-0.64%,2676185
2015/5/18,78.69,79.525,78.4,79.41,79.41,0.62%,1436008
2015/5/19,79.75,79.93,79.37,79.62,79.62,0.26%,2065598
2015/5/20,79.57,79.9,78.91,79.61,79.61,-0.01%,2639039
2015/5/21,79.54,80.74,79.19,80.56,80.56,1.19%,2761464
2015/5/22,80.34,80.7,79.97,80.04,80.04,-0.65%,1825194
2015/5/26,79.91,80.12,78.84,79.365,79.365,-0.84%,2080761
2015/5/27,79.55,80.32,79.27,80.16,80.16,1.00%,1671821
2015/5/28,80.17,80.42,79.745,80.015,80.015,-0.18%,1248364
2015/5/29,79.89,79.99,78.94,79.09,79.09,-1.16%,3288029
2015/6/1,79.5,80,78.59,79.87,79.87,0.99%,2288815
2015/6/2,79.7,80.22,79.35,79.82,79.82,-0.06%,1533956
2015/6/3,79.93,80.34,79.44,80.13,80.13,0.39%,1972025
2015/6/4,79.86,80.379,78.64,78.75,78.75,-1.72%,1659256
2015/6/5,78.64,79.39,78.38,78.86,78.86,0.14%,1325884
2015/6/8,78.9,79.18,77.9,78.16,78.16,-0.89%,1621644
2015/6/9,77.88,78.05,76.95,77.9,77.9,-0.33%,2100935
2015/6/10,78.18,79.7,77.99,79.56,79.56,2.13%,1775952
2015/6/11,79.81,80.29,79.42,79.65,79.65,0.11%,1918251
2015/6/12,79.33,80.26,79.06,79.86,79.86,0.26%,1794851
2015/6/15,79.17,79.25,78.35,78.9,78.9,-1.20%,2459672
2015/6/16,78.93,80.43,78.83,79.94,79.94,1.32%,3579416
2015/6/17,79.5,80,77.74,77.91,77.91,-2.54%,6464247
2015/6/18,77.82,79.94,77.82,79.39,79.39,1.90%,3858561
2015/6/19,79.41,79.94,79.06,79.7,79.7,0.39%,3155595
2015/6/22,80,82.66,79.85,82.28,82.28,3.24%,5829955
2015/6/23,82.17,83.77,82.1,83.55,83.55,1.54%,4944995
2015/6/24,83.22,84.36,82.975,83.4,83.4,-0.18%,4311199
2015/6/25,83.82,84.27,83.49,83.94,83.94,0.65%,3052904
2015/6/26,84.22,84.22,82.265,82.74,82.74,-1.43%,5914717
2015/6/29,81.22,82.06,81.15,81.28,81.28,-1.76%,4060269
2015/6/30,82.19,82.34,80.95,81.01,81.01,-0.33%,4086360
2015/7/1,81.57,81.915,80.71,80.945,80.945,-0.08%,2944498
2015/7/2,81.19,81.29,80.38,80.75,80.75,-0.24%,2200892
2015/7/6,80.02,81.19,80,80.5,80.5,-0.31%,2590913
2015/7/7,80.77,81,78.94,80.59,80.59,0.11%,2781935
2015/7/8,79.95,80.52,79.4,79.99,79.99,-0.74%,4157628
2015/7/9,80.74,81.67,80.41,80.47,80.47,0.60%,3068877
2015/7/10,81.5,81.5,80.47,80.59,80.59,0.15%,3025163
2015/7/13,81.09,81.66,80.82,81.44,81.44,1.05%,4597216
