Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,42.29,42.66,41.48,41.68,30.498,-1.72%,2225185
2015/3/25,41.74,42.07,41.43,41.46,30.337,-0.53%,2189227
2015/3/26,41.47,41.72,40.855,40.95,29.964,-1.23%,1997691
2015/3/27,41.09,41.53,40.95,41.39,30.286,1.07%,1505996
2015/3/30,41.54,42.33,41.39,42.08,30.791,1.67%,1315294
2015/3/31,42.08,42.7,41.91,42.2,30.879,0.29%,1915070
2015/4/1,42.21,42.41,41.64,42.37,31.003,0.40%,1183995
2015/4/2,42.3,42.57,42.17,42.29,30.945,-0.19%,1287517
2015/4/6,42.36,43,42.36,42.44,31.055,0.35%,2038605
2015/4/7,42.43,42.43,41.765,41.8,30.586,-1.51%,2090853
2015/4/8,41.82,41.96,41.4,41.72,30.528,-0.19%,1913595
2015/4/9,41.62,41.78,41.27,41.65,30.476,-0.17%,1528964
2015/4/10,41.88,42.29,41.69,42.12,30.82,1.13%,954157
2015/4/13,42.01,42.19,41.56,41.57,30.418,-1.31%,923664
2015/4/14,41.77,42.05,41.63,41.79,30.579,0.53%,911562
2015/4/15,41.9,42.42,41.71,41.75,30.55,-0.10%,1434159
2015/4/16,41.62,41.73,41.15,41.32,30.235,-1.03%,1673835
2015/4/17,41.18,41.58,40.96,41.13,30.096,-0.46%,1198892
2015/4/20,41.25,42.21,41.25,41.65,30.476,1.26%,1104933
2015/4/21,41.67,42.02,41.44,41.55,30.403,-0.24%,1495656
2015/4/22,41.68,41.88,41.43,41.68,30.498,0.31%,1717335
2015/4/23,41.71,42.25,41.615,41.91,30.667,0.55%,1181261
2015/4/24,41.89,42.725,41.764,42.32,30.967,0.98%,819518
2015/4/27,42.73,42.84,41.885,41.92,30.674,-0.95%,1882438
2015/4/28,41.73,42.4,41.62,42.3,30.952,0.91%,1184784
2015/4/29,41.89,42.21,41.65,41.84,30.615,-1.09%,1307784
2015/4/30,41.71,41.82,40.68,40.94,29.957,-2.15%,2005353
2015/5/1,41.05,41.31,40.67,41.2,30.147,0.64%,1066281
2015/5/4,41.24,41.925,41.24,41.59,30.433,0.95%,859403
2015/5/5,41.43,41.53,40.56,40.59,29.701,-2.40%,1413219
2015/5/6,40.55,40.79,39.85,40.37,29.54,-0.54%,1634037
2015/5/7,40.18,41.05,39.7,40.4,29.562,0.07%,3482349
2015/5/8,40.87,41.2,40.15,40.39,29.554,-0.02%,1967288
2015/5/11,40.29,40.8,40.175,40.3,29.489,-0.22%,1811429
2015/5/12,40.03,40.315,39.84,40.26,29.459,-0.10%,1562941
2015/5/13,40.41,40.567,39.66,39.83,29.145,-1.07%,1126955
2015/5/14,40.07,40.32,39.93,40.26,29.459,1.08%,1392675
2015/5/15,40.38,40.738,40.27,40.54,29.664,0.70%,955210
2015/5/18,40.34,40.92,40.34,40.78,29.84,0.59%,1084184
2015/5/19,40.56,40.89,40.44,40.74,29.811,-0.10%,1094641
2015/5/20,40.75,41.21,40.66,40.92,29.942,0.44%,1163517
2015/5/21,40.89,40.98,40.535,40.67,29.759,-0.61%,1156576
2015/5/22,40.59,40.785,40.27,40.65,29.745,-0.05%,744176
2015/5/26,40.67,40.67,40.01,40.32,29.503,-0.81%,1104229
2015/5/27,40.36,40.44,40.1,40.39,29.554,0.17%,1091511
2015/5/28,40.4,40.58,40.13,40.44,29.591,0.12%,996125
2015/5/29,40.45,40.58,40.04,40.23,29.437,-0.52%,1189392
2015/6/1,40.25,40.49,40.075,40.22,29.43,-0.02%,1027303
2015/6/2,40,40.01,39.26,39.62,28.991,-1.49%,1481676
2015/6/3,39.51,39.7,38.86,39.31,28.764,-0.78%,1605870
2015/6/4,39.13,39.51,39.02,39.09,28.603,-0.56%,1146355
2015/6/5,38.74,38.74,38.28,38.37,28.076,-1.84%,1390900
2015/6/8,38.02,38.18,37.9,37.93,28.054,-1.15%,1106977
2015/6/9,37.89,38.18,37.83,37.87,28.01,-0.16%,1342424
2015/6/10,37.98,38.32,37.8,37.81,27.966,-0.16%,2190633
2015/6/11,38.05,38.36,37.99,38.3,28.328,1.30%,1215578
2015/6/12,38.05,38.238,37.75,37.77,27.936,-1.38%,1020625
2015/6/15,37.75,37.97,37.59,37.73,27.907,-0.11%,1210199
2015/6/16,37.61,37.82,37.4,37.81,27.966,0.21%,1262728
2015/6/17,37.81,38.21,37.7,38.09,28.173,0.74%,1068870
2015/6/18,38.18,38.73,38.125,38.54,28.506,1.18%,1155115
2015/6/19,38.54,38.76,38.25,38.26,28.299,-0.73%,1249044
2015/6/22,38.12,38.5,38.1,38.31,28.335,0.13%,1123639
2015/6/23,38.2,38.34,37.75,37.76,27.929,-1.44%,1107581
2015/6/24,37.78,37.97,37.735,37.78,27.943,0.05%,1865420
2015/6/25,37.97,37.99,37.5,37.51,27.744,-0.71%,1398420
2015/6/26,37.46,37.789,37.26,37.73,27.907,0.59%,991275
2015/6/29,37.72,38.21,37.52,37.54,27.766,-0.50%,1599148
2015/6/30,37.84,37.97,37.585,37.68,27.87,0.37%,2036697
2015/7/1,37.75,38.01,37.55,37.98,28.091,0.80%,1356955
2015/7/2,38.31,38.67,38.19,38.5,28.476,1.37%,1341455
2015/7/6,38.41,38.65,38.17,38.56,28.52,0.16%,1173117
2015/7/7,38.77,39.67,38.71,39.6,29.29,2.70%,1903466
2015/7/8,39.4,39.68,39.15,39.28,29.053,-0.81%,1128976
2015/7/9,39.34,39.53,38.5,38.68,28.609,-1.53%,1186795
2015/7/10,38.67,39.33,38.51,39.02,28.861,0.88%,1208195
2015/7/13,39.15,39.26,38.67,38.91,28.779,-0.28%,1111680
2015/7/14,38.94,39.12,38.74,38.86,28.742,-0.13%,961101
2015/7/15,38.86,39.01,38.62,38.99,28.838,0.33%,692999
2015/7/16,38.99,39.778,38.99,39.66,29.334,1.72%,1079908
2015/7/17,39.49,39.69,39.28,39.39,29.134,-0.68%,1619421
2015/7/20,39.33,39.33,38.81,39.12,28.935,-0.69%,980727
2015/7/21,39.05,39.12,38.5,38.7,28.624,-1.07%,821060
2015/7/22,38.73,39.04,38.61,38.66,28.594,-0.10%,1354719
2015/7/23,38.55,38.59,37.92,38.27,28.306,-1.01%,1403650
2015/7/24,38.31,38.61,38.125,38.53,28.498,0.68%,1115037
2015/7/27,38.59,39.17,38.46,39.02,28.861,1.27%,852008
2015/7/28,39.33,39.43,38.98,39.34,29.097,0.82%,1824413
2015/7/29,39.27,39.68,39.01,39.65,29.327,0.79%,1241457
2015/7/30,39.54,39.99,39.35,39.77,29.415,0.30%,1336143
2015/7/31,40.12,41.34,39.78,41.08,30.384,3.29%,2768597
2015/8/3,41.26,41.93,41.23,41.59,30.762,1.24%,2296241
2015/8/4,41.44,41.485,40.93,41.01,30.333,-1.39%,1840848
2015/8/5,41.17,41.56,41.02,41.36,30.591,0.85%,1312673
2015/8/6,41.38,41.74,40.99,41.69,30.835,0.80%,1087799
2015/8/7,41.6,42.33,41.35,42.12,31.154,1.03%,978250
2015/8/10,42.13,42.4,41.72,41.82,30.932,-0.71%,1323215
2015/8/11,41.81,42.3,41.63,42.1,31.139,0.67%,2162717
2015/8/12,42.21,42.72,41.85,42.65,31.546,1.31%,3666385
2015/8/13,40.99,42.735,40.99,42.62,31.523,-0.07%,1688184
2015/8/14,42.52,42.82,42.31,42.74,31.612,0.28%,2406049
2015/8/17,42.78,43.61,42.62,43.4,32.1,1.54%,1778393
2015/8/18,43.24,43.46,43,43.2,31.952,-0.46%,1931389
2015/8/19,43.02,43.65,42.78,43.55,32.211,0.81%,1758296
2015/8/20,43.22,43.845,43.19,43.31,32.034,-0.55%,1384422
2015/8/21,43.19,43.36,42.505,42.51,31.442,-1.85%,2201107
2015/8/24,41.07,41.98,40.48,40.68,30.088,-4.30%,3089667
2015/8/25,41.45,41.45,39.75,39.77,29.415,-2.24%,2749001
2015/8/26,40.29,40.65,39.66,40.55,29.992,1.96%,2825429
2015/8/27,40.75,41.04,40.26,41.02,30.34,1.16%,2447580
2015/8/28,40.96,41.21,40.51,41.07,30.377,0.12%,1577362
2015/8/31,40.85,41.01,39.89,40.29,29.8,-1.90%,2572379
2015/9/1,39.74,39.96,38.89,39.12,28.935,-2.90%,2420270
2015/9/2,39.56,39.6,38.64,39.08,28.905,-0.10%,1759252
2015/9/3,39.23,39.41,39.035,39.25,29.031,0.44%,1135430
2015/9/4,38.86,38.91,38.35,38.56,28.52,-1.76%,1571745
2015/9/8,38.69,39.005,38.475,38.98,29.134,1.09%,1684737
2015/9/9,38.98,39.12,38.385,38.46,28.746,-1.33%,1679082
2015/9/10,38.29,38.91,38.15,38.43,28.723,-0.08%,1239373
2015/9/11,38.34,38.82,38.26,38.82,29.015,1.01%,1473082
2015/9/14,38.84,39.22,38.79,38.98,29.134,0.41%,1449132
2015/9/15,38.98,39.335,38.7,39.2,29.299,0.56%,1380004
2015/9/16,39.22,39.74,39.11,39.69,29.665,1.25%,1345942
2015/9/17,39.7,41.07,39.62,40.54,30.3,2.14%,2627154
2015/9/18,40.23,40.73,40.16,40.37,30.173,-0.42%,2931922
2015/9/21,40.52,41.06,40.388,40.82,30.51,1.11%,1704218
2015/9/22,40.52,40.79,40.41,40.5,30.27,-0.78%,1595561
2015/9/23,40.5,40.88,40.36,40.8,30.495,0.74%,1122025
2015/9/24,40.7,41.19,40.43,41.05,30.681,0.61%,1688811
2015/9/25,41.17,41.825,40.805,41.37,30.921,0.78%,1716712
2015/9/28,41.39,41.81,41.24,41.54,31.048,0.41%,1740140
2015/9/29,41.55,41.79,41.254,41.69,31.16,0.36%,1360138
2015/9/30,41.9,42.29,41.63,42.27,31.593,1.39%,1503342
2015/10/1,42.31,42.44,41.46,41.78,31.227,-1.16%,1971931
2015/10/2,42.2,42.32,41.65,42.32,31.631,1.29%,1043187
2015/10/5,42.45,42.74,42.04,42.62,31.855,0.71%,1146515
2015/10/6,42.54,42.67,42.08,42.31,31.623,-0.73%,917546
2015/10/7,42.44,42.51,42.07,42.21,31.548,-0.24%,1029438
2015/10/8,42.1,43.21,42.002,43.12,32.229,2.16%,1970749
2015/10/9,43.13,43.24,42.78,43.12,32.229,0.00%,2145471
2015/10/12,43.2,43.74,43.14,43.72,32.677,1.39%,1436304
2015/10/13,43.61,43.8,43.32,43.65,32.625,-0.16%,2277325
2015/10/14,43.72,43.96,43.34,43.39,32.43,-0.60%,1509361
2015/10/15,43.6,44.06,43.39,43.94,32.841,1.27%,927611
2015/10/16,44.17,44.44,43.91,44.1,32.961,0.36%,1079426
2015/10/19,43.97,44.3,43.74,44.29,33.103,0.43%,1294614
2015/10/20,44.15,44.515,43.97,44.32,33.126,0.07%,1052211
2015/10/21,44.45,44.65,44.08,44.15,32.998,-0.38%,944143
2015/10/22,44.23,44.61,44.19,44.5,33.26,0.79%,1422403
2015/10/23,44.41,44.56,43.679,43.99,32.879,-1.15%,1303900
2015/10/26,44.06,44.43,43.72,44.41,33.193,0.95%,1542621
2015/10/27,44.27,44.68,44.25,44.49,33.253,0.18%,1327548
2015/10/28,44.44,44.71,43.51,44.03,32.909,-1.03%,1519727
2015/10/29,43.82,43.87,42.95,43.41,32.445,-1.41%,1850366
2015/10/30,43.58,43.851,43.34,43.68,32.647,0.62%,1428766
2015/11/2,43.7,44.02,43.39,43.92,32.827,0.55%,1430881
2015/11/3,43.76,43.97,43.547,43.87,32.789,-0.11%,1174052
2015/11/4,43.89,44.32,43.89,44.21,33.043,0.78%,1063052
2015/11/5,44.15,44.455,43.94,44.02,32.901,-0.43%,1774900
2015/11/6,43.77,44.49,42.18,42.55,31.803,-3.34%,2445435
2015/11/9,42.35,43.23,41.88,43.14,32.244,1.39%,2139773
2015/11/10,43.09,43.88,43.09,43.81,32.744,1.55%,1639835
2015/11/11,43.9,44.4,43.88,44.22,33.051,0.94%,1546644
2015/11/12,44.2,44.51,43.41,43.5,32.513,-1.63%,2066332
2015/11/13,43.63,44.09,43.01,43.13,32.236,-0.85%,2073208
2015/11/16,43.24,43.95,43.02,43.93,32.834,1.85%,3025118
2015/11/17,43.82,44.33,42.74,42.86,32.034,-2.44%,3251596
2015/11/18,42.83,43.29,42.37,43.22,32.303,0.84%,2386037
2015/11/19,43.42,43.91,43.37,43.7,32.662,1.11%,2279994
2015/11/20,43.93,44.34,43.875,44.11,32.969,0.94%,2942844
2015/11/23,44.03,44.17,43.26,43.34,32.393,-1.75%,1592266
2015/11/24,43.17,43.34,42.75,43.22,32.303,-0.28%,1455226
2015/11/25,43.24,43.37,43.05,43.16,32.259,-0.14%,1158337
2015/11/27,43.28,43.45,43.11,43.31,32.371,0.35%,657853
2015/11/30,43.45,44.07,43.42,43.76,32.707,1.04%,2954162
2015/12/1,44,44.09,43.45,43.83,32.759,0.16%,1960669
2015/12/2,43.94,43.94,42.77,42.83,32.012,-2.28%,1928021
2015/12/3,42.64,42.82,41.98,42.25,31.578,-1.35%,3152064
2015/12/4,42.48,43.38,42.44,43.34,32.393,2.58%,2710998
2015/12/7,42.8,43.02,42.6,42.97,32.434,-0.85%,1885106
2015/12/8,42.89,43.07,42.43,42.74,32.261,-0.54%,2339144
2015/12/9,42.52,43,42.37,42.58,32.14,-0.37%,2099757
2015/12/10,42.58,42.66,41.55,41.71,31.483,-2.04%,1968124
2015/12/11,41.52,42.08,41.33,41.72,31.491,0.02%,1658358
2015/12/14,41.7,41.89,41.41,41.8,31.551,0.19%,2144710
2015/12/15,42,42.27,41.81,41.94,31.657,0.33%,1864660
2015/12/16,42.26,43.12,42.04,43,32.457,2.53%,1793991
2015/12/17,43.06,44.06,43,44.03,33.234,2.40%,3129762
2015/12/18,43.79,43.85,43.01,43.2,32.608,-1.89%,3470194
2015/12/21,43.28,43.53,42.655,42.86,32.351,-0.79%,1474312
2015/12/22,42.98,43.29,42.44,43.2,32.608,0.79%,1520801
2015/12/23,43.36,43.95,43.34,43.85,33.098,1.50%,1120157
2015/12/24,43.76,43.811,43.59,43.68,32.97,-0.39%,345780
2015/12/28,43.61,44.05,43.57,44.04,33.242,0.82%,891019
2015/12/29,44.15,44.44,44.02,44.12,33.302,0.18%,1071165
2015/12/30,44.18,44.37,43.92,44,33.212,-0.27%,994282
2015/12/31,43.95,44,42.92,43.23,32.63,-1.75%,2080411
2016/1/4,43.13,43.22,42.58,43.03,32.479,-0.46%,2664386
2016/1/5,43.02,43.59,42.35,43.54,32.864,1.19%,2295771
2016/1/6,43.24,43.93,43.15,43.82,33.076,0.64%,1974493
2016/1/7,43.47,44.075,43.4,43.85,33.098,0.07%,3190229
2016/1/8,43.88,44.05,43.43,43.51,32.842,-0.78%,2139259
2016/1/11,43.54,43.85,43.41,43.52,32.849,0.02%,2238007
2016/1/12,43.64,43.64,42.98,43.38,32.744,-0.32%,1797115
2016/1/13,43.54,43.745,43.05,43.14,32.562,-0.55%,2263296
2016/1/14,43.06,43.97,42.86,43.71,32.993,1.32%,1493928
2016/1/15,43.12,43.695,42.91,43.51,32.842,-0.46%,2010061
2016/1/19,44,44,43.14,43.45,32.796,-0.14%,4015774
2016/1/20,43.39,43.5,41.5,42.33,31.951,-2.58%,3700042
2016/1/21,42.33,42.515,41.76,42.13,31.8,-0.47%,2107481
2016/1/22,42.35,43.015,42.1,42.95,32.419,1.95%,1872170
2016/1/25,43.06,43.09,42.538,42.67,32.208,-0.65%,1783624
2016/1/26,42.76,43.42,42.55,42.76,32.276,0.21%,1621663
2016/1/27,42.78,43.456,42.54,43.2,32.608,1.03%,1851402
2016/1/28,43.14,44.1,42.75,43.85,33.098,1.50%,1537346
2016/1/29,44.3,44.97,44.08,44.92,33.906,2.44%,2402573
2016/2/1,44.73,45.81,44.69,45.66,34.465,1.65%,1843338
2016/2/2,45.53,46.5,45.33,46.38,35.008,1.58%,2622125
2016/2/3,46.77,47.9,46.73,47.33,35.725,2.05%,4515605
2016/2/4,47.16,47.39,46.26,46.53,35.121,-1.69%,3032003
2016/2/5,46.18,46.74,45.54,46.49,35.091,-0.09%,2971739
2016/2/8,46.62,46.94,45.55,46.17,34.85,-0.69%,2379542
2016/2/9,45.93,46.5,45.84,46.08,34.782,-0.19%,2285394
2016/2/10,46.03,46.471,45.34,46.2,34.872,0.26%,2546988
2016/2/11,46.16,46.43,45.335,45.37,34.246,-1.80%,1552864
2016/2/12,45.31,45.71,44.84,45.25,34.155,-0.26%,1134159
