Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,57.85,58.28,57.065,57.25,40.063,-1.21%,1919585
2015/3/25,57.32,57.75,55.88,55.91,39.125,-2.34%,5557092
2015/3/26,55.8,56.23,55.09,55.33,38.719,-1.04%,3077175
2015/3/27,55.4,56.48,55.22,55.9,39.118,1.03%,2545405
2015/3/30,56.07,56.9,55.86,56.58,39.594,1.22%,1869060
2015/3/31,56.47,57.07,56.1,56.25,39.363,-0.58%,3366623
2015/4/1,56.22,56.63,55.63,56.37,39.447,0.21%,3032624
2015/4/2,56.32,56.65,56.16,56.46,39.51,0.16%,2277322
2015/4/6,56.64,57.513,56.64,57.1,39.958,1.13%,1794514
2015/4/7,57.01,57.17,56.35,56.37,39.447,-1.28%,1870377
2015/4/8,56.39,56.44,55.655,55.98,39.174,-0.69%,2953837
2015/4/9,56.05,56.08,55.38,55.79,39.041,-0.34%,1925964
2015/4/10,55.96,56.58,55.79,56.39,39.461,1.08%,1279237
2015/4/13,56.21,56.36,55.64,55.67,38.957,-1.28%,1128416
2015/4/14,55.78,56.28,55.7,56.1,39.258,0.77%,1786047
2015/4/15,56.22,56.77,56.1,56.36,39.44,0.46%,2216461
2015/4/16,56.18,56.22,55.53,55.85,39.083,-0.90%,2762002
2015/4/17,55.62,56.39,55.51,55.73,38.999,-0.21%,1980096
2015/4/20,55.85,57.09,55.84,56.63,39.629,1.61%,2408574
2015/4/21,56.67,57.07,55.77,55.97,39.167,-1.17%,1958947
2015/4/22,56.18,56.25,55.67,56.14,39.286,0.30%,2305084
2015/4/23,56.84,57.12,56.33,56.9,39.818,1.35%,2776156
2015/4/24,57.15,58.35,57.04,57.88,40.504,1.72%,4012489
2015/4/27,58.07,58.11,57.65,57.71,40.385,-0.29%,3457991
2015/4/28,57.39,58.11,57.18,58.08,40.644,0.64%,3114750
2015/4/29,57.51,58.03,57.21,57.79,40.441,-0.50%,4064971
2015/4/30,57.54,57.61,56.42,56.87,39.797,-1.59%,3815708
2015/5/1,56.85,57.18,56.53,57.03,39.909,0.28%,2385705
2015/5/4,57.04,57.72,56.92,57.36,40.14,0.58%,2231042
2015/5/5,57.13,57.17,55.83,55.9,39.118,-2.55%,4733264
2015/5/6,55.48,55.69,54.36,54.96,38.831,-1.68%,2998738
2015/5/7,55.24,55.72,55.03,55.26,39.043,0.55%,2180235
2015/5/8,55.8,56.272,55.54,55.8,39.425,0.98%,2179267
2015/5/11,55.63,56.17,55.29,55.43,39.163,-0.66%,1606771
2015/5/12,55.08,55.16,54.57,54.95,38.824,-0.87%,2906692
2015/5/13,55.05,55.37,54.06,54.28,38.351,-1.22%,2949151
2015/5/14,54.56,55.31,54.55,55.1,38.93,1.51%,2306435
2015/5/15,55.32,55.74,55.13,55.6,39.283,0.91%,2144358
2015/5/18,55.36,56.04,55.34,55.88,39.481,0.50%,1975041
2015/5/19,55.6,56.1,55.43,55.8,39.425,-0.14%,1766626
