Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,31.905,32.06,31.775,31.8,25.084,-0.41%,3283056
2015/3/25,31.765,31.875,31.59,31.675,24.986,-0.39%,4555130
2015/3/26,31.63,31.86,31.47,31.75,25.045,0.24%,4570356
2015/3/27,31.75,31.81,31.515,31.775,25.065,0.08%,3461296
2015/3/30,31.855,32.18,31.815,32.1,25.321,1.02%,3481056
2015/3/31,31.9,32.104,31.775,32.005,25.246,-0.30%,3639396
2015/4/1,31.935,31.97,31.655,31.785,25.072,-0.69%,3383726
2015/4/2,31.75,31.948,31.66,31.79,25.076,0.02%,3559268
2015/4/6,31.55,32.21,31.55,31.985,25.23,0.61%,3425496
2015/4/7,32.085,32.16,31.88,31.895,25.159,-0.28%,2488228
2015/4/8,31.965,32.186,31.822,32.12,25.337,0.71%,2664990
2015/4/9,32.11,32.37,31.995,32.265,25.451,0.45%,2878974
2015/4/10,32.265,32.315,32.14,32.26,25.447,-0.02%,2352332
2015/4/13,32.165,32.453,32.115,32.185,25.388,-0.23%,3418248
2015/4/14,32.205,32.433,32.13,32.28,25.463,0.30%,2429164
2015/4/15,32.315,32.55,32.273,32.36,25.526,0.25%,2577384
2015/4/16,32.34,32.405,32.175,32.24,25.431,-0.37%,2894980
2015/4/17,32.085,32.13,31.801,31.99,25.234,-0.78%,3268206
2015/4/20,32.165,32.345,32.125,32.225,25.419,0.73%,1861350
2015/4/21,32.31,32.405,31.715,31.93,25.187,-0.92%,2810576
2015/4/22,32.025,32.08,31.73,32.035,25.27,0.33%,2492636
2015/4/23,31.92,32.208,31.865,32.085,25.309,0.16%,2522454
2015/4/24,32.14,32.205,31.965,32.095,25.317,0.03%,2863280
2015/4/27,32.16,32.26,31.97,32.01,25.25,-0.26%,2913530
2015/4/28,31.945,32.268,31.82,32.21,25.408,0.62%,3052420
2015/4/29,31.545,32.105,31.07,31.93,25.187,-0.87%,7756486
2015/4/30,31.82,32.044,31.495,31.52,24.863,-1.28%,6567924
2015/5/1,31.71,31.835,31.4,31.555,24.891,0.11%,4755296
2015/5/4,31.685,31.9,31.65,31.76,25.053,0.65%,3353404
2015/5/5,31.685,32.103,31.59,31.865,25.136,0.33%,4366560
2015/5/6,32.05,32.15,31.575,31.77,25.061,-0.30%,3674282
2015/5/7,31.82,32.11,31.685,31.875,25.143,0.33%,4728704
2015/5/8,31.995,32.155,31.84,32.11,25.329,0.74%,3267342
2015/5/11,32.04,32.21,31.935,31.945,25.199,-0.51%,3958514
2015/5/12,31.865,31.915,31.66,31.685,24.994,-0.81%,4059910
2015/5/13,31.655,31.92,31.62,31.8,25.084,0.36%,3295646
2015/5/14,31.945,32.04,31.81,31.885,25.151,0.27%,3177196
2015/5/15,31.855,31.96,31.6,31.835,25.112,-0.16%,3850950
2015/5/18,31.65,32.033,31.64,31.965,25.368,0.41%,3269726
2015/5/19,32.05,32.26,31.9,32.125,25.495,0.50%,4346314
2015/5/20,32.09,32.53,31.96,32.355,25.678,0.72%,4806630
2015/5/21,32.225,32.265,31.415,31.445,24.956,-2.81%,9736202
2015/5/22,31.37,31.74,31.27,31.355,24.884,-0.29%,5792518
2015/5/26,31.245,31.285,30.815,30.87,24.499,-1.55%,7815124
2015/5/27,31.02,31.413,30.955,31.23,24.785,1.17%,4854078
2015/5/28,31.13,31.31,30.98,31.28,24.825,0.16%,3325666
2015/5/29,31.32,31.34,31.025,31.11,24.69,-0.54%,4488156
2015/6/1,31.25,31.315,30.988,31.05,24.642,-0.19%,4686108
2015/6/2,31.045,31.33,30.99,31.13,24.706,0.26%,4358002
2015/6/3,31.155,31.395,31.107,31.255,24.805,0.40%,3308084
2015/6/4,31.21,31.335,31.025,31.055,24.646,-0.64%,3516160
2015/6/5,31.11,31.175,30.85,30.905,24.527,-0.48%,3629124
2015/6/8,30.86,31.02,30.79,30.81,24.452,-0.31%,3777264
2015/6/9,30.795,30.945,30.66,30.835,24.471,0.08%,2987138
2015/6/10,30.97,31.425,30.965,31.26,24.809,1.38%,2886726
2015/6/11,31.315,31.57,31.257,31.495,24.995,0.75%,3450678
2015/6/12,31.13,31.448,31.1,31.285,24.829,-0.67%,3372970
2015/6/15,31.015,31.18,30.935,31.025,24.622,-0.83%,3154374
2015/6/16,30.97,31.323,30.925,31.225,24.781,0.64%,3819666
2015/6/17,31.325,31.5,31.185,31.235,24.789,0.03%,3426416
2015/6/18,31.3,31.635,31.3,31.545,25.035,0.99%,3563036
2015/6/19,31.45,31.515,31.26,31.28,24.825,-0.84%,4669120
2015/6/22,31.48,31.55,31.325,31.415,24.932,0.43%,2250578
2015/6/23,31.495,31.505,31.32,31.425,24.94,0.03%,3181980
2015/6/24,31.36,31.47,31.22,31.24,24.793,-0.59%,2596090
2015/6/25,31.545,31.905,31.495,31.67,25.134,1.38%,8166642
2015/6/26,31.675,31.915,31.525,31.845,25.273,0.55%,5021638
2015/6/29,31.495,31.61,30.7,30.72,24.38,-3.53%,6903688
2015/6/30,30.955,31.255,30.835,31.1,24.682,1.24%,4824652
2015/7/1,31.525,31.53,31.068,31.215,24.773,0.37%,3988120
2015/7/2,31.185,31.25,30.815,30.98,24.586,-0.75%,2876702
2015/7/6,30.615,31.015,30.54,30.79,24.436,-0.61%,3528704
2015/7/7,30.78,30.9,30.345,30.885,24.511,0.31%,4008148
2015/7/8,30.66,30.725,30.115,30.23,23.991,-2.12%,3905060
2015/7/9,30.605,30.695,30.285,30.33,24.071,0.33%,4694570
2015/7/10,30.675,30.895,30.665,30.855,24.487,1.73%,5252166
2015/7/13,30.38,30.835,30.29,30.71,24.372,-0.47%,11232584
2015/7/14,30.685,30.87,30.59,30.705,24.368,-0.02%,6114312
2015/7/15,30.805,30.895,30.675,30.895,24.519,0.62%,5354602
2015/7/16,31.07,31.215,30.913,31.11,24.69,0.70%,3173060
2015/7/17,31.095,31.095,30.595,30.795,24.44,-1.01%,3233002
2015/7/20,30.835,30.93,30.53,30.78,24.428,-0.05%,4495226
2015/7/21,30.835,31.058,30.75,30.9,24.523,0.39%,3660334
2015/7/22,30.905,31.065,30.811,30.94,24.555,0.13%,3202710
2015/7/23,30.945,31.068,30.815,30.93,24.547,-0.03%,3101520
2015/7/24,30.93,31.22,30.885,30.96,24.571,0.10%,4088080
2015/7/27,30.74,30.875,30.57,30.765,24.416,-0.63%,2680324
2015/7/28,30.905,31.235,30.701,31.165,24.733,1.30%,4530764
2015/7/29,31.095,32.315,31.065,32.27,25.61,3.55%,8339920
2015/7/30,32.16,32.33,31.945,32.02,25.412,-0.77%,5319328
2015/7/31,32.06,32.15,31.96,32.025,25.416,0.02%,4822770
2015/8/3,31.97,32.015,31.695,32.015,25.408,-0.03%,3310554
2015/8/4,32.02,32.25,31.92,31.965,25.368,-0.16%,3151594
2015/8/5,32.18,32.39,32.035,32.05,25.436,0.27%,3080912
2015/8/6,32.05,32.13,31.79,31.84,25.269,-0.66%,4253444
2015/8/7,31.82,32.035,31.725,32.02,25.412,0.57%,3865056
2015/8/10,32.2,32.495,32.19,32.46,25.761,1.37%,3337544
2015/8/11,32.06,32.26,31.92,32.12,25.491,-1.05%,2972606
2015/8/12,31.94,32.135,31.555,32.055,25.44,-0.20%,4441872
2015/8/13,32.065,32.305,31.98,32.085,25.463,0.09%,2369334
2015/8/14,32.1,32.39,32.068,32.38,25.698,0.92%,3486158
2015/8/17,31.985,32.291,31.75,32.265,25.761,-0.36%,3737408
2015/8/18,32.175,32.32,32.15,32.29,25.781,0.08%,2493250
2015/8/19,31.85,31.98,31.375,31.525,25.17,-2.37%,8738692
2015/8/20,31.245,31.33,30.61,30.625,24.452,-2.85%,7038578
2015/8/21,30.34,30.52,29.585,29.6,23.633,-3.35%,6402222
2015/8/24,27.833,28.975,25.705,28.145,22.472,-4.92%,10206772
2015/8/25,28.99,28.99,27.585,27.615,22.048,-1.88%,6206890
2015/8/26,28.285,28.52,27.815,28.46,22.723,3.06%,6282536
2015/8/27,28.92,29.385,28.675,29.315,23.406,3.00%,5196650
2015/8/28,29.23,29.36,29.01,29.335,23.422,0.07%,4100014
2015/8/31,29.08,29.405,28.96,29.3,23.394,-0.12%,4900124
2015/9/1,28.67,28.805,28.215,28.325,22.615,-3.33%,5848098
2015/9/2,28.69,28.755,28.3,28.725,22.935,1.41%,4069870
2015/9/3,28.825,29.045,28.65,28.775,22.975,0.17%,4667318
2015/9/4,28.345,28.475,28.095,28.195,22.511,-2.02%,4639644
2015/9/8,28.67,28.795,28.56,28.785,22.983,2.09%,6352176
2015/9/9,29.245,29.34,28.45,28.495,22.751,-1.01%,4330114
2015/9/10,28.83,28.98,28.53,28.85,23.034,1.25%,4928778
2015/9/11,28.73,29.085,28.68,29.07,23.21,0.76%,4186316
2015/9/14,29.055,29.11,28.82,28.9,23.074,-0.58%,2911044
2015/9/15,29.07,29.38,28.95,29.285,23.382,1.33%,2827244
2015/9/16,29.28,29.485,29.18,29.42,23.49,0.46%,2810022
2015/9/17,29.45,29.54,28.97,29.055,23.198,-1.24%,4411334
