Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,51.92,52.35,51.58,52,45.152,0.17%,949441
2015/3/25,52,52.3,51.14,51.18,44.44,-1.58%,554206
2015/3/26,51.05,51.315,50.84,51,44.284,-0.35%,788058
2015/3/27,52.99,53.03,51.37,51.55,44.761,1.08%,1493270
2015/3/30,51.96,52.55,51.64,52.43,45.525,1.71%,930380
2015/3/31,52.28,52.92,51.88,52.84,45.881,0.78%,1126233
2015/4/1,52.55,52.71,52.23,52.57,45.647,-0.51%,1046950
2015/4/2,52.52,53.46,52.27,52.89,45.925,0.61%,931143
2015/4/6,52.8,55.22,52.8,55,47.757,3.99%,1530867
2015/4/7,55,55.48,54.62,55.25,47.974,0.45%,1199896
2015/4/8,55.43,56.07,55.27,55.88,48.521,1.14%,1365401
2015/4/9,56.1,59.03,56.08,59.01,51.239,5.60%,2317915
2015/4/10,59.49,59.88,58.57,58.75,51.013,-0.44%,1231611
2015/4/13,58.61,58.94,58.29,58.38,50.692,-0.63%,766579
2015/4/14,58.53,58.97,58.07,58.97,51.204,1.01%,830328
2015/4/15,59.1,59.68,58.46,59.31,51.499,0.58%,1122108
2015/4/16,59.24,59.26,58.535,58.74,51.004,-0.96%,1292083
2015/4/17,58.42,59.07,58.14,59.05,51.273,0.53%,890430
2015/4/20,59.26,59.47,58.79,59.19,51.395,0.24%,594403
2015/4/21,59.31,59.41,58.17,58.75,51.013,-0.74%,974818
2015/4/22,58.78,59.29,58.51,58.94,51.178,0.32%,815425
2015/4/23,58.65,59.07,58.55,58.95,51.187,0.02%,756374
2015/4/24,59.07,59.66,58.72,59,51.23,0.08%,709634
2015/4/27,59.08,59.39,58.4,58.52,50.813,-0.81%,805468
2015/4/28,58.45,59.5,57.95,59.45,51.621,1.59%,756623
2015/4/29,58.77,60.3,58.74,60.25,52.315,1.35%,852666
2015/4/30,60.25,60.78,59.47,59.7,51.838,-0.91%,1485473
2015/5/1,60.14,60.77,59.81,60.44,52.48,1.24%,735099
2015/5/4,60.69,60.89,59.99,60.12,52.202,-0.53%,885914
2015/5/5,60.13,60.7,59.59,60,52.098,-0.20%,1174000
2015/5/6,60.53,60.73,59.76,60,52.098,0.00%,1487444
2015/5/7,62.28,64.54,61.44,62.83,54.556,4.72%,3725792
2015/5/8,63.72,64.99,63.12,63.16,54.842,0.53%,1781954
2015/5/11,63.16,63.6,62.71,63.25,54.92,0.14%,1268973
2015/5/12,63.07,63.21,62.01,62.68,54.425,-0.90%,1059930
2015/5/13,62.73,62.955,62.44,62.54,54.304,-0.22%,860748
2015/5/14,62.81,63.86,62.61,63.63,55.25,1.74%,1085326
2015/5/15,63.33,64.8,62.916,64.38,55.901,1.18%,1142470
2015/5/18,64.24,64.24,63.11,63.26,54.929,-1.74%,1318795
2015/5/19,63.23,63.35,62.17,62.7,54.443,-0.89%,1140474
2015/5/20,62.79,62.88,62.34,62.54,54.304,-0.26%,909574
2015/5/21,62.23,62.81,62.05,62.71,54.451,0.27%,669935
2015/5/22,62.28,62.5,61.66,61.87,53.722,-1.34%,1022269
2015/5/26,61.45,61.65,60.79,61.16,53.105,-1.15%,825401
2015/5/27,61.16,61.57,60.96,61.32,53.244,0.26%,642883
2015/5/28,61.31,61.56,60.27,60.59,52.611,-1.19%,867507
2015/5/29,60.6,60.66,59.9,60.15,52.228,-0.73%,1374098
2015/6/1,60.38,60.72,59.79,59.85,51.968,-0.50%,1272017
2015/6/2,59.84,60.86,59.77,60.66,52.671,1.35%,840578
2015/6/3,60.91,61.95,60.87,61.45,53.357,1.30%,617807
2015/6/4,61.05,61.7,60.87,61.27,53.201,-0.29%,1100619
2015/6/5,61.04,61.36,60.55,61.13,53.079,-0.23%,688846
2015/6/8,61.17,61.51,60.63,60.69,52.697,-0.72%,647312
2015/6/9,60.73,61.12,60.47,60.6,52.619,-0.15%,500203
2015/6/10,61.07,61.413,60.7,61.17,53.114,0.94%,758653
2015/6/11,61.3,61.68,61.19,61.46,53.366,0.47%,600384
2015/6/12,61.06,61.06,59.58,59.78,52.159,-2.73%,857636
2015/6/15,59.53,59.53,57.53,57.92,50.536,-3.11%,1205986
2015/6/16,57.92,58.41,57.64,57.98,50.589,0.10%,997085
2015/6/17,58.42,58.91,57.84,58.45,50.999,0.81%,805033
2015/6/18,58.54,59.7,58.23,59.64,52.037,2.04%,1274121
2015/6/19,59.6,59.63,58.545,58.6,51.129,-1.74%,918416
2015/6/22,58.84,59.09,58.41,59.01,51.487,0.70%,649317
2015/6/23,59.12,59.21,58.4,58.96,51.444,-0.08%,489217
2015/6/24,59.15,59.285,57.62,57.64,50.292,-2.24%,881183
2015/6/25,57.85,58.47,57.67,58.27,50.842,1.09%,805915
2015/6/26,58.55,59.2,58.29,59.1,51.566,1.42%,1577671
2015/6/29,58.67,59,56.11,56.24,49.07,-4.84%,1296828
2015/6/30,56.72,56.84,54.91,55.27,48.224,-1.72%,1213943
2015/7/1,55.46,55.83,53.82,54.46,47.517,-1.47%,1871890
2015/7/2,54.54,55.13,54.3,55.03,48.015,1.05%,1462075
2015/7/6,54.26,54.91,54,54.25,47.334,-1.42%,1247800
2015/7/7,54.22,54.44,52.97,54.25,47.334,0.00%,1092098
2015/7/8,53.87,54.225,52.96,53.07,46.304,-2.18%,986606
2015/7/9,53.89,54.16,53.42,53.44,46.627,0.70%,918519
2015/7/10,54.18,54.41,53.82,54,47.116,1.05%,528637
2015/7/13,54.33,55.65,54.19,55.38,48.32,2.56%,878932
2015/7/14,55.26,55.41,54.82,55.33,48.276,-0.09%,692202
2015/7/15,55.22,55.29,54.04,54.27,47.351,-1.92%,571942
2015/7/16,54.32,54.675,53.615,54.42,47.482,0.28%,977455
2015/7/17,54.23,54.23,52.97,53.01,46.252,-2.59%,667964
2015/7/20,52.89,53.12,52.42,52.75,46.025,-0.49%,809851
2015/7/21,52.78,53.37,51.97,52.09,45.449,-1.25%,557383
2015/7/22,51.99,52.21,51.49,51.71,45.118,-0.73%,593306
2015/7/23,51.84,52.08,51.29,51.32,44.778,-0.75%,694257
2015/7/24,51.21,51.31,49.401,49.81,43.46,-2.94%,800737
2015/7/27,49.41,50.11,49.03,49.81,43.46,0.00%,843175
2015/7/28,49.9,50.971,49.59,50.78,44.306,1.95%,893827
2015/7/29,50.92,52.01,50.55,51.91,45.292,2.23%,1146526
2015/7/30,51.94,53.54,51.5,53.4,46.592,2.87%,1830737
2015/7/31,53.83,54.81,53.34,54.2,47.29,1.50%,2140130
2015/8/3,54.1,54.31,53,53.29,46.496,-1.68%,889961
2015/8/4,53.41,54.21,53.3,53.63,46.793,0.64%,985214
2015/8/5,54.24,54.25,52.53,53.26,46.47,-0.69%,1484808
2015/8/6,53.68,53.68,49.55,51.77,45.17,-2.80%,3864137
2015/8/7,51.93,53.03,51.05,51.24,44.708,-1.02%,955913
2015/8/10,51.24,52.73,51.16,52.69,45.973,2.83%,849148
2015/8/11,51.98,52.12,51.41,52,45.371,-1.31%,786544
2015/8/12,51.45,51.83,50.29,51.12,44.603,-1.69%,980356
2015/8/13,51.04,51.328,50.12,50.42,43.992,-1.37%,966783
2015/8/14,50.45,51.28,50.29,51.11,44.594,1.37%,600707
2015/8/17,50.82,51.95,50.45,51.77,45.17,1.29%,1194102
2015/8/18,51.62,51.73,50.99,51.11,44.594,-1.27%,807385
2015/8/19,50.83,51.25,49.41,49.88,43.521,-2.41%,946937
2015/8/20,49.41,49.94,49.01,49.32,43.033,-1.12%,831301
2015/8/21,48.83,48.85,46.67,46.81,40.842,-5.09%,1381236
2015/8/24,44.27,45.83,42.39,44.34,38.687,-5.28%,2099704
2015/8/25,45.61,45.72,42.78,42.8,37.344,-3.47%,1289299
2015/8/26,43.57,43.66,42.31,43.07,37.579,0.63%,3192752
2015/8/27,43.71,46.2,43.6,45.13,39.377,4.78%,2054562
2015/8/28,44.97,46.58,44.77,45.3,39.525,0.38%,1460753
2015/8/31,44.745,45.52,43.98,45.21,39.446,-0.20%,1435784
2015/9/1,44.26,44.55,42.6,42.85,37.387,-5.22%,2076251
2015/9/2,43.59,43.65,42.4,42.73,37.283,-0.28%,1618600
2015/9/3,43.06,43.06,42.28,42.87,37.405,0.33%,2689369
2015/9/4,42.17,42.515,41.89,42.43,37.021,-1.03%,1528836
2015/9/8,43.27,43.27,42.77,43.02,37.536,1.39%,2991853
2015/9/9,43.49,44.03,42.91,43.03,37.544,0.02%,1483238
2015/9/10,42.98,43.25,42.488,42.8,37.344,-0.53%,1659929
2015/9/11,42.48,42.83,41.6,42,36.646,-1.87%,873877
2015/9/14,41.74,42.23,41.37,41.88,36.794,-0.29%,1203607
2015/9/15,42.24,44.53,42.24,44.27,38.894,5.71%,4851977
2015/9/16,44.53,45.135,44.15,44.74,39.307,1.06%,1408842
2015/9/17,44.59,45.74,44.56,45.05,39.579,0.69%,1665400
2015/9/18,44.42,45.75,44.36,45.71,40.159,1.47%,2980218
2015/9/21,46.09,47.19,45.6,46.4,40.765,1.51%,2045509
2015/9/22,45.88,46,45.11,45.71,40.159,-1.49%,1778723
2015/9/23,45.55,46.19,45.18,45.31,39.807,-0.88%,1408952
2015/9/24,44.57,45.53,43.455,45.22,39.728,-0.20%,1622038
2015/9/25,45.48,46.04,44.8,45.13,39.649,-0.20%,1427057
2015/9/28,44.82,44.89,41.65,41.78,36.706,-7.42%,1738192
2015/9/29,41.52,42.7,41.5,42.53,37.365,1.80%,1479714
2015/9/30,43.03,44.39,42.97,44.1,38.744,3.69%,1363547
2015/10/1,44.29,45.23,44.1,45.17,39.684,2.43%,1622189
2015/10/2,44.54,46.15,44.32,46.15,40.545,2.17%,1231430
2015/10/5,46.48,47.605,46.38,47.43,41.67,2.77%,1024794
2015/10/6,47.81,48.84,47.54,47.61,41.828,0.38%,1637377
2015/10/7,47.9,49.11,47.67,48.91,42.97,2.73%,1903683
2015/10/8,48.74,50.99,48.63,50.57,44.429,3.39%,1726189
2015/10/9,51.37,51.88,50.55,50.72,44.56,0.30%,1927949
2015/10/12,51.08,51.26,50.31,50.51,44.376,-0.41%,1161579
2015/10/13,50.18,50.92,49.87,50.26,44.156,-0.49%,917498
2015/10/14,50.15,51.72,50.07,51.44,45.193,2.35%,906065
2015/10/15,51.73,51.82,50.01,51.47,45.219,0.06%,1460083
2015/10/16,51.7,52.73,51.555,52.45,46.08,1.90%,2034960
2015/10/19,52.08,52.4,51.84,52.26,45.913,-0.36%,1556519
2015/10/20,52.19,52.94,52.06,52.1,45.773,-0.31%,939843
2015/10/21,52.4,52.84,51.02,51.18,44.965,-1.77%,1166490
2015/10/22,51.82,53.12,51.36,52.39,46.028,2.36%,1463725
2015/10/23,52.87,53.66,52.49,52.58,46.195,0.36%,1266203
2015/10/26,52.43,52.97,52.05,52.68,46.282,0.19%,1085463
2015/10/27,52.24,52.5,51.02,51.93,45.624,-1.42%,1697718
2015/10/28,52.05,54.065,51.78,53.58,47.073,3.18%,1772558
2015/10/29,53.33,54.59,53.09,54.29,47.697,1.33%,1433548
2015/10/30,54.33,54.37,52.93,53.52,47.02,-1.42%,1412173
2015/11/2,54.26,54.87,54.06,54.24,47.653,1.35%,2509437
2015/11/3,54.43,55.48,54.262,54.67,48.031,0.79%,1563716
2015/11/4,54.94,55.3,53.78,54.22,47.635,-0.82%,2019514
2015/11/5,52.5,52.82,48.16,49.43,43.427,-8.83%,5880304
2015/11/6,49.48,50.84,49.34,50.68,44.525,2.53%,2224174
2015/11/9,50.38,50.82,49.48,49.92,43.858,-1.50%,2509581
2015/11/10,49.94,50.33,49.26,49.58,43.559,-0.68%,1198991
2015/11/11,49.85,49.988,48.44,48.9,42.961,-1.37%,1645649
2015/11/12,48.14,48.86,46.85,46.92,41.222,-4.05%,1315274
2015/11/13,46.75,48.24,46.49,47.62,41.837,1.49%,2017058
2015/11/16,47.43,48.07,47.02,47.98,42.153,0.76%,1024503
2015/11/17,48.11,48.928,47.665,48.52,42.628,1.13%,1743152
2015/11/18,48.64,50.86,48.48,50.81,44.64,4.72%,1593854
2015/11/19,50.5,51.14,50.31,50.69,44.534,-0.24%,1066441
2015/11/20,50.94,51.97,50.75,51.67,45.395,1.93%,1304175
2015/11/23,51.57,52.15,51.24,52.11,45.782,0.85%,1610198
2015/11/24,51.95,53.09,51.67,53.01,46.572,1.73%,1567723
2015/11/25,52.89,53.21,52.55,52.9,46.476,-0.21%,649730
2015/11/27,52.9,53.34,52.76,53.11,46.66,0.40%,312031
2015/11/30,53.29,53.69,53.1,53.56,47.056,0.85%,814932
2015/12/1,53.68,53.8,52.83,52.95,46.52,-1.14%,1255810
2015/12/2,52.75,53.07,51.8,52.28,45.931,-1.27%,934881
2015/12/3,52.27,52.96,51.8,52.83,46.414,1.05%,1451082
2015/12/4,52.51,53.52,51.94,52.99,46.555,0.30%,1190766
2015/12/7,52.53,52.66,50.88,51.1,44.894,-3.57%,968451
2015/12/8,50.55,50.71,49.67,49.78,43.735,-2.58%,731354
2015/12/9,50.77,51.42,49.62,50.02,43.945,0.48%,1565360
2015/12/10,49.93,49.96,49.03,49.21,43.234,-1.62%,833763
2015/12/11,47.97,48.4,47.31,47.95,42.382,-2.56%,1399595
2015/12/14,47.83,47.97,46.34,47.76,42.214,-0.40%,1587289
2015/12/15,48.1,49.34,48,48.68,43.027,1.93%,1032412
2015/12/16,49.15,52.06,48.75,51.83,45.811,6.47%,2255718
2015/12/17,51.99,53.1,51.33,52.42,46.333,1.14%,1716108
2015/12/18,52.01,53.31,50.97,51.18,45.237,-2.37%,2103817
2015/12/21,51.6,51.87,50.79,51.46,45.484,0.55%,841222
2015/12/22,51.6,54.77,51.43,54.31,48.003,5.54%,1159409
2015/12/23,54.56,56.45,54.49,56.29,49.753,3.65%,1068410
2015/12/24,56.25,56.5,55.8,55.95,49.453,-0.60%,380672
2015/12/28,55.72,56.79,55.13,56.75,50.16,1.43%,856381
2015/12/29,57.41,57.99,56.24,56.73,50.142,-0.04%,759609
2015/12/30,56.42,57.2,56.26,56.34,49.797,-0.69%,733703
2015/12/31,56.06,57.49,55.83,56.01,49.506,-0.59%,662967
2016/1/4,54.97,55.69,54.27,55.55,49.099,-0.82%,1284666
2016/1/5,55.86,56.1,53.88,54.7,48.348,-1.53%,1232134
2016/1/6,53.47,54.25,51.84,52.31,46.235,-4.37%,1239999
2016/1/7,51.26,51.7,49.48,49.95,44.149,-4.51%,1520951
2016/1/8,50.45,51.08,48.97,49.01,43.319,-1.88%,1127383
2016/1/11,49.24,49.53,47.38,48.04,42.461,-1.98%,1313184
2016/1/12,48.79,49.18,48.05,48.95,43.266,1.89%,1299073
2016/1/13,49.62,51.27,47.305,47.71,42.17,-2.53%,1463343
2016/1/14,48.03,49.65,46.84,48.9,43.221,2.49%,1303152
2016/1/15,47.64,48.02,45.78,47.91,42.346,-2.02%,1446852
2016/1/19,48.48,49.5,47.57,48.42,42.797,1.06%,1699817
2016/1/20,47.56,48.79,46.16,48.01,42.435,-0.85%,1356484
2016/1/21,47.99,50.74,47.42,49.43,43.69,2.96%,1844342
2016/1/22,50.66,52.27,50.65,51.29,45.334,3.76%,1533257
2016/1/25,51.09,51.25,49.7,49.98,44.176,-2.55%,1634121
2016/1/26,50.37,52.47,50.08,51.88,45.855,3.80%,1524251
2016/1/27,51.55,52.26,50.44,50.93,45.016,-1.83%,1430109
2016/1/28,51.65,52.52,51.28,51.76,45.749,1.63%,1176720
2016/1/29,51.79,52.66,51.15,52.64,46.527,1.70%,2887743
2016/2/1,51.87,52.95,50.97,52.82,46.686,0.34%,1463801
2016/2/2,52.17,53.02,51.35,51.86,45.838,-1.82%,1279462
2016/2/3,52.66,53.62,51.16,53.52,47.305,3.20%,1447674
