Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,56.44,56.61,55.36,55.48,55.48,-1.51%,669275
2015/3/25,55.42,56.13,54.65,54.69,54.69,-1.42%,681619
2015/3/26,54.4,54.92,53.15,54.58,54.58,-0.20%,775792
2015/3/27,54.19,54.645,52.14,54.04,54.04,-0.99%,1696201
2015/3/30,54.4,55.02,53.98,54.595,54.595,1.03%,844457
2015/3/31,54.48,54.95,53.74,53.785,53.785,-1.48%,834898
2015/4/1,53.67,53.87,52.28,52.45,52.45,-2.48%,1177808
2015/4/2,52.29,53.3,52.29,52.75,52.75,0.57%,1095982
2015/4/6,52.62,53.41,52.26,53.07,53.07,0.61%,924500
2015/4/7,53.35,53.74,52.5,52.55,52.55,-0.98%,986171
2015/4/8,52.71,53.16,51.65,52.72,52.72,0.32%,2163556
2015/4/9,52.63,53,52.27,52.72,52.72,0.00%,921296
2015/4/10,53,54.68,52.95,54.29,54.29,2.98%,1917238
2015/4/13,54.3,54.86,53.8,53.82,53.82,-0.87%,828215
2015/4/14,53.86,54.34,53.01,53.15,53.15,-1.24%,457910
2015/4/15,53.3,53.57,52.75,52.86,52.86,-0.55%,721741
2015/4/16,52.9,53.26,52.29,52.77,52.77,-0.17%,602835
2015/4/17,52.43,53.44,52.29,53.375,53.375,1.15%,762616
2015/4/20,53.57,54.27,53.37,54.205,54.205,1.56%,597900
2015/4/21,58.09,58.09,55.99,56.15,56.15,3.59%,1637495
2015/4/22,56.18,56.26,55.41,55.94,55.94,-0.37%,955165
2015/4/23,55.9,56.725,55.5,56.01,56.01,0.13%,1419541
2015/4/24,60.93,61.24,58.88,59.18,59.18,5.66%,3776279
2015/4/27,59.18,59.89,58.37,58.59,58.59,-1.00%,1177210
2015/4/28,58.44,59.56,57.72,59.45,59.45,1.47%,1110250
2015/4/29,59.32,60.74,59.06,60.18,60.18,1.23%,1431939
2015/4/30,59.6,60.13,58.76,58.84,58.84,-2.23%,1239182
2015/5/1,58.74,59.76,58.55,59.18,59.18,0.58%,1084477
2015/5/4,59.34,60.61,59.11,60.35,60.35,1.98%,652323
2015/5/5,60.37,60.45,58.77,59.51,59.51,-1.39%,860470
2015/5/6,59.48,59.58,58.64,58.91,58.91,-1.01%,721020
2015/5/7,58.66,59.35,58.66,58.87,58.87,-0.07%,483457
2015/5/8,59.42,60.4,59.23,59.71,59.71,1.43%,468699
2015/5/11,59.49,59.91,59.23,59.35,59.35,-0.60%,351410
2015/5/12,59.13,59.13,57.89,58.64,58.64,-1.20%,490082
2015/5/13,58.86,59.12,58.295,58.75,58.75,0.19%,525316
2015/5/14,59.02,59.69,58.55,59.31,59.31,0.95%,439910
2015/5/15,59.31,59.58,59.11,59.28,59.28,-0.05%,279623
2015/5/18,59.25,60,59.06,59.86,59.86,0.98%,490636
2015/5/19,59.86,60.01,59.06,59.24,59.24,-1.04%,566157
2015/5/20,59.35,59.79,59.06,59.22,59.22,-0.03%,336340
2015/5/21,59.07,59.69,58.82,59.38,59.38,0.27%,418863
2015/5/22,59.2,59.96,58.78,59.29,59.29,-0.15%,320129
2015/5/26,59.08,59.64,58.8,59.27,59.27,-0.03%,459530
2015/5/27,59.21,59.78,58.9,59.7,59.7,0.73%,327724
2015/5/28,59.5,61.33,59.31,61.18,61.18,2.48%,1060084
2015/5/29,61.34,61.42,60.42,60.67,60.67,-0.83%,644290
2015/6/1,61.08,62.72,61.08,61.74,61.74,1.76%,844212
2015/6/2,61.39,62.41,61.1,62.37,62.37,1.02%,792758
2015/6/3,62.75,63.93,62.4,63.4,63.4,1.65%,1235048
2015/6/4,63.11,63.36,62.39,62.79,62.79,-0.96%,1308752
2015/6/5,62.73,62.98,61.81,62.91,62.91,0.19%,478400
2015/6/8,63.05,63.23,61.725,61.99,61.99,-1.46%,344862
2015/6/9,62.11,62.36,61.32,61.58,61.58,-0.66%,251557
2015/6/10,61.92,62.65,61.04,62.52,62.52,1.53%,286864
2015/6/11,62.59,63.05,62.2,62.96,62.96,0.70%,406645
2015/6/12,62.83,63.37,62.39,63.02,63.02,0.10%,678697
2015/6/15,62.66,63.4,61.76,63.22,63.22,0.32%,643627
2015/6/16,63.04,64.31,62.75,64.29,64.29,1.69%,668642
2015/6/17,64.54,64.99,59.56,62.29,62.29,-3.11%,3297182
2015/6/18,62.29,63.48,62,62.15,62.15,-0.22%,784059
2015/6/19,62.4,63.48,62.21,63.24,63.24,1.75%,991425
2015/6/22,63.71,63.71,62.8,63.31,63.31,0.11%,497408
2015/6/23,63.31,63.6,62.52,62.98,62.98,-0.52%,664480
2015/6/24,63,63.17,60.93,61.12,61.12,-2.95%,959260
2015/6/25,61.25,62.17,61.166,61.57,61.57,0.74%,790830
2015/6/26,61.88,62.66,61.69,62.63,62.63,1.72%,734972
2015/6/29,62.26,62.74,61.535,61.65,61.65,-1.56%,863361
2015/6/30,62.34,63.11,61.65,62.71,62.71,1.72%,843671
2015/7/1,63.18,63.747,62.62,63.22,63.22,0.81%,785957
2015/7/2,63.37,64,62.8,63.29,63.29,0.11%,1006116
2015/7/6,62.72,64.18,62.29,62.5,62.5,-1.25%,2088995
2015/7/7,62.79,63.66,61.78,63.5,63.5,1.60%,640867
2015/7/8,63.24,63.71,62.1,62.74,62.74,-1.20%,747802
2015/7/9,63.36,63.37,62.01,62.2,62.2,-0.86%,568129
2015/7/10,62.84,63.15,62.26,62.94,62.94,1.19%,573297
2015/7/13,63.26,63.82,62.68,63.61,63.61,1.06%,471395
2015/7/14,63.53,64.51,63.53,64.31,64.31,1.10%,424477
2015/7/15,64.5,65.04,63.965,64.63,64.63,0.50%,812232
2015/7/16,65.05,65.58,64.71,65.37,65.37,1.14%,561879
2015/7/17,65.46,65.625,64.72,64.93,64.93,-0.67%,607838
2015/7/20,65.08,66.455,64.95,66.04,66.04,1.71%,647043
2015/7/21,66.45,66.45,64.74,65.16,65.16,-1.33%,848862
2015/7/22,64.83,65.53,64.73,65.23,65.23,0.11%,728264
2015/7/23,65.74,66.525,65.17,65.59,65.59,0.55%,1484213
2015/7/24,63.5,64.6,60.05,60.4,60.4,-7.91%,3805854
2015/7/27,59.59,60.98,58.86,60.98,60.98,0.96%,1459695
2015/7/28,61.2,61.605,60.18,61.2,61.2,0.36%,1102348
2015/7/29,61.48,62.7,60.73,62.6,62.6,2.29%,1435632
2015/7/30,62.8,62.93,62.14,62.36,62.36,-0.38%,663849
2015/7/31,62.59,63.534,62.08,62.7,62.7,0.55%,628850
2015/8/3,62.48,63.06,61.5,62.61,62.61,-0.14%,820235
2015/8/4,62.33,62.83,61.39,61.44,61.44,-1.87%,695568
2015/8/5,61.87,62.6,61.5,62.07,62.07,1.03%,509112
2015/8/6,61.95,62.04,60.55,60.94,60.94,-1.82%,391119
2015/8/7,60.94,61.21,60.16,60.73,60.73,-0.34%,530004
2015/8/10,61.05,61.97,61.05,61.7,61.7,1.60%,486925
2015/8/11,61.13,61.78,60.77,61.15,61.15,-0.89%,491871
2015/8/12,60.33,60.95,59.67,60.83,60.83,-0.52%,431317
2015/8/13,60.63,61.265,60.14,60.2,60.2,-1.04%,509828
