Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,71.73,71.89,71.07,71.34,57.296,-0.77%,2522270
2015/3/25,71.55,71.55,70.49,70.55,56.662,-1.11%,2055024
2015/3/26,70.3,70.535,69.98,70.2,56.381,-0.50%,1933879
2015/3/27,70.18,70.37,69.89,70.05,56.26,-0.21%,1734138
2015/3/30,70.36,71.37,70.09,70.95,56.983,1.28%,2331667
2015/3/31,70.48,71.3,70.08,71.17,57.16,0.31%,3560710
2015/4/1,71.18,71.9,70.96,71.29,57.256,0.17%,3369665
2015/4/2,71.29,71.65,71.14,71.45,57.385,0.22%,1971936
2015/4/6,71.07,72.51,70.87,72.12,57.923,0.94%,2408650
2015/4/7,72.15,72.4,71.47,71.47,57.401,-0.90%,1310821
2015/4/8,71.6,72,71.44,71.58,57.489,0.15%,2109001
2015/4/9,71.61,72.01,71.61,71.9,57.746,0.45%,1828325
2015/4/10,72,72.24,71.64,72.03,57.851,0.18%,1475145
2015/4/13,71.67,72.39,71.67,71.98,57.81,-0.07%,1465846
2015/4/14,71.91,72.1,71.38,71.5,57.425,-0.67%,2263205
2015/4/15,71.61,72.27,71.61,71.94,57.778,0.62%,1810251
2015/4/16,71.86,72.31,71.51,72.04,57.859,0.14%,1490136
2015/4/17,71.48,71.57,70.58,70.87,56.919,-1.62%,3084269
2015/4/20,71.32,71.67,71.24,71.35,57.304,0.68%,1571170
2015/4/21,71.33,71.54,70.72,70.82,56.879,-0.74%,1566501
2015/4/22,70.77,71.016,70.4,70.88,56.927,0.08%,1719445
2015/4/23,70.68,71.275,70.6,70.81,56.871,-0.10%,1917036
2015/4/24,70.63,71.12,70.48,70.95,56.983,0.20%,1592418
2015/4/27,71.28,71.3,70.22,70.31,56.469,-0.90%,2185545
2015/4/28,70.24,70.98,70.09,70.69,56.774,0.54%,1745992
2015/4/29,70.25,70.74,69.75,70.25,56.421,-0.62%,2132439
2015/4/30,70.14,70.384,69.331,69.66,55.947,-0.84%,3440781
2015/5/1,70.13,70.35,69.795,69.95,56.18,0.42%,2423249
2015/5/4,70,70.18,69.66,69.82,56.076,-0.19%,4123396
2015/5/5,69.62,70.325,69.62,70,56.22,0.26%,2513109
2015/5/6,68.88,69.25,66.9,67.31,54.06,-3.84%,9737345
2015/5/7,67.23,67.86,66.98,67.72,54.389,0.61%,4320168
2015/5/8,68.4,68.5,67.09,67.27,54.028,-0.66%,3632591
2015/5/11,67.27,67.4,66.69,66.87,53.706,-0.59%,3425311
2015/5/12,66.73,67.1,66.62,66.91,53.738,0.06%,2510479
2015/5/13,66.69,67.045,66.56,66.99,53.803,0.12%,2458257
