Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,53.57,53.794,53.21,53.21,49.725,-0.84%,680883
2015/3/25,53.37,53.46,51.98,52,48.594,-2.27%,1569076
2015/3/26,51.75,52,51.55,51.85,48.454,-0.29%,1938692
2015/3/27,51.73,51.955,51.49,51.81,48.417,-0.08%,1332062
2015/3/30,52.04,53.04,52.01,52.97,49.501,2.24%,1337159
2015/3/31,52.72,52.79,52.41,52.54,49.099,-0.81%,1136795
2015/4/1,52.19,52.545,52.04,52.28,48.856,-0.49%,1607967
2015/4/2,52.43,52.83,52.17,52.4,48.968,0.23%,648744
2015/4/6,52.21,53.12,52.07,52.92,49.454,0.99%,1008046
2015/4/7,52.91,53.2,52.82,53.04,49.566,0.23%,1034822
2015/4/8,53.02,53.22,52.74,53.2,49.716,0.30%,844473
2015/4/9,53.11,53.52,52.97,53.4,49.902,0.38%,640342
2015/4/10,53.61,53.61,53.21,53.52,50.015,0.22%,1043807
2015/4/13,53.43,53.63,52.82,52.89,49.426,-1.18%,645467
2015/4/14,52.81,53.135,52.645,52.99,49.519,0.19%,957054
2015/4/15,53.18,53.5,53.07,53.31,49.818,0.60%,1300550
2015/4/16,53.05,53.07,52.56,52.81,49.351,-0.94%,850884
2015/4/17,52.43,52.43,51.55,51.71,48.323,-2.08%,940713
2015/4/20,51.97,52.4,51.96,52.06,48.65,0.68%,804918
2015/4/21,52.21,52.335,51.65,52.07,48.66,0.02%,935982
2015/4/22,52.09,52.43,51.58,52.35,48.921,0.54%,830058
2015/4/23,52.25,52.77,52.16,52.69,49.239,0.65%,708611
2015/4/24,52.71,52.72,51.95,52.33,48.903,-0.68%,473654
2015/4/27,52.44,52.66,52.16,52.25,48.828,-0.15%,930250
2015/4/28,52.1,52.32,51.95,52.31,48.884,0.11%,1119834
2015/4/29,51.83,52.68,51.23,52.4,48.968,0.17%,1867209
2015/4/30,52.19,52.67,52.13,52.42,48.987,0.04%,2227830
2015/5/1,52.6,52.84,52.3,52.73,49.276,0.59%,1080649
2015/5/4,52.81,53.57,52.81,53.28,49.79,1.04%,1346117
2015/5/5,53.05,53.7,52.75,52.88,49.417,-0.75%,1564728
2015/5/6,53.03,53.13,51.97,52.27,48.847,-1.15%,1255788
2015/5/7,52.17,52.6,52,52.29,48.865,0.04%,775046
2015/5/8,52.89,53.05,52.62,52.91,49.445,1.19%,762822
2015/5/11,52.84,53.03,52.67,52.87,49.407,-0.08%,709376
2015/5/12,52.71,53.47,52.57,53.29,49.8,0.79%,1227819
2015/5/13,53.61,54.81,53.6,54.34,50.781,1.97%,1997693
2015/5/14,54.67,55.35,54.43,55.22,51.603,1.62%,1064180
2015/5/15,55.37,55.46,54.96,55.38,51.753,0.29%,1409531
2015/5/18,55.1,55.56,55.06,55.38,51.753,0.00%,1469756
2015/5/19,55.35,55.48,54.72,54.96,51.36,-0.76%,670335
2015/5/20,54.95,55.05,54.68,54.94,51.342,-0.04%,744132
2015/5/21,54.92,55.21,54.8,54.95,51.351,0.02%,640881
2015/5/22,54.9,55.06,54.65,54.75,51.164,-0.36%,705443
2015/5/26,54.5,54.5,53.71,53.9,50.37,-1.55%,738029
2015/5/27,53.83,54.46,53.83,54.37,50.809,0.87%,750832
2015/5/28,54.26,54.34,53.91,54.17,50.622,-0.37%,617872
2015/5/29,54.12,54.21,53.38,53.76,50.239,-0.76%,1621541
2015/6/1,53.99,53.99,53.35,53.7,50.183,-0.11%,683102
2015/6/2,53.49,54.34,53.22,54.04,50.501,0.63%,745668
2015/6/3,54.03,54.36,53.89,54.12,50.575,0.15%,738066
2015/6/4,53.79,53.81,52.99,53.3,49.809,-1.52%,1164334
2015/6/5,53.37,53.94,53.23,53.88,50.351,1.09%,1077805
2015/6/8,53.81,54.13,53.649,53.99,50.454,0.20%,1247888
2015/6/9,54.01,54.21,53.73,53.74,50.22,-0.46%,572048
2015/6/10,54,54.61,53.82,54.52,50.949,1.45%,532032
2015/6/11,54.59,54.98,54.37,54.82,51.229,0.55%,1097338
2015/6/12,54.59,55.29,54.42,54.76,51.258,-0.11%,1075093
2015/6/15,54.16,54.22,53.88,54.08,50.621,-1.24%,757813
2015/6/16,53.99,54.35,53.71,54.3,50.827,0.41%,627789
2015/6/17,54.4,54.6,53.99,54.41,50.93,0.20%,618323
2015/6/18,54.66,55.28,54.48,55.1,51.576,1.27%,906165
2015/6/19,54.98,55.04,54.55,54.57,51.08,-0.96%,1064915
2015/6/22,54.96,55.015,54.58,54.75,51.248,0.33%,643841
2015/6/23,54.9,54.9,54.43,54.69,51.192,-0.11%,684486
2015/6/24,54.55,54.62,53.93,54.07,50.612,-1.13%,863977
2015/6/25,54.08,54.15,53.66,53.8,50.359,-0.50%,878345
2015/6/26,54.02,55.14,53.8,55.11,51.585,2.43%,2133350
2015/6/29,54.26,54.7,54,54.04,50.584,-1.94%,1843475
2015/6/30,54.77,54.96,54.28,54.78,51.276,1.37%,1605321
2015/7/1,55.13,55.6,54.87,55.5,51.95,1.31%,2020091
2015/7/2,55.84,56,55.2,55.55,51.997,0.09%,1562187
2015/7/6,54.99,55.21,54.27,54.47,50.986,-1.94%,1179734
2015/7/7,54.47,55,53.98,54.83,51.323,0.66%,1893476
2015/7/8,54.44,54.62,53.45,53.78,50.34,-1.92%,1449978
2015/7/9,54.65,55.08,54.13,54.31,50.836,0.99%,1539416
2015/7/10,55.06,55.22,54.72,55.1,51.576,1.45%,1264177
2015/7/13,55.68,56.05,55.24,55.93,52.353,1.51%,1577346
2015/7/14,55.88,55.92,55.53,55.78,52.212,-0.27%,883900
2015/7/15,55.68,55.82,54.97,55.04,51.52,-1.33%,885612
2015/7/16,55.37,55.63,54.98,55.29,51.754,0.45%,650689
2015/7/17,55.25,55.3,54.72,54.86,51.351,-0.78%,549400
2015/7/20,54.84,55.26,54.725,55.1,51.576,0.44%,532270
2015/7/21,55.03,55.19,54.62,54.69,51.192,-0.74%,980959
2015/7/22,54.67,55.14,54.5,55.01,51.492,0.59%,1149585
2015/7/23,55.13,55.8,55.1,55.15,51.623,0.25%,1266630
2015/7/24,55.04,55.19,53.81,53.95,50.499,-2.18%,1189774
2015/7/27,53.31,53.4,51.94,52.01,48.683,-3.60%,2404779
2015/7/28,52.25,52.65,51.85,52.45,49.095,0.85%,2095554
2015/7/29,52.7,53.47,52.36,53.34,49.928,1.70%,1941941
2015/7/30,53.19,53.45,53,53.36,49.947,0.04%,1220164
2015/7/31,53.53,53.53,52.94,53.05,49.657,-0.58%,1638254
2015/8/3,53.17,53.34,52.66,53.29,49.882,0.45%,1757934
2015/8/4,53.11,54.72,52.94,53.71,50.275,0.79%,2143944
2015/8/5,53.91,55.02,53.91,54.23,50.761,0.97%,1069093
2015/8/6,54.13,55.21,54.13,55.04,51.52,1.49%,2243152
2015/8/7,54.83,55.17,54.68,54.94,51.426,-0.18%,1308897
2015/8/10,55.33,56.23,55.315,56.08,52.493,2.07%,1578115
2015/8/11,55.27,55.82,55.24,55.63,52.072,-0.80%,1228073
2015/8/12,54.58,55.63,54.57,55.49,51.941,-0.25%,1228151
2015/8/13,55.34,56.34,55.26,56.05,52.465,1.01%,979123
2015/8/14,55.97,56.74,55.87,56.66,53.036,1.09%,1056651
2015/8/17,56.46,57.53,56.04,57.5,53.822,1.48%,1348424
2015/8/18,57.45,57.67,57.33,57.5,53.822,0.00%,1329764
2015/8/19,57.04,57.14,56.24,56.54,52.924,-1.67%,1039504
2015/8/20,56.15,56.29,55.06,55.06,51.538,-2.62%,990109
2015/8/21,54.64,55,53.83,53.84,50.396,-2.22%,1748119
2015/8/24,50.81,53.21,50.55,52.58,49.217,-2.34%,3697210
2015/8/25,53.93,54.06,51.48,51.49,48.197,-2.07%,1768909
2015/8/26,52.7,53.4,51.87,53.21,49.807,3.34%,2576510
2015/8/27,53.79,54.74,53.45,54.74,51.239,2.88%,1554621
2015/8/28,54.43,55.1,54.18,54.77,51.267,0.05%,1816526
2015/8/31,54.33,54.47,53.65,53.82,50.378,-1.73%,1912186
2015/9/1,52.65,52.89,51.52,51.84,48.524,-3.68%,1706342
2015/9/2,52.41,52.76,51.77,52.73,49.357,1.72%,2055592
2015/9/3,52.79,53.33,52.58,52.78,49.404,0.09%,1189986
2015/9/4,52.03,52.37,51.81,51.93,48.609,-1.61%,1065807
2015/9/8,52.95,53.66,52.66,53.62,50.19,3.25%,1195539
2015/9/9,54.16,54.34,52.87,52.99,49.601,-1.17%,747131
2015/9/10,53.01,53.26,52.56,52.93,49.545,-0.11%,678839
2015/9/11,52.78,53.22,52.4,53.22,49.816,0.55%,695928
2015/9/14,53.08,53.45,52.36,52.68,49.395,-1.01%,763630
2015/9/15,52.89,53.51,52.67,53.39,50.061,1.35%,688512
2015/9/16,53.35,53.87,53.24,53.77,50.417,0.71%,899451
2015/9/17,53.84,54.51,53.42,53.5,50.164,-0.50%,925005
2015/9/18,52.69,52.87,52.03,52.16,48.907,-2.50%,1476147
2015/9/21,52.31,52.56,51.92,52.17,48.917,0.02%,886212
2015/9/22,51.37,51.695,50.91,51.53,48.317,-1.23%,1503605
