Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,134.57,135.24,133.09,133.09,107.034,-1.41%,850042
2015/3/25,132.98,133.25,130.51,130.51,104.959,-1.94%,970502
2015/3/26,129.77,131.4,129.18,130.25,104.75,-0.20%,903620
2015/3/27,129.76,130.51,128.49,129.05,103.785,-0.92%,1003348
2015/3/30,130.06,131.51,130.06,131.02,105.369,1.53%,1012590
2015/3/31,130.27,131.78,129.93,130.84,105.224,-0.14%,973509
2015/4/1,130.76,131.28,129.58,130.46,104.918,-0.29%,817691
2015/4/2,130.14,131.17,129.67,130.19,104.701,-0.21%,1225774
2015/4/6,128.58,130.19,128.06,129.43,104.09,-0.58%,877038
2015/4/7,129.61,130.175,128.16,128.16,103.069,-0.98%,912100
2015/4/8,128.71,129.17,127.75,128.72,103.519,0.44%,1343021
2015/4/9,128.7,129.45,123.88,125.28,100.753,-2.67%,2728877
2015/4/10,125.5,125.73,120.83,124.53,100.149,-0.60%,4061361
2015/4/13,124.32,127.83,124.1,126.63,101.838,1.69%,2489811
2015/4/14,126.5,130.86,125.39,128.27,103.157,1.30%,3750739
2015/4/15,129.95,131.45,128.16,128.92,103.68,0.51%,3403349
2015/4/16,130,131.48,129.37,130.77,105.168,1.43%,2331052
2015/4/17,129.93,130.34,128.54,129.19,103.897,-1.21%,1505827
2015/4/20,129.97,130.93,129.574,130.55,104.991,1.05%,1123316
2015/4/21,130.79,130.986,129.8,130.33,104.814,-0.17%,1570381
2015/4/22,130.47,131.76,128.75,131.62,105.851,0.99%,1615329
2015/4/23,127.26,128.03,125.29,127.17,102.273,-3.38%,4336481
2015/4/24,126.68,128.11,126.41,127.75,102.739,0.46%,1522755
2015/4/27,128.13,128.71,126.445,126.69,101.887,-0.83%,1529370
2015/4/28,126,127.28,125.65,127.14,102.248,0.36%,1351948
2015/4/29,126.57,128.41,126.53,127.49,102.53,0.28%,1466761
2015/4/30,126.63,127.49,125.06,125.28,101.291,-1.73%,1419602
2015/5/1,126.1,126.69,124.34,125.41,101.397,0.10%,1191096
2015/5/4,125.68,126.35,125.01,125.99,101.866,0.46%,1011788
2015/5/5,125.71,126.5,124.41,124.62,100.758,-1.09%,1120636
2015/5/6,125.27,125.44,122.35,123.49,99.844,-0.91%,1629077
2015/5/7,123.12,125,123.01,124.56,100.709,0.87%,1494349
2015/5/8,126.09,126.96,125.11,126.35,102.157,1.44%,1469011
2015/5/11,126.17,127.01,125.35,125.42,101.405,-0.74%,1106668
2015/5/12,124.52,125.25,123.41,124.73,100.847,-0.55%,975750
2015/5/13,124.65,126.89,124.56,126.5,102.278,1.42%,1819574
2015/5/14,127.48,128.32,126.73,128.3,103.733,1.42%,956667
2015/5/15,128.38,128.44,127.1,128,103.491,-0.23%,1115840
2015/5/18,127.58,129.01,127.39,128.97,104.275,0.76%,1094157
2015/5/19,129.31,129.8,128.49,128.97,104.275,0.00%,881973
2015/5/20,128.82,129.13,128,128.46,103.863,-0.40%,1248438
2015/5/21,127.98,128.637,127.951,128.29,103.725,-0.13%,755748
2015/5/22,128.15,129.035,127.77,128.27,103.709,-0.02%,730382
2015/5/26,127.86,128.39,126.69,126.81,102.528,-1.14%,1437117
2015/5/27,127,127.45,126.6,126.88,102.585,0.06%,1381915
2015/5/28,126.67,127.14,125.95,127.01,102.69,0.10%,1101465
2015/5/29,126.68,127.15,124.57,124.59,100.734,-1.91%,1674458
2015/6/1,124.65,125.34,123.82,124.59,100.734,0.00%,1254101
2015/6/2,124.59,127.11,124.405,126.08,101.938,1.20%,1617067
2015/6/3,126.77,128.33,126.08,127.36,102.973,1.02%,1410868
2015/6/4,124.52,126.83,124.52,125.33,101.332,-1.59%,1124228
2015/6/5,126.58,127.34,125.66,126.61,102.367,1.02%,1487321
2015/6/8,126.96,127.48,126.08,126.13,101.979,-0.38%,1148638
2015/6/9,125.94,126.69,125.46,126.33,102.14,0.16%,1069576
2015/6/10,127.28,130.12,127.28,129.86,104.994,2.79%,1692452
2015/6/11,130.04,130.69,129.28,129.63,104.809,-0.18%,1136269
2015/6/12,129.13,129.26,128.01,128.33,103.757,-1.00%,822567
2015/6/15,126.89,128.39,126.48,127.89,103.402,-0.34%,921851
2015/6/16,127.17,128.63,127.17,128.47,103.871,0.45%,615585
2015/6/17,128.9,129.32,127.97,128.35,103.774,-0.09%,950431
2015/6/18,128.91,129.78,128.27,129.48,104.687,0.88%,812853
2015/6/19,128.89,129.79,127.68,127.84,103.361,-1.27%,1278399
2015/6/22,129.34,129.75,128.47,129.35,104.582,1.18%,1039958
2015/6/23,129.23,129.99,128.8,129.76,104.914,0.32%,1376471
2015/6/24,128.86,129.7,128.2,128.38,103.798,-1.06%,1387827
2015/6/25,129.22,129.22,127.77,127.86,103.377,-0.41%,1259632
2015/6/26,128.9,128.93,127.75,128.42,103.83,0.44%,2627000
2015/6/29,126.77,126.96,123.67,123.79,100.087,-3.61%,1574666
2015/6/30,125.08,125.74,124.09,124.93,101.008,0.92%,1545159
