Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,97.77,98.01,97.15,97.16,77.191,-0.49%,2271906
2015/3/25,97.13,97.38,95.47,95.47,75.848,-1.74%,1827352
2015/3/26,94.62,95.885,94.61,95.2,75.633,-0.28%,1471459
2015/3/27,95.8,96.37,95.58,96.04,76.301,0.88%,2379823
2015/3/30,96.57,96.74,95.72,96.16,76.396,0.12%,2564895
2015/3/31,95.81,96.62,94.15,94.15,74.799,-2.09%,4335302
2015/4/1,96.26,97.24,95.61,96.46,76.634,2.45%,3388944
2015/4/2,96.56,97.29,96.4,96.78,76.889,0.33%,1526934
2015/4/6,96.69,98.16,96.5,98.04,77.89,1.30%,2604672
2015/4/7,98.04,98.64,96.86,96.87,76.96,-1.19%,2338535
2015/4/8,96.67,97.57,96.21,96.53,77.024,-0.35%,1344292
2015/4/9,96.28,96.61,95.22,95.34,76.074,-1.23%,1737026
2015/4/10,95.55,95.95,95.01,95.07,75.859,-0.28%,1468901
2015/4/13,95,95.79,94.78,94.78,75.627,-0.31%,1645554
2015/4/14,94.8,95.14,93.89,94.5,75.404,-0.30%,2372801
2015/4/15,96,96.57,95.09,95.17,75.938,0.71%,2404172
2015/4/16,94.57,96.94,94.45,96.76,77.207,1.67%,2774572
2015/4/17,96.24,96.55,95.32,96.1,76.681,-0.68%,2320877
2015/4/20,96.14,96.5,95.51,95.84,76.473,-0.27%,2222639
2015/4/21,95.84,96.2,94.83,94.98,75.787,-0.90%,2150265
2015/4/22,94.98,96.04,94.86,95.92,76.537,0.99%,1837475
2015/4/23,95.79,96.44,95.27,96.04,76.633,0.13%,1335636
2015/4/24,95.93,96.44,95.28,95.32,76.058,-0.75%,2210713
2015/4/27,95.68,96.03,95.02,95.19,75.954,-0.14%,1885803
2015/4/28,94.94,95.78,94.87,95.76,76.409,0.60%,1652500
2015/4/29,95.12,95.62,93.5,93.51,74.614,-2.35%,3132928
2015/4/30,96.38,96.83,94.09,94.53,75.428,1.09%,4171977
2015/5/1,94.65,94.85,93.11,93.48,74.59,-1.11%,3110338
2015/5/4,93.45,94.75,93.28,94.64,75.516,1.24%,2480088
2015/5/5,94.65,94.98,92.86,93,74.207,-1.73%,3092818
