Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,87.87,88.165,87.18,87.84,87.84,0.07%,252435
2015/3/25,87.87,88.49,86.36,86.42,86.42,-1.62%,470786
2015/3/26,85.92,87.07,85.32,86.73,86.73,0.36%,295388
2015/3/27,86.93,87.01,86.03,86.79,86.79,0.07%,296756
2015/3/30,87.46,88.37,86.668,88.12,88.12,1.53%,221767
2015/3/31,87.81,88.96,87.39,88.19,88.19,0.08%,456379
2015/4/1,87.88,88.15,87.29,88.13,88.13,-0.07%,459922
2015/4/2,88.14,88.99,86.71,86.99,86.99,-1.29%,571603
2015/4/6,86.59,89.33,86.28,89.3,89.3,2.66%,608715
2015/4/7,88.84,89.64,88.8,88.875,88.875,-0.48%,432338
2015/4/8,88.84,89.5,88.52,88.66,88.66,-0.24%,419707
2015/4/9,88.38,88.815,87.8,88.28,88.28,-0.43%,371412
2015/4/10,88,88.99,87.88,88.56,88.56,0.32%,307548
2015/4/13,88.3,88.87,87.47,87.53,87.53,-1.16%,231586
2015/4/14,87.34,87.59,86.42,86.95,86.95,-0.66%,330041
2015/4/15,87.23,87.94,86.89,87.4,87.4,0.52%,244984
2015/4/16,86.95,87.93,86.71,87.78,87.78,0.43%,309787
2015/4/17,87.34,87.96,86.24,86.33,86.33,-1.65%,244889
2015/4/20,86.98,87.05,86.45,86.51,86.51,0.21%,306999
2015/4/21,86.91,87.3,86.39,86.68,86.68,0.20%,305437
2015/4/22,86.73,87.07,86.36,87.02,87.02,0.39%,266128
2015/4/23,86.69,88.61,86.61,88.07,88.07,1.21%,325121
2015/4/24,88.44,88.69,87.35,87.46,87.46,-0.69%,204520
2015/4/27,87.69,88.04,86.7,86.91,86.91,-0.63%,231788
2015/4/28,87.08,87.63,86.26,86.69,86.69,-0.25%,222473
2015/4/29,86.45,87.18,86.02,86.85,86.85,0.18%,351138
2015/4/30,86.25,86.62,85.66,85.84,85.84,-1.16%,507852
2015/5/1,86.1,86.93,85.62,86.49,86.49,0.76%,260643
2015/5/4,86.77,87.96,86.58,87.49,87.49,1.16%,367849
2015/5/5,87.02,87.93,86.54,87.24,87.24,-0.29%,595827
2015/5/6,86.76,87.91,84.09,84.32,84.32,-3.35%,501758
2015/5/7,84.15,86.58,84.14,86.22,86.22,2.25%,643993
2015/5/8,87.09,87.09,85.99,86.69,86.69,0.55%,330345
2015/5/11,86.41,86.87,86.18,86.38,86.38,-0.36%,298544
2015/5/12,85.66,86.98,85.36,86.905,86.905,0.61%,499201
2015/5/13,87.38,88.29,86.8,88.2,88.2,1.49%,504391
2015/5/14,88.7,90.7,88.34,90.48,90.48,2.59%,946411
2015/5/15,90.23,90.49,89.32,89.7,89.7,-0.86%,524112
2015/5/18,89.33,90.63,89.08,90.32,90.32,0.69%,247439
2015/5/19,90.65,90.83,89.85,90.11,90.11,-0.23%,236048
2015/5/20,90.4,90.64,89.971,90.51,90.51,0.44%,304490
2015/5/21,90.25,90.87,89.96,90.22,90.22,-0.32%,229053
2015/5/22,90.13,90.44,89.88,90.03,90.03,-0.21%,151573
2015/5/26,89.45,89.45,88.8,89.12,89.12,-1.01%,263700
2015/5/27,89.04,89.91,88.91,89.83,89.83,0.80%,226074
2015/5/28,89.97,90.03,89.25,89.71,89.71,-0.13%,189681
2015/5/29,89.71,89.71,88.75,89,89,-0.79%,374827
2015/6/1,89.38,89.74,88.404,89.41,89.41,0.46%,272150
2015/6/2,88.93,89.58,88.86,89.53,89.53,0.13%,428719
2015/6/3,89.79,91.15,89.48,91.02,91.02,1.66%,352738
2015/6/4,90.54,90.94,89.53,89.64,89.64,-1.52%,286922
2015/6/5,89.46,90.13,88.98,90.12,90.12,0.54%,210985
2015/6/8,90.04,90.2,88.8,88.82,88.82,-1.44%,322307
2015/6/9,88.57,89.12,88.02,88.8,88.8,-0.02%,299365
2015/6/10,89.06,90.73,88.82,90.51,90.51,1.93%,287781
2015/6/11,90.43,91.99,90.02,91.8,91.8,1.43%,472828
2015/6/12,91.73,91.85,90.7,90.88,90.88,-1.00%,731531
2015/6/15,90.39,90.74,87.93,88.77,88.77,-2.32%,423453
2015/6/16,88.93,90.58,88.62,89.87,89.87,1.24%,341800
2015/6/17,89.93,90.1,89.23,89.87,89.87,0.00%,207784
2015/6/18,89.96,90.8,89.48,90.72,90.72,0.95%,280532
2015/6/19,90.9,91.18,90.38,90.92,90.92,0.22%,498759
2015/6/22,91.53,91.99,91.13,91.8,91.8,0.97%,292922
2015/6/23,91.98,92.18,91.63,91.95,91.95,0.16%,362587
2015/6/24,91.69,91.98,90.99,91.09,91.09,-0.94%,249759
2015/6/25,91.31,92.19,91.31,91.87,91.87,0.86%,351437
2015/6/26,92,92.46,91.69,92.19,92.19,0.35%,728284
2015/6/29,91.5,92.15,90.96,91,91,-1.29%,470898
2015/6/30,91.46,91.755,90.48,91.24,91.24,0.26%,401470
2015/7/1,91.99,92.2,90.93,91.51,91.51,0.30%,368283
2015/7/2,91.42,91.88,90.77,91.41,91.41,-0.11%,247124
2015/7/6,90.95,91.37,90.6,90.87,90.87,-0.59%,263762
2015/7/7,90.92,91.52,89.53,91.51,91.51,0.70%,279340
2015/7/8,90.69,91.38,89.93,90.72,90.72,-0.86%,507927
2015/7/9,91.74,91.97,91.19,91.4,91.4,0.75%,298817
2015/7/10,92.25,92.62,91.7,92.43,92.43,1.13%,339863
2015/7/13,92.65,93.29,92.44,93.05,93.05,0.67%,271001
2015/7/14,93.3,93.3,92.15,92.81,92.81,-0.26%,398871
2015/7/15,92.66,93.33,92.48,92.71,92.71,-0.11%,279032
2015/7/16,93.41,93.82,92.57,93.72,93.72,1.09%,249816
2015/7/17,93.59,93.93,92.69,92.96,92.96,-0.81%,300407
2015/7/20,93.13,93.25,92.553,93.01,93.01,0.05%,205101
2015/7/21,92.84,93.07,91.49,91.53,91.53,-1.59%,420211
2015/7/22,91,93.61,91,93.36,93.36,2.00%,312276
2015/7/23,93.74,94.35,93.225,93.49,93.49,0.14%,424848
2015/7/24,93.27,94.28,92.35,92.94,92.94,-0.59%,312268
2015/7/27,92.6,92.89,91.26,91.31,91.31,-1.75%,222671
2015/7/28,91.92,92.46,91.22,92,92,0.76%,619026
2015/7/29,91.77,93.33,91.51,92.99,92.99,1.08%,225144
2015/7/30,92.56,94.21,92.39,93.71,93.71,0.77%,238234
2015/7/31,93.99,94.86,93.49,94.15,94.15,0.47%,314449
2015/8/3,94.2,94.55,93.22,94.54,94.54,0.41%,356419
2015/8/4,94.67,95.27,94.29,95.23,95.23,0.73%,374819
2015/8/5,90.47,95.56,90,94.02,94.02,-1.27%,854603
2015/8/6,94.91,95.3,92.02,92.96,92.96,-1.13%,511858
2015/8/7,92.86,94.66,92.86,93.76,93.76,0.86%,359934
2015/8/10,94.23,95.7,93.53,95.31,95.31,1.65%,327678
2015/8/11,94.05,95.69,93.86,94.27,94.27,-1.09%,257595
2015/8/12,93.87,94.67,92.69,94.39,94.39,0.13%,388563
2015/8/13,94.3,95.17,93.92,94.33,94.33,-0.06%,327998
2015/8/14,94.14,94.43,93.45,94.26,94.26,-0.07%,470042
2015/8/17,93.69,96.53,93.69,96.51,96.51,2.39%,515393
2015/8/18,96.79,97.59,96.59,97.06,97.06,0.57%,480268
2015/8/19,96.99,97.09,95.69,96.15,96.15,-0.94%,335327
2015/8/20,95.25,96.24,93.2,93.24,93.24,-3.03%,386168
2015/8/21,92.36,93.32,90.84,90.92,90.92,-2.49%,540441
2015/8/24,87.79,89.21,84.903,85.63,85.63,-5.82%,889686
2015/8/25,88.17,90.24,85.54,85.75,85.75,0.14%,858333
2015/8/26,87.8,88.25,85.86,87.75,87.75,2.33%,630857
2015/8/27,88.94,90.15,88,89.79,89.79,2.32%,418952
2015/8/28,89.15,90.12,88.65,89.74,89.74,-0.06%,329556
2015/8/31,89.55,89.9,88.36,88.6,88.6,-1.27%,390513
2015/9/1,86.69,88,86.37,86.57,86.57,-2.29%,523572
2015/9/2,87.88,88.89,86.54,88.87,88.87,2.66%,594534
2015/9/3,89.14,90.58,88.61,90.09,90.09,1.37%,421500
2015/9/4,89,90.39,89,89.72,89.72,-0.41%,444884
2015/9/8,91.25,92.78,90.96,92.47,92.47,3.07%,356046
2015/9/9,92.66,93.37,90.71,90.88,90.88,-1.72%,299131
2015/9/10,90.86,92.24,90.35,91.65,91.65,0.85%,351612
2015/9/11,90.8,92.24,90.8,92.23,92.23,0.63%,208934
2015/9/14,92.36,92.36,91.18,91.39,91.39,-0.91%,150922
2015/9/15,92.2,92.71,91.36,92.37,92.37,1.07%,202046
2015/9/16,92.22,92.88,91.995,92.79,92.79,0.45%,212881
2015/9/17,92.63,93.76,92.14,92.36,92.36,-0.46%,297170
2015/9/18,90.86,92.33,90.62,90.95,90.95,-1.53%,501646
2015/9/21,91.8,93.15,91.52,92.23,92.23,1.41%,218970
2015/9/22,91,91.24,90.26,90.87,90.87,-1.47%,373952
2015/9/23,90.83,91.5,90.3,90.86,90.86,-0.01%,177490
2015/9/24,90.29,91.19,89.81,90.68,90.68,-0.20%,331809
2015/9/25,91.45,91.75,89.46,89.94,89.94,-0.82%,430781
2015/9/28,89.65,90.195,88.16,88.29,88.29,-1.83%,510259
2015/9/29,88.58,88.64,86.69,86.92,86.92,-1.55%,528674
2015/9/30,87.99,88.53,86.828,88.14,88.14,1.40%,648123
2015/10/1,88.31,88.81,86.41,87.34,87.34,-0.91%,574628
2015/10/2,86.43,88.27,85.33,88.24,88.24,1.03%,498041
2015/10/5,89.03,89.98,88.45,89.74,89.74,1.70%,344549
2015/10/6,89.48,89.9,88.37,88.89,88.89,-0.95%,257281
2015/10/7,89.11,89.82,88.46,89.66,89.66,0.87%,323047
2015/10/8,89.14,90.28,88.92,90.25,90.25,0.66%,249453
2015/10/9,90.33,92.02,88.44,91.81,91.81,1.73%,295721
2015/10/12,92,92.1,91.24,91.87,91.87,0.07%,165483
2015/10/13,91.8,92.26,90.2,91.37,91.37,-0.54%,207111
2015/10/14,91.37,91.96,90.19,90.26,90.26,-1.21%,187355
2015/10/15,90.66,91.36,89.93,90.82,90.82,0.62%,375509
2015/10/16,91.03,92.34,90.45,92.15,92.15,1.46%,275913
2015/10/19,91.57,93.88,91.4,93.29,93.29,1.24%,412017
2015/10/20,93.24,93.77,91.87,92.07,92.07,-1.31%,223554
2015/10/21,92.43,92.6,91.4,91.57,91.57,-0.54%,226034
2015/10/22,91.92,93.789,91.76,93.08,93.08,1.65%,258416
2015/10/23,93.91,93.99,92.38,93.58,93.58,0.54%,421669
2015/10/26,93.65,94.91,93.65,94.35,94.35,0.82%,285636
2015/10/27,93.81,94.68,93.33,94,94,-0.37%,299487
2015/10/28,94.37,97.12,94.17,97.07,97.07,3.27%,326912
2015/10/29,96.85,96.85,94.99,95.52,95.52,-1.60%,255726
2015/10/30,95.45,96.08,94.99,95.31,95.31,-0.22%,474252
2015/11/2,95.76,97.53,95.2,97.43,97.43,2.22%,403453
2015/11/3,97.18,97.775,96.274,97.21,97.21,-0.23%,638281
2015/11/4,97.26,98.39,95.525,97.77,97.77,0.58%,392369
2015/11/5,91.22,95.72,90.82,93.39,93.39,-4.48%,1363758
2015/11/6,93.19,94.73,93.02,93.52,93.52,0.14%,778023
2015/11/9,93.21,93.21,91.91,92.2,92.2,-1.41%,506571
2015/11/10,92.56,92.63,91.4,92.16,92.16,-0.04%,600341
2015/11/11,92.24,92.33,91.34,91.45,91.45,-0.77%,626839
2015/11/12,90.76,91.86,90.57,90.59,90.59,-0.94%,411522
2015/11/13,90.31,92.66,89.14,89.58,89.58,-1.11%,449676
2015/11/16,89.21,90.2,88.88,90.17,90.17,0.66%,616524
2015/11/17,90.42,91.16,89.831,90.26,90.26,0.10%,330502
2015/11/18,90.37,90.98,89.63,90.73,90.73,0.52%,510198
2015/11/19,90.97,91.7,90.86,91.5,91.5,0.85%,626340
2015/11/20,91.24,91.98,90.78,91.63,91.63,0.14%,373580
2015/11/23,91.9,92.955,91.485,92.33,92.33,0.76%,438146
2015/11/24,92.11,92.855,91.2,92.53,92.53,0.22%,395718
2015/11/25,92.42,93.19,92.42,92.86,92.86,0.36%,297902
2015/11/27,92.92,93.78,92.57,93.66,93.66,0.86%,142579
2015/11/30,93.71,94.22,92.86,93.21,93.21,-0.48%,550009
2015/12/1,93.44,94.57,93.1,94.18,94.18,1.04%,530910
2015/12/2,94.08,94.41,93.37,93.43,93.43,-0.80%,253472
2015/12/3,93.3,94.26,92,92.36,92.36,-1.15%,517392
2015/12/4,92.65,93.82,92.275,93.65,93.65,1.40%,372483
2015/12/7,93.37,93.82,92.35,92.83,92.83,-0.88%,319866
2015/12/8,92.25,94.13,91.45,92.9,92.9,0.08%,765350
2015/12/9,92.31,93.29,90.44,90.58,90.58,-2.50%,380925
2015/12/10,90.78,92.15,90.64,91.03,91.03,0.50%,350606
2015/12/11,90.33,91.39,89.63,89.76,89.76,-1.40%,229505
2015/12/14,90.05,90.66,89.48,90.11,90.11,0.39%,400196
2015/12/15,91.19,91.74,90.465,90.97,90.97,0.95%,353396
2015/12/16,91.35,92.12,89.99,91.73,91.73,0.84%,288234
2015/12/17,92.25,92.97,91.06,91.36,91.36,-0.40%,591513
2015/12/18,91.36,91.37,89.53,90.6,90.6,-0.83%,1146762
2015/12/21,91.03,91.94,90.255,91.09,91.09,0.54%,338005
2015/12/22,91.4,92.04,90.62,91.85,91.85,0.83%,297796
2015/12/23,92.27,93.42,92.01,93.3,93.3,1.58%,232026
2015/12/24,92.92,93.67,92.19,93.35,93.35,0.05%,132593
2015/12/28,93.19,94.22,93,93.83,93.83,0.51%,346598
