Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,98.82,99.29,98.16,98.18,88.988,-0.92%,703415
2015/3/25,98.24,98.5,95.94,95.95,86.967,-2.27%,980078
2015/3/26,95.52,96.28,95.294,96.03,87.039,0.08%,1147524
2015/3/27,95.94,96.7,95.51,95.87,86.894,-0.17%,1345210
2015/3/30,96.57,98.25,96.37,98.1,88.916,2.33%,1092663
2015/3/31,97.4,97.56,95.96,96.12,87.121,-2.02%,1799944
2015/4/1,95.84,96.95,95.32,96.23,87.221,0.11%,1373965
2015/4/2,96.22,96.76,95.75,96.63,87.583,0.42%,874305
2015/4/6,96.17,98.44,95.83,97.83,88.671,1.24%,1109652
2015/4/7,97.84,98,97.3,97.32,88.209,-0.52%,711066
2015/4/8,97.54,98.72,97.33,98.64,89.405,1.36%,870085
2015/4/9,98.41,98.94,97.61,98.42,89.206,-0.22%,764389
2015/4/10,98.3,98.69,97.932,98.25,89.051,-0.17%,553402
2015/4/13,98.27,98.99,98.07,98.62,89.387,0.38%,569339
2015/4/14,98.43,98.79,97.438,98.58,89.351,-0.04%,832574
2015/4/15,98.94,99.03,98.4,98.48,89.26,-0.10%,821062
2015/4/16,97.8,98.02,97.2,97.62,88.48,-0.87%,1060024
2015/4/17,97.11,97.14,95.69,96.17,87.166,-1.49%,2058826
2015/4/20,96.73,97.47,96.58,97.4,88.281,1.28%,1037630
2015/4/21,97.5,97.815,96.73,97.1,88.009,-0.31%,1228461
2015/4/22,96.45,97.46,96.26,97.2,88.1,0.10%,1270117
2015/4/23,96.8,97.83,96.5,97.41,88.29,0.22%,742575
2015/4/24,97.3,98.148,96.665,97.84,88.68,0.44%,818714
2015/4/27,98.51,98.625,97.66,97.92,88.752,0.08%,1314313
2015/4/28,97.59,98.12,96.98,98.06,88.879,0.14%,824582
2015/4/29,97.76,98.41,97.24,97.88,88.988,-0.18%,845396
2015/4/30,97.35,98.15,95.87,96.23,87.488,-1.69%,1889672
2015/5/1,96.88,99.26,96.72,98.42,89.479,2.28%,1314408
2015/5/4,98.5,98.955,97.99,98.8,89.824,0.39%,786659
2015/5/5,98.79,99.31,97.65,97.69,88.815,-1.12%,5807873
2015/5/6,97.87,98,96.67,97.38,88.533,-0.32%,1037617
2015/5/7,97.55,98.14,96.83,97.91,89.015,0.54%,1293815
2015/5/8,98.98,100,98.66,99.89,90.815,2.02%,1650901
2015/5/11,99.63,100.85,99.63,100.19,91.088,0.30%,1540075
2015/5/12,99.54,99.94,98.72,99.11,90.106,-1.08%,863419
