Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,79.63,79.91,78.93,79.22,61.677,-0.78%,1146399
2015/3/25,79.19,79.405,77.44,77.46,60.306,-2.22%,1301403
2015/3/26,76.87,77.08,76.23,76.89,59.863,-0.74%,2381813
2015/3/27,76.85,77.6,76.64,77.49,60.33,0.78%,1318532
2015/3/30,77.99,79.26,77.99,79.21,61.669,2.22%,1114479
2015/3/31,79,80.25,78.83,79.74,62.082,0.67%,2110610
2015/4/1,80.23,80.23,78.17,78.85,61.389,-1.12%,2301414
2015/4/2,79.08,81.38,78.7,81.18,63.203,2.95%,3362129
2015/4/6,81.64,85.08,81.05,83.8,65.242,3.23%,3946663
2015/4/7,83.35,83.83,82.84,82.88,64.526,-1.10%,1699246
2015/4/8,82.86,83.42,82.43,83.21,64.783,0.40%,1784420
2015/4/9,83.24,84.275,83.2,84.23,65.577,1.23%,2086647
2015/4/10,84.86,85.21,84.36,84.71,65.951,0.57%,2145850
2015/4/13,84.92,84.97,83.74,83.97,65.375,-0.87%,1121421
2015/4/14,83.91,84.34,83.34,84.12,65.492,0.18%,1464587
2015/4/15,84.5,84.54,83.67,83.75,65.204,-0.44%,1619017
2015/4/16,83.88,84.565,83.75,84.02,65.414,0.32%,1837288
2015/4/17,83.46,83.72,82.75,83.27,64.83,-0.89%,1669408
2015/4/20,83.93,84.15,83.09,83.33,64.877,0.07%,1549997
2015/4/21,83.38,83.53,82.42,83.03,64.643,-0.36%,1944501
2015/4/22,83.23,83.87,82.51,82.88,64.526,-0.18%,1521649
2015/4/23,82.67,83.6,82.12,83.19,64.768,0.37%,1593628
2015/4/24,83.51,83.95,83.29,83.51,65.017,0.38%,1210599
2015/4/27,83.32,83.98,82.59,82.72,64.402,-0.95%,1555215
2015/4/28,82.54,83.02,81.89,82.68,64.37,-0.05%,1575504
2015/4/29,82.57,82.85,81.61,81.93,63.787,-0.91%,1488598
2015/4/30,81.08,83.44,81.08,83,64.62,1.31%,3270354
2015/5/1,83.89,84.44,83.45,84.34,65.663,1.61%,2395583
2015/5/4,84.42,86.34,84.42,86.04,66.986,2.02%,2168586
2015/5/5,86.3,86.52,84.11,84.13,65.499,-2.22%,2327468
2015/5/6,84.33,84.53,83.58,84.5,65.787,0.44%,1991517
2015/5/7,84.41,84.69,83.61,83.85,65.281,-0.77%,1222812
2015/5/8,84.74,85.9,84.55,85.33,66.434,1.77%,1064203
