Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,13.497,13.537,13.288,13.312,10.286,-0.98%,25819190
2015/3/25,13.262,13.333,12.44,12.443,9.615,-6.53%,48852630
2015/3/26,12.026,12.514,11.696,12.471,9.636,0.23%,45067960
2015/3/27,12.499,12.9,12.485,12.821,9.907,2.81%,24297330
2015/3/30,12.983,13.09,12.83,13.055,10.088,1.83%,19523180
2015/3/31,12.931,12.95,12.673,12.698,9.812,-2.73%,16402030
2015/4/1,12.666,12.696,12.361,12.563,9.708,-1.06%,21830460
2015/4/2,12.611,12.691,12.463,12.502,9.66,-0.49%,14508350
2015/4/6,12.337,12.673,12.25,12.583,9.723,0.65%,14227110
2015/4/7,12.651,12.717,12.54,12.565,9.709,-0.14%,16132430
2015/4/8,12.547,12.747,12.53,12.679,9.797,0.91%,13607130
2015/4/9,12.584,12.794,12.565,12.722,9.83,0.34%,13960540
2015/4/10,12.756,12.797,12.607,12.682,9.8,-0.31%,11668820
2015/4/13,12.725,12.747,12.51,12.535,9.686,-1.16%,10483250
2015/4/14,12.506,12.534,12.214,12.398,9.58,-1.09%,16050750
2015/4/15,12.477,12.63,12.465,12.59,9.728,1.55%,16897840
2015/4/16,12.507,12.616,12.48,12.533,9.684,-0.45%,15455780
2015/4/17,12.369,12.428,12.094,12.185,9.415,-2.78%,26817260
2015/4/20,12.25,12.382,12.22,12.303,9.506,0.97%,13299470
2015/4/21,12.432,12.505,12.294,12.31,9.512,0.06%,20615540
2015/4/22,12.391,12.8,12.275,12.79,9.883,3.90%,22579710
2015/4/23,12.522,12.546,12.255,12.407,9.587,-2.99%,28052540
2015/4/24,12.373,12.373,11.587,11.95,9.234,-3.68%,55058700
2015/4/27,12,12.194,11.872,12.015,9.284,0.54%,27320200
2015/4/28,12.038,12.1,11.456,11.745,9.075,-2.25%,31031010
2015/4/29,11.602,11.752,11.475,11.703,9.043,-0.36%,20903100
2015/4/30,11.669,11.894,11.626,11.688,9.031,-0.13%,21339430
2015/5/1,11.792,12.343,11.788,12.28,9.489,5.07%,25339220
2015/5/4,12.283,12.385,12.086,12.116,9.362,-1.34%,14207020
2015/5/5,12.01,12.067,11.663,11.679,9.024,-3.61%,22089500
2015/5/6,11.784,11.837,11.539,11.678,9.023,-0.01%,14475420
2015/5/7,12,12.364,12,12.248,9.464,4.88%,23541800
2015/5/8,12.32,12.493,12.273,12.333,9.53,0.69%,14846120
2015/5/11,12.357,12.386,12.26,12.281,9.49,-0.42%,12417700
2015/5/12,12.202,12.358,12.13,12.295,9.5,0.11%,10264350
2015/5/13,12.363,12.484,12.231,12.313,9.514,0.15%,11866170
2015/5/14,12.414,12.868,12.364,12.694,9.809,3.09%,23279270
2015/5/15,12.779,12.95,12.657,12.787,9.881,0.73%,22630820
2015/5/18,12.795,13.04,12.728,13.018,10.059,1.81%,17984190
2015/5/19,13.086,13.185,12.925,12.947,10.004,-0.55%,16052670
2015/5/20,12.994,13.107,12.811,12.911,9.976,-0.28%,18721320
2015/5/21,12.951,13.003,12.784,12.959,10.014,0.37%,21309510
2015/5/22,12.982,13.383,12.982,13.264,10.249,2.35%,22855510
2015/5/26,13.436,13.453,13.064,13.13,10.146,-1.01%,26780690
2015/5/27,13.209,14.482,13.162,14.149,10.933,7.76%,114247850
2015/5/28,14.501,14.547,13.6,14.238,11.002,0.63%,249123380
2015/5/29,14.412,14.924,14.411,14.807,11.442,4.00%,118244290
2015/6/1,14.824,15.05,14.515,14.662,11.329,-0.98%,83579030
2015/6/2,14.641,14.667,14.314,14.416,11.139,-1.68%,41263850
2015/6/3,14.6,14.6,14.281,14.306,11.054,-0.76%,30450070
2015/6/4,14.249,14.344,14.048,14.12,10.911,-1.30%,28017490
2015/6/5,14.097,14.404,13.931,14.381,11.112,1.85%,38592740
2015/6/8,14.357,14.377,13.753,13.863,10.712,-3.60%,54421740
2015/6/9,13.895,14.073,13.651,14.021,10.834,1.14%,44071370
2015/6/10,13.993,14.398,13.984,14.286,11.039,1.89%,42616560
2015/6/11,14.218,14.326,14.102,14.199,10.972,-0.61%,31516810
2015/6/12,14.129,14.148,13.988,14.047,10.854,-1.07%,19145130
2015/6/15,13.916,14.402,13.901,14.312,11.059,1.89%,34565450
2015/6/16,14.27,14.349,14.138,14.199,10.972,-0.79%,20997500
2015/6/17,14.15,14.25,13.946,14.069,10.902,-0.92%,25428900
2015/6/18,14.073,14.375,14.073,14.3,11.081,1.64%,25298000
2015/6/19,14.301,14.391,14.16,14.289,11.073,-0.08%,26880910
2015/6/22,14.416,14.514,14.2,14.328,11.102,0.27%,22853100
2015/6/23,14.396,14.396,14.086,14.164,10.976,-1.14%,21496910
2015/6/24,14.206,14.222,13.983,13.997,10.846,-1.18%,22401800
2015/6/25,14.013,14.105,13.883,13.923,10.789,-0.53%,17546780
2015/6/26,13.885,13.904,13.475,13.515,10.473,-2.93%,71798400
2015/6/29,13.285,13.521,13.104,13.201,10.23,-2.32%,40472900
2015/6/30,13.38,13.438,13.212,13.293,10.301,0.70%,28695440
2015/7/1,13.441,13.77,13.432,13.55,10.5,1.93%,43064900
2015/7/2,13.56,13.775,13.535,13.764,10.666,1.58%,32796520
2015/7/6,13.616,13.761,13.387,13.42,10.399,-2.50%,30188090
2015/7/7,13.395,13.445,12.616,13.284,10.294,-1.01%,59269440
2015/7/8,13.01,13.134,12.686,12.805,9.923,-3.61%,51371260
2015/7/9,13.018,13.136,12.372,12.468,9.662,-2.63%,73468820
2015/7/10,12.661,13.082,12.65,12.984,10.061,4.14%,50948910
2015/7/13,13.138,13.138,12.846,12.918,10.01,-0.51%,25303990
2015/7/14,12.935,13.248,12.851,13.23,10.252,2.42%,26289180
2015/7/15,13.167,13.349,13.082,13.172,10.207,-0.44%,23099670
2015/7/16,13.363,13.477,13.089,13.47,10.438,2.26%,33976960
2015/7/17,13.496,13.5,13.196,13.366,10.357,-0.77%,29000080
2015/7/20,13.455,13.562,13.375,13.464,10.433,0.73%,23563340
2015/7/21,13.51,13.638,13.414,13.451,10.423,-0.10%,31532300
2015/7/22,12.704,13,12.538,12.959,10.042,-3.66%,61346470
2015/7/23,13.118,13.5,13.05,13.197,10.226,1.84%,30608100
2015/7/24,13.351,13.385,12.834,12.848,9.956,-2.64%,36310610
2015/7/27,12.735,12.75,12.41,12.465,9.659,-2.98%,34893460
2015/7/28,12.558,12.955,12.352,12.842,9.951,3.02%,27869400
2015/7/29,12.837,12.912,12.545,12.858,9.964,0.12%,33407170
2015/7/30,12.574,12.879,12.507,12.765,9.892,-0.72%,39168890
2015/7/31,12.834,12.834,12.496,12.514,9.697,-1.97%,30592830
2015/8/3,12.642,12.749,12.424,12.58,9.748,0.53%,27272630
