Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,24.39,25.653,24.39,25.3,25.3,4.16%,1922601
2015/3/25,25.22,25.45,24.21,24.35,24.35,-3.75%,1464503
2015/3/26,24.17,24.38,23.79,24.21,24.21,-0.57%,938471
2015/3/27,24.15,24.62,23.92,24.065,24.065,-0.60%,873178
2015/3/30,24.15,24.88,24.13,24.63,24.63,2.35%,767202
2015/3/31,24.9,25,24.06,24.11,24.11,-2.11%,1216440
2015/4/1,24.01,24.38,23.41,24.24,24.24,0.54%,1020791
2015/4/2,24.21,24.472,24.04,24.44,24.44,0.83%,747924
2015/4/6,24.19,24.71,24.16,24.51,24.51,0.29%,654981
2015/4/7,24.46,25,24.4,24.53,24.53,0.08%,766270
2015/4/8,24.85,25.32,24.14,25.16,25.16,2.57%,1367589
2015/4/9,26.27,27.48,26.2,27.4,27.4,8.90%,5254171
2015/4/10,27.48,27.5,26.8,27.07,27.07,-1.20%,2000194
2015/4/13,27.28,27.46,26.82,27.02,27.02,-0.18%,1054079
2015/4/14,27.15,27.58,26.6,26.83,26.83,-0.70%,1293436
2015/4/15,27.09,27.36,26.53,27.15,27.15,1.19%,1546345
2015/4/16,27.01,28.61,26.85,27.83,27.83,2.50%,3256114
2015/4/17,29.41,29.65,28.06,28.4,28.4,2.05%,4558027
2015/4/20,29.01,30.47,28.6,30.37,30.37,6.94%,4136470
2015/4/21,29.96,30,28.74,29.5,29.5,-2.86%,3068739
2015/4/22,28.79,29.67,28.7,29.5,29.5,0.00%,1558575
2015/4/23,29.27,30.18,28.78,29.68,29.68,0.61%,1643508
2015/4/24,29.63,30,29.51,29.67,29.67,-0.03%,1272676
2015/4/27,29.76,29.9,28.1,28.37,28.37,-4.38%,2566442
2015/4/28,28.85,29.35,28.05,28.89,28.89,1.83%,3162858
2015/4/29,28.76,28.79,27.88,28.07,28.07,-2.84%,2600806
2015/4/30,30.74,31.15,29.24,30.19,30.19,7.55%,8804780
2015/5/1,30.5,33.23,30.5,32.37,32.37,7.22%,6940730
2015/5/4,32.83,34.24,32.18,33.7,33.7,4.11%,6235888
2015/5/5,33.97,35,33.87,34.6,34.6,2.67%,6241226
2015/5/6,34.98,34.98,33.51,34.41,34.41,-0.55%,3869903
2015/5/7,33.25,33.35,31.94,32.58,32.58,-5.32%,4577513
2015/5/8,32.79,32.89,31.12,31.94,31.94,-1.96%,4940677
2015/5/11,32,33.9,31.86,33.19,33.19,3.91%,3494717
2015/5/12,32.85,34,32.525,33.66,33.66,1.42%,2678581
2015/5/13,34,34.49,33.47,33.54,33.54,-0.36%,1801535
2015/5/14,33.55,33.95,33,33.7,33.7,0.48%,1357404
2015/5/15,33.61,33.69,32.62,32.97,32.97,-2.17%,1867165
2015/5/18,31.83,32.49,30.38,32.43,32.43,-1.64%,4273309
2015/5/19,32.56,33,32.25,32.35,32.35,-0.25%,1528619
2015/5/20,32.3,32.48,31.42,31.86,31.86,-1.51%,1815607
