Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,151.96,152.62,151.35,151.65,133.394,-0.76%,3319174
2015/3/25,151.4,152.04,148.13,148.23,130.386,-2.26%,3747634
2015/3/26,147.83,148.85,145.96,148.17,130.333,-0.04%,3626966
2015/3/27,148.59,149.31,147.49,148.85,130.931,0.46%,2599952
2015/3/30,150.08,153.17,149.98,152.7,134.317,2.59%,3737257
2015/3/31,152.23,152.25,149.94,150.08,132.013,-1.72%,2975297
2015/4/1,149.97,150.02,146.82,148.64,130.746,-0.96%,4167631
2015/4/2,149.14,150.5,148.312,149.28,131.309,0.43%,2934194
2015/4/6,148.15,151.45,148,150.93,132.76,1.11%,3371457
2015/4/7,151.27,153.5,151.14,152.32,133.983,0.92%,4299482
2015/4/8,152.19,153.5,152.19,153.36,134.898,0.68%,2763398
2015/4/9,152.62,153.67,151.626,153.42,134.951,0.04%,3966515
2015/4/10,153.55,154.963,153.25,154.38,135.795,0.63%,3182905
2015/4/13,153.79,155.5,152.961,153.24,134.792,-0.74%,3034047
2015/4/14,152.93,153.54,151.59,153.21,134.766,-0.02%,2845971
2015/4/15,154.37,154.37,152.21,152.43,134.08,-0.51%,3687428
2015/4/16,151.66,152.53,151.05,151.97,133.675,-0.30%,2559883
2015/4/17,150.88,151.43,149.44,149.6,131.591,-1.56%,4664133
2015/4/20,151.06,153.55,151.01,152.67,134.291,2.05%,3169131
2015/4/21,153.51,154.09,152,153.33,134.872,0.43%,3772879
2015/4/22,152.36,153,148.85,151.19,132.989,-1.40%,8468924
2015/4/23,150.83,150.83,149.73,149.87,131.828,-0.87%,4079766
2015/4/24,149.54,149.86,148.02,148.4,130.535,-0.98%,4889228
2015/4/27,148.59,149,147.71,147.8,130.007,-0.40%,4599952
2015/4/28,147.9,148.37,146.01,147.51,129.752,-0.20%,4352892
2015/4/29,147.07,147.455,145.9,146.15,128.556,-0.92%,4761676
2015/4/30,145.25,145.94,142.75,143.34,126.084,-1.92%,4925132
2015/5/1,144.41,145.07,143.84,144.67,127.254,0.93%,3556817
2015/5/4,143.85,144.79,143.18,144.02,126.682,-0.45%,8977485
2015/5/5,143.76,144.695,142.27,142.91,125.706,-0.77%,3669996
2015/5/6,143.01,143.15,140.43,141.04,124.862,-1.31%,5313279
2015/5/7,140.56,142.18,140.48,141.49,125.26,0.32%,4868622
2015/5/8,143,145.94,142.98,145.46,128.775,2.81%,7067828
2015/5/11,145.55,146.79,145.13,145.89,129.155,0.30%,3969023
2015/5/12,144.94,146.08,144.01,145.43,128.748,-0.32%,3543150
2015/5/13,145.41,146.529,145.101,145.62,128.916,0.13%,2680190
2015/5/14,146.88,148.25,146.65,147.96,130.988,1.61%,3495382
2015/5/15,148.05,148.3,146.34,146.88,130.032,-0.73%,3368655
2015/5/18,146.88,147.24,146.3,146.71,129.881,-0.12%,2153183
2015/5/19,147.18,147.77,146.73,147.05,130.182,0.23%,2366375
2015/5/20,147.14,147.34,146.1,146.42,129.624,-0.43%,2103999
2015/5/21,146.56,147.71,146.1,147.35,130.448,0.64%,2676417
2015/5/22,147.26,147.27,144.8,144.81,128.199,-1.72%,3877994
2015/5/26,144.34,144.43,142.16,142.8,126.42,-1.39%,3470284
2015/5/27,143.42,143.75,142.58,143,126.597,0.14%,2836746
