Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,35.775,35.98,35.428,35.755,32.403,-0.33%,2696866
2015/3/25,35.73,35.745,35.03,35.07,31.782,-1.92%,2029520
2015/3/26,35,35,34.475,34.875,31.605,-0.56%,2030246
2015/3/27,34.945,34.96,34.58,34.665,31.415,-0.60%,1891594
2015/3/30,35,35.495,34.835,35.45,32.126,2.26%,1077696
2015/3/31,35.265,35.54,35.17,35.32,32.008,-0.37%,1610768
2015/4/1,35.4,35.409,34.905,35.15,31.854,-0.48%,1683340
2015/4/2,35.155,35.435,35.03,35.19,31.891,0.11%,1105568
2015/4/6,34.93,36.17,34.922,36.07,32.688,2.50%,2457052
2015/4/7,36.03,36.081,35.497,35.655,32.312,-1.15%,2152536
2015/4/8,35.695,36.29,35.52,36.285,32.883,1.77%,1435622
2015/4/9,36.285,36.44,35.81,36.05,32.67,-0.65%,1566800
2015/4/10,35.795,36.22,35.555,36.21,32.815,0.44%,2219652
2015/4/13,36.135,36.345,35.95,36.28,32.878,0.19%,1899200
2015/4/14,36.25,36.46,36,36.455,33.037,0.48%,1781150
2015/4/15,36.585,36.64,36.24,36.26,32.86,-0.53%,2535570
2015/4/16,36.065,36.165,35.82,35.875,32.511,-1.06%,1858500
2015/4/17,35.675,36.168,35.39,35.9,32.534,0.07%,2622646
2015/4/20,35.91,36.225,35.91,36.055,32.674,0.43%,1280388
2015/4/21,36.055,36.15,35.875,36.03,32.652,-0.07%,1722700
2015/4/22,36.04,36.055,35.81,35.99,32.616,-0.11%,1972284
2015/4/23,35.94,36.305,35.9,36.235,32.838,0.68%,1059798
2015/4/24,36.415,37.345,36.33,37.28,33.785,2.88%,2312014
2015/4/27,37.45,37.46,37.175,37.305,33.807,0.07%,2925958
2015/4/28,37.205,37.43,36.983,37.22,33.73,-0.23%,3111144
2015/4/29,36.975,37.195,36.83,36.92,33.458,-0.81%,2138736
2015/4/30,36.355,36.88,35.595,36.705,33.263,-0.58%,4118236
2015/5/1,36.795,37.288,36.36,37.22,33.73,1.40%,5659904
2015/5/4,37.36,37.62,37.25,37.455,33.943,0.63%,2966084
2015/5/5,37.43,37.43,36.5,36.5,33.078,-2.55%,2435336
2015/5/6,36.55,36.65,35.87,36.105,32.72,-1.08%,2254596
2015/5/7,35.975,36.125,35.645,35.825,32.466,-0.78%,2922554
2015/5/8,36.11,36.165,35.87,36.15,32.761,0.91%,4256840
2015/5/11,36.135,36.168,35.845,35.97,32.597,-0.50%,1744880
2015/5/12,35.73,35.895,35.405,35.58,32.244,-1.08%,2304894
2015/5/13,35.74,36.025,35.61,35.755,32.403,0.49%,2309082
2015/5/14,35.98,36.135,35.61,35.985,32.611,0.64%,1723346
2015/5/15,36.09,36.615,36.09,36.505,33.082,1.45%,3164290
2015/5/18,36.44,36.895,36.305,36.84,33.386,0.92%,2834468
2015/5/19,36.91,36.985,36.54,36.605,33.173,-0.64%,1168990
2015/5/20,36.72,36.835,36.395,36.47,33.051,-0.37%,1569304
2015/5/21,36.505,36.55,36.12,36.255,32.856,-0.59%,1642648
2015/5/22,36.2,36.52,36.07,36.435,33.019,0.50%,1844226
