Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,81,81.354,79.82,79.91,59.766,-1.39%,921108
2015/3/25,80.32,80.37,79.2,79.55,59.497,-0.45%,1314554
2015/3/26,79.21,79.51,78.33,78.5,58.711,-1.32%,1116196
2015/3/27,79.33,80.11,78.68,80.07,59.886,2.00%,1513255
2015/3/30,80.5,82.18,80.34,81.8,61.179,2.16%,1332556
2015/3/31,81.4,82.4,80.89,82.36,61.598,0.68%,1481927
2015/4/1,82.52,83.55,82.2,83.16,62.197,0.97%,1516493
2015/4/2,82.97,84.35,82.83,83.62,62.541,0.55%,1274859
2015/4/6,83.32,84.72,83.32,83.98,62.81,0.43%,784812
2015/4/7,83.83,84.88,83.62,83.79,62.668,-0.23%,817927
2015/4/8,83.77,84.71,83.74,84.51,63.206,0.86%,781763
2015/4/9,84.56,84.85,83.99,84.32,63.064,-0.22%,616607
2015/4/10,84.48,85.07,84.27,84.91,63.505,0.70%,774248
2015/4/13,84.82,85.68,84.51,84.82,63.438,-0.11%,877909
2015/4/14,85.44,86.15,84.62,85.89,64.238,1.26%,1067701
2015/4/15,86.21,87.1,85.47,86.95,65.031,1.23%,1142175
2015/4/16,87.21,87.27,86.43,86.65,64.807,-0.35%,716164
2015/4/17,86.04,86.29,85.21,85.55,63.984,-1.27%,869829
2015/4/20,85.56,85.93,84.87,84.92,63.513,-0.74%,974160
2015/4/21,85.27,85.45,84.06,84.57,63.251,-0.41%,860704
2015/4/22,84.53,84.99,84.36,84.85,63.461,0.33%,550058
2015/4/23,84.74,86.21,84.45,85.71,64.104,1.01%,566101
2015/4/24,86.33,86.77,85.5,85.8,64.171,0.11%,946245
2015/4/27,85.75,86.93,85.62,86.32,64.56,0.61%,729693
2015/4/28,86.33,86.76,85.69,86.66,64.814,0.39%,589155
2015/4/29,85.87,87.19,85.86,87.03,65.091,0.43%,1235899
2015/4/30,87,89.49,86.115,86.37,64.597,-0.76%,2124042
2015/5/1,86.97,89.19,86.64,88.78,66.4,2.79%,2418537
2015/5/4,88.64,89.71,88.53,89.28,66.774,0.56%,1116265
2015/5/5,89.33,89.45,87.96,88.03,65.839,-1.40%,947857
2015/5/6,88.58,88.9,88.17,88.64,66.295,0.69%,1288387
2015/5/7,89.11,90.21,88.58,89.5,66.938,0.97%,1994053
2015/5/8,90.2,90.285,89.78,89.91,67.245,0.46%,748759
2015/5/11,89.73,90.23,89.4,89.95,67.275,0.04%,790477
2015/5/12,89.91,90.32,89.77,89.98,67.297,0.03%,819992
2015/5/13,90.32,91.22,90.05,90.62,67.776,0.71%,1321118
2015/5/14,91.1,91.569,90.83,91.22,68.225,0.66%,1318958
2015/5/15,91.33,92.27,90.69,91.86,68.958,0.70%,1212109
2015/5/18,91.51,92.14,91.14,91.92,69.003,0.07%,995105
2015/5/19,91.85,92.09,91.15,91.43,68.635,-0.53%,868910
2015/5/20,91.66,93.04,91.65,92.24,69.243,0.89%,983843
2015/5/21,91.76,92.263,91.6,91.62,68.778,-0.67%,945436
2015/5/22,91.5,91.87,90.8,91.22,68.477,-0.44%,650985
2015/5/26,90.88,91.28,90.32,90.45,67.899,-0.84%,989324
2015/5/27,90.84,91.89,90.25,91.44,68.643,1.09%,798102
2015/5/28,91.44,91.91,91.24,91.52,68.703,0.09%,637545
2015/5/29,91.49,92.72,91.23,92.56,69.483,1.14%,1276285
2015/6/1,92.61,92.74,91.42,91.66,68.808,-0.97%,858836
2015/6/2,91.37,91.81,91.02,91.26,68.507,-0.44%,509973
2015/6/3,91.62,91.62,90.84,91.28,68.522,0.02%,625794
2015/6/4,90.63,91.36,90.01,90.18,67.697,-1.21%,638279
2015/6/5,89.75,90.34,89.21,90.03,67.584,-0.17%,617874
2015/6/8,90.12,90.27,89.53,89.6,67.261,-0.48%,609403
2015/6/9,89.75,90.2,89.33,89.71,67.344,0.12%,737179
2015/6/10,90.01,91.85,90.01,91.75,68.875,2.27%,1193675
2015/6/11,91.66,92.18,91.32,91.82,68.928,0.08%,771684
2015/6/12,91.34,91.73,91.16,91.66,68.808,-0.17%,426612
2015/6/15,90.9,91.46,90.7,91.09,68.38,-0.62%,486269
2015/6/16,91.15,91.33,90.52,91.16,68.432,0.08%,557854
2015/6/17,91.05,91.42,90.27,91.33,68.56,0.19%,814950
2015/6/18,91.3,92.4,91.15,91.97,69.04,0.70%,757446
2015/6/19,92.07,92.12,91.69,91.96,69.033,-0.01%,758178
2015/6/22,92.38,92.48,91.73,92.14,69.168,0.20%,550439
2015/6/23,92.55,93.03,91.72,92.85,69.701,0.77%,720754
2015/6/24,92.57,92.8,91.428,91.45,68.65,-1.51%,484985
2015/6/25,91.72,91.72,90.05,90.22,67.727,-1.34%,757064
2015/6/26,90.19,90.47,88.75,89.44,67.141,-0.86%,1416276
2015/6/29,88.85,89.6,87.79,87.86,65.955,-1.77%,721557
2015/6/30,88.41,89.09,87.79,87.8,65.91,-0.07%,1009110
2015/7/1,88.4,90.4,87.67,89.86,67.456,2.35%,1361494
2015/7/2,90,90,89.06,89.52,67.201,-0.38%,832670
2015/7/6,87.58,87.84,85.715,86.12,64.649,-3.80%,1541265
2015/7/7,86.24,87.07,85.33,87.02,65.324,1.05%,1419961
2015/7/8,86.41,86.71,85.56,85.67,64.311,-1.55%,881860
2015/7/9,86.44,86.954,85.55,85.6,64.259,-0.08%,663604
2015/7/10,86.68,86.85,85.481,85.72,64.349,0.14%,878170
2015/7/13,86.35,86.44,85.605,86.41,64.867,0.80%,738046
2015/7/14,86.61,87.37,86.38,87.13,65.407,0.83%,937835
2015/7/15,87.07,87.31,85.87,86.7,65.084,-0.49%,980031
2015/7/16,87.11,88.005,86.765,87.97,66.038,1.46%,917477
2015/7/17,88.4,88.48,86.99,88.1,66.135,0.15%,878807
2015/7/20,87.81,88.2,87.38,87.76,65.88,-0.39%,494843
2015/7/21,87.45,88.02,86.45,86.49,64.927,-1.45%,574565
2015/7/22,86.46,87.67,85.8,87.52,65.7,1.19%,639147
2015/7/23,87.5,88.03,86.83,87.13,65.407,-0.45%,602511
2015/7/24,86.88,87.15,85.9,86.28,64.769,-0.98%,677588
2015/7/27,86,86.48,85.41,85.56,64.228,-0.83%,806207
2015/7/28,85.6,86.69,85.24,86.59,65.002,1.20%,728704
2015/7/29,86.62,86.84,85.58,85.61,64.266,-1.13%,1410750
2015/7/30,81.2,82.79,79.95,81.25,60.993,-5.09%,3147441
2015/7/31,81.5,81.78,79.81,79.85,59.942,-1.72%,2064558
2015/8/3,79.72,80.83,79.66,79.81,59.912,-0.05%,1265286
2015/8/4,79.9,80.25,78.95,79.09,59.372,-0.90%,969491
