Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,53.09,53.415,52.799,52.808,45.413,-0.89%,1267812
2015/3/25,52.808,53.019,51.954,51.972,44.694,-1.58%,2195778
2015/3/26,51.769,52.333,51.69,52.051,44.762,0.15%,2639500
2015/3/27,52.174,52.68,51.893,52.28,44.959,0.44%,1578088
2015/3/30,52.826,53.979,52.755,53.785,46.253,2.88%,1471978
2015/3/31,53.433,53.891,53.217,53.239,45.784,-1.02%,1405935
2015/4/1,53.275,53.477,52.377,52.896,45.489,-0.64%,2058862
2015/4/2,53.046,53.917,52.817,53.776,46.246,1.66%,1151348
2015/4/6,53.574,55.194,53.354,54.648,46.995,1.62%,2855088
2015/4/7,54.489,54.577,53.583,53.688,46.17,-1.76%,1286729
2015/4/8,53.776,54.225,53.548,54.199,46.609,0.95%,1183309
2015/4/9,54.049,54.507,53.926,54.322,46.715,0.23%,797408
2015/4/10,54.357,54.393,53.614,53.97,46.412,-0.65%,1118198
2015/4/13,53.917,54.129,53.194,53.266,45.807,-1.30%,787888
2015/4/14,53.336,53.583,52.975,53.292,45.829,0.05%,1056393
2015/4/15,53.468,53.732,53.099,53.468,45.981,0.33%,1249216
2015/4/16,53.363,53.856,53.193,53.6,46.094,0.25%,863742
2015/4/17,53.037,53.539,52.472,53.451,45.966,-0.28%,2080778
2015/4/20,53.803,54.243,53.565,53.829,46.291,0.71%,990254
2015/4/21,53.917,54.437,53.442,53.653,46.14,-0.33%,885781
2015/4/22,53.688,53.776,53.151,53.688,46.17,0.07%,981025
2015/4/23,53.363,53.82,53.019,53.424,45.943,-0.49%,1580304
2015/4/24,53.636,53.724,53.037,53.512,46.019,0.16%,1007447
2015/4/27,53.6,54.023,53.292,53.9,46.352,0.73%,1353416
2015/4/28,53.97,53.979,53.292,53.759,46.231,-0.26%,1360756
2015/4/29,53.759,54.225,53.072,53.627,46.117,-0.25%,1810948
2015/4/30,50.493,52.456,50.335,52.113,44.815,-2.82%,4781292
2015/5/1,52.482,52.553,51.787,52.377,45.042,0.51%,2562895
2015/5/4,52.386,53.301,52.386,53.275,45.814,1.71%,3038832
2015/5/5,53.275,54.278,53.025,53.283,45.822,0.02%,2168488
2015/5/6,53.477,53.653,53.019,53.363,45.89,0.15%,1828197
2015/5/7,53.319,53.68,53.213,53.292,45.829,-0.13%,1161773
2015/5/8,53.697,54.137,53.653,53.935,46.382,1.21%,1202328
2015/5/11,54.023,54.375,53.433,53.46,45.973,-0.88%,1305442
2015/5/12,53.38,53.891,53.055,53.644,46.132,0.34%,1336000
2015/5/13,53.768,54.137,53.398,53.944,46.39,0.56%,1199152
2015/5/14,54.137,54.357,53.926,54.278,46.677,0.62%,1065067
2015/5/15,54.225,54.441,53.961,54.419,46.798,0.26%,821961
2015/5/18,54.261,54.52,54.102,54.305,46.7,-0.21%,1378130
2015/5/19,54.322,54.516,53.539,53.688,46.17,-1.14%,1221493
2015/5/20,53.926,54.058,53.283,53.512,46.019,-0.33%,1022923
2015/5/21,53.38,54.305,53.38,54.181,46.594,1.25%,902570
2015/5/22,54.067,54.155,53.609,53.785,46.253,-0.73%,580183
2015/5/26,53.442,53.6,52.975,53.178,45.731,-1.13%,1037838
2015/5/27,53.257,53.592,53.169,53.512,46.019,0.63%,785264
2015/5/28,53.283,53.455,52.685,53.151,45.807,-0.67%,1395944
2015/5/29,53.081,53.31,52.526,52.949,45.632,-0.38%,1871936
2015/6/1,53.107,53.776,52.79,53.574,46.171,1.18%,1513224
2015/6/2,53.301,54.155,53.151,53.864,46.421,0.54%,1278007
2015/6/3,53.908,54.859,53.486,54.243,46.747,0.70%,1737718
2015/6/4,53.794,53.952,53.081,53.283,45.92,-1.77%,1884722
2015/6/5,53.072,53.257,52.685,52.87,45.564,-0.78%,1783769
2015/6/8,52.817,53.371,52.711,52.72,45.435,-0.28%,1224470
2015/6/9,52.773,53.028,52.28,52.808,45.511,0.17%,982076
2015/6/10,53.248,53.776,52.949,53.662,46.247,1.62%,1397817
2015/6/11,53.688,54.058,53.424,53.521,46.125,-0.26%,1093824
2015/6/12,53.151,53.424,53.011,53.257,45.898,-0.49%,1071933
2015/6/15,52.702,53.099,52.421,52.861,45.556,-0.74%,1224427
2015/6/16,52.896,53.151,52.658,52.984,45.663,0.23%,769373
2015/6/17,53.002,53.398,52.817,53.257,45.898,0.52%,1470605
2015/6/18,53.363,53.794,53.116,53.618,46.209,0.68%,886179
2015/6/19,53.336,53.508,52.711,53.143,45.799,-0.89%,2874028
2015/6/22,53.556,53.768,53.283,53.504,46.11,0.68%,1113446
2015/6/23,53.565,53.734,52.975,53.187,45.837,-0.59%,1465675
2015/6/24,53.081,53.192,52.35,52.579,45.314,-1.14%,2588844
2015/6/25,52.711,53.169,52.262,52.324,45.094,-0.48%,1822551
2015/6/26,52.535,52.614,51.954,52.368,45.131,0.08%,1620812
2015/6/29,51.681,51.822,50.343,50.581,43.591,-3.41%,2566311
2015/6/30,51.03,51.03,49.886,50.035,43.121,-1.08%,2690973
2015/7/1,50.607,50.757,50.176,50.546,43.561,1.02%,1987199
2015/7/2,50.607,50.801,50.423,50.748,43.736,0.40%,1768594
2015/7/6,50.079,50.572,49.762,50,43.091,-1.47%,2238204
2015/7/7,50,50.026,48.724,49.842,42.954,-0.32%,1586236
2015/7/8,48.803,48.935,46.95,47.06,40.557,-5.58%,3437124
2015/7/9,47.658,48.178,46.717,46.901,40.42,-0.34%,3999454
2015/7/10,47.887,47.887,47.165,47.21,40.686,0.66%,2888436
2015/7/13,47.923,48.336,47.21,48.231,41.566,2.16%,3429539
2015/7/14,48.037,48.16,47.61,48.019,41.384,-0.44%,2090277
2015/7/15,47.949,48.055,47.289,47.386,40.838,-1.32%,1419701
2015/7/16,46.549,47.069,45.528,45.599,39.298,-3.77%,4489494
2015/7/17,45.669,46.435,45.079,45.968,39.616,0.81%,3504373
2015/7/20,46.056,46.188,45.423,45.81,39.48,-0.34%,2198396
2015/7/21,45.827,46.268,45.687,46.039,39.677,0.50%,1831501
2015/7/22,45.863,46.039,45.246,45.379,39.108,-1.43%,1748519
2015/7/23,45.581,46.259,45.449,45.519,39.229,0.31%,2602672
2015/7/24,46.197,46.197,44.692,44.771,38.584,-1.64%,1982622
2015/7/27,44.419,44.718,44.04,44.349,38.22,-0.94%,1797396
2015/7/28,44.569,45.449,44.208,45.246,38.994,2.02%,2000859
2015/7/29,45.308,46.188,45.273,46.153,39.775,2.00%,2788176
2015/7/30,41.523,43.996,41.518,43.882,37.818,-4.92%,1280815
2015/7/31,43.97,44.463,43.319,43.759,37.712,-0.28%,3922296
2015/8/3,43.803,43.873,42.79,43.116,37.158,-1.47%,2305112
2015/8/4,43.081,43.512,42.562,42.641,36.749,-1.10%,2073038
2015/8/5,42.949,43.134,41.919,42.042,36.233,-1.40%,2973298
2015/8/6,42.086,42.526,41.646,41.972,36.172,-0.17%,3710113
2015/8/7,42.113,42.773,41.849,42.13,36.309,0.38%,1795177
2015/8/10,42.606,42.87,42.236,42.597,36.711,1.11%,2652146
2015/8/11,41.796,41.796,40.704,41.021,35.353,-3.70%,2748774
2015/8/12,40.317,41.347,39.692,41.18,35.489,0.39%,4008101
2015/8/13,41.347,41.408,40.616,40.827,35.186,-0.86%,2840059
2015/8/14,40.836,40.977,40.607,40.819,35.178,-0.02%,2289762
2015/8/17,40.748,41.188,40.537,41.188,35.497,0.90%,1349327
2015/8/18,41.769,41.945,41.276,41.505,35.77,0.77%,2674809
