Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,37.655,37.743,37.35,37.586,22.553,-0.16%,1653863
2015/3/25,37.704,37.733,37.193,37.282,22.37,-0.81%,3856218
2015/3/26,37.026,37.105,36.588,36.889,22.135,-1.05%,3180664
2015/3/27,36.938,37.311,36.801,37.301,22.382,1.12%,3045235
2015/3/30,37.517,38.106,37.448,37.694,22.618,1.05%,4283172
2015/3/31,37.645,38.204,37.547,38.165,22.9,1.25%,4158352
2015/4/1,38.273,38.548,38.057,38.312,22.989,0.39%,5408074
2015/4/2,38.273,38.43,38.047,38.047,22.83,-0.69%,3630591
2015/4/6,37.969,38.16,37.596,37.831,22.7,-0.57%,4133520
2015/4/7,37.959,38.587,37.782,38.214,22.93,1.01%,3767217
2015/4/8,38.224,38.724,38.214,38.479,23.089,0.69%,4540621
2015/4/9,38.548,38.665,38.209,38.469,23.083,-0.03%,3921973
2015/4/10,38.852,39.45,38.548,39.274,23.566,2.09%,5631519
2015/4/13,39.598,40.127,39.048,39.401,23.642,0.32%,5417823
2015/4/14,39.617,39.745,39.166,39.293,23.577,-0.27%,4315110
2015/4/15,39.47,40.393,39.362,40.255,24.155,2.45%,5739278
2015/4/16,41.413,41.462,40.363,40.383,24.231,0.32%,9582778
2015/4/17,40.451,41.07,40.172,41.07,24.643,1.70%,6421457
2015/4/20,41.923,41.953,40.913,41.04,24.626,-0.07%,7025621
2015/4/21,41.217,41.266,40.589,40.942,24.567,-0.24%,4657293
2015/4/22,41.305,41.364,40.736,40.981,24.59,0.10%,6571100
2015/4/23,40.069,40.658,40.029,40.226,24.661,-1.84%,6759463
2015/4/24,40.393,40.756,40.294,40.638,24.914,1.02%,4918333
2015/4/27,40.962,41.016,40.677,40.815,25.022,0.44%,4076501
2015/4/28,40.844,40.962,40.236,40.913,25.082,0.24%,3476192
2015/4/29,40.893,41.629,40.569,40.991,25.13,0.19%,4584844
2015/4/30,40.707,40.971,39.892,40.196,24.643,-1.94%,5957936
2015/5/1,40.304,40.981,40.245,40.962,25.112,1.91%,3476936
2015/5/4,42.041,42.1,41.413,41.757,25.6,1.94%,7327057
2015/5/5,42.012,42.237,41.354,41.492,25.437,-0.63%,5645566
2015/5/6,41.825,41.923,40.805,40.972,25.118,-1.25%,4458941
2015/5/7,40.922,41.904,40.785,41.472,25.425,1.22%,4746371
2015/5/8,41.982,42.13,41.737,41.806,25.63,0.81%,4161510
2015/5/11,41.855,42.1,41.629,41.894,25.684,0.21%,4945378
2015/5/12,41.874,41.973,41.482,41.747,25.594,-0.35%,3222478
2015/5/13,41.943,41.953,41.521,41.786,25.618,0.09%,2848258
2015/5/14,41.973,42.395,41.92,42.287,25.924,1.20%,3356159
2015/5/15,42.296,42.64,42.277,42.581,26.105,0.70%,2948409
2015/5/18,42.62,43.327,42.493,43.14,26.448,1.31%,4378652
2015/5/19,43.435,43.602,42.748,42.826,26.255,-0.73%,4737113
2015/5/20,43.072,43.16,42.767,42.944,26.328,0.28%,2625435
2015/5/21,42.934,43.032,42.522,42.758,26.213,-0.43%,3286471
2015/5/22,42.797,42.807,42.257,42.61,26.123,-0.35%,3672624
2015/5/26,42.669,42.689,42.208,42.375,25.979,-0.55%,3717654
2015/5/27,42.336,42.669,42.257,42.64,26.141,0.63%,3321599
2015/5/28,42.65,42.836,42.345,42.816,26.249,0.41%,2246012
2015/5/29,42.846,43.101,42.395,42.983,26.352,0.39%,3017334
2015/6/1,43.189,43.209,42.473,42.689,26.171,-0.68%,3954107
2015/6/2,42.591,42.689,42.188,42.532,26.075,-0.37%,4696037
2015/6/3,42.934,43.229,42.64,42.728,26.195,0.46%,4485194
2015/6/4,42.552,42.709,42.1,42.218,25.882,-1.19%,5278182
2015/6/5,42.198,42.341,41.462,41.609,25.509,-1.44%,4651023
2015/6/8,41.609,41.795,40.873,41.119,25.208,-1.18%,4970677
2015/6/9,41.07,41.074,39.755,40.422,24.781,-1.70%,7150356
2015/6/10,40.599,41.639,40.481,41.227,25.275,1.99%,3758243
2015/6/11,41.423,41.923,41.374,41.629,25.521,0.98%,3329392
2015/6/12,41.56,41.747,41.227,41.708,25.569,0.19%,2631322
2015/6/15,41.462,41.579,40.937,41.452,25.413,-0.61%,4390894
2015/6/16,41.384,41.541,41.064,41.197,25.257,-0.62%,2385599
2015/6/17,41.315,41.511,41.04,41.099,25.196,-0.24%,2861537
2015/6/18,41.129,41.649,41.109,41.217,25.269,0.29%,3751611
2015/6/19,41.246,41.688,41.119,41.6,25.503,0.93%,2814023
2015/6/22,41.776,41.816,41.335,41.384,25.371,-0.52%,3134506
2015/6/23,41.403,41.541,41.119,41.354,25.353,-0.07%,2706512
2015/6/24,41.286,41.354,40.167,40.608,24.896,-1.80%,5945031
2015/6/25,40.726,40.893,39.774,40.314,24.715,-0.72%,5017995
2015/6/26,40.314,40.736,39.892,40.726,24.968,1.02%,3242237
2015/6/29,39.804,40.458,39.578,39.882,24.45,-2.07%,4800505
2015/6/30,40.353,40.373,39.627,40.108,24.589,0.57%,3343561
2015/7/1,40.726,40.824,39.961,40.157,24.619,0.12%,3469295
2015/7/2,40.196,40.55,39.98,40.55,24.86,0.98%,2467237
2015/7/6,40.226,40.425,39.519,39.715,24.348,-2.06%,3797636
2015/7/7,39.823,39.84,37.842,39.028,23.927,-1.73%,7527297
2015/7/8,38.557,38.754,37.861,37.88,23.223,-2.94%,4836211
2015/7/9,38.548,38.606,38.135,38.361,23.518,1.27%,3625096
2015/7/10,39.136,39.136,38.361,38.871,23.831,1.33%,3817635
2015/7/13,39.254,40.186,39.215,40.147,24.613,3.28%,4312552
2015/7/14,40.236,40.599,40.108,40.304,24.709,0.39%,3500134
2015/7/15,40.422,40.658,40.108,40.559,24.866,0.63%,3084495
2015/7/16,40.677,41.806,39.637,41.178,25.245,1.53%,8460018
2015/7/17,41.246,41.364,40.756,40.824,25.028,-0.86%,4277780
2015/7/20,40.962,41.079,40.51,40.824,25.028,0.00%,3781429
2015/7/21,40.854,41.16,40.677,41.07,25.178,0.60%,2622290
2015/7/22,40.932,41.168,40.54,40.726,24.968,-0.84%,3316068
2015/7/23,39.99,40.039,38.862,38.989,24.348,-4.27%,5993447
2015/7/24,38.989,39.205,37.007,37.547,23.447,-3.70%,9243342
2015/7/27,37.115,37.753,36.075,37.39,23.349,-0.42%,6704212
2015/7/28,37.694,38.381,37.674,37.89,23.662,1.34%,4667933
2015/7/29,38.135,38.685,37.969,38.636,24.128,1.97%,3434348
2015/7/30,38.763,39.195,38.41,38.557,24.078,-0.20%,2712093
2015/7/31,38.754,39.009,38.307,38.518,24.054,-0.10%,2539378
2015/8/3,38.862,38.871,37.772,38.018,23.741,-1.30%,3390763
2015/8/4,38.077,38.881,37.88,38.754,24.201,1.94%,2946730
2015/8/5,38.97,39.303,38.131,38.224,23.87,-1.37%,3028927
2015/8/6,38.302,38.606,37.066,37.723,23.558,-1.31%,5534844
2015/8/7,37.605,37.743,36.212,37.125,23.184,-1.59%,5093107
2015/8/10,37.409,38.528,37.331,38.4,23.98,3.43%,3408817
2015/8/11,37.88,38.234,36.987,37.213,23.239,-3.09%,4419942
2015/8/12,36.742,37.488,35.486,37.39,23.349,0.48%,6166926
2015/8/13,37.39,37.674,37.046,37.448,23.386,0.16%,2843360
2015/8/14,37.429,38.065,37.312,37.929,23.686,1.28%,2757718
2015/8/17,37.88,37.998,37.321,37.713,23.551,-0.57%,3235694
2015/8/18,37.743,37.782,36.31,36.585,22.847,-2.99%,5469278
2015/8/19,36.31,36.585,35.77,36.065,22.522,-1.42%,4926541
2015/8/20,35.78,35.898,33.631,33.867,21.149,-6.09%,9644919
2015/8/21,33.366,33.562,32.444,33.317,20.806,-1.62%,12526687
2015/8/24,30.088,33.759,28.027,32.08,20.034,-3.71%,10823996
2015/8/25,35.123,35.319,31.796,31.796,19.856,-0.89%,8707844
2015/8/26,32.924,33.916,32.396,33.69,21.039,5.96%,6768322
2015/8/27,34.936,35.859,34.298,34.946,21.823,3.73%,7954093
2015/8/28,34.652,35.25,34.357,35.005,21.86,0.17%,3483904
2015/8/31,34.73,34.956,33.297,33.611,20.99,-3.98%,6572315
2015/9/1,32.807,32.954,31.717,31.845,19.887,-5.25%,10989091
2015/9/2,32.493,32.542,31.501,32.002,19.985,0.49%,7687117
2015/9/3,32.257,34.161,32.09,32.856,20.518,2.67%,5845512
2015/9/4,32.679,33.121,32.031,33.042,20.634,0.57%,3867565
2015/9/8,33.896,34.828,33.337,34.75,21.701,5.17%,5986822
2015/9/9,35.182,35.329,33.837,33.925,21.186,-2.37%,4211710
2015/9/10,33.827,33.935,32.974,33.405,20.861,-1.53%,5489642
2015/9/11,33.288,33.71,32.61,33.376,20.843,-0.09%,4512277
2015/9/14,33.346,33.553,32.699,33.376,20.843,0.00%,2350988
2015/9/15,33.454,34.553,33.288,34.043,21.259,2.00%,4354145
2015/9/16,34.073,34.24,33.484,34.073,21.278,0.09%,2900293
2015/9/17,34.082,35.368,33.651,35.074,21.903,2.94%,4860216
2015/9/18,34.318,34.374,33.111,33.543,20.947,-4.37%,6369264
2015/9/21,33.925,34.014,33.121,33.66,21.02,0.35%,3361226
2015/9/22,33.081,33.513,32.836,33.268,20.775,-1.16%,2938775
2015/9/23,33.297,33.453,32.267,32.787,20.475,-1.45%,4300308
2015/9/24,32.355,32.434,31.109,31.973,19.966,-2.48%,6360341
2015/9/25,32.63,33.17,31.992,32.237,20.132,0.83%,4481964
2015/9/28,31.914,32.061,29.441,30.324,18.937,-5.93%,12247820
2015/9/29,30.324,30.422,28.852,29.509,18.428,-2.69%,8073986
2015/9/30,29.98,31.158,29.254,31.079,19.409,5.32%,7860794
2015/10/1,31.77,31.85,30.45,31.43,19.993,1.13%,5466093
2015/10/2,30.99,32.15,30.54,31.5,20.037,0.22%,7417400
2015/10/5,31.9,33.62,31.853,33.39,21.24,6.00%,5346609
2015/10/6,33.41,33.865,32.85,33.8,21.5,1.23%,5643639
2015/10/7,34.03,35.24,33.94,34.7,22.073,2.66%,6790090
2015/10/8,34.44,34.55,33.76,34.01,21.634,-1.99%,5008153
2015/10/9,34.11,34.65,33.91,34.12,21.704,0.32%,3690650
2015/10/12,34.2,34.21,33.01,33.81,21.507,-0.91%,3527096
2015/10/13,33.3,34.195,33.16,33.19,21.112,-1.83%,3098004
2015/10/14,33.24,33.84,32.65,33.55,21.341,1.08%,5988362
2015/10/15,33.58,34.85,33.22,34.05,21.659,1.49%,6641303
2015/10/16,34.64,35,34.206,34.52,21.958,1.38%,5718042
2015/10/19,34.19,34.4,33.73,33.93,21.583,-1.71%,4117133
2015/10/20,33.93,34.16,33.29,33.36,21.22,-1.68%,5192297
2015/10/21,33.54,33.877,33.32,33.62,21.386,0.78%,3783402
2015/10/22,33.41,33.99,33.21,33.34,21.519,-0.83%,3806291
2015/10/23,33.72,34.52,33.54,34.43,22.223,3.27%,5106943
2015/10/26,34.43,34.57,34.21,34.42,22.217,-0.03%,3981636
2015/10/27,34.28,34.3,33.45,34.09,22.004,-0.96%,3513560
2015/10/28,33.92,34.5,32.935,34.5,22.268,1.20%,5402827
2015/10/29,34.19,34.618,33.765,33.78,21.803,-2.09%,3752187
2015/10/30,33.84,34.19,32.89,33.06,21.339,-2.13%,3990315
2015/11/2,33.39,34.6,33.29,34.13,22.029,3.24%,4710354
2015/11/3,34.15,34.65,33.82,34.59,22.326,1.35%,4173832
2015/11/4,34.48,34.71,33.46,33.75,21.784,-2.43%,5355436
2015/11/5,33.91,34.34,33.06,33.52,21.636,-0.68%,4354831
2015/11/6,33.61,33.68,32.57,32.88,21.223,-1.91%,5204912
2015/11/9,32.65,32.75,31.54,32.05,20.687,-2.52%,5444509
2015/11/10,32,32.26,31.15,32.25,20.816,0.62%,4447800
2015/11/11,32.38,32.43,31.36,31.55,20.364,-2.17%,3944528
2015/11/12,31.22,31.75,30.92,31.09,20.067,-1.46%,3149934
2015/11/13,31,31.17,30.37,30.61,19.757,-1.54%,4124361
2015/11/16,30.54,31.5,30.39,31.38,20.254,2.52%,3636481
2015/11/17,31.55,31.7,30.79,30.87,19.925,-1.63%,5014499
2015/11/18,30.95,31.6,30.9,31.59,20.39,2.33%,3680972
2015/11/19,31.75,32.07,31.32,31.44,20.293,-0.47%,3355905
2015/11/20,31.53,31.59,30.68,31.18,20.125,-0.83%,4741427
2015/11/23,31.09,31.33,30.57,31.01,20.016,-0.55%,3539999
2015/11/24,30.75,30.911,30.5,30.67,19.796,-1.10%,3982143
2015/11/25,30.67,31.19,30.42,31.08,20.061,1.34%,3229651
2015/11/27,31.1,31.18,30.63,31,20.009,-0.26%,1447377
2015/11/30,31.11,31.25,30.6,31.23,20.158,0.74%,2949073
2015/12/1,31.45,31.87,31.29,31.71,20.467,1.54%,3693645
2015/12/2,31.67,31.76,30.25,30.64,19.777,-3.37%,5730757
2015/12/3,30.63,31.16,29.98,30.4,19.622,-0.78%,5850098
2015/12/4,30.49,30.73,30.22,30.65,19.783,0.82%,3532441
2015/12/7,30.42,30.49,30,30.41,19.628,-0.78%,4353658
2015/12/8,29.82,30.07,29.2,29.99,19.357,-1.38%,6479685
2015/12/9,31.14,31.4,30.195,30.52,19.699,1.77%,5729843
2015/12/10,30.48,30.71,30.24,30.41,19.628,-0.36%,3676123
2015/12/11,30,30.02,28.5,28.82,18.602,-5.23%,8309726
2015/12/14,28.82,28.949,26.82,27.8,17.944,-3.54%,10929804
2015/12/15,28.09,29.37,28.05,28.96,18.692,4.17%,4749363
2015/12/16,29.2,29.85,28.63,29.8,19.235,2.90%,6039908
2015/12/17,30,30.87,29.98,30.57,19.732,2.58%,7287371
2015/12/18,30.36,30.42,29.34,29.6,19.105,-3.17%,9240814
2015/12/21,29.96,30.62,29.87,30.11,19.435,1.72%,5026589
2015/12/22,30.18,30.27,29.64,30.08,19.415,-0.10%,6348773
2015/12/23,30.23,30.86,30.023,30.86,19.919,2.59%,3259841
2015/12/24,30.7,30.92,30.435,30.67,19.796,-0.62%,1605684
2015/12/28,30.52,30.63,30.116,30.41,19.628,-0.85%,2755606
2015/12/29,30.53,30.62,29.5,30.17,19.473,-0.79%,5344852
2015/12/30,30,30.19,29.56,29.71,19.176,-1.52%,3790520
2015/12/31,29.35,29.6,28.945,29.24,18.873,-1.58%,5600941
2016/1/4,28.63,29.15,28.27,28.95,18.686,-0.99%,6938489
2016/1/5,29.04,29.05,27.92,28.14,18.163,-2.80%,6047985
2016/1/6,27.52,27.53,26.95,27.29,17.614,-3.02%,7953665
2016/1/7,26.68,27.105,26.32,26.38,17.027,-3.33%,7021310
2016/1/8,26.61,26.81,25.46,25.5,16.459,-3.34%,6507945
2016/1/11,25.89,25.93,24.411,24.65,15.91,-3.33%,10717079
2016/1/12,24.98,25.37,24.52,25.17,16.246,2.11%,7050049
2016/1/13,25.39,25.86,24.21,24.45,15.781,-2.86%,6789137
2016/1/14,24.5,25.855,23.271,25.64,16.549,4.87%,9436780
2016/1/15,24.4,24.94,23.85,24.56,15.852,-4.21%,10830935
2016/1/19,24.88,25.13,23.52,24.01,15.497,-2.24%,6337607
2016/1/20,23.03,24.21,22.31,23.75,15.33,-1.08%,9144068
2016/1/21,23.95,25.04,23.92,24.16,15.594,1.73%,6641137
2016/1/22,25.06,26.22,25.01,26.21,16.917,8.49%,7988659
2016/1/25,26.03,26.05,25,25.03,16.156,-4.50%,5634291
2016/1/26,25.04,26.56,24.93,26.29,16.969,5.03%,7424931
2016/1/27,26.25,26.46,24.98,25.6,16.524,-2.62%,4930870
2016/1/28,25.07,25.859,24.07,25.12,16.214,-1.88%,7779943
2016/1/29,25.27,26.49,25.25,26.27,16.956,4.58%,7165717
2016/2/1,26.2,27.62,25.6,27.37,17.666,4.19%,8012516
2016/2/2,26.89,27.25,26.06,26.38,17.027,-3.62%,8962154
2016/2/3,26.62,27,24.93,26.47,17.085,0.34%,8324612
2016/2/4,25.86,27.33,25.73,26.35,17.401,-0.45%,7623685
2016/2/5,26.24,27.18,26.08,26.47,17.481,0.46%,5875875
2016/2/8,25.69,25.74,23.71,24.44,16.14,-7.67%,10850937
2016/2/9,23.72,25.12,23.6,24.46,16.153,0.08%,4999507
2016/2/10,24.92,25.35,24.5,24.5,16.18,0.16%,5785028
2016/2/11,23.55,24.54,22.61,23.02,15.202,-6.04%,10452046
2016/2/12,23.56,24.68,22.674,24.63,16.266,6.99%,9963751
2016/2/16,25.53,25.97,24.49,25.97,17.151,5.44%,6815729
2016/2/17,26.27,26.97,25.97,26.63,17.586,2.54%,7136197
2016/2/18,26.89,26.89,26.156,26.47,17.481,-0.60%,4300069
2016/2/19,26.08,26.31,25.61,25.87,17.084,-2.27%,4455037
2016/2/22,26.37,26.99,26.256,26.67,17.613,3.09%,5095946
