Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,144.32,145.175,143.44,143.98,98.509,-0.53%,619115
2015/3/25,143.99,144.705,140.84,141.16,96.58,-1.96%,957055
2015/3/26,140.53,141.55,140.05,140.41,96.067,-0.53%,615805
2015/3/27,140.07,141.14,139.1,139.81,96.101,-0.43%,989119
2015/3/30,140.48,142.27,139.99,142.25,97.778,1.75%,675547
2015/3/31,141.89,142.23,140.18,140.48,96.561,-1.24%,943698
2015/4/1,140.48,141.24,138.85,139.71,96.032,-0.55%,857034
2015/4/2,139.49,141.539,139.49,140.93,96.871,0.87%,567044
2015/4/6,141.24,143.09,141,142.17,97.723,0.88%,443495
2015/4/7,141.99,142.07,139.51,139.51,95.895,-1.87%,811311
2015/4/8,139.79,140.63,139.37,139.71,96.032,0.14%,466862
2015/4/9,139.38,139.39,136.91,137.35,94.41,-1.69%,838843
2015/4/10,137.59,139.12,136.99,137.58,94.568,0.17%,425880
2015/4/13,137.61,138.03,137.07,137.07,94.217,-0.37%,474864
2015/4/14,137.24,138.41,137.15,137.65,94.616,0.42%,450486
2015/4/15,137.78,138.1,136.34,136.49,93.819,-0.84%,703845
2015/4/16,136.46,137.96,135.71,137.68,94.637,0.87%,597664
2015/4/17,137.09,137.8,135.625,136.6,93.894,-0.78%,504869
2015/4/20,137.06,137.383,136.19,136.39,93.75,-0.15%,441345
2015/4/21,136.49,137.71,136.06,136.77,94.011,0.28%,594374
2015/4/22,137.06,137.64,136.04,136.51,93.833,-0.19%,774161
2015/4/23,136.29,137.4,136.02,137.03,94.19,0.38%,549562
2015/4/24,137.57,139.16,136.94,137.87,94.767,0.61%,523460
2015/4/27,137.97,139.58,137.4,137.8,94.719,-0.05%,821537
2015/4/28,137.7,138.89,136.774,138.35,95.097,0.40%,553216
2015/4/29,137.35,138.2,134.72,134.88,92.712,-2.51%,935389
2015/4/30,134.15,134.96,131.465,132.31,90.946,-1.91%,895600
2015/5/1,132.9,134.05,132.57,132.95,91.386,0.48%,728856
2015/5/4,133.51,134.59,132.61,132.95,91.386,0.00%,538072
2015/5/5,132.21,133.05,129.36,129.65,89.117,-2.48%,1231882
2015/5/6,130.25,130.27,128.38,128.65,88.43,-0.77%,1183837
