Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,35.12,35.18,34.61,34.63,19.274,-1.20%,1504542
2015/3/25,34.92,35.27,34.77,34.94,19.446,0.90%,4436980
2015/3/26,35.53,35.55,33.92,34.75,19.341,-0.54%,5306461
2015/3/27,34.85,36.865,34.76,36.76,20.459,5.78%,6659174
2015/3/30,36.74,36.98,36.31,36.9,20.537,0.38%,4046914
2015/3/31,36.85,37.12,36.51,36.53,20.331,-1.00%,3964808
2015/4/1,36.51,36.93,35.94,36.86,20.515,0.90%,4478842
2015/4/2,36.99,37.92,36.788,37.82,21.049,2.60%,5023418
2015/4/6,37.62,38.41,37.53,38.04,21.172,0.58%,4106300
2015/4/7,38.06,38.26,37.87,37.96,21.127,-0.21%,3582132
2015/4/8,37.8,38.08,37.73,37.92,21.105,-0.11%,2233357
2015/4/9,37.92,38.07,37.59,37.89,21.088,-0.08%,3692369
2015/4/10,37.94,38.08,37.78,37.85,21.066,-0.11%,2040934
2015/4/13,37.73,37.97,37.57,37.6,20.927,-0.66%,1659940
2015/4/14,37.65,37.99,37.541,37.79,21.033,0.51%,1846128
2015/4/15,37.82,37.995,37.48,37.57,20.91,-0.58%,1945063
2015/4/16,37.65,37.66,37.36,37.38,20.804,-0.51%,1828942
2015/4/17,37.23,37.35,36.96,37.3,20.76,-0.21%,2233237
2015/4/20,37.38,37.94,37.3,37.65,20.955,0.94%,2347122
2015/4/21,37.65,37.89,37.5,37.61,20.932,-0.11%,2204323
2015/4/22,37.58,37.73,37.27,37.52,20.882,-0.24%,2394402
2015/4/23,37.4,37.81,37.4,37.51,20.877,-0.03%,1654944
2015/4/24,37.55,37.755,37.38,37.52,20.882,0.03%,1703898
2015/4/27,37.51,37.66,37.2,37.35,20.788,-0.45%,1708054
2015/4/28,36.85,37.096,36.73,36.99,20.727,-0.96%,1547671
2015/4/29,36.94,36.98,36.32,36.41,20.402,-1.57%,2122095
2015/4/30,36.36,36.37,35.98,36.15,20.256,-0.71%,2386510
2015/5/1,36.1,36.58,36.08,36.56,20.486,1.13%,1746335
2015/5/4,36.58,37.24,36.46,37.12,20.799,1.53%,2214138
2015/5/5,37.15,37.18,36.845,37.01,20.738,-0.30%,3597565
2015/5/6,37.17,37.22,36.68,37.2,20.844,0.51%,3381446
2015/5/7,37.03,37.56,36.96,37.36,20.934,0.43%,2280521
2015/5/8,37.58,37.96,37.48,37.51,21.018,0.40%,1850368
2015/5/11,37.4,37.6,37.27,37.37,20.939,-0.37%,1818066
2015/5/12,37.25,37.74,37.12,37.68,21.113,0.83%,1824099
2015/5/13,37.71,37.92,37.38,37.46,20.99,-0.58%,1398447
2015/5/14,37.69,37.94,37.59,37.93,21.253,1.25%,1703717
2015/5/15,37.98,38.52,37.97,38.49,21.567,1.48%,2703980
2015/5/18,38.36,38.77,38.21,38.52,21.584,0.08%,2912996
2015/5/19,38.66,38.66,38.38,38.53,21.589,0.03%,2438111
2015/5/20,38.52,38.935,38.34,38.9,21.797,0.96%,3106339
2015/5/21,38.78,38.98,38.71,38.88,21.786,-0.05%,3065493
2015/5/22,38.77,38.98,38.65,38.85,21.769,-0.08%,2256328
2015/5/26,38.85,39.04,38.39,38.44,21.539,-1.06%,2564800
2015/5/27,38.59,38.74,38.4,38.7,21.685,0.68%,1362373
2015/5/28,38.57,38.76,38.5,38.7,21.685,0.00%,1961867
2015/5/29,38.61,38.79,38.41,38.61,21.634,-0.23%,2548710
2015/6/1,38.85,38.88,38.54,38.87,21.78,0.67%,2206248
2015/6/2,38.82,38.89,37.72,38.16,21.382,-1.83%,3949576
2015/6/3,38.36,38.65,38.07,38.33,21.477,0.45%,3003841
2015/6/4,38.14,38.24,37.835,37.91,21.242,-1.10%,1688498
2015/6/5,37.88,37.9,37.41,37.42,20.968,-1.29%,4287333
2015/6/8,37.41,37.845,37.25,37.69,21.119,0.72%,2303764
2015/6/9,37.7,38.17,37.63,37.96,21.27,0.72%,3352091
2015/6/10,38.015,38.25,37.83,38.03,21.309,0.18%,6381515
2015/6/11,38.04,38.62,37.98,38.2,21.405,0.45%,2618074
2015/6/12,37.94,38.17,37.84,38.11,21.354,-0.24%,2479800
2015/6/15,37.92,38.17,37.77,38.04,21.315,-0.18%,3407147
2015/6/16,38.13,38.81,37.83,38.62,21.64,1.52%,5139545
2015/6/17,38.66,38.92,38.45,38.8,21.741,0.47%,3021938
2015/6/18,38.9,39.37,38.85,39.12,21.92,0.82%,4106593
2015/6/19,41.48,43.615,41.43,43.37,24.301,10.86%,20330156
2015/6/22,43.83,43.84,42.935,43.06,24.128,-0.71%,6907359
2015/6/23,42.94,43.495,42.94,43.39,24.313,0.77%,4482727
2015/6/24,43.25,44.155,43.22,43.86,24.576,1.08%,5447456
2015/6/25,43.99,44.07,43.85,43.85,24.57,-0.02%,3239421
2015/6/26,43.93,44.04,43.72,44,24.654,0.34%,5183711
2015/6/29,43.45,43.9,43.33,43.43,24.335,-1.30%,4302269
2015/6/30,43.1,44.31,42.51,43.72,24.498,0.67%,7301595
2015/7/1,43.9,44.64,43.5,44.6,24.991,2.01%,5492534
2015/7/2,44.78,45.02,44.405,44.56,24.968,-0.09%,4186070
2015/7/6,44.3,44.95,44.11,44.62,25.002,0.13%,9236040
2015/7/7,44.76,45.49,44.45,45.49,25.489,1.95%,5109656
2015/7/8,45.21,45.35,44.59,44.65,25.019,-1.85%,4524594
2015/7/9,45.03,45.32,44.48,44.52,24.946,-0.29%,3132312
2015/7/10,44.78,45.105,44.62,44.83,25.12,0.70%,2820850
2015/7/13,45,45.18,44.66,44.72,25.058,-0.25%,2812165
2015/7/14,44.49,44.79,44.35,44.72,25.058,0.00%,5150848
2015/7/15,44.59,44.76,44.33,44.43,24.895,-0.65%,3476592
2015/7/16,44.66,44.93,44.43,44.62,25.002,0.43%,2365156
2015/7/17,44.58,44.63,44.27,44.44,24.901,-0.40%,2372463
2015/7/20,44.5,44.5,44.19,44.29,24.817,-0.34%,2744994
2015/7/21,44.23,44.41,43.94,44.02,24.666,-0.61%,3010910
2015/7/22,44.05,44.41,43.75,44.16,24.744,0.32%,5801260
2015/7/23,44.01,44.37,43.92,44,24.654,-0.36%,1711069
2015/7/24,44,44.12,43.55,43.67,24.47,-0.75%,1497812
2015/7/27,43.52,43.65,43.33,43.53,24.391,-0.32%,2219748
2015/7/28,43.49,43.99,43.29,43.94,24.761,0.94%,2344650
2015/7/29,43.86,44.26,43.86,44.13,24.868,0.43%,1705130
2015/7/30,43.8,44.51,43.76,44.44,25.043,0.70%,2106281
2015/7/31,44.44,44.5,43.96,44.06,24.829,-0.86%,2175295
2015/8/3,44.01,44.185,43.735,44.07,24.834,0.02%,2015355
2015/8/4,43.99,44.42,43.96,44.17,24.891,0.23%,2162941
2015/8/5,44.26,45,44.2,44.75,25.217,1.31%,2782644
2015/8/6,44.98,45.03,44.49,44.97,25.341,0.49%,2938285
2015/8/7,44.83,45.15,44.48,45.15,25.443,0.40%,2677368
2015/8/10,45.35,45.48,44.895,44.99,25.353,-0.35%,2946322
2015/8/11,44.74,45.035,44.6,44.97,25.341,-0.04%,2575545
2015/8/12,44.7,44.746,44.09,44.69,25.184,-0.62%,2618232
2015/8/13,44.72,44.85,44.335,44.44,25.043,-0.56%,2045771
2015/8/14,44.6,45.35,44.3,45.25,25.499,1.82%,2616829
2015/8/17,45.05,45.25,44.81,45.13,25.432,-0.27%,1120215
2015/8/18,45.11,45.25,44.74,44.84,25.268,-0.64%,1436118
2015/8/19,44.65,44.85,44.335,44.53,25.093,-0.69%,1464521
2015/8/20,44.14,44.45,43.85,43.95,24.767,-1.30%,1534135
2015/8/21,43.74,43.83,42.98,42.99,24.226,-2.18%,3506839
2015/8/24,41.3,42.11,39.86,41.49,23.38,-3.49%,5781963
2015/8/25,42.26,42.26,40.32,40.34,22.732,-2.77%,4568131
2015/8/26,41.15,41.9,40.61,41.79,23.549,3.59%,3635740
2015/8/27,42.14,42.19,41.22,41.9,23.611,0.26%,3446430
2015/8/28,41.78,42.115,41.425,41.73,23.516,-0.41%,3720875
2015/8/31,41.7,41.99,41.44,41.68,23.487,-0.12%,3094419
2015/9/1,40.98,41.38,40.6,40.87,23.031,-1.94%,4030792
2015/9/2,41.21,41.33,40.775,41.1,23.161,0.56%,4047842
2015/9/3,41.16,42.07,41.16,41.72,23.51,1.51%,6059585
2015/9/4,41.35,41.46,41.02,41.23,23.234,-1.17%,2654086
2015/9/8,41.89,41.95,41.233,41.74,23.521,1.24%,3305159
2015/9/9,42.05,42.17,41.02,41.13,23.177,-1.46%,2278211
2015/9/10,41.18,41.575,40.99,41.15,23.189,0.05%,2422544
2015/9/11,41.05,41.685,40.91,41.67,23.482,1.26%,2080308
2015/9/14,41.62,41.66,41.24,41.34,23.296,-0.79%,2141718
2015/9/15,41.5,41.91,41.29,41.86,23.589,1.26%,2753823
2015/9/16,41.95,42.59,41.76,42.48,23.938,1.48%,2292688
2015/9/17,42.55,43.26,42.35,42.75,24.09,0.64%,1986390
2015/9/18,42.42,42.885,42.13,42.22,23.792,-1.24%,4659035
2015/9/21,42.56,42.69,41.975,42.4,23.893,0.43%,3925348
2015/9/22,41.76,41.76,39.04,39.4,22.203,-7.08%,13021650
2015/9/23,39.56,39.82,39.221,39.5,22.259,0.25%,7850487
2015/9/24,39.21,41.22,39.21,41.07,23.144,3.97%,10792472
2015/9/25,41.37,42.36,40.91,41.53,23.403,1.12%,5278994
2015/9/28,41.25,41.41,40.3,40.42,22.777,-2.67%,3901465
2015/9/29,40.52,40.53,39.63,40.06,22.574,-0.89%,4653942
2015/9/30,40.49,40.753,40.2,40.51,22.828,1.12%,3388191
2015/10/1,40.48,41.12,40.26,40.91,23.053,0.99%,4217337
2015/10/2,40.58,41.87,40.32,41.83,23.572,2.25%,3493025
2015/10/5,41.99,42.53,41.89,42.36,23.871,1.27%,7464581
2015/10/6,42.32,42.5,41.55,41.91,23.617,-1.06%,3387761
2015/10/7,41.92,42.05,40.65,40.94,23.07,-2.31%,4332696
2015/10/8,40.93,41.81,40.63,41.77,23.538,2.03%,2879274
2015/10/9,41.78,42.27,41.66,41.76,23.532,-0.02%,2666618
2015/10/12,41.78,42.06,41.45,42.04,23.69,0.67%,1663836
2015/10/13,41.87,42.165,41.49,41.51,23.392,-1.26%,2457192
2015/10/14,41.56,41.74,40.63,40.72,22.946,-1.90%,1890337
2015/10/15,40.98,41.37,40.85,41.33,23.29,1.50%,2697075
