Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,90.42,90.68,89.38,89.45,66.97,-0.96%,1705775
2015/3/25,89.73,90.64,88.86,89.01,66.641,-0.49%,2177868
2015/3/26,88.75,90.07,88.11,89.14,66.738,0.15%,1611582
2015/3/27,89.2,90.21,89.07,90.09,67.449,1.07%,1672604
2015/3/30,89.96,91.02,89.81,90.8,68.237,0.79%,1416619
2015/3/31,90.57,91.42,90.16,90.27,67.839,-0.58%,2290088
2015/4/1,90.21,90.235,88.16,88.85,66.772,-1.57%,2131659
2015/4/2,89.25,89.83,88.43,89.6,67.336,0.84%,1257296
2015/4/6,88.97,90.47,88.742,89.93,67.584,0.37%,1400863
2015/4/7,89.9,90.52,89.885,89.94,67.591,0.01%,1180308
2015/4/8,90.09,90.43,89.54,90.19,67.779,0.28%,1623236
2015/4/9,89.9,90.61,89.48,89.89,67.554,-0.33%,1490847
2015/4/10,89.76,90.6,89.51,90.52,68.027,0.70%,1909383
2015/4/13,90.48,91.24,89.38,89.62,67.351,-0.99%,1822893
2015/4/14,90.29,90.52,89,90.3,67.862,0.76%,1368796
2015/4/15,90.56,91.12,90.09,90.15,67.749,-0.17%,1502864
2015/4/16,90.15,90.16,89.43,89.66,67.381,-0.54%,1151123
2015/4/17,89.16,89.73,88.59,89.55,67.298,-0.12%,1460353
2015/4/20,89.93,90.83,89.61,90.14,67.741,0.66%,1425908
2015/4/21,90.4,90.9,90.17,90.35,67.899,0.23%,1000929
2015/4/22,90.46,91.62,90.31,91.5,68.763,1.27%,1788974
2015/4/23,91.09,91.89,90.68,91.5,68.763,0.00%,1488625
2015/4/24,91.41,91.78,90.9,91.38,68.673,-0.13%,1317588
2015/4/27,91.72,91.91,89.44,89.53,67.283,-2.02%,1943220
2015/4/28,89.28,90.57,88.52,90.48,67.997,1.06%,2225849
2015/4/29,89.86,90.36,88.24,88.9,66.81,-1.75%,2618076
2015/4/30,88.9,88.9,83.85,84.34,63.383,-5.13%,5378085
2015/5/1,84.53,85.77,84.09,85.55,64.292,1.43%,2945726
2015/5/4,85.77,86.23,85.19,85.63,64.352,0.09%,2065301
2015/5/5,85.7,86,84.34,84.57,63.555,-1.24%,1991026
2015/5/6,84.99,85.265,84.23,84.76,63.698,0.22%,2190479
2015/5/7,84.8,85.63,84.72,84.99,63.871,0.27%,2153963
2015/5/8,85.87,86.95,85.74,86.65,65.119,1.95%,1657561
2015/5/11,86.59,86.89,86.1,86.36,64.901,-0.33%,1754129
2015/5/12,86.11,86.44,85.77,86.16,64.75,-0.23%,1826561
2015/5/13,86.51,87.19,86.16,86.48,64.991,0.37%,1996250
2015/5/14,87.07,88.06,86.81,88,66.133,1.76%,1653232
2015/5/15,87.95,88.34,87.18,87.55,65.795,-0.51%,2296028
2015/5/18,87.57,88.43,87.37,87.85,66.02,0.34%,2255014
2015/5/19,88.06,88.98,87.25,87.3,65.607,-0.63%,3311119
2015/5/20,87.37,88.53,86.96,88.07,66.186,0.88%,2699785
2015/5/21,87.96,88.785,87.87,88.66,66.629,0.67%,1871786
2015/5/22,88.47,88.84,88.27,88.5,66.509,-0.18%,1296204
2015/5/26,88.48,88.81,87.59,87.59,65.825,-1.03%,1756652
2015/5/27,87.6,88.77,87.29,88.69,66.652,1.26%,1340323
2015/5/28,88.68,89.63,88.08,88.11,66.216,-0.65%,2032678
2015/5/29,88.16,88.91,87.81,88.17,66.261,0.07%,2113758
2015/6/1,88.33,88.72,87.62,88.42,66.449,0.28%,1549436
2015/6/2,88.02,88.49,87.68,88.03,66.156,-0.44%,1274517
2015/6/3,88.2,88.42,87.73,88.02,66.148,-0.01%,1114894
2015/6/4,87.23,88.09,87.12,87.61,65.84,-0.47%,1458101
2015/6/5,87.09,88.17,86.17,88.04,66.163,0.49%,2805883
2015/6/8,88.27,88.75,87.91,87.99,66.126,-0.06%,2640102
2015/6/9,88.6,88.99,87.505,87.66,65.878,-0.38%,2223311
2015/6/10,88.11,88.98,87.7,88.77,66.712,1.27%,1903004
2015/6/11,89.23,90.11,88.75,89.67,67.388,1.01%,2654307
2015/6/12,89.21,89.37,88.68,88.88,66.795,-0.88%,1654866
2015/6/15,88.53,88.92,88.08,88.27,66.336,-0.69%,2268236
2015/6/16,88.43,89.45,88.15,89.12,66.975,0.96%,2310213
2015/6/17,89.42,90.29,89.265,89.99,67.629,0.98%,2236755
2015/6/18,90.04,90.658,89.84,89.85,67.523,-0.16%,2603518
2015/6/19,89.84,90.57,89.7,89.87,67.539,0.02%,2512659
2015/6/22,90.56,90.74,89.78,89.86,67.531,-0.01%,2252430
2015/6/23,90.26,90.31,89.15,89.23,67.058,-0.70%,2356039
2015/6/24,89.23,89.37,87.01,87.03,65.404,-2.47%,3406278
2015/6/25,87.44,87.44,85.85,86.67,65.134,-0.41%,3811842
2015/6/26,87.02,87.02,85.64,86.03,64.653,-0.74%,9080896
2015/6/29,85.13,85.61,83.63,83.74,63.223,-2.66%,3795609
2015/6/30,84.63,84.87,83.57,83.65,63.155,-0.11%,4071790
2015/7/1,84.29,85.125,84.18,84.95,64.136,1.55%,3395066
2015/7/2,85.25,85.46,84.14,84.5,63.796,-0.53%,1556760
2015/7/6,83.69,84.88,83.63,84.54,63.827,0.05%,2679328
2015/7/7,84.76,85.35,83.8,85,64.174,0.54%,2312826
2015/7/8,84.5,85.19,83.29,83.4,62.966,-1.88%,2597120
2015/7/9,84.65,84.9,83.815,84.16,63.54,0.91%,2459723
2015/7/10,85.03,85.69,84.86,85.48,64.536,1.57%,1457263
2015/7/13,86.13,86.35,85.44,86.12,65.019,0.75%,1376225
2015/7/14,85.76,86.57,85.36,86.17,65.057,0.06%,3056750
2015/7/15,86.11,86.98,85.78,86.6,65.382,0.50%,2223938
2015/7/16,87.22,87.24,86.49,87.02,65.699,0.48%,1488338
2015/7/17,87.14,87.37,86.47,86.76,65.503,-0.30%,1916783
2015/7/20,86.72,87.04,86.47,86.58,65.367,-0.21%,1177235
2015/7/21,86.56,86.93,85.73,86.19,65.072,-0.45%,1526161
