Date,Open,High,Low,Close,Adj. Close,Change,Volume
2020/3/20,13,13,12,12.75,11.963,6.25%,2348
2020/3/23,12.75,12.75,11.5,11.54,10.827,-9.49%,18710
2020/3/24,12.9,12.9,11.5,11.7,10.977,1.39%,96074
2020/3/25,11.8,13.45,11.8,13.45,12.619,14.96%,19242
2020/3/26,14,15.45,14,15.45,14.496,14.87%,76379
2020/3/27,15,16,14.55,14.55,13.651,-5.83%,114014
2020/3/30,15.25,16.5,15.25,15.9,14.918,9.28%,209978
2020/3/31,16.39,17.25,14.56,17.25,16.185,8.49%,461468
2020/4/1,16,16,14.56,15.05,14.121,-12.75%,2998918
2020/4/2,15.66,15.9,12.12,13.28,12.46,-11.76%,15965880
2020/4/3,13.75,17,13.38,16.92,15.875,27.41%,66927998
2020/4/6,17.06,17.15,14.85,15.44,14.486,-8.75%,37134054
2020/4/7,15.2,15.8,14.55,15.25,14.308,-1.23%,23484053
2020/4/8,14.5,15.25,13.73,14.26,13.379,-6.49%,49372245
2020/4/9,14,15.5,13.9,14.78,13.867,3.65%,34923923
2020/4/13,14.5,14.5,13.98,13.99,13.126,-5.35%,21496433
2020/4/14,14,14.2,13.78,13.87,13.013,-0.86%,22348627
2020/4/15,13.53,13.655,12.94,13.36,12.535,-3.68%,14988852
2020/4/16,13.15,13.25,12.26,12.89,12.094,-3.52%,21687002
2020/4/17,13.3,13.83,12.93,13.74,12.891,6.59%,21332013
2020/4/20,13.5,14.74,13.475,14.45,13.558,5.17%,20020359
2020/4/21,14.22,15.25,14.18,14.69,13.783,1.66%,16233901
2020/4/22,14.95,15.16,14.22,14.79,13.877,0.68%,12539535
2020/4/23,14.7,15.92,14.61,15.72,14.749,6.29%,12222199
2020/4/24,15.6,16.67,15.29,16.25,15.246,3.37%,17389952
2020/4/27,16.17,16.81,15.975,16.8,15.762,3.38%,12185807
2020/4/28,16.88,17.75,16.61,17,15.95,1.19%,12978732
2020/4/29,17.46,18.08,17.17,17.64,16.551,3.76%,12519805
2020/4/30,17.22,17.84,16.985,17.71,16.616,0.40%,19091336
2020/5/1,17.33,17.35,16.62,16.77,15.734,-5.31%,10726038
2020/5/4,16.15,16.52,15.69,16.4,15.387,-2.21%,9700273
2020/5/5,16.68,16.76,15.84,15.97,14.984,-2.62%,16295857
2020/5/6,16,16.37,15.43,16.29,15.284,2.00%,10645404
2020/5/7,16.21,17.04,15.88,16.41,15.397,0.74%,12454069
2020/5/8,17.04,18.4,16.935,18.36,17.226,11.88%,18117278
2020/5/11,18.43,18.75,18.02,18.35,17.217,-0.05%,9573862
2020/5/12,18.39,18.4,17.69,17.8,16.701,-3.00%,7741942
2020/5/13,17.21,17.437,16.1,16.44,15.425,-7.64%,10676260
2020/5/14,16.02,16.715,15.72,16.55,15.528,0.67%,7796502
2020/5/15,16.3,16.965,16,16.71,15.678,0.97%,7353832
2020/5/18,17.3,17.72,17.29,17.55,16.466,5.03%,6134778
2020/5/19,17.44,17.92,17.15,17.77,16.673,1.25%,8335540
2020/5/20,18.16,19.05,18.04,18.73,17.573,5.40%,11909367
2020/5/21,18.54,19.52,18.5,19.45,18.249,3.84%,9711485
2020/5/22,19.47,19.86,18.95,19.05,17.873,-2.06%,5937079
2020/5/26,19.61,20.6,19.34,19.51,18.305,2.41%,7305411
2020/5/27,19.57,20.13,19.43,19.99,18.755,2.46%,8969660
2020/5/28,20.08,20.46,19.505,19.6,18.389,-1.95%,8509161
2020/5/29,18.96,20.98,18.88,20.47,19.206,4.44%,32990569
2020/6/1,20.55,21.95,20.55,21.82,20.472,6.60%,7693402
2020/6/2,21.69,21.829,20.905,21.36,20.041,-2.11%,8293330
2020/6/3,21.47,22.58,21.38,22.22,20.848,4.03%,9634145
2020/6/4,22.03,23.12,22.03,22.68,21.279,2.07%,6651060
2020/6/5,23.54,24.4,23.38,23.56,22.105,3.88%,7843045
2020/6/8,23.63,24.38,23.31,24.37,22.865,3.44%,8569789
2020/6/9,23.74,23.96,23.21,23.21,21.777,-4.76%,6849162
2020/6/10,22.31,23.15,22.04,22.2,20.829,-4.35%,10252333
2020/6/11,20.16,21.8,20,21.06,19.759,-5.14%,6832257
2020/6/12,22,22.31,21.02,21.54,20.21,2.28%,5212757
2020/6/15,20.72,22.54,20.63,21.97,20.613,2.00%,7735648
2020/6/16,22.96,22.98,21.925,22.07,20.707,0.46%,7287852
2020/6/17,22.17,22.34,21.08,21.26,19.947,-3.67%,5737068
2020/6/18,21,21.89,21,21.25,19.938,-0.05%,3615365
2020/6/19,21.76,21.85,21,21.45,20.125,0.94%,14450541
2020/6/22,21.52,22.825,21.31,22.74,21.336,6.01%,5990058
2020/6/23,23.12,23.24,22.32,22.39,21.007,-1.54%,5961362
2020/6/24,22.1,22.66,21.45,21.82,20.472,-2.55%,6822936
2020/6/25,21.62,21.87,21.035,21.52,20.266,-1.37%,6139536
2020/6/26,21.52,21.74,20.591,20.97,19.748,-2.56%,21346156
2020/6/29,21.08,22.47,21,22.12,20.831,5.48%,8086375
2020/6/30,21.81,22.41,21.41,22.22,20.925,0.45%,7082529
2020/7/1,22.32,23.01,21.87,22.61,21.292,1.76%,9183348
2020/7/2,22.99,23.22,22.57,22.91,21.575,1.33%,5667432
2020/7/6,23.13,24.29,23.13,24.21,22.799,5.67%,7141652
2020/7/7,23.76,24.18,23.724,24.01,22.611,-0.83%,4670269
2020/7/8,23.88,24.09,23.46,23.99,22.592,-0.08%,4691612
2020/7/9,24,24.22,23.76,23.91,22.517,-0.33%,5470327
2020/7/10,23.84,26.06,23.72,24.89,23.44,4.10%,12253241
2020/7/13,25.14,25.21,23.26,24.28,22.865,-2.45%,8560844
2020/7/14,24.3,25.16,24.23,25.15,23.684,3.58%,7429040
2020/7/15,25.58,26.57,25.54,26.45,24.909,5.17%,5796365
2020/7/16,26.12,26.99,25.92,26.61,25.059,0.60%,4863355
2020/7/17,26.89,26.9,26.33,26.48,24.937,-0.49%,3187141
2020/7/20,26.22,26.54,26.065,26.41,24.871,-0.26%,2442876
