Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,113.13,113.69,112.34,112.35,90.465,-1.05%,673709
2015/3/25,112.22,112.99,111.59,111.59,89.853,-0.68%,732033
2015/3/26,110.84,111.87,110.84,111.26,89.587,-0.30%,1311894
2015/3/27,110.84,111.3,110.44,110.9,89.821,-0.32%,1246024
2015/3/30,111.41,112.72,111.25,112.21,90.882,1.18%,734812
2015/3/31,111.24,112.01,110.68,111.49,90.298,-0.64%,1497099
2015/4/1,112.46,112.72,110.73,110.99,89.893,-0.45%,1185426
2015/4/2,110.95,111.53,110.62,111.2,90.064,0.19%,913171
2015/4/6,110.42,111.82,110.14,111.26,90.112,0.05%,807109
2015/4/7,111.27,111.89,111.13,111.35,90.185,0.08%,488335
2015/4/8,111.16,111.93,110.91,111.24,90.096,-0.10%,1590830
2015/4/9,111.21,111.97,110.97,111.76,90.517,0.47%,993452
2015/4/10,111.79,112.12,111.49,111.9,90.631,0.13%,984652
2015/4/13,111.65,112.58,111.65,111.94,90.663,0.04%,982712
2015/4/14,111.48,111.99,110.86,111.91,90.639,-0.03%,1015520
2015/4/15,112.06,112.63,111.76,111.87,90.606,-0.04%,826392
2015/4/16,111.79,112.66,111.22,112.37,91.011,0.45%,1155029
2015/4/17,111.52,111.71,109.76,110.14,89.205,-1.98%,1883935
2015/4/20,110.79,111.49,110.76,111.16,90.031,0.93%,1075932
2015/4/21,111.22,111.33,108.81,109.01,88.29,-1.93%,1777444
2015/4/22,108.28,109.29,106.82,107.86,87.358,-1.05%,1544473
2015/4/23,107.58,108.61,107.44,108.31,87.723,0.42%,1477415
2015/4/24,108.51,108.81,108,108.51,87.885,0.18%,1105269
2015/4/27,108.93,108.98,107.65,107.88,87.375,-0.58%,1338400
2015/4/28,107.46,109.08,107.46,108.76,88.087,0.82%,1291826
2015/4/29,108.57,108.87,107.73,108.04,87.504,-0.66%,710343
2015/4/30,108.25,108.75,106.7,106.99,86.654,-0.97%,1531525
2015/5/1,107.38,107.87,107.01,107.63,87.172,0.60%,1168160
2015/5/4,107.68,108.03,107.28,107.44,87.018,-0.18%,764802
2015/5/5,106.95,107.73,106.8,107.08,86.727,-0.34%,893530
2015/5/6,107.38,107.5,106.27,106.92,86.597,-0.15%,1260653
2015/5/7,107.09,107.98,106.47,107.65,87.188,0.68%,809485
2015/5/8,108.4,108.81,108.08,108.78,88.104,1.05%,686739
2015/5/11,108.39,108.78,107.94,108.28,87.699,-0.46%,978975
2015/5/12,107.77,107.87,106.65,107.05,86.702,-1.14%,1028246
2015/5/13,107.05,107.72,106.9,107.2,86.824,0.14%,857416
2015/5/14,107.75,108.63,107.51,108.59,87.95,1.30%,536753
2015/5/15,108.39,108.85,107.94,108.15,87.593,-0.41%,717711
2015/5/18,108.31,108.89,108.14,108.74,88.071,0.55%,522631
2015/5/19,109,109.17,108.4,108.94,88.233,0.18%,578950
2015/5/20,108.86,109.29,108.38,109.11,88.371,0.16%,570510
2015/5/21,108.84,109.17,108.51,108.9,88.201,-0.19%,711332
2015/5/22,108.78,108.99,108.45,108.66,88.006,-0.22%,792941
2015/5/26,108.3,108.6,106.66,106.78,86.484,-1.73%,1344367
2015/5/27,107.22,107.51,106.81,107.35,86.945,0.53%,849561
2015/5/28,106.97,107.67,106.66,107.58,87.132,0.21%,725095
2015/5/29,107.31,107.48,106.44,106.48,86.241,-1.02%,2378277
2015/6/1,106.82,106.98,106.01,106.37,86.152,-0.10%,1189865
2015/6/2,106.09,106.75,105.82,106.37,86.152,0.00%,1600280
2015/6/3,106.9,107.05,106.3,106.88,86.565,0.48%,1202971
2015/6/4,106,106.89,105.68,105.81,85.698,-1.00%,1287846
2015/6/5,106.06,106.51,104.42,104.68,84.783,-1.07%,1553285
2015/6/8,104.61,105.06,103.27,103.3,83.665,-1.32%,1104175
2015/6/9,103.28,103.77,102.65,103.52,83.843,0.21%,1079695
2015/6/10,104.18,105.57,104.03,105.06,85.091,1.49%,1167455
2015/6/11,105.07,106.3,105,105.99,85.844,0.89%,1293921
2015/6/12,105.59,105.93,105.08,105.48,85.431,-0.48%,1111749
2015/6/15,104.48,105.91,104.31,105.43,85.39,-0.05%,1116900
2015/6/16,105.33,106.52,105.22,106.28,86.079,0.81%,1050892
2015/6/17,106.54,106.83,105.62,106.33,86.119,0.05%,1281037
2015/6/18,106.17,107.85,106.17,107.66,87.196,1.25%,918601
2015/6/19,107.21,107.51,105.95,106.01,85.86,-1.53%,1069117
2015/6/22,106.48,106.73,105.82,106.13,85.957,0.11%,771331
2015/6/23,106.49,107.22,105.92,106.41,86.184,0.26%,901689
2015/6/24,106.18,106.26,105.22,105.23,85.69,-1.11%,819935
2015/6/25,103.18,104.2,102.26,102.75,83.67,-2.36%,900836
2015/6/26,101.75,103.98,99.55,103.47,84.802,0.70%,770161
2015/6/29,102.89,103.08,101.48,101.6,83.27,-1.81%,926307
2015/6/30,102.65,102.73,101.6,101.68,83.335,0.08%,1021567
2015/7/1,109.8,110.84,101.35,102.49,83.999,0.80%,17646700
2015/7/2,100.79,105.57,100.07,103.74,85.024,1.22%,6224970
2015/7/6,102.65,103.78,102.54,103.33,84.688,-0.40%,3754075
2015/7/7,103.57,104.58,102.6,104.46,85.614,1.09%,4191169
