Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,86.26,86.77,85.81,85.84,56.903,-0.48%,1865389
2015/3/25,85.83,86.11,84.6,84.64,56.108,-1.40%,1451057
2015/3/26,84.25,85.09,83.91,84.61,56.088,-0.04%,2320149
2015/3/27,84.61,85.07,83.86,84.81,56.22,0.24%,2903620
2015/3/30,84.85,85.14,84.27,84.39,55.942,-0.50%,1548128
2015/3/31,84.01,84.46,82.54,82.54,54.716,-2.19%,3336109
2015/4/1,82.88,83.92,82.85,83.72,55.498,1.43%,2067943
2015/4/2,83.76,84.366,83.55,84.15,55.783,0.51%,1164660
2015/4/6,83.99,85.06,83.88,84.94,56.307,0.94%,1294609
2015/4/7,85.84,86.18,85.42,85.67,56.79,0.86%,1951157
2015/4/8,85.6,85.86,84.79,85.37,56.592,-0.35%,1952724
2015/4/9,85.26,85.43,84.58,85.14,56.439,-0.27%,2270922
2015/4/10,85.25,85.7,84.45,84.69,56.141,-0.53%,1022252
2015/4/13,84.66,87.14,84.39,85,56.346,0.37%,2511243
2015/4/14,84.92,85.58,84.61,85.39,56.605,0.46%,2251914
2015/4/15,85.82,86.1,85.59,85.85,56.91,0.54%,1737137
2015/4/16,85.43,86.13,84.79,86,57.009,0.17%,1799912
2015/4/17,85.6,86.09,84.66,85.84,56.903,-0.19%,3756565
2015/4/20,86.18,86.528,85.78,86.43,57.294,0.69%,1884363
2015/4/21,86.54,86.55,85.58,85.79,56.87,-0.74%,2419179
2015/4/22,86.07,86.09,85.27,86.02,57.023,0.27%,2796024
2015/4/23,85.6,86.94,85.22,86.64,57.434,0.72%,3877593
2015/4/24,87.28,87.46,85.925,85.98,56.996,-0.76%,1878421
2015/4/27,86,86.13,84.76,85,56.346,-1.14%,1844200
2015/4/28,84.81,85.84,84.76,85.69,56.804,0.81%,1986093
2015/4/29,85,85.46,84.35,84.59,56.075,-1.28%,1526000
2015/4/30,84.17,84.17,83.23,83.53,55.372,-1.25%,2754319
2015/5/1,83.59,84.15,83.02,83.17,55.133,-0.43%,1789352
2015/5/4,83.44,83.52,82.95,83.12,55.1,-0.06%,1730147
2015/5/5,83.11,83.44,81.5,81.62,54.106,-1.80%,2439858
