Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,24.7,24.92,24.24,24.32,17.085,-1.78%,2657602
2015/3/25,24.27,24.43,23.84,24,16.86,-1.32%,5000096
2015/3/26,24.04,24.29,23.83,24.12,16.945,0.50%,62491480
2015/3/27,24.11,24.54,24.1,24.48,17.198,1.49%,9244264
2015/3/30,24.5,24.68,24.16,24.32,17.085,-0.65%,5463482
2015/3/31,24.22,24.29,24.04,24.13,16.952,-0.78%,3946570
2015/4/1,24.15,24.46,24.03,24.36,17.113,0.95%,5348903
2015/4/2,24.34,24.68,24.25,24.62,17.296,1.07%,6024784
2015/4/6,24.48,24.8,24.28,24.75,17.387,0.53%,3718418
2015/4/7,24.73,25,24.7,24.9,17.493,0.61%,5752758
2015/4/8,25,25.09,24.88,25,17.563,0.40%,4441601
2015/4/9,25,25.14,24.93,25.04,17.591,0.16%,3585019
2015/4/10,25.03,25.3,24.97,25.11,17.64,0.28%,2606743
2015/4/13,25.19,25.46,24.98,25.45,17.879,1.35%,4462650
2015/4/14,25.15,25.25,25.02,25.14,17.661,-1.22%,1860841
2015/4/15,25.15,25.66,25.02,25.6,17.984,1.83%,3701309
2015/4/16,25.6,25.63,25.2,25.49,17.907,-0.43%,1970965
2015/4/17,25.36,25.41,25.04,25.12,17.647,-1.45%,1303817
2015/4/20,25.19,25.28,24.97,25.11,17.64,-0.04%,2630029
2015/4/21,25.19,25.46,24.96,25.04,17.591,-0.28%,3493921
2015/4/22,25.5,25.98,24.92,25.49,17.907,1.80%,3563199
2015/4/23,25.66,25.74,25.28,25.64,18.012,0.59%,2450858
2015/4/24,25.66,25.72,25.28,25.57,17.963,-0.27%,1918430
2015/4/27,25.7,25.84,25.48,25.48,17.9,-0.35%,4843454
2015/4/28,25.53,25.825,25.39,25.78,18.111,1.18%,2557577
2015/4/29,25.63,26.29,25.6,26.09,18.329,1.20%,3516940
2015/4/30,25.99,26.18,25.68,26.05,18.301,-0.15%,2700344
2015/5/1,26.15,26.302,25.91,25.98,18.322,-0.27%,2090668
2015/5/4,26.05,26.38,25.97,26.3,18.547,1.23%,1626037
2015/5/5,26.23,26.47,26.14,26.24,18.505,-0.23%,2164075
2015/5/6,26.29,26.432,25.78,25.85,18.23,-1.49%,2614496
2015/5/7,25.82,25.96,25.61,25.95,18.3,0.39%,2998342
2015/5/8,26.19,26.242,25.57,25.81,18.202,-0.54%,3298154
2015/5/11,25.83,26.19,25.83,26.07,18.385,1.01%,4875078
2015/5/12,26.02,26.25,25.96,26.15,18.441,0.31%,3526312
2015/5/13,26.29,26.41,25.99,26.23,18.498,0.31%,3532424
2015/5/14,26.48,26.59,26.14,26.48,18.674,0.95%,2561327
2015/5/15,26.45,26.582,25.9,25.93,18.286,-2.08%,2266920
2015/5/18,25.99,26.38,25.89,26.3,18.547,1.43%,2182513
2015/5/19,26.02,26.89,25.94,26.86,18.942,2.13%,3279750
2015/5/20,26.65,26.95,26.64,26.75,18.865,-0.41%,3430864
2015/5/21,26.76,26.91,26.46,26.84,18.928,0.34%,5403619
2015/5/22,26.83,26.99,26.7,26.92,18.985,0.30%,3185352
2015/5/26,26.87,26.99,26.66,26.7,18.829,-0.82%,5931036
2015/5/27,26.765,26.92,26.59,26.77,18.879,0.26%,4423323
2015/5/28,26.77,26.92,26.58,26.83,18.921,0.22%,3074931
2015/5/29,26.89,26.95,26.565,26.84,18.928,0.04%,11662129
2015/6/1,26.91,27.025,26.72,26.95,19.006,0.41%,4060531
2015/6/2,27,27.34,26.95,27.19,19.175,0.89%,3798469
2015/6/3,27.29,27.67,27.24,27.62,19.478,1.58%,6359355
2015/6/4,27.53,27.87,27.53,27.75,19.57,0.47%,6119249
2015/6/5,27.79,28.35,27.3,28.32,19.972,2.05%,7049847
2015/6/8,28.39,28.71,28,28.04,19.774,-0.99%,11997263
2015/6/9,28.01,28.09,27.3,28.08,19.803,0.14%,8313385
2015/6/10,28.2,28.31,27.83,28,19.746,-0.28%,7645820
2015/6/11,28.09,28.17,27.46,27.52,19.408,-1.71%,10332566
2015/6/12,27.5,27.64,27.33,27.54,19.422,0.07%,8410215
2015/6/15,27.37,27.99,27.36,27.91,19.683,1.34%,6175987
2015/6/16,27.85,28.29,27.73,28.25,19.922,1.22%,5020125
2015/6/17,28.33,28.41,27.84,27.91,19.683,-1.20%,6830814
2015/6/18,28,28.12,27.6,28.07,19.796,0.57%,6168345
2015/6/19,28.12,28.46,28.02,28.19,19.88,0.43%,29234651
2015/6/22,28.39,28.54,28.17,28.27,19.937,0.28%,3695464
2015/6/23,28.38,28.53,28.06,28.19,19.88,-0.28%,5113357
2015/6/24,28.1,28.32,27.985,28.05,19.781,-0.50%,2675558
2015/6/25,27.95,28.04,27.28,27.38,19.309,-2.39%,5014804
2015/6/26,27.37,27.615,27.26,27.54,19.422,0.58%,9588333
2015/6/29,27.21,27.39,26.8,26.93,18.992,-2.21%,3022453
2015/6/30,27.21,27.87,26.985,27.31,19.26,1.41%,5545328
2015/7/1,27.53,27.74,27.34,27.44,19.351,0.48%,2838202
2015/7/2,27.43,27.47,26.92,27.15,19.147,-1.06%,2158019
2015/7/6,26.93,27.04,26.67,27.01,19.048,-0.52%,3391988
2015/7/7,27.01,27.04,26.44,26.74,18.858,-1.00%,3582608
2015/7/8,26.58,26.71,26.46,26.64,18.787,-0.37%,3601944
2015/7/9,26.91,27.03,26.8,26.98,19.027,1.28%,2196341
2015/7/10,27.25,27.35,27.05,27.3,19.252,1.19%,1767485
2015/7/13,27.5,27.7,27.19,27.25,19.217,-0.18%,2075152
2015/7/14,27.3,27.58,27.23,27.55,19.429,1.10%,3363214
2015/7/15,27.75,28,27.62,27.8,19.605,0.91%,2356049
2015/7/16,27.89,28.15,27.71,28.11,19.824,1.12%,2239731
2015/7/17,28.08,28.183,27.84,27.91,19.683,-0.71%,3126686
2015/7/20,27.93,28.17,27.87,27.96,19.718,0.18%,4131653
2015/7/21,26.53,27.58,25.48,26.72,18.843,-4.43%,10366904
2015/7/22,26.69,27.255,26.614,27.04,19.069,1.20%,3829144
2015/7/23,27.06,27.3,26.37,26.45,18.653,-2.18%,3075041
2015/7/24,26.48,26.65,26.12,26.15,18.441,-1.13%,1993934
2015/7/27,26.02,26.13,25.68,25.94,18.293,-0.80%,2544280
2015/7/28,25.8,26.36,25.74,26.17,18.456,0.89%,5610298
2015/7/29,26.1,26.33,26,26,18.336,-0.65%,59753880
2015/7/30,26.03,26.63,25.6,26.49,18.752,1.88%,17805568
2015/7/31,26.56,26.6,25.98,26.07,18.454,-1.59%,9396444
2015/8/3,26.18,26.5,26,26.03,18.426,-0.15%,6981511
2015/8/4,26.05,26.44,25.9,26.27,18.596,0.92%,5120699
2015/8/5,26.49,26.84,26.41,26.66,18.872,1.48%,6478775
2015/8/6,26.77,26.84,26.43,26.65,18.865,-0.04%,4042123
2015/8/7,26.53,26.82,26.31,26.7,18.9,0.19%,8973706
2015/8/10,27.01,27.26,26.9,27.19,19.247,1.84%,4443212
2015/8/11,27,27.19,26.7,26.84,19,-1.29%,4909284
2015/8/12,26.78,26.79,25.74,26.03,18.426,-3.02%,6983480
2015/8/13,26,26.3,25.975,26.2,18.547,0.65%,4317352
2015/8/14,26.26,26.42,26.13,26.38,18.674,0.69%,1998548
2015/8/17,26.31,26.48,26.08,26.28,18.603,-0.38%,1746154
2015/8/18,26.29,26.58,26.19,26.56,18.801,1.07%,2415248
2015/8/19,26.43,26.57,26.23,26.26,18.589,-1.13%,4322968
2015/8/20,26.05,26.29,25.33,25.33,17.931,-3.54%,3193836
2015/8/21,25.02,25.11,24.57,24.57,17.393,-3.00%,4203142
2015/8/24,23.58,24.1,21.14,23.03,16.303,-6.27%,8454578
2015/8/25,23.8,24.08,23.07,23.1,16.352,0.30%,5607825
2015/8/26,24,24.45,23.45,24.19,17.124,4.72%,6358491
2015/8/27,24.62,24.99,24.37,24.48,17.329,1.20%,5251744
2015/8/28,24.59,24.885,24.37,24.69,17.478,0.86%,3097233
2015/8/31,24.68,24.94,24.5,24.82,17.57,0.53%,3553069
2015/9/1,24.475,24.59,23.52,23.69,16.77,-4.55%,5046606
2015/9/2,24.07,24.33,23.44,24.13,17.081,1.86%,5658439
2015/9/3,24.3,24.79,24.21,24.5,17.343,1.53%,3093782
2015/9/4,24.24,24.43,23.96,24.09,17.053,-1.67%,2295028
2015/9/8,24.6,24.63,24.215,24.63,17.435,2.24%,3484881
2015/9/9,24.78,24.99,24.365,24.4,17.272,-0.93%,3949782
2015/9/10,24.3,24.636,24.22,24.44,17.301,0.16%,2010768
2015/9/11,24.3,24.54,24.06,24.32,17.216,-0.49%,3544773
2015/9/14,24.28,24.67,24.25,24.41,17.279,0.37%,2459336
2015/9/15,24.45,25.14,24.422,25.03,17.718,2.54%,2882159
2015/9/16,24.93,25.06,24.635,24.88,17.612,-0.60%,3541780
2015/9/17,24.84,24.96,23.68,24.04,17.017,-3.38%,5433093
2015/9/18,23.69,23.99,23.22,23.75,16.812,-1.21%,11030892
2015/9/21,23.95,24.14,23.72,23.9,16.918,0.63%,3422641
2015/9/22,23.5,23.67,23.42,23.6,16.706,-1.26%,2220046
2015/9/23,23.75,23.79,23.275,23.34,16.522,-1.10%,3662143
2015/9/24,23.06,23.32,23,23.24,16.451,-0.43%,3495066
2015/9/25,23.63,23.82,23.48,23.61,16.713,1.59%,4083193
2015/9/28,23.4,23.56,22.6,22.63,16.019,-4.15%,5359736
2015/9/29,22.76,23.44,22.565,23.22,16.437,2.61%,5979255
2015/9/30,23.66,25.23,23.39,23.86,16.89,2.76%,5606812
2015/10/1,23.75,24.02,23.37,23.5,16.635,-1.51%,3214144
2015/10/2,22.99,23.48,22.48,23.41,16.572,-0.38%,7919401
2015/10/5,23.64,23.83,23.32,23.72,16.791,1.32%,6639618
2015/10/6,23.66,23.83,23.3,23.36,16.536,-1.52%,3616485
2015/10/7,23.52,23.565,23.18,23.44,16.593,0.34%,4528843
2015/10/8,23.43,23.64,23.24,23.52,16.649,0.34%,4248742
2015/10/9,23.49,23.82,23.36,23.46,16.607,-0.26%,3645113
2015/10/12,23.46,23.69,23.39,23.56,16.678,0.43%,1949132
2015/10/13,23.5,23.62,23.38,23.46,16.607,-0.42%,2278114
2015/10/14,23.35,23.49,22.79,22.91,16.218,-2.34%,2973536
2015/10/15,23.04,23.59,22.94,23.52,16.649,2.66%,3083891
2015/10/16,23.62,23.78,23.22,23.22,16.437,-1.28%,4212344
2015/10/19,23.2,23.49,23.03,23.23,16.444,0.04%,3846652
2015/10/20,23.23,23.6,23.16,23.39,16.557,0.69%,4082217
2015/10/21,23.48,23.865,23.17,23.17,16.402,-0.94%,3922984
2015/10/22,23.26,23.62,22.87,22.87,16.189,-1.29%,9977712
2015/10/23,23.55,24.3,23.21,24.22,17.145,5.90%,9488362
2015/10/26,24.25,24.49,23.56,23.6,16.706,-2.56%,4690049
2015/10/27,23.42,23.8,23.27,23.53,16.656,-0.30%,4038042
2015/10/28,23.52,24.44,23.52,24.18,17.117,2.76%,5537429
2015/10/29,24.18,24.43,24.01,24.11,17.067,-0.29%,4363424
2015/10/30,23.75,24.39,23.73,24.3,17.202,0.79%,50057616
2015/11/2,24.58,24.7,24.12,24.45,17.308,0.62%,14762883
2015/11/3,24.46,24.62,24.14,24.42,17.357,-0.12%,6333828
2015/11/4,24.55,24.74,24.2,24.53,17.435,0.45%,11117454
2015/11/5,24.47,24.93,24.44,24.61,17.492,0.33%,10044551
2015/11/6,25.47,25.97,25.12,25.73,18.288,4.55%,16332334
2015/11/9,25.73,26.05,25.48,25.87,18.388,0.54%,10013793
2015/11/10,25.87,26.09,25.77,26,18.48,0.50%,14272576
2015/11/11,26,26.13,25.89,26.09,18.544,0.35%,6577571
2015/11/12,25.75,25.95,25.49,25.51,18.132,-2.22%,8336209
2015/11/13,25.49,25.6,25.22,25.53,18.146,0.08%,9834203
2015/11/16,25.6,25.72,25.27,25.68,18.253,0.59%,6910850
2015/11/17,25.72,25.91,25.52,25.6,18.196,-0.31%,4455494
2015/11/18,25.73,26.22,25.61,26.2,18.622,2.34%,5740149
2015/11/19,26.1,26.24,25.9,26.12,18.566,-0.31%,3415426
2015/11/20,26.31,26.31,25.87,26.02,18.495,-0.38%,3096774
2015/11/23,25.97,26.18,25.67,25.74,18.295,-1.08%,4369367
2015/11/24,25.64,26.15,25.51,26.13,18.573,1.52%,4961056
2015/11/25,26.13,26.28,25.937,26.26,18.665,0.50%,4382771
2015/11/27,26.23,26.5,26.145,26.39,18.757,0.50%,2250585
2015/11/30,26.43,26.65,26.255,26.63,18.928,0.91%,9725405
2015/12/1,26.81,26.87,26.28,26.5,18.836,-0.49%,6002952
2015/12/2,26.75,26.86,26.46,26.64,18.935,0.53%,10319973
2015/12/3,26.83,26.84,26.38,26.47,18.814,-0.64%,10031704
2015/12/4,26.69,27.14,26.46,27.12,19.276,2.46%,5481809
2015/12/7,27.1,27.17,26.365,26.51,18.843,-2.25%,5337872
2015/12/8,26.25,26.55,26.09,26.41,18.772,-0.38%,4656418
2015/12/9,26.33,26.74,25.79,26.1,18.551,-1.17%,6760607
2015/12/10,26.1,26.57,26.04,26.3,18.694,0.77%,3559700
2015/12/11,25.96,26.17,25.37,25.61,18.203,-2.62%,6501257
2015/12/14,25.74,25.96,25.4,25.72,18.281,0.43%,5119076
2015/12/15,26.18,26.7,26.04,26.54,18.864,3.19%,5446091
2015/12/16,26.75,27.02,25.93,26.91,19.127,1.39%,9246998
2015/12/17,26.91,27.08,26.425,26.48,18.821,-1.60%,5395134
2015/12/18,26.39,26.45,25.84,25.9,18.409,-2.19%,10141610
2015/12/21,26.14,26.34,25.731,26.03,18.502,0.50%,4147933
2015/12/22,26.16,26.46,25.7,26.25,18.658,0.85%,5388913
2015/12/23,26.35,26.54,26.17,26.52,18.85,1.03%,3890878
2015/12/24,26.45,26.68,26.37,26.6,18.907,0.30%,1072633
2015/12/28,26.44,26.47,26.08,26.41,18.772,-0.71%,2238780
2015/12/29,26.54,26.805,26.49,26.62,18.921,0.80%,2872003
2015/12/30,26.49,26.66,26.26,26.3,18.694,-1.20%,2062938
2015/12/31,26.22,26.49,26.14,26.19,18.615,-0.42%,2307032
2016/1/4,25.71,25.99,25.455,25.8,18.338,-1.49%,5598680
2016/1/5,25.77,25.95,25.52,25.68,18.253,-0.47%,6389320
2016/1/6,25.3,25.53,25.15,25.28,17.969,-1.56%,5418826
2016/1/7,24.79,24.915,24.3,24.59,17.478,-2.73%,4976747
2016/1/8,24.81,24.88,23.66,23.82,16.931,-3.13%,10583671
2016/1/11,24.18,24.24,23.67,23.9,16.988,0.34%,6981390
2016/1/12,24.1,24.15,23.59,23.9,16.988,0.00%,7081660
2016/1/13,24.08,24.15,22.955,23.22,16.504,-2.85%,8078080
2016/1/14,23.34,23.38,22.6,22.9,16.277,-1.38%,9374018
2016/1/15,22.19,22.47,21.7,22.32,15.865,-2.53%,12940826
2016/1/19,22.6,22.705,22.04,22.23,15.801,-0.40%,9794335
2016/1/20,21.87,21.97,21,21.6,15.353,-2.83%,11156408
2016/1/21,21.63,21.84,21.125,21.33,15.161,-1.25%,9818577
2016/1/22,21.65,21.8,19.75,20.78,14.77,-2.58%,23182214
2016/1/25,20.78,20.915,19.73,19.79,14.066,-4.76%,12599250
2016/1/26,19.97,20.57,19.97,20.29,14.422,2.53%,16242092
2016/1/27,20.98,21.61,20.8,21.21,15.076,4.53%,33935356
2016/1/28,21.5,21.85,21.14,21.74,15.452,2.50%,21318123
2016/1/29,21.88,21.95,21.25,21.25,15.104,-2.25%,94875312
2016/2/1,21.11,21.21,20.56,20.78,14.77,-2.21%,10618374
2016/2/2,20.51,20.62,20.08,20.21,14.436,-2.74%,12990517
2016/2/3,20.27,20.305,19.25,20.05,14.322,-0.79%,14336067
2016/2/4,20.04,20.55,19.89,20.23,14.45,0.90%,9247739
2016/2/5,20.26,20.62,19.76,19.85,14.179,-1.88%,8105887
2016/2/8,19.52,19.74,18.95,19.2,13.715,-3.27%,10227045
2016/2/9,18.93,19.61,18.89,19.55,13.965,1.82%,10511868
2016/2/10,19.63,19.76,18.795,18.86,13.472,-3.53%,10445868
2016/2/11,18.45,18.65,18.04,18.14,12.957,-3.82%,8392723
2016/2/12,18.6,18.99,18.32,18.89,13.493,4.13%,9360754
2016/2/16,19.15,19.755,18.9,19.36,13.829,2.49%,8897699
2016/2/17,19.59,20.25,19.45,19.65,14.036,1.50%,9440450
2016/2/18,19.67,19.81,18.96,19.11,13.65,-2.75%,7980708
2016/2/19,19.11,19.3,18.885,19.24,13.743,0.68%,4536115
2016/2/22,19.57,19.82,19.44,19.8,14.143,2.91%,4766951
2016/2/23,19.73,19.81,19.095,19.37,13.836,-2.17%,6184355
2016/2/24,19,19.16,18.775,19,13.572,-1.91%,5749510
2016/2/25,19.02,19.22,18.83,19.18,13.7,0.95%,6750619
2016/2/26,19.3,20.11,18.99,19.74,14.1,2.92%,11218643
2016/2/29,19.66,19.8,19.18,19.23,13.736,-2.58%,4247957
2016/3/1,19.33,20.28,19.315,20.27,14.479,5.41%,7856768
2016/3/2,20.24,21.095,20.16,20.96,14.972,3.40%,8907820
2016/3/3,20.85,21.56,20.82,21.44,15.315,2.29%,8729101
2016/3/4,21.64,22.23,21.585,21.93,15.665,2.29%,7150182
2016/3/7,21.7,21.86,21.41,21.53,15.379,-1.82%,6164007
2016/3/8,21.26,21.26,20.53,20.92,14.943,-2.83%,9632262
2016/3/9,21.1,21.23,20.56,20.7,14.786,-1.05%,5653364
2016/3/10,20.88,21.23,20.58,21.01,15.007,1.50%,5182233
2016/3/11,21.34,21.935,21.29,21.91,15.65,4.28%,5958877
2016/3/14,21.81,22.16,21.6,22.09,15.779,0.82%,4860811
2016/3/15,21.82,22.22,21.63,22.19,15.85,0.45%,5750149
2016/3/16,22.01,22.55,21.58,21.61,15.436,-2.61%,8255765
2016/3/17,21.5,21.815,21.13,21.73,15.522,0.56%,7425106
2016/3/18,21.93,22.24,21.76,22.08,15.772,1.61%,10236635
2016/3/21,22.11,22.25,21.73,22,15.715,-0.36%,3721890
2016/3/22,21.86,22.07,21.56,21.93,15.665,-0.32%,3745798
2016/3/23,21.93,21.965,21.55,21.69,15.493,-1.09%,3020086
2016/3/24,21.44,21.7,21.22,21.59,15.422,-0.46%,3906765
2016/3/28,21.67,21.73,21.27,21.39,15.279,-0.93%,3613668
2016/3/29,21.23,21.38,20.79,21.2,15.143,-0.89%,5997208
2016/3/30,21.21,21.355,20.98,21.25,15.179,0.24%,6099991
2016/3/31,21.2,21.21,20.74,20.95,14.965,-1.41%,4954843
2016/4/1,20.92,21.38,20.63,21.35,15.25,1.91%,4556757
2016/4/4,21.3,21.65,21.115,21.51,15.365,0.75%,4721722
2016/4/5,21.28,21.345,20.69,20.76,14.829,-3.49%,6993184
2016/4/6,20.74,21.36,20.55,21.34,15.243,2.79%,6861695
2016/4/7,21.12,21.25,20.53,20.79,14.85,-2.58%,6302281
2016/4/8,20.96,21.35,20.78,20.87,14.907,0.38%,5449882
2016/4/11,21.03,21.45,21.02,21.04,15.029,0.81%,2854345
2016/4/12,21.16,21.545,21.14,21.51,15.365,2.23%,4149325
2016/4/13,21.75,22.74,21.66,22.6,16.143,5.07%,6202632
2016/4/14,22.58,23.28,22.45,22.82,16.3,0.97%,5943774
2016/4/15,22.77,22.88,22.41,22.55,16.107,-1.18%,5015196
2016/4/18,22.4,22.77,22.25,22.72,16.229,0.75%,3604564
