Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,188.33,188.87,186.265,187.68,187.68,-0.63%,668224
2015/3/25,187.75,188.59,182.84,183,183,-2.49%,848374
2015/3/26,182.8,182.8,178.685,181.75,181.75,-0.68%,877148
2015/3/27,181.78,183.11,179.95,180,180,-0.96%,593593
2015/3/30,181.17,183.97,181.17,183.39,183.39,1.88%,531685
2015/3/31,196.37,199,192.64,193.11,193.11,5.30%,3453125
2015/4/1,191.94,193.8,189.44,190.63,190.63,-1.28%,967704
2015/4/2,190.08,191.98,189.57,189.575,189.575,-0.55%,739152
2015/4/6,189.41,193.36,189.41,193.19,193.19,1.91%,572300
2015/4/7,192.97,193.98,189.66,189.75,189.75,-1.78%,270140
2015/4/8,188.5,190.94,187.85,190.775,190.775,0.54%,922613
2015/4/9,191,192,189.56,190.93,190.93,0.08%,388245
2015/4/10,191.32,191.94,189.88,191.81,191.81,0.46%,380714
2015/4/13,191.85,193.8,188.72,189.02,189.02,-1.45%,688844
2015/4/14,189.94,191.97,189.29,190.89,190.89,0.99%,468224
2015/4/15,190.02,191.85,189.66,189.91,189.91,-0.51%,423471
2015/4/16,189.15,190.65,188.9,190.36,190.36,0.24%,344069
2015/4/17,188.05,189.05,182.46,186.74,186.74,-1.90%,1665065
2015/4/20,187.4,189.47,183.71,183.88,183.88,-1.53%,904936
2015/4/21,183.85,187.38,183.59,186.81,186.81,1.59%,809028
2015/4/22,187.18,187.18,184.58,184.885,184.885,-1.03%,537977
2015/4/23,184.78,188.83,182.65,183.58,183.58,-0.71%,2182924
2015/4/24,182.55,188.87,180.55,185.75,185.75,1.18%,4566111
2015/4/27,185.84,186.27,180.52,182.96,182.96,-1.50%,3185245
2015/4/28,183,184.325,179.77,182.3,182.3,-0.36%,3261208
2015/4/29,182.1,188.54,181.94,188.3,188.3,3.29%,1303861
2015/4/30,190.17,194,186.595,187.06,187.06,-0.66%,2080514
2015/5/1,182.36,188.5,181.2,187.435,187.435,0.20%,1660354
2015/5/4,188.2,191.9,187.3,187.49,187.49,0.03%,1390413
2015/5/5,187.61,189,185.37,185.7,185.7,-0.95%,553872
2015/5/6,185.99,186.25,183.09,183.91,183.91,-0.96%,668936
2015/5/7,184.41,184.61,182.62,182.96,182.96,-0.52%,657971
2015/5/8,186.26,186.26,180.06,180.67,180.67,-1.25%,1292554
2015/5/11,181.11,183.1,178.58,178.78,178.78,-1.05%,892896
2015/5/12,177.64,181.5,175.95,177.34,177.34,-0.81%,2065509
2015/5/13,177.83,179.8,177.06,177.41,177.41,0.04%,1159918
2015/5/14,178.05,179.12,176.55,176.79,176.79,-0.35%,1469174
2015/5/15,177.95,181.74,177.135,181.2,181.2,2.49%,1595175
2015/5/18,180.61,182.16,180.01,181.05,181.05,-0.08%,793018
2015/5/19,180.82,182.85,180.82,181.64,181.64,0.33%,1564756
2015/5/20,180.97,181,176.78,176.95,176.95,-2.58%,2803321
2015/5/21,178.2,179.44,176.74,178.65,178.65,0.96%,1903704
2015/5/22,178.84,181.62,174.58,175.33,175.33,-1.86%,2026047
2015/5/26,176.02,183.93,172.39,179.78,179.78,2.54%,16206178
2015/5/27,180.3,180.3,176.09,178.25,178.25,-0.85%,4492551
2015/5/28,177.84,178.37,172.17,176.36,176.36,-1.06%,2651224
2015/5/29,175.75,179.31,175.02,179.02,179.02,1.51%,4620099
2015/6/1,179.18,181.9,177.375,179.15,179.15,0.07%,2656006
2015/6/2,178.36,179.975,175.95,176.31,176.31,-1.59%,1766429
2015/6/3,177.02,178.09,170.69,171.24,171.24,-2.88%,2474295
2015/6/4,170.36,172.36,170,171.33,171.33,0.05%,1720138
2015/6/5,171.42,174.235,170.09,173.965,173.965,1.54%,1930686
2015/6/8,172.74,173.43,170.01,171.09,171.09,-1.65%,1538309
2015/6/9,171.5,173.71,168.84,173,173,1.12%,1946535
2015/6/10,173.83,174.05,171.69,172.39,172.39,-0.35%,1073876
2015/6/11,172.43,173.94,171.63,173.92,173.92,0.89%,1277117
2015/6/12,172.86,173.99,170.21,172.26,172.26,-0.95%,1724704
2015/6/15,171.69,172.06,170,171.19,171.19,-0.62%,1366001
2015/6/16,171.24,172.76,169.28,169.97,169.97,-0.71%,1563467
2015/6/17,170.54,171.23,169.51,170.01,170.01,0.02%,1515997
2015/6/18,170.44,171.697,169.17,170.46,170.46,0.26%,1312619
2015/6/19,170.96,171.35,169.44,169.67,169.67,-0.46%,1457579
2015/6/22,170.67,172.04,169.851,170.31,170.31,0.38%,1164361
2015/6/23,170.71,172.45,169.75,170.09,170.09,-0.13%,1037283
2015/6/24,170,170.33,168,168.48,168.48,-0.95%,933625
2015/6/25,169.09,170.07,166.75,167.84,167.84,-0.38%,1530855
2015/6/26,168.32,172.76,167.24,171.5,171.5,2.18%,2511958
2015/6/29,170.77,171.24,166.54,168.54,168.54,-1.73%,1541879
2015/6/30,169.38,171.32,168.27,171.25,171.25,1.61%,2072657
2015/7/1,172.97,173.82,168.73,173.59,173.59,1.37%,2022046
2015/7/2,174.35,174.99,171.46,171.8,171.8,-1.03%,1339101
2015/7/6,170.9,174.07,170.015,174.07,174.07,1.32%,1434163
2015/7/7,174.88,175.9,170.3,174.92,174.92,0.49%,1514796
2015/7/8,173.28,174.38,170.56,172.27,172.27,-1.51%,1120601
2015/7/9,173.93,175.37,171.55,172.65,172.65,0.22%,755477
2015/7/10,174.18,177.39,173.52,177.39,177.39,2.75%,1931905
2015/7/13,177.95,178.94,175.53,178.54,178.54,0.65%,939587
2015/7/14,179.18,179.79,176.52,177.08,177.08,-0.82%,1176050
2015/7/15,176.23,182.4,175.07,181,181,2.21%,2763436
2015/7/16,181.67,184.14,181.408,183.13,183.13,1.18%,2223168
2015/7/17,183.58,185.955,182.08,185.67,185.67,1.39%,1860794
2015/7/20,185.74,187.7,185.04,187.51,187.51,0.99%,1513987
2015/7/21,188.12,188.87,184.62,185.27,185.27,-1.19%,1212604
2015/7/22,184.75,186.66,184.75,186.06,186.06,0.43%,1022768
2015/7/23,186.72,186.841,182.8,183.76,183.76,-1.24%,1668728
2015/7/24,185.22,186.9,183.5,184.33,184.33,0.31%,2716593
2015/7/27,184,186.14,180.26,181.88,181.88,-1.33%,1248005
2015/7/28,182.25,184.905,182,184.67,184.67,1.53%,1295011
2015/7/29,184.2,187.01,181.62,184.35,184.35,-0.17%,2299124
2015/7/30,182.98,188.55,182.98,187.96,187.96,1.96%,1048903
2015/7/31,188.99,189.99,185.503,185.86,185.86,-1.12%,1318417
2015/8/3,186.94,189.62,185.93,187.31,187.31,0.78%,1762697
2015/8/4,183.2,192.27,183.2,191.5,191.5,2.24%,1924848
2015/8/5,195.03,195.46,183.46,188.55,188.55,-1.54%,2371230
2015/8/6,189.36,189.36,175.1,187.25,187.25,-0.69%,4315614
2015/8/7,182.48,187.915,179.55,183.85,183.85,-1.82%,1371114
2015/8/10,184.98,187.66,183.913,184.82,184.82,0.53%,1041732
2015/8/11,183.58,185,180.28,181.33,181.33,-1.89%,886130
2015/8/12,180.82,182.3,177.95,181.06,181.06,-0.15%,1164504
2015/8/13,180.06,182.14,179.14,180.64,180.64,-0.23%,963633
2015/8/14,180.19,180.97,178.35,179.82,179.82,-0.45%,902133
2015/8/17,182.83,187.66,179.61,186.98,186.98,3.98%,1400067
2015/8/18,185.49,189.24,185.49,188.81,188.81,0.98%,1275743
2015/8/19,191,192.37,187.01,188.2,188.2,-0.32%,1464074
2015/8/20,186.01,187.55,182.74,182.74,182.74,-2.90%,1689485
2015/8/21,179.96,181.54,175.87,177.53,177.53,-2.85%,1886488
2015/8/24,168.18,179.85,161.91,171.5,171.5,-3.40%,2898354
2015/8/25,174.5,177.29,171.29,171.29,171.29,-0.12%,2294239
2015/8/26,176.03,177.91,171.7,177.6,177.6,3.68%,1581414
2015/8/27,178.93,182.64,177.73,181.65,181.65,2.28%,1322883
2015/8/28,180.49,181.59,178.31,181.59,181.59,-0.03%,901158
2015/8/31,181.27,182.55,179.69,181.61,181.61,0.01%,1407854
2015/9/1,180.53,186.08,176.9,177.76,177.76,-2.12%,1708163
2015/9/2,179.01,180.65,177.11,179.68,179.68,1.08%,898302
2015/9/3,181,184.35,180.76,182.88,182.88,1.78%,1176796
2015/9/4,180.59,183.965,179.93,183.02,183.02,0.08%,745707
2015/9/8,185.62,186.82,183.1,186.31,186.31,1.80%,1167620
2015/9/9,188.99,188.99,184.83,185.05,185.05,-0.68%,982463
2015/9/10,184.56,186.41,182.69,184.29,184.29,-0.41%,1910633
2015/9/11,183.17,185.51,182,184.45,184.45,0.09%,1419964
2015/9/14,184.1,185.2,183.636,184.57,184.57,0.07%,934027
2015/9/15,184.11,188.52,183.01,188.51,188.51,2.13%,1263729
2015/9/16,189.23,189.38,185.45,187.86,187.86,-0.34%,1518367
2015/9/17,188.68,193.94,188.08,192.22,192.22,2.32%,2337586
2015/9/18,191.06,193.86,190.02,191.39,191.39,-0.43%,2395932
2015/9/21,191.95,195,191.7,194.5,194.5,1.62%,1271443
2015/9/22,192.65,194.28,191.56,193.42,193.42,-0.56%,1572843
2015/9/23,193.22,193.93,190.92,191.38,191.38,-1.05%,1010892
2015/9/24,190.33,192.7,184,184.93,184.93,-3.37%,2184464
2015/9/25,186.75,187.394,181.75,183.53,183.53,-0.76%,1453249
2015/9/28,182.89,184.824,171.41,172.1,172.1,-6.23%,2847050
2015/9/29,171.66,174.926,166.33,167.36,167.36,-2.75%,2535713
2015/9/30,169,176.25,169,175.85,175.85,5.07%,2204839
2015/10/1,176.74,182.53,175.3,181.77,181.77,3.37%,3062149
2015/10/2,180,183.91,176.18,183.14,183.14,0.75%,2464244
2015/10/5,183.86,189.16,183.15,187.52,187.52,2.39%,2031195
2015/10/6,187.4,188.3,184.54,185.52,185.52,-1.07%,1382942
2015/10/7,187.34,188.36,183.13,185,185,-0.28%,1481234
2015/10/8,184.49,187.8,184.22,187.76,187.76,1.49%,1201303
2015/10/9,186.85,189.17,184.86,186.63,186.63,-0.60%,1172581
2015/10/12,186.27,187.56,185.45,185.92,185.92,-0.38%,740718
2015/10/13,185.12,188.04,183.57,186.88,186.88,0.52%,905500
2015/10/14,187.36,188.76,182.4,182.75,182.75,-2.21%,1025469
2015/10/15,183.56,187.01,183.56,185.83,185.83,1.69%,1058344
2015/10/16,186.33,187.35,185.52,187.27,187.27,0.77%,1151441
2015/10/19,186.98,187.93,184.54,186.31,186.31,-0.51%,734699
2015/10/20,186.3,187.29,184.64,185.58,185.58,-0.39%,706361
