Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,54.35,54.4,53.89,54.03,40.98,-0.84%,363434
2015/3/25,53.96,53.96,53.08,53.09,40.267,-1.74%,741468
2015/3/26,52.82,53.19,52.67,52.975,40.18,-0.22%,488419
2015/3/27,52.85,53.027,52.68,52.925,40.142,-0.09%,328814
2015/3/30,53.02,53.83,52.84,53.63,40.677,1.33%,334271
2015/3/31,53.29,53.415,52.98,53.28,40.411,-0.65%,726472
2015/4/1,53.29,53.53,52.78,53.27,40.403,-0.02%,364011
2015/4/2,53.27,53.56,53.08,53.47,40.555,0.38%,274464
2015/4/6,52.96,54.15,52.68,53.96,40.927,0.92%,425351
2015/4/7,54.08,54.25,53.34,53.36,40.472,-1.11%,430041
2015/4/8,53.25,53.747,53.01,53.72,40.745,0.67%,550430
2015/4/9,53.63,53.81,53.08,53.49,40.57,-0.43%,345174
2015/4/10,53.56,53.68,53.385,53.52,40.593,0.06%,330081
2015/4/13,53.5,53.89,53.31,53.55,40.616,0.06%,289593
2015/4/14,53.44,53.945,53.322,53.82,40.821,0.50%,458252
2015/4/15,54,54.18,53.69,53.7,40.73,-0.22%,285826
2015/4/16,53.62,53.68,53.24,53.56,40.623,-0.26%,331078
2015/4/17,53.17,53.249,52.43,52.56,39.865,-1.87%,513851
2015/4/20,52.8,52.98,52.584,52.77,40.024,0.40%,454559
2015/4/21,52.79,52.94,52.14,52.19,39.584,-1.10%,399843
2015/4/22,52.31,52.31,51.68,52.16,39.562,-0.06%,371800
2015/4/23,51.94,52.48,51.921,52.3,39.668,0.27%,347734
2015/4/24,52.37,52.61,52.13,52.56,39.865,0.50%,411139
2015/4/27,52.78,52.78,52.15,52.26,39.637,-0.57%,461943
2015/4/28,52.11,52.74,51.96,52.7,39.971,0.84%,462893
2015/4/29,51.23,51.87,50.45,51.01,38.689,-3.21%,812720
2015/4/30,50.56,51.05,50.39,50.64,38.409,-0.73%,765403
2015/5/1,51.01,51.28,50.3,50.87,38.583,0.45%,637252
2015/5/4,50.84,51.34,50.75,51.29,38.902,0.83%,627449
2015/5/5,51.09,51.52,50.85,50.92,38.621,-0.72%,529205
2015/5/6,50.92,51.1,50.46,50.79,38.522,-0.26%,398227
2015/5/7,50.7,51.27,50.6,50.96,38.651,0.33%,406336
2015/5/8,51.35,51.66,51.19,51.475,39.042,1.01%,438674
2015/5/11,51.48,51.49,51.045,51.13,38.78,-0.67%,557729
2015/5/12,51.06,51.15,50.63,50.79,38.522,-0.66%,510835
2015/5/13,50.89,51.18,50.57,50.61,38.386,-0.35%,526193
2015/5/14,50.8,51.15,50.59,51.13,38.78,1.03%,326160
2015/5/15,51.14,51.28,50.72,50.87,38.583,-0.51%,492210
2015/5/18,50.87,51.29,50.7,51.23,38.856,0.71%,208836
2015/5/19,51.4,51.455,51.125,51.41,38.993,0.35%,384453
2015/5/20,51.47,51.49,51.2,51.36,38.955,-0.10%,308131
2015/5/21,51.25,51.44,51.17,51.24,38.864,-0.23%,305684
2015/5/22,51.37,51.43,50.92,50.94,38.636,-0.59%,257331
2015/5/26,50.8,50.94,50.45,50.49,38.295,-0.88%,387751
2015/5/27,50.62,51.04,50.51,50.97,38.659,0.95%,398957
2015/5/28,50.98,51.178,50.76,51.11,38.765,0.27%,320071
2015/5/29,51.06,51.11,50.58,50.58,38.363,-1.04%,382215
2015/6/1,50.72,51.42,50.32,50.49,38.295,-0.18%,388042
2015/6/2,50.31,50.78,50.25,50.675,38.435,0.37%,677819
2015/6/3,50.84,51.28,50.63,51.17,38.811,0.98%,479477
2015/6/4,50.99,51.05,50.52,50.56,38.348,-1.19%,428846
2015/6/5,50.66,51,50.44,50.53,38.325,-0.06%,389003
2015/6/8,50.39,50.59,50.11,50.12,38.014,-0.81%,406175
2015/6/9,50,50.46,49.9,50.175,38.056,0.11%,421821
2015/6/10,50.41,51.26,50.29,51.18,38.818,2.00%,410593
2015/6/11,51.23,51.68,51.1,51.65,39.175,0.92%,547664
2015/6/12,51.6,51.6,51.13,51.22,38.849,-0.83%,435910
2015/6/15,50.33,50.7,50.17,50.36,38.545,-1.68%,595885
2015/6/16,50.18,50.92,50.18,50.86,38.928,0.99%,554345
2015/6/17,51.03,51.13,50.68,50.91,38.966,0.10%,636037
2015/6/18,51.21,51.775,51.12,51.65,39.533,1.45%,806282
2015/6/19,51.61,51.69,51.17,51.17,39.165,-0.93%,1101290
2015/6/22,51.43,51.7,51.32,51.39,39.334,0.43%,519621
2015/6/23,51.39,51.57,51.28,51.56,39.464,0.33%,348007
2015/6/24,51.44,51.495,50.95,50.96,39.004,-1.16%,486450
2015/6/25,51.16,51.18,50.47,50.47,38.629,-0.96%,437356
2015/6/26,50.55,51.05,50.43,50.91,38.966,0.87%,551148
2015/6/29,50.31,50.59,49.74,49.75,38.078,-2.28%,718411
2015/6/30,50.02,50.46,49.87,50.18,38.407,0.86%,733549
2015/7/1,51.18,52.57,50.73,52.54,40.214,4.70%,1493466
2015/7/2,52.7,52.84,52.21,52.4,40.107,-0.27%,577696
2015/7/6,52.02,52.521,51.84,52.34,40.061,-0.11%,470011
2015/7/7,52.23,52.82,51.91,52.81,40.42,0.90%,566732
2015/7/8,52.49,52.99,52.4,52.665,40.309,-0.27%,889118
2015/7/9,53.27,53.27,52.7,52.97,40.543,0.58%,606395
