Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,29.315,29.38,28.67,28.785,23.096,-2.62%,39785658
2015/3/25,28.535,28.84,28.225,28.263,22.677,-1.81%,37372068
2015/3/26,28.025,28.23,27.835,27.955,22.43,-1.09%,35943644
2015/3/27,27.915,28.26,27.895,27.97,22.442,0.05%,29730048
2015/3/30,28.005,28.49,28.005,28.305,22.811,1.20%,26911354
2015/3/31,28.105,28.46,27.89,28.235,22.755,-0.25%,35082598
2015/4/1,28.395,28.538,28.025,28.53,22.993,1.04%,31569046
2015/4/2,28.545,29.09,28.3,28.97,23.347,1.54%,41127618
2015/4/6,28.82,29.32,28.75,29.105,23.456,0.47%,21333018
2015/4/7,29.085,29.34,28.91,29.158,23.498,0.18%,24779524
2015/4/8,29.28,29.595,29.115,29.59,23.847,1.48%,29113312
2015/4/9,29.595,29.84,29.53,29.795,24.012,0.69%,23399134
2015/4/10,29.9,30.085,29.73,29.905,24.101,0.37%,31807792
2015/4/13,29.85,29.9,29.365,29.39,23.686,-1.72%,23886440
2015/4/14,29.35,29.665,29.285,29.488,23.764,0.33%,19909414
2015/4/15,29.66,30.145,29.55,29.955,24.141,1.58%,28421298
2015/4/16,29.86,30.025,29.785,29.835,24.044,-0.40%,22000624
2015/4/17,29.55,29.64,28.575,29.21,23.541,-2.09%,84976818
2015/4/20,29.3,29.47,29.05,29.235,23.561,0.09%,38858976
2015/4/21,29.4,29.785,29.168,29.42,23.71,0.63%,37674356
2015/4/22,29.48,29.48,29.225,29.38,23.678,-0.14%,25151212
2015/4/23,29.295,30.425,29.235,29.615,23.867,0.80%,123828356
2015/4/24,29.94,30,29.435,29.82,24.032,0.69%,88707788
2015/4/27,29.93,30.16,29.35,29.44,23.726,-1.27%,52687986
2015/4/28,29.495,29.535,29.195,29.5,23.774,0.20%,33547804
2015/4/29,29.385,29.51,29.11,29.17,23.509,-1.12%,29353776
2015/4/30,29.18,29.475,28.655,28.88,23.275,-0.99%,46140170
2015/5/1,28.9,29.245,28.66,29.205,23.537,1.13%,31156430
2015/5/4,30.025,30.05,29.315,29.39,23.686,0.63%,42780998
2015/5/5,29.405,29.52,28.955,28.99,23.363,-1.36%,32248062
2015/5/6,29.045,29.15,28.66,28.83,23.234,-0.55%,33526410
2015/5/7,28.75,29.115,28.675,28.96,23.339,0.45%,26825360
2015/5/8,29.25,29.373,29.075,29.205,23.537,0.85%,29829080
2015/5/11,29.315,29.395,28.87,28.883,23.277,-1.10%,24247402
2015/5/12,28.745,28.855,28.61,28.663,23.099,-0.76%,25537914
2015/5/13,28.725,28.795,28.1,28.14,22.678,-1.82%,51302558
2015/5/14,28.355,28.52,28.14,28.27,22.783,0.46%,27972032
2015/5/15,28.385,28.441,28.155,28.32,22.823,0.18%,34599924
2015/5/18,28.345,28.59,28.325,28.485,22.956,0.58%,27916744
2015/5/19,28.505,28.71,28.44,28.615,23.061,0.46%,24279886
2015/5/20,28.845,29.075,28.65,28.785,23.198,0.59%,30610046
2015/5/21,28.78,29.1,28.72,28.77,23.186,-0.05%,37799248
2015/5/22,28.77,29.06,28.707,28.935,23.319,0.57%,24085544
2015/5/26,28.96,29.61,28.92,29.295,23.609,1.24%,52479936
