Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,98.46,98.965,97.3,97.34,65.097,-1.43%,2153279
2015/3/25,97.26,97.26,94.19,94.27,63.044,-3.15%,2593171
2015/3/26,94.9,95.4,94.46,94.79,63.392,0.55%,2719694
2015/3/27,94.39,94.83,93.68,94.66,63.305,-0.14%,1229110
2015/3/30,95.45,96.04,94.96,95.29,63.726,0.67%,1305515
2015/3/31,94.65,95.24,94.48,94.71,63.338,-0.61%,1354180
2015/4/1,94.48,94.98,94.001,94.5,63.198,-0.22%,1093728
2015/4/2,94.68,94.86,92.88,92.91,62.134,-1.68%,2052271
2015/4/6,92.5,93.16,91.4,92.095,61.589,-0.88%,3734135
2015/4/7,92.37,92.798,90.56,90.575,60.573,-1.65%,3289960
2015/4/8,90.93,91.54,90.25,90.36,60.429,-0.24%,1862317
2015/4/9,90.25,90.98,89.94,90.85,60.757,0.54%,1791145
2015/4/10,90.68,92.43,90.57,92.27,61.706,1.56%,1710306
2015/4/13,92.34,92.69,91.97,92.025,61.543,-0.27%,957736
2015/4/14,91.82,92.5,90.98,91.2,60.991,-0.90%,1079629
2015/4/15,91.34,91.61,90.8,91.15,60.957,-0.05%,1262047
2015/4/16,90.99,91.83,90.71,91.52,61.205,0.41%,965491
2015/4/17,90.86,91.18,89.61,89.91,60.128,-1.76%,2308166
2015/4/20,90.54,91.19,90.205,90.79,60.717,0.98%,1084199
2015/4/21,90.94,91.42,90.17,90.24,60.349,-0.61%,981511
2015/4/22,90.31,91.17,89.5,90.67,60.636,0.48%,1137832
2015/4/23,90.53,90.88,89.71,90.31,60.396,-0.40%,903472
2015/4/24,90.26,90.56,89.265,89.89,60.115,-0.47%,998149
2015/4/27,89.88,90.38,88.72,88.86,59.426,-1.15%,1300126
2015/4/28,88.49,89.54,88.22,89.51,59.861,0.73%,1553294
2015/4/29,88.86,90.06,88.775,89.2,59.653,-0.35%,1457831
2015/4/30,89.49,91.86,88.75,90.91,60.797,1.92%,3311655
2015/5/1,91.64,91.82,90.67,90.78,60.71,-0.14%,1437275
2015/5/4,90.78,90.96,89.94,90.82,60.737,0.04%,921720
2015/5/5,90.41,91.09,90.05,90.91,60.797,0.10%,1762638
2015/5/6,90.91,91.37,89.76,90.3,60.389,-0.67%,1487302
2015/5/7,90.37,92.8,90.35,92.4,61.793,2.33%,2353926
2015/5/8,93.72,94.71,92.87,94.37,63.111,2.13%,1775793
2015/5/11,94.5,95.9,94.39,95.4,63.8,1.09%,1629679
2015/5/12,94.62,95.53,94.42,95.05,63.566,-0.37%,1278513
2015/5/13,95.13,95.24,94.35,95.14,63.626,0.09%,1023417
2015/5/14,95.75,96.23,94.97,96.09,64.261,1.00%,1026292
2015/5/15,96.02,96.49,94.42,94.99,63.525,-1.14%,1133450
2015/5/18,95.09,95.94,94.87,94.92,63.479,-0.07%,1196770
2015/5/19,95.11,95.42,94.71,95.01,63.539,0.09%,974331
2015/5/20,95.19,95.24,93.93,93.94,62.823,-1.13%,898630
2015/5/21,93.82,93.9,92.87,93.4,62.462,-0.57%,1453975
2015/5/22,93.4,94.46,93.1,93.98,62.85,0.62%,1050540
2015/5/26,94.05,94.3,93.43,93.46,62.502,-0.55%,1175086
2015/5/27,93.55,94.14,92.77,93.88,62.783,0.45%,762898
2015/5/28,93.7,94.06,93.32,94.03,62.883,0.16%,739306
2015/5/29,94.03,94.29,93.07,94.2,62.997,0.18%,1583900
2015/6/1,94.48,94.71,93.69,94.13,62.95,-0.07%,1327597
2015/6/2,93.59,94.44,93.5,94.3,63.064,0.18%,1558237
2015/6/3,94.25,95.231,94.01,94.52,63.211,0.23%,1621889
2015/6/4,94.17,94.95,93.88,94.24,63.024,-0.30%,1420113
2015/6/5,95,96.47,94.75,95.95,64.167,1.81%,2380560
2015/6/8,95.64,96.16,95.12,95.17,63.98,-0.81%,1250063
2015/6/9,95.2,96.43,94.61,96.3,64.74,1.19%,2050303
2015/6/10,96.63,98.66,96.1,98.585,66.276,2.37%,2588135
2015/6/11,98.7,99.22,98.28,98.87,66.468,0.29%,1560085
2015/6/12,98.87,99.11,96.63,96.93,65.163,-1.96%,1392894
2015/6/15,96.06,96.68,95.37,96.24,64.7,-0.71%,1102784
2015/6/16,95.95,96.85,95.945,96.53,64.894,0.30%,1320479
2015/6/17,96.82,97.405,96.3,96.45,64.841,-0.08%,1415871
2015/6/18,96.9,97.05,95.81,96.01,64.545,-0.46%,1535342
2015/6/19,95.73,96.26,93.9,93.99,63.187,-2.10%,2845495
2015/6/22,94.81,95.2,94.48,94.67,63.644,0.72%,904824
2015/6/23,94.66,95.33,94.55,94.79,63.725,0.13%,837711
2015/6/24,94.79,94.84,93.61,93.66,62.965,-1.19%,1255941
2015/6/25,93.57,94.65,93.37,94,63.194,0.36%,1264951
2015/6/26,94.29,94.35,93.63,93.83,63.079,-0.18%,1162772
2015/6/29,92.75,93.53,92.31,92.31,62.057,-1.62%,1375577
2015/6/30,93.12,93.605,92.67,93.06,62.562,0.81%,1729844
2015/7/1,93.83,94.2,93.35,93.71,62.999,0.70%,1045647
2015/7/2,94.19,94.47,93.78,94.27,63.375,0.60%,1356935
2015/7/6,93.8,94.85,93.11,94.58,63.584,0.33%,1103690
2015/7/7,94.57,95.25,93.49,95.24,64.027,0.70%,1512565
2015/7/8,94.55,95.18,94.02,95.01,63.873,-0.24%,1801148
2015/7/9,96.24,97.57,95.81,96.97,65.19,2.06%,1537468
2015/7/10,98.36,99.21,98.05,98.51,66.226,1.59%,1797983
2015/7/13,99.35,99.75,98.02,98.09,65.943,-0.43%,1210065
2015/7/14,98.26,98.38,97.14,97.22,65.358,-0.89%,1559561
2015/7/15,97.61,98.01,96.86,97.81,65.755,0.61%,1245557
2015/7/16,98.1,99.21,97.87,99.17,66.669,1.39%,1786293
2015/7/17,98.09,99.9,98,99.73,67.046,0.56%,1222178
2015/7/20,98.27,100.32,98.02,99.84,67.12,0.11%,1036832
2015/7/21,100.03,100.87,98.55,98.7,66.353,-1.14%,1468446
2015/7/22,99.42,99.5,98.12,98.94,66.515,0.24%,1008359
2015/7/23,98.48,98.61,96.1,96.62,64.955,-2.34%,1764924
2015/7/24,96.39,97.57,96.2,96.66,64.982,0.04%,881108
2015/7/27,96.04,96.49,95.2,95.55,64.236,-1.15%,755918
2015/7/28,96.3,96.59,95.4,96.16,64.646,0.64%,1194833
2015/7/29,95.94,97.18,95.56,97.01,65.217,0.88%,1391251
2015/7/30,96.86,97.92,96.39,97.01,65.217,0.00%,1343671
2015/7/31,96.97,97.045,95.73,96.04,64.565,-1.00%,1522203
2015/8/3,96.37,97.106,96.09,96.97,65.19,0.97%,1193987
2015/8/4,96.86,97.21,96.15,96.69,65.002,-0.29%,1032094
2015/8/5,97.65,98.08,96.9,97.89,65.809,1.24%,1748865
2015/8/6,98.27,98.27,96.51,97.09,65.271,-0.82%,1105791
2015/8/7,96.97,97.41,96.41,97.24,65.372,0.15%,832758
2015/8/10,98.13,98.39,97.625,98,65.883,0.78%,918688
2015/8/11,97.6,97.95,96.8,97.25,65.378,-0.77%,1293951
2015/8/12,96.74,97.15,95.01,97.02,65.224,-0.24%,1399304
2015/8/13,96.94,98.04,96.18,97.72,65.694,0.72%,1472013
2015/8/14,97.88,98.26,97.445,98.16,65.99,0.45%,1123635
2015/8/17,97.65,98.37,97.22,98.25,66.051,0.09%,1015862
2015/8/18,98.27,98.661,98.02,98.29,66.078,0.04%,1098481
2015/8/19,98.04,98.25,96.5,97.23,65.365,-1.08%,1700184
2015/8/20,96.26,97.04,95.42,96.06,64.578,-1.20%,1897990
2015/8/21,95.43,95.63,91.6,91.64,61.607,-4.60%,3452728
2015/8/24,88.46,91.6,84.33,88.74,59.657,-3.16%,3557247
2015/8/25,90.72,91.69,89.06,89.1,59.899,0.41%,2799601
2015/8/26,91.17,92.23,89.23,91.74,61.674,2.96%,1756991
2015/8/27,92.59,93.77,91.97,93.77,63.039,2.21%,1648704
2015/8/28,93.56,94.95,93.03,94.62,63.61,0.91%,1392745
2015/8/31,94.49,95,93.114,94.44,63.489,-0.19%,2318339
2015/9/1,92.35,92.63,90.68,91.12,61.257,-3.52%,1689882
2015/9/2,92.19,92.73,91.67,92.56,62.226,1.58%,1187931
