Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,13.73,13.794,13.608,13.616,13.616,-0.95%,16598200
2015/3/25,13.6,13.663,13.315,13.319,13.319,-2.18%,18540700
2015/3/26,13.245,13.297,13.161,13.176,13.176,-1.07%,18521950
2015/3/27,13.21,13.373,13.16,13.254,13.254,0.59%,14327750
2015/3/30,13.361,13.38,13.03,13.107,13.107,-1.11%,20990500
2015/3/31,13.076,13.185,13.011,13.011,13.011,-0.73%,16605350
2015/4/1,13,13.06,12.881,13.051,13.051,0.31%,20248800
2015/4/2,13.06,13.121,12.978,13.048,13.048,-0.02%,15402350
2015/4/6,12.97,13.266,12.96,13.2,13.2,1.16%,14212150
2015/4/7,13.188,13.286,13.095,13.169,13.169,-0.23%,16187700
2015/4/8,13.169,13.254,13.05,13.091,13.091,-0.59%,27484850
2015/4/9,13.076,13.09,12.971,13.034,13.034,-0.44%,18762300
2015/4/10,13.322,13.7,13.3,13.66,13.66,4.80%,59710800
2015/4/13,13.614,13.755,13.54,13.675,13.675,0.11%,25720150
2015/4/14,13.623,13.744,13.523,13.557,13.557,-0.86%,21906300
2015/4/15,13.665,13.755,13.512,13.552,13.552,-0.04%,18184750
2015/4/16,13.56,13.68,13.542,13.631,13.631,0.58%,17034400
2015/4/17,13.576,13.705,13.461,13.679,13.679,0.35%,25979850
2015/4/20,13.735,13.771,13.653,13.739,13.739,0.44%,21787950
2015/4/21,13.828,13.981,13.78,13.85,13.85,0.81%,94165250
2015/4/22,13.103,13.14,12.705,12.825,12.825,-7.40%,188712250
2015/4/23,12.84,12.87,12.705,12.712,12.712,-0.88%,54681300
2015/4/24,12.772,12.795,12.683,12.75,12.75,0.30%,39682750
2015/4/27,12.803,12.924,12.722,12.875,12.875,0.98%,37990350
2015/4/28,12.875,12.939,12.729,12.792,12.792,-0.64%,31732600
2015/4/29,12.754,12.774,12.535,12.601,12.601,-1.49%,39433850
2015/4/30,12.64,12.7,12.394,12.427,12.427,-1.38%,28170050
2015/5/1,12.579,12.68,12.538,12.68,12.68,2.04%,26183500
2015/5/4,12.734,12.839,12.667,12.671,12.671,-0.07%,15931000
2015/5/5,12.637,12.699,12.504,12.513,12.513,-1.25%,21048150
2015/5/6,12.507,12.556,12.369,12.545,12.545,0.26%,25933850
2015/5/7,12.54,12.668,12.508,12.576,12.576,0.25%,15940750
2015/5/8,12.72,12.754,12.641,12.676,12.676,0.80%,22119550
2015/5/11,12.607,12.75,12.566,12.713,12.713,0.29%,20829100
2015/5/12,12.61,12.753,12.547,12.711,12.711,-0.02%,14528650
2015/5/13,12.72,12.79,12.681,12.706,12.706,-0.04%,16314250
2015/5/14,12.721,12.772,12.617,12.691,12.691,-0.12%,18040600
2015/5/15,12.695,12.729,12.581,12.647,12.647,-0.35%,21897150
2015/5/18,12.651,12.734,12.621,12.722,12.722,0.59%,20198650
2015/5/19,12.749,12.798,12.63,12.735,12.735,0.10%,19003450
2015/5/20,12.659,12.718,12.54,12.565,12.565,-1.33%,26001750
2015/5/21,12.567,12.675,12.501,12.667,12.667,0.81%,21938050
2015/5/22,12.7,12.7,12.516,12.529,12.529,-1.09%,27536250
2015/5/26,12.493,12.528,12.374,12.443,12.443,-0.69%,23873750
2015/5/27,12.463,12.49,12.245,12.25,12.25,-1.55%,37232650
2015/5/28,12.35,12.72,12.337,12.588,12.588,2.76%,44696750
2015/5/29,12.56,12.568,12.272,12.31,12.31,-2.21%,39447300
2015/6/1,12.3,12.38,12.252,12.298,12.298,-0.10%,19810900
2015/6/2,12.262,12.335,12.2,12.211,12.211,-0.71%,18554000
2015/6/3,12.18,12.265,12.16,12.218,12.218,0.06%,19766650
2015/6/4,12.122,12.279,12.06,12.231,12.231,0.11%,25425850
2015/6/5,12.163,12.298,12.031,12.276,12.276,0.37%,39650550
2015/6/8,12.239,12.258,12.155,12.162,12.162,-0.93%,21849450
2015/6/9,12.139,12.174,12.103,12.116,12.116,-0.38%,16983100
2015/6/10,12.113,12.19,12.113,12.173,12.173,0.47%,11238250
2015/6/11,12.18,12.26,12.111,12.117,12.117,-0.46%,12122700
2015/6/12,12.1,12.248,12.08,12.195,12.195,0.64%,21586350
2015/6/15,12.15,12.17,12.055,12.083,12.083,-0.92%,22106100
2015/6/16,12.048,12.098,11.961,12.012,12.012,-0.59%,19247600
2015/6/17,12.01,12.139,12.01,12.137,12.137,1.04%,22772850
2015/6/18,12.157,12.212,12.109,12.124,12.124,-0.11%,19289150
2015/6/19,12.105,12.314,12.085,12.306,12.306,1.50%,34908550
2015/6/22,12.35,12.464,12.337,12.385,12.385,0.64%,25373500
2015/6/23,12.417,12.453,12.283,12.308,12.308,-0.62%,19746800
2015/6/24,12.3,12.314,12.206,12.211,12.211,-0.79%,15258050
2015/6/25,12.278,12.297,12.145,12.148,12.148,-0.52%,12436800
2015/6/26,12.16,12.257,12.108,12.189,12.189,0.34%,12975750
2015/6/29,12.084,12.14,11.99,12.001,12.001,-1.54%,18641200
2015/6/30,12.06,12.168,11.986,12.1,12.1,0.82%,18803100
2015/7/1,12.126,12.232,12.071,12.131,12.131,0.26%,11881850
2015/7/2,12.182,12.201,12.091,12.191,12.191,0.49%,17009500
2015/7/6,11.997,12.197,11.947,12.143,12.143,-0.39%,26786450
2015/7/7,12.122,12.457,12.113,12.411,12.411,2.21%,29652450
2015/7/8,12.388,12.491,12.233,12.257,12.257,-1.24%,26119200
2015/7/9,12.45,12.62,12.35,12.543,12.543,2.33%,41060200
2015/7/10,12.602,12.806,12.559,12.788,12.788,1.95%,39244250
2015/7/13,12.922,13.167,12.869,13.16,13.16,2.91%,36276550
2015/7/14,13.16,13.218,13.084,13.109,13.109,-0.39%,29883300
2015/7/15,13.148,13.262,13.066,13.224,13.224,0.88%,28463750
2015/7/16,13.23,13.272,13.095,13.169,13.169,-0.42%,38881400
2015/7/17,13.166,13.285,13.141,13.239,13.239,0.53%,28054450
2015/7/20,13.314,13.631,13.3,13.56,13.56,2.42%,48631600
2015/7/21,13.56,13.587,13.401,13.461,13.461,-0.73%,83319100
2015/7/22,13.9,14.593,13.888,14.516,14.516,7.84%,151674900
2015/7/23,14.47,14.69,14.432,14.519,14.519,0.02%,52947850
2015/7/24,14.5,14.582,14.486,14.576,14.576,0.39%,29539900
2015/7/27,14.52,14.676,14.483,14.629,14.629,0.36%,35636800
2015/7/28,14.703,14.749,14.53,14.616,14.616,-0.09%,21697300
2015/7/29,14.64,14.79,14.623,14.768,14.768,1.04%,29771200
2015/7/30,14.74,14.9,14.67,14.883,14.883,0.78%,22084750
2015/7/31,14.915,14.928,14.803,14.845,14.845,-0.26%,19332350
2015/8/3,14.869,14.892,14.703,14.861,14.861,0.11%,22686500
2015/8/4,14.84,14.995,14.811,14.962,14.962,0.68%,19976550
2015/8/5,14.988,15.172,14.968,15.155,15.155,1.29%,26618800
2015/8/6,15.17,15.17,14.92,14.992,14.992,-1.08%,20281300
2015/8/7,15.039,15.039,14.84,14.982,14.982,-0.07%,19307500
2015/8/10,15.113,15.113,14.874,14.885,14.885,-0.65%,21722200
2015/8/11,14.852,14.998,14.754,14.913,14.913,0.19%,23056100
2015/8/12,14.823,14.959,14.679,14.92,14.92,0.05%,22392800
2015/8/13,14.962,15,14.864,14.872,14.872,-0.32%,11164350
2015/8/14,14.919,14.974,14.822,14.967,14.967,0.64%,12099650
2015/8/17,14.884,15.095,14.884,15.081,15.081,0.76%,13614400
2015/8/18,15.081,15.165,14.902,14.918,14.918,-1.08%,20518150
2015/8/19,14.844,15.011,14.83,14.906,14.906,-0.08%,14041500
2015/8/20,14.826,14.895,14.684,14.703,14.703,-1.36%,22506700
2015/8/21,14.59,14.628,14.37,14.4,14.4,-2.06%,35323050
2015/8/24,13.9,14.469,13.7,14.085,14.085,-2.19%,42135700
2015/8/25,14.445,14.459,13.908,13.908,13.908,-1.26%,34819400
2015/8/26,14.063,14.165,13.837,14.153,14.153,1.76%,36607400
2015/8/27,14.28,14.6,14.205,14.543,14.543,2.76%,29192250
2015/8/28,14.5,14.563,14.342,14.424,14.424,-0.82%,11778950
2015/8/31,14.396,14.442,14.15,14.2,14.2,-1.55%,23229750
2015/9/1,13.955,14.284,13.922,14.134,14.134,-0.46%,20471100
2015/9/2,14.274,14.48,14.212,14.477,14.477,2.43%,18713850
2015/9/3,14.45,14.589,14.438,14.5,14.5,0.16%,14906900
