Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,35.58,35.8,34.98,35.03,25.808,-1.90%,4242442
2015/3/25,35.1,35.38,34.44,34.49,25.41,-1.54%,3564228
2015/3/26,34.37,34.65,34,34.11,25.13,-1.10%,3652794
2015/3/27,34.15,34.46,33.93,34.28,25.256,0.50%,2616184
2015/3/30,34.4,34.74,34.23,34.64,25.521,1.05%,4168988
2015/3/31,34.6,34.93,34.41,34.91,25.72,0.78%,3519193
2015/4/1,34.86,35.25,34.31,35.2,25.933,0.83%,3388398
2015/4/2,35.21,35.37,35.09,35.29,26,0.26%,2373213
2015/4/6,35.37,35.83,35.32,35.57,26.206,0.79%,1558706
2015/4/7,35.55,35.55,34.89,34.89,25.705,-1.91%,2752046
2015/4/8,34.92,34.966,34.65,34.86,25.683,-0.09%,2115866
2015/4/9,34.79,34.84,34.28,34.45,25.381,-1.18%,2642617
2015/4/10,34.57,34.94,34.505,34.84,25.668,1.13%,1866509
2015/4/13,34.77,34.98,34.63,34.64,25.521,-0.57%,1534690
2015/4/14,34.67,34.95,34.62,34.79,25.631,0.43%,1509250
2015/4/15,34.88,35.23,34.76,34.78,25.624,-0.03%,1785298
2015/4/16,34.67,34.76,34.125,34.52,25.432,-0.75%,2837511
2015/4/17,34.36,34.71,34.32,34.5,25.418,-0.06%,2485134
2015/4/20,34.56,35.43,34.51,35.05,25.823,1.59%,2816175
2015/4/21,35.07,35.47,34.76,34.92,25.727,-0.37%,2813219
2015/4/22,35.03,35.2,34.72,35.07,25.838,0.43%,4827665
2015/4/23,34.9,35.42,34.82,35.01,25.793,-0.17%,3716479
2015/4/24,34.75,35.4,34.75,35.16,25.904,0.43%,2824754
2015/4/27,35.33,35.34,34.65,34.87,25.69,-0.82%,2734015
2015/4/28,34.76,35.115,34.58,35,25.786,0.37%,2432690
2015/4/29,34.75,34.93,34.41,34.78,25.624,-0.63%,2457419
2015/4/30,34.7,34.73,33.62,33.93,24.998,-2.44%,5143293
2015/5/1,34.06,34.35,33.75,34.25,25.233,0.94%,2800787
2015/5/4,34.23,34.605,34.12,34.36,25.314,0.32%,2815300
2015/5/5,34.2,34.37,33.57,33.6,24.755,-2.21%,3747085
2015/5/6,33.41,33.53,32.87,33.16,24.644,-1.31%,3436020
2015/5/7,33.25,33.48,33.1,33.17,24.651,0.03%,5018990
2015/5/8,33.47,34.02,33.47,33.66,25.016,1.48%,4647331
2015/5/11,33.79,34.125,33.41,33.46,24.867,-0.59%,3137001
2015/5/12,33.2,33.4,32.99,33.21,24.681,-0.75%,2556153
2015/5/13,33.27,33.47,32.63,32.76,24.347,-1.36%,2945347
2015/5/14,32.9,33.46,32.9,33.35,24.785,1.80%,2906373
2015/5/15,33.35,33.84,33.25,33.78,25.105,1.29%,4361378
2015/5/18,33.63,34.21,33.63,33.98,25.253,0.59%,2294035
2015/5/19,33.82,34.29,33.75,34.15,25.38,0.50%,2292193
2015/5/20,34.2,34.41,34.09,34.14,25.372,-0.03%,2095721
2015/5/21,34.13,34.24,33.82,34.21,25.424,0.21%,2265401
2015/5/22,34.16,34.37,33.89,34.18,25.402,-0.09%,2176129
2015/5/26,34.18,34.19,33.76,33.91,25.201,-0.79%,3359746
2015/5/27,34.07,34.12,33.92,34.01,25.276,0.29%,2008587
2015/5/28,34.05,34.17,33.91,34.12,25.357,0.32%,1483287
2015/5/29,34.05,34.33,33.93,34.14,25.372,0.06%,2941460
2015/6/1,34.12,34.27,34.03,34.11,25.35,-0.09%,2029630
2015/6/2,33.92,33.92,33.15,33.32,24.763,-2.32%,3969804
2015/6/3,33.3,33.39,32.43,32.65,24.265,-2.01%,4036242
2015/6/4,32.56,32.97,32.46,32.49,24.146,-0.49%,3286716
2015/6/5,32.12,32.12,31.44,31.78,23.618,-2.19%,5980240
2015/6/8,31.75,31.85,31.46,31.7,23.559,-0.25%,3436452
2015/6/9,31.74,31.87,31.685,31.79,23.626,0.28%,2455752
2015/6/10,31.87,32.21,31.76,32.12,23.871,1.04%,3573837
2015/6/11,32.33,32.65,32.23,32.6,24.228,1.49%,4895633
2015/6/12,32.4,32.52,32.26,32.29,23.997,-0.95%,3924190
2015/6/15,32.25,32.38,31.88,31.93,23.73,-1.11%,4299466
2015/6/16,31.87,32.05,31.77,31.96,23.752,0.09%,2566784
2015/6/17,31.95,32.41,31.95,32.35,24.042,1.22%,3195803
2015/6/18,32.4,32.88,32.4,32.8,24.376,1.39%,2733901
2015/6/19,32.8,32.9,32.49,32.5,24.154,-0.91%,2078943
2015/6/22,32.22,32.69,32.22,32.44,24.109,-0.18%,1261937
2015/6/23,32.35,32.42,31.92,31.97,23.76,-1.45%,1466046
2015/6/24,32.01,32.12,31.62,31.63,23.507,-1.06%,2089581
2015/6/25,31.69,31.8,31.355,31.39,23.329,-0.76%,3113489
2015/6/26,31.37,31.82,31.22,31.81,23.641,1.34%,4566553
2015/6/29,31.78,32.105,31.58,31.59,23.477,-0.69%,3113140
2015/6/30,31.75,31.9,31.54,31.84,23.663,0.79%,4613087
2015/7/1,31.93,32.2,31.73,32.19,23.923,1.10%,3329596
2015/7/2,32.5,32.77,32.49,32.75,24.339,1.74%,3702243
2015/7/6,32.71,32.99,32.55,32.92,24.466,0.52%,4283918
2015/7/7,33.02,34.08,32.95,33.98,25.253,3.22%,5165622
2015/7/8,33.85,34.16,33.71,33.76,25.09,-0.65%,3457501
2015/7/9,33.85,34.04,33.395,33.51,24.904,-0.74%,3543802
2015/7/10,33.41,33.96,33.41,33.72,25.06,0.63%,2206181
2015/7/13,33.86,33.99,33.555,33.82,25.135,0.30%,2355745
2015/7/14,33.88,34.04,33.66,33.76,25.09,-0.18%,2826822
2015/7/15,33.75,33.86,33.46,33.84,25.149,0.24%,1708550
2015/7/16,33.85,34.37,33.83,34.33,25.514,1.45%,1727504
2015/7/17,34.19,34.34,33.61,33.65,25.008,-1.98%,3383895
2015/7/20,33.6,33.61,33.25,33.36,24.793,-0.86%,3812402
2015/7/21,33.32,33.37,32.79,33.06,24.57,-0.90%,3664290
2015/7/22,33.06,33.32,32.941,33.11,24.607,0.15%,2268009
2015/7/23,32.99,33.07,32.4,32.7,24.302,-1.24%,3168489
2015/7/24,32.71,33.19,32.63,32.97,24.503,0.83%,2693364
2015/7/27,33.04,33.5,32.995,33.28,24.733,0.94%,2673634
2015/7/28,33.68,33.68,33.13,33.53,24.919,0.75%,2673824
2015/7/29,33.4,33.67,33.18,33.66,25.016,0.39%,2664584
2015/7/30,33.55,34.08,33.45,33.92,25.209,0.77%,2123081
2015/7/31,34.27,34.61,34.22,34.26,25.462,1.00%,2393130
2015/8/3,34.34,34.61,34.14,34.34,25.521,0.23%,2244846
2015/8/4,34.25,34.285,33.9,33.93,25.216,-1.19%,1809741
2015/8/5,33.89,33.97,33.56,33.71,25.268,-0.65%,1887692
2015/8/6,33.68,34.02,33.51,33.99,25.478,0.83%,2242642
2015/8/7,33.91,34.5,33.74,34.21,25.643,0.65%,2879658
2015/8/10,34.17,34.43,34.15,34.23,25.658,0.06%,2015502
2015/8/11,34.14,34.84,34.054,34.71,26.018,1.40%,2479968
2015/8/12,34.57,35.24,34.43,35.17,26.363,1.33%,2382462
2015/8/13,35.02,35.33,34.7,35.19,26.378,0.06%,1500278
2015/8/14,35.16,35.31,34.92,35.3,26.46,0.31%,1977064
2015/8/17,35.37,35.84,35.18,35.58,26.67,0.79%,2270077
2015/8/18,35.49,35.76,35.45,35.73,26.782,0.42%,3401244
2015/8/19,35.57,35.97,35.358,35.82,26.85,0.25%,2427538
2015/8/20,35.57,35.95,35.37,35.65,26.722,-0.47%,2576681
2015/8/21,35.44,35.8,35.31,35.56,26.655,-0.25%,5222552
2015/8/24,34.79,34.96,34,34.17,25.613,-3.91%,6894009
2015/8/25,34.58,34.77,32.7,32.73,24.534,-4.21%,4473461
2015/8/26,32.98,33.3,32.42,33.18,24.871,1.37%,3770414
2015/8/27,33.31,33.78,33.15,33.76,25.306,1.75%,2984926
2015/8/28,33.88,33.93,33.05,33.47,25.088,-0.86%,2198832
2015/8/31,33.31,33.38,32.52,32.78,24.571,-2.06%,2836350
2015/9/1,32.27,32.48,31.94,32.1,24.061,-2.07%,3714754
2015/9/2,32.36,32.42,31.86,32.24,24.166,0.44%,2358609
2015/9/3,32.32,32.565,32.17,32.49,24.354,0.78%,2166183
2015/9/4,32.08,32.43,31.99,32.22,24.151,-0.83%,2992817
2015/9/8,32.33,32.65,32.15,32.64,24.466,1.30%,2255993
2015/9/9,32.68,32.79,32.18,32.23,24.159,-1.26%,2957365
2015/9/10,32.2,32.66,32.15,32.25,24.174,0.06%,2107716
2015/9/11,32.11,32.69,32.085,32.67,24.489,1.30%,1957195
2015/9/14,32.76,33.01,32.62,32.68,24.496,0.03%,1845966
2015/9/15,32.78,32.975,32.39,32.9,24.661,0.67%,1436903
2015/9/16,32.95,33.31,32.83,33.23,24.909,1.00%,1354189
2015/9/17,33.24,34.28,33.17,33.79,25.328,1.69%,3231333
2015/9/18,33.53,34.17,33.49,33.68,25.246,-0.33%,3124570
2015/9/21,33.79,33.96,33.64,33.86,25.381,0.53%,1910433
2015/9/22,33.69,33.93,33.39,33.57,25.163,-0.86%,2756326
2015/9/23,33.64,33.86,33.45,33.76,25.306,0.57%,2020905
2015/9/24,33.63,34.24,33.33,34.22,25.651,1.36%,2187335
2015/9/25,34.31,34.975,34.06,34.58,25.92,1.05%,1920212
2015/9/28,34.4,34.78,34.38,34.49,25.853,-0.26%,1819205
2015/9/29,34.53,34.67,34.28,34.5,25.86,0.03%,1666393
2015/9/30,34.68,35.35,34.51,35.32,26.475,2.38%,2759849
2015/10/1,35.39,35.45,34.531,34.93,26.183,-1.10%,3029630
2015/10/2,35.14,35.61,34.85,35.61,26.692,1.95%,2724126
2015/10/5,35.74,35.85,35.24,35.74,26.79,0.37%,2684499
2015/10/6,35.56,35.71,35.185,35.67,26.737,-0.20%,3305239
2015/10/7,35.73,35.81,35.19,35.4,26.535,-0.76%,2841134
2015/10/8,35.34,35.975,35.16,35.91,26.917,1.44%,1519203
2015/10/9,35.89,35.94,35.36,35.62,26.7,-0.81%,2110139
2015/10/12,35.58,36.12,35.58,35.89,26.902,0.76%,1549514
2015/10/13,35.78,35.99,35.56,35.75,26.797,-0.39%,3053075
2015/10/14,35.85,35.99,35.58,35.6,26.685,-0.42%,1704186
2015/10/15,35.7,36.3,35.64,36.24,27.165,1.80%,1412148
2015/10/16,36.37,36.68,36.27,36.39,27.277,0.41%,1926183
2015/10/19,36.31,36.63,36.17,36.59,27.427,0.55%,2258294
2015/10/20,36.53,36.89,36.44,36.79,27.577,0.55%,1588201
2015/10/21,36.9,37.16,36.66,36.67,27.487,-0.33%,1745023
2015/10/22,36.77,37.3,36.68,37.17,27.862,1.36%,1308067
2015/10/23,37.08,37.13,36.53,36.74,27.54,-1.16%,2085937
2015/10/26,36.58,36.82,36.22,36.82,27.599,0.22%,1943639
2015/10/27,36.73,36.89,36.315,36.53,27.382,-0.79%,2097054
2015/10/28,36.56,36.69,35.83,36.25,27.172,-0.77%,2369643
2015/10/29,35.56,36.22,35.13,35.75,26.797,-1.38%,4018704
2015/10/30,35.87,36.265,35.65,36.07,27.037,0.90%,2142581
2015/11/2,36.06,36.22,35.75,35.95,26.947,-0.33%,2102469
2015/11/3,35.81,36.27,35.54,36.24,27.165,0.81%,2839816
2015/11/4,36.01,36.19,35.62,35.8,27.052,-1.21%,3228631
2015/11/5,35.77,36.11,35.7,35.83,27.075,0.08%,3215087
2015/11/6,35.25,35.78,33.91,34.24,25.873,-4.44%,4858723
2015/11/9,34.02,34.45,33.84,34.4,25.994,0.47%,3396956
2015/11/10,34.44,35.1,34.4,34.99,26.44,1.72%,2872064
2015/11/11,35.06,35.52,35,35.34,26.705,1.00%,2318938
2015/11/12,35.27,35.64,34.68,34.82,26.312,-1.47%,1642559
2015/11/13,34.85,35.15,34.49,34.62,26.161,-0.57%,1595620
2015/11/16,34.71,35.58,34.55,35.56,26.871,2.72%,2881186
2015/11/17,35.41,35.74,34.85,35.01,26.455,-1.55%,2634921
2015/11/18,34.97,35.405,34.63,35.34,26.705,0.94%,2244661
2015/11/19,35.41,35.7,35.24,35.44,26.78,0.28%,1910214
2015/11/20,35.59,35.923,35.51,35.64,26.931,0.56%,1770607
2015/11/23,35.67,35.83,35.12,35.27,26.652,-1.04%,1773062
2015/11/24,35.11,35.31,34.695,35.02,26.463,-0.71%,1846372
2015/11/25,35.07,35.07,34.62,34.81,26.304,-0.60%,1731735
2015/11/27,34.87,35.28,34.87,35.17,26.576,1.03%,762059
2015/11/30,35.2,35.39,34.96,35.02,26.463,-0.43%,1792527
2015/12/1,35.13,35.4,34.96,35.39,26.742,1.06%,2018081
2015/12/2,35.27,35.39,34.75,34.79,26.289,-1.70%,3175023
