Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,152.95,154.23,152.89,153.14,128.46,0.14%,1636999
2015/3/25,153.55,153.96,151.09,151.09,126.74,-1.34%,2266792
2015/3/26,149.32,150.77,149.17,150.06,125.876,-0.68%,1554789
2015/3/27,150.21,151.22,150.02,150.47,126.22,0.27%,1329918
2015/3/30,150.91,152.59,150.8,152.365,127.81,1.26%,1463754
2015/3/31,151.84,153,151.25,151.495,127.08,-0.57%,1886112
2015/4/1,151.83,151.87,149.7,150.24,126.027,-0.83%,1795025
2015/4/2,150.47,152,150.36,151.63,127.193,0.93%,1096109
2015/4/6,151.37,152.84,150.6,152.5,127.923,0.57%,1767562
2015/4/7,152.53,152.95,151.72,151.78,127.319,-0.47%,1392314
2015/4/8,152.23,152.67,151.19,152,127.504,0.14%,1482950
2015/4/9,150.57,151,148.27,148.81,124.828,-2.10%,3401763
2015/4/10,149.4,150.03,148.62,149.635,125.52,0.55%,1572920
2015/4/13,149.44,150.34,148.93,149.02,125.004,-0.41%,1120171
2015/4/14,149,150.1,147.72,149.52,125.423,0.34%,1540864
2015/4/15,149.58,150.67,149.05,149.07,125.046,-0.30%,1405557
2015/4/16,148.76,148.895,146.91,147.11,123.402,-1.31%,2680610
2015/4/17,146.58,146.73,143.1,144.57,121.271,-1.73%,4369326
2015/4/20,146.65,147.25,145.75,146.31,122.731,1.20%,2882070
2015/4/21,146.98,148.08,146.6,147.34,123.595,0.70%,1616723
2015/4/22,147.93,147.93,146.28,146.98,123.293,-0.24%,1424247
2015/4/23,146.6,147.95,146.27,147.3,123.561,0.22%,1352575
2015/4/24,147.33,148.4,146.87,148.12,124.249,0.56%,1421088
2015/4/27,148.3,148.505,146.86,146.96,123.276,-0.78%,1716996
2015/4/28,146.89,147.19,146.05,146.61,122.982,-0.24%,1302052
2015/4/29,145.88,146.25,143.87,144.46,121.514,-1.47%,1719013
2015/4/30,143.85,144.9,142.54,143.05,120.328,-0.98%,2523216
2015/5/1,143.46,145.74,143.22,145.39,122.297,1.64%,1505446
2015/5/4,145.39,146.21,144.61,145.75,122.599,0.25%,1288750
2015/5/5,145.12,145.74,144.29,144.5,121.548,-0.86%,1769579
2015/5/6,145.35,145.84,144.01,144.77,121.775,0.19%,1737330
2015/5/7,144.52,145.61,144.01,144.56,121.598,-0.15%,2565148
2015/5/8,146,147.56,145.8,145.88,122.709,0.91%,1728677
2015/5/11,145.54,146.33,144.2,144.27,121.354,-1.10%,1906719
2015/5/12,144,145,143.418,144.07,121.186,-0.14%,1923886
2015/5/13,143.88,145.289,142.72,143.24,120.488,-0.58%,2135920
2015/5/14,144.13,144.13,141.53,142.6,119.95,-0.45%,3023665
2015/5/15,143.22,144.96,142.74,144.83,121.825,1.56%,2357005
2015/5/18,144.74,145.29,144.05,145.06,122.019,0.16%,1451924
2015/5/19,144.81,145.5,144.31,144.74,121.75,-0.22%,1332707
2015/5/20,145.06,145.06,143.26,143.49,120.698,-0.86%,1640883
2015/5/21,143.37,144.59,142.845,143.94,121.077,0.31%,1539527
2015/5/22,143.9,144.755,143.4,143.68,120.858,-0.18%,1189460
2015/5/26,144.08,144.41,143.08,143.25,120.496,-0.30%,2477397
2015/5/27,143.63,145.64,143.11,145.42,122.322,1.51%,2954072
2015/5/28,144.32,145.97,143.16,144.26,121.346,-0.80%,3206152
2015/5/29,143.78,143.946,141.77,142.59,119.941,-1.16%,3027050
2015/6/1,143.05,143.25,141.9,142.39,119.773,-0.14%,2183416
2015/6/2,141.97,142.67,140.89,141.4,118.94,-0.70%,1963529
2015/6/3,141.67,142.51,141.18,142.13,119.554,0.52%,1858446
2015/6/4,141.37,142.5,140.33,140.65,118.309,-1.04%,2898607
2015/6/5,140.74,140.81,138.74,138.78,116.736,-1.33%,3203240
2015/6/8,138.91,138.91,138.02,138.05,116.122,-0.53%,1879735
2015/6/9,137.92,138.76,137.81,138.04,116.114,-0.01%,2039068
2015/6/10,138.32,139.94,138.26,139.43,117.283,1.01%,1725642
2015/6/11,139.64,140.47,139.19,139.32,117.191,-0.08%,1342315
2015/6/12,139.06,139.3,138.51,138.78,116.736,-0.39%,1290728
2015/6/15,137.94,138.315,137.15,137.23,115.433,-1.12%,1940600
2015/6/16,137.2,138.24,137.15,137.98,116.064,0.55%,1554245
2015/6/17,137.94,139.32,137.88,138.875,116.816,0.65%,1508101
2015/6/18,139.49,141.1,139.22,140.5,118.183,1.17%,2074140
