Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,150.93,151.95,149.83,151.47,151.47,0.53%,580594
2015/3/25,152,152,148.385,148.66,148.66,-1.86%,538435
2015/3/26,148.21,149.28,147.24,148.89,148.89,0.15%,734791
2015/3/27,148.51,150.13,147.94,148.56,148.56,-0.22%,426722
2015/3/30,149,151.64,148.93,150.83,150.83,1.53%,285500
2015/3/31,149.77,151.55,148.93,150.92,150.92,0.06%,827133
2015/4/1,151.02,152.7,150.14,152.51,152.51,1.05%,765950
2015/4/2,152.1,154,151.98,153.01,153.01,0.33%,355101
2015/4/6,151.57,153.48,151.35,152.65,152.65,-0.24%,1084245
2015/4/7,153.04,154.88,152.915,154.71,154.71,1.35%,459296
2015/4/8,154.99,156.53,154.1,156.27,156.27,1.01%,629631
2015/4/9,155.86,157,154.45,156.53,156.53,0.17%,337830
2015/4/10,157.16,157.93,155.88,157.85,157.85,0.84%,505570
2015/4/13,157.97,159.87,157.27,157.39,157.39,-0.29%,454121
2015/4/14,157.05,157.81,155.63,157.43,157.43,0.03%,365338
2015/4/15,157.44,159.46,157.09,158.61,158.61,0.75%,303646
2015/4/16,158.72,159.12,157.62,158.03,158.03,-0.37%,203172
2015/4/17,156.73,156.73,154.65,156.22,156.22,-1.15%,475986
2015/4/20,156.62,158.39,156.25,158.37,158.37,1.38%,277815
2015/4/21,158.73,159.6,157.66,158.24,158.24,-0.08%,499914
2015/4/22,158.19,158.63,156.86,158.25,158.25,0.01%,769737
2015/4/23,158.02,163,157.95,162.66,162.66,2.79%,792844
2015/4/24,163.17,163.61,161.75,162.24,162.24,-0.26%,434431
2015/4/27,163.32,165.67,162.12,163.46,163.46,0.75%,649091
2015/4/28,163.47,163.79,160.17,161.45,161.45,-1.23%,472731
2015/4/29,161.15,163.81,160.32,163.22,163.22,1.10%,544568
2015/4/30,163.15,163.5,160.38,160.89,160.89,-1.43%,761145
2015/5/1,161.75,164.62,153.65,159.13,159.13,-1.09%,1384103
2015/5/4,159.41,159.95,155.75,156.46,156.46,-1.68%,650131
2015/5/5,156.74,157.179,152.73,154.64,154.64,-1.16%,754248
2015/5/6,155.36,155.36,151.71,153.21,153.21,-0.92%,468278
2015/5/7,153.47,154.51,152.39,153.36,153.36,0.10%,425452
2015/5/8,154.76,155.9,154.041,154.82,154.82,0.95%,389870
2015/5/11,154.87,155.96,153.53,153.64,153.64,-0.76%,632523
2015/5/12,152.75,154.1,151.71,153.04,153.04,-0.39%,329756
2015/5/13,153.83,155.21,151.82,153.32,153.32,0.18%,371490
2015/5/14,153.92,155.95,153.47,154.88,154.88,1.02%,455060
2015/5/15,155.08,155.65,153.36,154.34,154.34,-0.35%,305842
2015/5/18,154.3,154.66,151.8,154.37,154.37,0.02%,416978
2015/5/19,154.55,155.56,153.09,153.46,153.46,-0.59%,410975
2015/5/20,153.15,153.73,150.6,152.02,152.02,-0.94%,471751
2015/5/21,151.81,155.24,150.94,154.81,154.81,1.84%,583962
2015/5/22,152.74,154.69,152.25,154.25,154.25,-0.36%,918379
2015/5/26,153.49,154.46,151.75,152.86,152.86,-0.90%,711121
2015/5/27,152.86,154.44,151.42,153.63,153.63,0.50%,476172
2015/5/28,153.75,154.75,152.34,152.92,152.92,-0.46%,433026
2015/5/29,152.74,153.67,151.06,152.14,152.14,-0.51%,650433
2015/6/1,152.58,154.85,152.08,153.7,153.7,1.03%,598715
2015/6/2,152.9,154.35,152.05,154.17,154.17,0.31%,592876
2015/6/3,153.99,155.69,153.69,154.36,154.36,0.12%,379736
2015/6/4,153.23,154,150.389,151.3,151.3,-1.98%,522640
2015/6/5,151.8,156.4,150.545,154.75,154.75,2.28%,1031790
2015/6/8,154.75,154.78,151.35,152.72,152.72,-1.31%,554419
2015/6/9,152.81,152.96,149.75,151.28,151.28,-0.94%,384345
2015/6/10,157.02,160,155.01,159.51,159.51,5.44%,1134403
2015/6/11,159.61,161.72,158.81,161.37,161.37,1.17%,708597
2015/6/12,160.59,161.64,160.45,161.54,161.54,0.11%,485836
2015/6/15,159.9,161.52,159.676,161.36,161.36,-0.11%,493355
2015/6/16,160.72,163.19,159.942,163.07,163.07,1.06%,624227
2015/6/17,163.25,163.25,160.13,160.75,160.75,-1.42%,399054
2015/6/18,160.81,162.81,160.46,162.1,162.1,0.84%,476855
2015/6/19,162.39,162.57,160.7,161.39,161.39,-0.44%,378612
2015/6/22,162.86,163.07,161.2,161.93,161.93,0.33%,383199
2015/6/23,162.36,162.93,161.36,161.99,161.99,0.04%,297159
