Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,45.72,46.1,45.38,45.39,33.553,-0.66%,1594357
2015/3/25,45.73,45.77,44.71,45.4,33.56,0.02%,4533706
2015/3/26,45.36,45.53,44.975,45.04,33.294,-0.79%,2283798
2015/3/27,45.19,45.92,45.104,45.89,33.923,1.89%,1459213
2015/3/30,45.92,46.525,45.7,46.45,34.337,1.22%,1586494
2015/3/31,46.36,46.835,46.36,46.55,34.411,0.22%,1742164
2015/4/1,46.52,46.6,46.02,46.57,34.425,0.04%,1318748
2015/4/2,46.67,46.81,46.45,46.63,34.47,0.13%,992437
2015/4/6,46.54,47.09,46.54,46.66,34.492,0.06%,1300973
2015/4/7,46.62,46.69,45.98,46.12,34.093,-1.16%,1391545
2015/4/8,46.17,46.29,45.805,46.23,34.174,0.24%,1318988
2015/4/9,46.12,46.3,45.77,46.21,34.39,-0.04%,1365198
2015/4/10,46.21,46.29,45.7,45.82,34.1,-0.84%,1465808
2015/4/13,45.7,46.18,45.7,46.12,34.323,0.65%,1332982
2015/4/14,46.15,46.675,45.93,46.51,34.613,0.85%,892415
2015/4/15,46.82,46.9,46.48,46.57,34.658,0.13%,1241019
2015/4/16,46.58,46.69,46.35,46.51,34.613,-0.13%,1052416
2015/4/17,46.28,46.39,45.92,46.19,34.375,-0.69%,1278517
2015/4/20,46.27,46.62,46.22,46.4,34.531,0.45%,1181910
2015/4/21,46.41,46.51,45.98,46.05,34.271,-0.75%,1086475
2015/4/22,46.06,46.37,45.92,46.11,34.315,0.13%,1117668
2015/4/23,45.9,46.45,45.77,46.07,34.286,-0.09%,932450
2015/4/24,46.08,46.24,45.75,45.81,34.092,-0.56%,784245
2015/4/27,45.81,45.82,45.42,45.6,33.936,-0.46%,689646
2015/4/28,45.58,45.71,45.345,45.47,33.839,-0.29%,871431
2015/4/29,45.45,45.52,44.84,44.94,33.445,-1.17%,1018586
2015/4/30,44.91,45.07,44.6,44.71,33.274,-0.51%,1193608
2015/5/1,44.85,45.6,44.76,45.55,33.899,1.88%,1979511
2015/5/4,45.51,45.96,45.4,45.74,34.04,0.42%,1245718
2015/5/5,45.72,45.93,45.285,45.39,33.78,-0.77%,1508782
2015/5/6,45.38,45.59,44.92,45.2,33.638,-0.42%,1204722
2015/5/7,45.08,45.72,44.95,45.48,33.847,0.62%,986971
2015/5/8,45.97,45.97,45.69,45.83,34.107,0.77%,1331551
2015/5/11,45.81,46.15,45.6,45.8,34.085,-0.07%,612270
2015/5/12,45.66,46.01,45.44,45.93,34.181,0.28%,681673
2015/5/13,45.95,46.18,45.74,45.81,34.092,-0.26%,884003
2015/5/14,46.15,46.53,46.14,46.48,34.591,1.46%,916475
2015/5/15,46.51,46.97,46.49,46.85,34.866,0.80%,1292009
2015/5/18,46.67,46.92,46.52,46.79,34.821,-0.13%,1327669
2015/5/19,46.77,46.92,46.485,46.72,34.769,-0.15%,1606238
2015/5/20,46.82,47.02,46.61,46.7,34.755,-0.04%,1696592
2015/5/21,46.63,47.05,46.52,46.93,34.926,0.49%,2397387
2015/5/22,47.85,48.16,47.35,47.91,35.655,2.09%,3165633
2015/5/26,47.8,47.99,47.55,47.74,35.528,-0.35%,2022805
2015/5/27,47.77,48.16,47.53,48.12,35.811,0.80%,1854977
2015/5/28,48.07,48.395,47.9,48.39,36.012,0.56%,1486263
2015/5/29,48.39,48.39,48.08,48.34,35.975,-0.10%,2239393
2015/6/1,48.33,48.38,48.11,48.32,35.96,-0.04%,1793020
2015/6/2,48.2,48.22,47.575,47.67,35.476,-1.35%,3112300
2015/6/3,47.85,47.85,47.22,47.38,35.261,-0.61%,1978483
2015/6/4,47.22,47.39,47.01,47.07,35.03,-0.65%,1315386
2015/6/5,46.91,46.95,46.14,46.54,34.635,-1.13%,2562305
2015/6/8,46.59,46.61,46.08,46.28,34.442,-0.56%,1146365
2015/6/9,46.35,46.73,46.18,46.57,34.658,0.63%,1041946
2015/6/10,46.61,47,46.56,46.84,34.859,0.58%,1021525
2015/6/11,46.86,47.06,46.795,46.83,34.851,-0.02%,694679
2015/6/12,46.75,46.8,46.57,46.73,34.777,-0.21%,612279
2015/6/15,46.43,46.75,46.3,46.33,34.479,-0.86%,932932
2015/6/16,46.4,47.63,46.34,47.55,35.387,2.63%,1597718
2015/6/17,47.53,47.905,47.29,47.76,35.543,0.44%,1024724
2015/6/18,47.91,48.43,47.79,48.24,35.901,1.01%,1127411
2015/6/19,48.26,48.57,48.23,48.27,35.923,0.06%,1553387
2015/6/22,48.5,48.72,48.29,48.3,35.945,0.06%,834825
2015/6/23,48.36,48.4,48.12,48.29,35.938,-0.02%,867263
2015/6/24,48.28,48.38,47.875,48.01,35.729,-0.58%,918393
2015/6/25,48.27,48.27,47.675,47.7,35.499,-0.65%,983542
2015/6/26,47.82,48.03,47.68,47.85,35.61,0.31%,862634
2015/6/29,47.5,47.67,46.98,47.01,34.985,-1.76%,1098377
2015/6/30,47.27,49.16,47.11,47.65,35.462,1.36%,4572947
2015/7/1,47.78,47.89,47.26,47.84,35.603,0.40%,1640395
2015/7/2,47.92,48.12,47.48,47.66,35.469,-0.38%,1062657
2015/7/6,47.39,47.89,47.1,47.27,35.179,-0.82%,1088270
2015/7/7,47.28,48.04,47.14,47.98,35.707,1.50%,1329029
2015/7/8,47.7,47.98,47.51,47.57,35.402,-0.85%,1266292
2015/7/9,47.92,47.93,47.06,47.12,35.299,-0.95%,1255199
2015/7/10,47.48,47.8,47.12,47.62,35.674,1.06%,849267
2015/7/13,47.79,47.957,47.56,47.83,35.831,0.44%,796933
2015/7/14,47.87,48.24,47.63,48.13,36.056,0.63%,989740
2015/7/15,47.95,48.13,47.43,47.59,35.651,-1.12%,720860
2015/7/16,47.84,48.12,47.8,48.02,35.973,0.90%,717592
2015/7/17,47.95,47.99,47.42,47.85,35.846,-0.35%,699177
2015/7/20,47.91,48.01,47.56,47.61,35.666,-0.50%,655970
2015/7/21,47.53,47.7,47.2,47.46,35.554,-0.32%,839681
2015/7/22,48,48.84,47.79,48.32,36.198,1.81%,1730273
2015/7/23,48.4,48.7,48.05,48.2,36.108,-0.25%,1642581
2015/7/24,48.23,48.62,48.07,48.28,36.168,0.17%,952630
2015/7/27,48.08,48.41,47.87,48.28,36.168,0.00%,937748
2015/7/28,48.48,49.05,48.28,49,36.708,1.49%,1134960
2015/7/29,49.13,49.14,48.51,48.71,36.49,-0.59%,1579522
2015/7/30,48.6,49.35,48.48,49.17,36.835,0.94%,1143845
2015/7/31,49.52,49.54,49.22,49.31,36.94,0.28%,1143305
2015/8/3,49.42,49.88,49.28,49.88,37.367,1.16%,1468863
2015/8/4,49.81,50.04,49.6,49.68,37.217,-0.40%,1036007
2015/8/5,49.85,50.095,49.54,50,37.457,0.64%,1130335
2015/8/6,50.23,50.54,49.94,50.49,37.824,0.98%,1364742
2015/8/7,50.33,50.5,49.92,50.28,37.667,-0.42%,1130019
2015/8/10,50.53,50.62,50.2,50.48,37.816,0.40%,855827
2015/8/11,50.09,50.385,49.8,50.32,37.697,-0.32%,687950
2015/8/12,50.03,50.42,49.56,50.4,37.756,0.16%,1036798
2015/8/13,50.37,50.62,50.21,50.26,37.652,-0.28%,768208
2015/8/14,50.29,50.77,50.172,50.7,37.981,0.88%,701546
2015/8/17,50.49,50.8,50.21,50.57,37.884,-0.26%,718955
2015/8/18,50.53,50.53,50.17,50.23,37.629,-0.67%,1358558
2015/8/19,50.15,50.44,49.69,50.11,37.539,-0.24%,819945
2015/8/20,49.8,50.065,49.5,49.63,37.18,-0.96%,1166316
2015/8/21,49.5,49.5,48.61,48.61,36.415,-2.06%,1308487
2015/8/24,46.99,48.1,45.23,47.01,35.217,-3.29%,2546486
2015/8/25,47.75,47.9,46.12,46.15,34.573,-1.83%,2075850
2015/8/26,47.06,47.5,46.1,47.43,35.532,2.77%,1956097
2015/8/27,47.72,47.985,47.05,47.72,35.749,0.61%,1891237
2015/8/28,47.67,48.12,47.39,47.8,35.809,0.17%,1847620
2015/8/31,47.71,48.135,47.55,47.99,35.951,0.40%,1876232
2015/9/1,47.12,47.57,46.64,46.87,35.112,-2.33%,1988039
2015/9/2,47.3,47.77,47.01,47.77,35.786,1.92%,2546416
2015/9/3,46.91,48.675,46.07,48.53,36.356,1.59%,2364144
2015/9/4,48.23,48.5,47.435,47.94,35.914,-1.22%,2019320
2015/9/8,48.502,49.41,48.502,49.38,36.992,3.00%,2458668
2015/9/9,49.78,49.78,48.59,48.72,36.498,-1.34%,2198867
2015/9/10,48.77,49.51,48.51,49.15,36.82,0.88%,1522321
2015/9/11,49.04,49.4,48.84,49.4,37.007,0.51%,1501898
2015/9/14,49.48,49.54,49.07,49.51,37.09,0.22%,1343694
2015/9/15,49.7,50.47,49.31,50.27,37.659,1.54%,2250514
2015/9/16,50.52,51.625,50.47,51.56,38.625,2.57%,2412637
2015/9/17,51.51,52.26,51.29,51.57,38.633,0.02%,2117950
2015/9/18,50.84,51.715,50.84,51.16,38.326,-0.80%,2354509
2015/9/21,51.37,51.63,51.04,51.47,38.558,0.61%,1441100
2015/9/22,51.19,51.21,50.55,51.12,38.296,-0.68%,1617325
2015/9/23,51.05,51.43,50.81,51.36,38.476,0.47%,1552121
2015/9/24,51.2,51.39,50.82,51.14,38.311,-0.43%,2731765
2015/9/25,51.44,52.37,51.19,51.67,38.708,1.04%,1541666
2015/9/28,51.41,51.76,50.73,50.8,38.056,-1.68%,1539070
2015/9/29,50.8,51.26,50.03,50.59,37.899,-0.41%,1847913
2015/9/30,51,51.215,50.43,50.68,37.966,0.18%,1866738
