Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,83.3,83.45,81.35,81.82,81.82,-1.79%,799534
2015/3/25,82.15,82.49,78.02,78.07,78.07,-4.58%,779103
2015/3/26,76.94,79.72,76.15,79.01,79.01,1.20%,661672
2015/3/27,79.13,80.26,78.89,79.61,79.61,0.76%,303677
2015/3/30,79.8,80.3,79.28,79.83,79.83,0.28%,397198
2015/3/31,79.26,79.9,79.14,79.29,79.29,-0.68%,470475
2015/4/1,79.15,79.44,77.26,78.69,78.69,-0.76%,596144
2015/4/2,78.87,79.38,77.705,77.85,77.85,-1.07%,847218
2015/4/6,77.5,79.11,77.5,78.67,78.67,1.05%,1009371
2015/4/7,77.65,79.28,77.628,77.66,77.66,-1.28%,664523
2015/4/8,77.51,78.64,77.48,78.45,78.45,1.02%,580984
2015/4/9,78.45,79.39,78,79.04,79.04,0.75%,338495
2015/4/10,78.99,79.42,78.61,78.77,78.77,-0.34%,255588
2015/4/13,78.67,79.39,78.47,79.07,79.07,0.38%,265287
2015/4/14,78.94,79.2,78.07,78.81,78.81,-0.33%,201283
2015/4/15,79,79.25,78.49,78.71,78.71,-0.13%,282075
2015/4/16,78.55,79.17,78.11,78.24,78.24,-0.60%,223543
2015/4/17,77.93,78.44,77.08,78.26,78.26,0.03%,460284
2015/4/20,78.62,79,77.84,78.54,78.54,0.36%,244905
2015/4/21,79.15,79.21,78.41,78.59,78.59,0.06%,280784
2015/4/22,78.5,78.9,77.206,78.06,78.06,-0.67%,525067
2015/4/23,78.05,78.36,77.58,77.89,77.89,-0.22%,332630
2015/4/24,78.21,78.21,77.16,77.4,77.4,-0.63%,494431
2015/4/27,78.06,78.09,76.03,76.87,76.87,-0.68%,795272
2015/4/28,77.22,77.54,74.26,75.81,75.81,-1.38%,632946
2015/4/29,75.33,76.9,75.099,76.25,76.25,0.58%,576437
2015/4/30,72.54,72.54,68.97,69.16,69.16,-9.30%,2178735
2015/5/1,68.79,70.65,68.59,70.62,70.62,2.11%,1396347
2015/5/4,71.99,73.32,71.3,71.94,71.94,1.87%,757072
2015/5/5,71.94,72.32,70.02,70.39,70.39,-2.15%,427739
2015/5/6,70.24,70.78,69.51,70.29,70.29,-0.14%,412713
2015/5/7,70.3,71.18,69.65,69.77,69.77,-0.74%,348503
2015/5/8,70.47,71.025,69.9,70.48,70.48,1.02%,418864
2015/5/11,70.49,70.92,70.04,70.49,70.49,0.01%,357481
2015/5/12,70,70.27,69.17,69.88,69.88,-0.87%,292052
2015/5/13,70.42,70.91,69.93,70.39,70.39,0.73%,428632
2015/5/14,70.82,71.6,69.95,71.39,71.39,1.42%,357411
2015/5/15,71.59,71.59,70.24,70.54,70.54,-1.19%,317883
2015/5/18,70.54,71.8,70.43,71.73,71.73,1.69%,267142
2015/5/19,71.91,72.24,71.29,71.69,71.69,-0.06%,270978
2015/5/20,71.7,72.79,70.85,72.44,72.44,1.05%,336146
2015/5/21,72.48,72.85,71.84,72.57,72.57,0.18%,291653
2015/5/22,72.45,72.86,72.16,72.62,72.62,0.07%,213458
2015/5/26,72.25,72.99,71.79,72.14,72.14,-0.66%,282302
2015/5/27,72.58,73.07,71.99,72.95,72.95,1.12%,328038
2015/5/28,72.77,73.65,72.77,73.55,73.55,0.82%,339552
2015/5/29,73.3,73.878,72.23,72.34,72.34,-1.65%,402601
2015/6/1,72.49,73.04,71.75,72.44,72.44,0.14%,309373
2015/6/2,72.33,73.07,71.815,72.6,72.6,0.22%,187508
2015/6/3,73.01,73.56,72.29,73.53,73.53,1.28%,247938
2015/6/4,73.11,73.89,72.58,73.15,73.15,-0.52%,222484
2015/6/5,72.91,73.484,71.98,73.2,73.2,0.07%,174342
2015/6/8,73.1,74.05,73.09,73.46,73.46,0.36%,257897
2015/6/9,73.29,73.85,72.7,72.91,72.91,-0.75%,244698
2015/6/10,73.07,74.035,72.71,73.45,73.45,0.74%,219298
2015/6/11,73.68,74.07,73.57,73.75,73.75,0.41%,271542
2015/6/12,73.42,73.52,72.64,72.8,72.8,-1.29%,248191
2015/6/15,72.34,72.53,71.339,72.4,72.4,-0.55%,214429
2015/6/16,72.46,73.2,72.29,72.38,72.38,-0.03%,252377
2015/6/17,72.65,72.885,71.91,72.01,72.01,-0.51%,347883
