Date,Open,High,Low,Close,Adj. Close,Change,Volume
2019/6/13,63.86,69.67,61.6,67.56,67.56,16.48%,10923944
2019/6/14,69.78,70.79,63.02,64.16,64.16,-5.03%,6264212
2019/6/17,64.75,70.01,62,70.01,70.01,9.12%,3247471
2019/6/18,73,78.7,71.5,76.5,76.5,9.27%,6612626
2019/6/19,78.75,79.79,73.555,77.22,77.22,0.94%,3319070
2019/6/20,78,78.22,70.69,74.85,74.85,-3.07%,3429610
2019/6/21,72.46,73.928,68.3,72.23,72.23,-3.50%,2657468
2019/6/24,71.05,72.39,65.08,67.97,67.97,-5.90%,2448037
2019/6/25,67.1,68.99,61.17,61.52,61.52,-9.49%,2482213
2019/6/26,63.3,64.92,62.005,62.65,62.65,1.84%,1625502
2019/6/27,63.39,64.995,62.571,63.28,63.28,1.01%,914612
2019/6/28,64.36,68.38,63.3,68.29,68.29,7.92%,1474303
2019/7/1,69.1,69.729,61.81,63.2,63.2,-7.45%,2675367
2019/7/2,63.3,65.03,61.721,64.52,64.52,2.09%,1738845
2019/7/3,64.68,67.48,64.52,67.24,67.24,4.22%,1564108
2019/7/5,67.15,67.25,64.84,67.21,67.21,-0.04%,805222
2019/7/8,68.26,71.715,66.9,66.91,66.91,-0.45%,4567154
2019/7/9,67.42,69.2,66.88,68.45,68.45,2.30%,1782694
2019/7/10,70,74.5,69.5,74.34,74.34,8.60%,2719347
2019/7/11,74.5,74.98,70.5,70.88,70.88,-4.65%,2351834
2019/7/12,71.6,75.2,70.5,73.5,73.5,3.70%,1838306
2019/7/15,74,74.295,71.4,71.6,71.6,-2.59%,1325082
2019/7/16,71.93,73.087,69,69.54,69.54,-2.88%,1582319
2019/7/17,70,71.56,69.59,71,71,2.10%,1037007
2019/7/18,71,74.19,70.15,72.75,72.75,2.46%,3389964
2019/7/19,85.16,85.85,80.75,83.52,83.52,14.80%,13669036
2019/7/22,82.27,88.5,82.08,87.68,87.68,4.98%,5357744
2019/7/23,88.32,89.44,84.49,86.74,86.74,-1.07%,2529779
2019/7/24,86.79,87.85,85.5,87.46,87.46,0.83%,1250712
2019/7/25,87.5,93.339,87,92.28,92.28,5.51%,3270376
2019/7/26,93.04,95.5,91.91,92.88,92.88,0.65%,2053022
2019/7/29,93.69,93.9,82.65,87.23,87.23,-6.08%,3317799
2019/7/30,86,96.19,84,94,94,7.76%,3127169
2019/7/31,94,94.801,86.817,89.07,89.07,-5.24%,2475977
2019/8/1,90.07,94.32,89.439,91.53,91.53,2.76%,2238247
2019/8/2,91.54,92.78,86.91,88.01,88.01,-3.85%,1801007
2019/8/5,83.34,86.92,82.25,85.48,85.48,-2.87%,2196373
2019/8/6,87.2,89.76,82.71,85.24,85.24,-0.28%,1357428
2019/8/7,83.69,86.45,82.8,84.22,84.22,-1.20%,990406
