Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,28.29,28.57,27.99,28,20.475,-1.43%,23263559
2015/3/25,27.92,28.09,27.46,27.46,20.08,-1.93%,27158706
2015/3/26,27.19,27.305,26.62,27.09,19.81,-1.35%,48928133
2015/3/27,27.07,27.21,26.94,27.13,19.839,0.15%,20464472
2015/3/30,27.22,27.75,27.22,27.65,20.219,1.92%,29056308
2015/3/31,27.34,27.69,27.28,27.525,20.282,-0.45%,29258328
2015/4/1,27.31,27.638,27.1,27.25,20.079,-1.00%,22420534
2015/4/2,27.22,27.5,27.13,27.13,19.99,-0.44%,19527211
2015/4/6,26.96,27.32,26.84,27.22,20.057,0.33%,20004043
2015/4/7,27.2,27.56,27.13,27.39,20.182,0.62%,16861751
2015/4/8,27.37,27.66,27.37,27.55,20.3,0.58%,19076426
2015/4/9,27.59,27.74,27.42,27.625,20.355,0.27%,16684501
2015/4/10,27.58,28.08,27.56,28.04,20.661,1.50%,24634578
2015/4/13,27.99,28.28,27.94,27.98,20.617,-0.21%,22769580
2015/4/14,28,28.06,27.68,27.81,20.492,-0.61%,19296326
2015/4/15,28.1,28.42,27.97,28.25,20.816,1.58%,31160911
2015/4/16,28.19,28.638,28.1,28.6,21.074,1.24%,29863528
2015/4/17,28.26,28.4,27.9,27.915,20.569,-2.40%,36904655
2015/4/20,28.16,28.63,28.16,28.48,20.985,2.02%,21921809
2015/4/21,28.72,28.92,28.66,28.69,21.14,0.74%,23956868
2015/4/22,28.67,28.79,28.42,28.62,21.088,-0.24%,19111703
2015/4/23,28.4,28.82,28.2,28.675,21.129,0.19%,22230105
2015/4/24,29.19,29.28,28.67,28.82,21.236,0.51%,27145555
2015/4/27,28.88,29.03,28.71,28.89,21.287,0.24%,22952006
2015/4/28,28.8,29.33,28.76,29.32,21.604,1.49%,24315253
2015/4/29,29.06,29.25,28.9,29.05,21.405,-0.92%,22463654
2015/4/30,28.85,29.015,28.68,28.83,21.243,-0.76%,26514496
2015/5/1,28.81,29.2,28.78,29.13,21.464,1.04%,18935955
2015/5/4,29.08,29.36,29.07,29.17,21.494,0.14%,16484128
2015/5/5,29.17,29.21,28.835,28.89,21.287,-0.96%,22463800
2015/5/6,28.9,29.075,28.69,28.97,21.346,0.28%,23571965
2015/5/7,28.99,29.12,28.74,28.805,21.225,-0.57%,22643831
2015/5/8,28.99,29.37,28.99,29.23,21.538,1.48%,22572376
2015/5/11,29.5,29.79,29.2,29.21,21.523,-0.07%,27045187
2015/5/12,29.07,29.44,28.8,29.23,21.538,0.07%,31760956
2015/5/13,29.14,29.465,29.13,29.35,21.626,0.41%,38263966
2015/5/14,29.29,29.66,28.965,29.05,21.405,-1.02%,56696268
2015/5/15,29.24,29.82,29.16,29.55,21.774,1.72%,37677292
2015/5/18,29.42,29.9,29.42,29.76,21.928,0.71%,23953043
2015/5/19,29.87,29.9,29.63,29.735,21.91,-0.08%,18926264
2015/5/20,29.8,29.85,29.53,29.62,21.825,-0.39%,19410906
2015/5/21,29.61,29.765,29.43,29.43,21.685,-0.64%,20806934
2015/5/22,29.39,29.45,29.26,29.26,21.56,-0.58%,20079663
2015/5/26,29.19,29.25,28.75,28.95,21.332,-1.06%,25877100
2015/5/27,29.06,29.48,29.02,29.31,21.597,1.24%,23959933
2015/5/28,29.34,29.56,29.16,29.35,21.626,0.14%,5285943
2015/5/29,29.32,29.59,29.2,29.31,21.597,-0.14%,8999837
2015/6/1,29.6,29.62,29.05,29.18,21.501,-0.44%,23799371
2015/6/2,29.09,29.27,28.95,29.08,21.427,-0.34%,15995587
2015/6/3,29.21,29.295,29.05,29.09,21.435,0.03%,20536900
2015/6/4,28.9,29.1,28.54,28.61,21.081,-1.65%,26774517
