Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,11.217,11.383,11.157,11.253,9.644,0.18%,28135068
2015/3/25,11.32,11.33,11.1,11.103,9.515,-1.33%,23928552
2015/3/26,11.03,11.143,10.903,11.09,9.504,-0.12%,29501901
2015/3/27,11.053,11.087,10.923,11.067,9.484,-0.21%,19774485
2015/3/30,11.113,11.2,11.083,11.117,9.527,0.45%,22002519
2015/3/31,11.08,11.115,10.943,11.04,9.461,-0.69%,27283785
2015/4/1,11.067,11.2,10.987,11.15,9.555,1.00%,29935458
2015/4/2,11.093,11.133,10.978,11.107,9.518,-0.39%,27771798
2015/4/6,10.993,11.143,10.993,11.08,9.495,-0.24%,20483229
2015/4/7,11.147,11.223,11.057,11.183,9.584,0.93%,19677399
2015/4/8,11.187,11.22,11.07,11.083,9.498,-0.89%,20301879
2015/4/9,11.113,11.283,11.103,11.263,9.653,1.62%,19499190
2015/4/10,11.317,11.36,11.24,11.25,9.641,-0.12%,24008358
2015/4/13,11.183,11.24,11.003,11.027,9.45,-1.98%,24847674
2015/4/14,10.623,11.087,10.623,11.07,9.487,0.39%,57097704
2015/4/15,11.24,11.373,10.94,10.953,9.387,-1.06%,42473982
2015/4/16,10.84,10.88,10.65,10.807,9.261,-1.33%,33419652
2015/4/17,10.747,11.103,10.74,11.1,9.513,2.71%,46085574
2015/4/20,11.113,11.667,11.037,11.63,9.967,4.77%,64057560
2015/4/21,11.63,11.89,11.203,11.783,10.098,1.32%,84293181
2015/4/22,11.76,12.147,11.76,12.087,10.358,2.58%,75699390
2015/4/23,11.957,12.412,11.947,12.297,10.538,1.74%,46372209
2015/4/24,12.273,12.398,12.09,12.373,10.604,0.62%,34778688
2015/4/27,12.36,12.513,12.24,12.303,10.544,-0.57%,44743560
2015/4/28,12.273,12.335,12.163,12.27,10.515,-0.27%,25688472
2015/4/29,12.247,12.347,12.083,12.317,10.555,0.38%,33928995
2015/4/30,12.217,12.253,11.997,12.03,10.31,-2.33%,26618046
2015/5/1,12.14,12.557,12.1,12.487,10.701,3.80%,46999131
2015/5/4,12.487,12.547,12.007,12.203,10.458,-2.27%,59545728
2015/5/5,12.147,12.24,11.773,11.803,10.115,-3.28%,39079896
2015/5/6,11.817,12.02,11.678,11.883,10.184,0.68%,31162341
2015/5/7,11.877,12.102,11.82,11.97,10.258,0.73%,24929331
2015/5/8,12.13,12.385,12.087,12.227,10.478,2.15%,34967946
2015/5/11,12.167,12.27,12.01,12.02,10.301,-1.69%,21507924
