Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,28.53,28.995,28.46,28.91,21.867,1.44%,3760037
2015/3/25,29.12,29.5,28.59,29.3,22.162,1.35%,5572668
2015/3/26,29.72,29.85,28.69,28.98,21.92,-1.09%,4315444
2015/3/27,28.82,29.07,28.58,28.66,21.678,-1.10%,4052264
2015/3/30,28.9,29.3,28.57,29.24,22.117,2.02%,4418479
2015/3/31,28.97,29.825,28.77,29.53,22.336,0.99%,4109029
2015/4/1,29.48,30.25,29.48,30.02,22.707,1.66%,7368891
2015/4/2,29.83,30.81,29.802,30.76,23.266,2.47%,5141190
2015/4/6,30.87,30.9,30.09,30.49,23.062,-0.88%,5339120
2015/4/7,30.61,31.03,30.51,30.79,23.289,0.98%,4460451
2015/4/8,30.96,31.07,30.55,30.67,23.198,-0.39%,2706051
2015/4/9,30.83,31.69,30.63,31.58,23.887,2.97%,5574080
2015/4/10,31.6,31.66,30.95,31,23.448,-1.84%,4452771
2015/4/13,31.27,31.31,30.69,30.75,23.259,-0.81%,3359810
2015/4/14,30.96,31.53,30.95,31.5,23.826,2.44%,5856429
2015/4/15,31.66,32.81,31.46,32.78,24.794,4.06%,8426446
2015/4/16,32.59,33.23,32.25,33.03,24.983,0.76%,6457825
2015/4/17,32.74,33.15,32.57,32.87,24.862,-0.48%,6960044
2015/4/20,32.77,33.25,32.63,32.9,24.885,0.09%,5393133
2015/4/21,32.9,33.025,32.56,32.76,24.779,-0.43%,4840240
2015/4/22,32.81,33.14,32.57,32.75,24.772,-0.03%,6011268
2015/4/23,32.87,33.55,32.74,32.98,24.946,0.70%,5837467
2015/4/24,33.38,33.44,32,33.03,24.983,0.15%,9207581
2015/4/27,32.94,33.38,32.66,32.72,24.749,-0.94%,4644319
2015/4/28,32.8,33.635,32.8,33.58,25.4,2.63%,6613257
2015/4/29,33.29,34.06,33.22,33.67,25.468,0.27%,6124676
2015/4/30,33.82,34.24,33,33.82,25.581,0.45%,6649452
2015/5/1,33.79,34.07,33.49,33.93,25.664,0.33%,5222697
2015/5/4,34.12,34.35,33.765,34.33,25.967,1.18%,5079017
2015/5/5,34.52,34.53,33.8,33.96,25.702,-1.08%,6913720
2015/5/6,34.28,34.52,33.97,34.12,25.823,0.47%,6134445
2015/5/7,34.03,34.38,33.9,34.25,25.922,0.38%,5837691
