Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,72,72.52,71.304,71.46,46.71,-1.02%,2376781
2015/3/25,71.45,71.923,70.64,70.7,46.213,-1.06%,2456095
2015/3/26,70.6,71.054,70.08,70.36,45.991,-0.48%,2370905
2015/3/27,70.44,70.87,70.17,70.39,46.011,0.04%,1962186
2015/3/30,70.57,71.4,70.277,71.14,46.501,1.07%,1427481
2015/3/31,71.01,71.54,70.33,70.87,46.324,-0.38%,2479602
2015/4/1,71.11,71.79,70.13,71.51,46.743,0.90%,2596680
2015/4/2,71.61,71.83,71.23,71.58,46.789,0.10%,1784269
2015/4/6,71.68,72.995,71.68,72.71,47.527,1.58%,2330048
2015/4/7,72.71,72.85,71.91,71.95,47.03,-1.05%,1853735
2015/4/8,71.92,72.04,71.41,71.75,46.9,-0.28%,2027332
2015/4/9,71.57,71.59,70.81,71.37,46.651,-0.53%,1546388
2015/4/10,71.45,72.28,71.26,71.9,46.998,0.74%,1175639
2015/4/13,71.9,72,71.02,71.09,46.468,-1.13%,1360809
2015/4/14,71.14,71.8,71.03,71.63,46.821,0.76%,1799592
2015/4/15,71.83,72.56,71.61,72.42,47.338,1.10%,2953208
2015/4/16,72.15,72.165,71.309,71.8,46.932,-0.86%,2373780
2015/4/17,71.36,72,71.27,71.47,46.717,-0.46%,2942045
2015/4/20,71.62,73.44,71.62,72.75,47.553,1.79%,2333095
2015/4/21,72.78,73.21,71.74,72.09,47.122,-0.91%,3569151
2015/4/22,72.34,72.67,71.93,72.52,47.403,0.60%,2774203
2015/4/23,72.58,73.462,72.39,73.2,47.847,0.94%,2067454
2015/4/24,73.05,74.34,72.97,73.54,48.07,0.46%,2868135
2015/4/27,73.68,73.9,72.02,72.57,47.436,-1.32%,2022486
2015/4/28,72.2,72.76,71.57,72.74,47.547,0.23%,2206901
2015/4/29,72.11,72.51,71.7,72.3,47.259,-0.60%,2126147
2015/4/30,72.08,72.194,70.97,71.68,46.854,-0.86%,2837260
2015/5/1,71.8,72.09,70.85,71.7,46.867,0.03%,2282648
2015/5/4,71.45,72.57,71.45,71.76,46.906,0.08%,2210893
2015/5/5,71.65,71.75,70.14,70.82,46.292,-1.31%,3344946
2015/5/6,70.83,71.24,70.07,70.71,46.22,-0.16%,3461721
2015/5/7,71.02,71.53,70.79,70.93,46.364,0.31%,2107835
2015/5/8,71.74,72.33,71.58,71.79,46.926,1.21%,1927809
2015/5/11,71.75,72.22,70.99,71.01,46.416,-1.09%,1772792
2015/5/12,70.56,71.31,70.27,71.09,46.468,0.11%,2253778
