Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,149.516,150.424,148.467,148.487,119.346,-1.10%,1979118
2015/3/25,148.85,149.314,145.299,145.319,116.8,-2.13%,2514389
2015/3/26,144.674,145.34,143.766,144.775,116.362,-0.37%,2282957
2015/3/27,144.755,145.925,144.351,144.553,116.184,-0.15%,2056771
2015/3/30,145.36,147.68,145.36,146.429,117.692,1.30%,2019461
2015/3/31,145.683,145.945,143.968,144.19,115.892,-1.53%,2355637
2015/4/1,144.331,144.462,142.394,143.201,115.097,-0.69%,2629125
2015/4/2,143.262,144.553,142.656,144.028,115.762,0.58%,4394368
2015/4/6,142.515,145.541,142.475,145.259,116.751,0.85%,2686665
2015/4/7,145.239,146.994,144.452,144.593,116.216,-0.46%,1807057
2015/4/8,145.158,145.864,143.625,144.734,116.33,0.10%,1369810
2015/4/9,144.916,146.106,144.553,145.118,116.638,0.27%,1101457
2015/4/10,145.259,145.763,144.593,145.723,117.124,0.42%,1131056
2015/4/13,145.723,146.431,144.976,145.178,116.686,-0.37%,1223312
2015/4/14,145.259,146.149,144.512,145.783,117.173,0.42%,988499
2015/4/15,145.824,146.772,145.279,145.461,116.914,-0.22%,1675813
2015/4/16,145.037,146.631,144.452,145.763,117.157,0.21%,1629125
2015/4/17,144.452,145.158,143.705,144.351,116.022,-0.97%,1987040
2015/4/20,145.178,147.034,145.138,146.954,118.113,1.80%,3109587
2015/4/21,145.864,146.933,142.071,142.616,114.627,-2.95%,3837415
2015/4/22,142.535,144.371,140.679,144.129,115.843,1.06%,2830856
2015/4/23,144.21,144.391,142.757,142.818,114.789,-0.91%,2337079
2015/4/24,143.867,144.331,142.898,144.291,115.973,1.03%,1864355
2015/4/27,144.896,152.381,144.654,150.928,121.308,4.60%,6248376
2015/4/28,152.038,152.925,150.706,150.948,121.324,0.01%,3060292
2015/4/29,150.081,150.797,149.274,149.657,120.286,-0.86%,2331264
2015/4/30,149.455,149.798,147.196,147.68,118.697,-1.32%,1744310
2015/5/1,149.233,150.262,148.933,149.375,120.059,1.15%,1527759
2015/5/4,149.899,150.504,149.173,149.354,120.043,-0.01%,1356120
2015/5/5,148.527,149.516,145.975,146.853,118.032,-1.67%,1819659
2015/5/6,147.962,148.911,145.804,146.712,117.919,-0.10%,1873019
2015/5/7,146.268,148.144,145.824,147.942,118.908,0.84%,1810302
2015/5/8,149.798,152.038,149.597,151.876,122.07,2.66%,3250718
