Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015/3/24,26.98,27.89,26.86,27.43,24.58,1.14%,4150561
2015/3/25,27.45,27.81,26.85,26.91,24.114,-1.90%,4530216
2015/3/26,26.77,26.99,26.58,26.69,23.917,-0.82%,3155152
2015/3/27,26.79,27.53,26.72,27.43,24.58,2.77%,3638423
2015/3/30,27.58,28.23,27.48,28.01,25.1,2.11%,4367747
2015/3/31,28.18,28.77,27.8,28.48,25.521,1.68%,6792222
2015/4/1,28.6,28.6,28.1,28.25,25.315,-0.81%,5215986
2015/4/2,28.34,29.08,28.27,29.01,25.996,2.69%,5075998
2015/4/6,28.86,29.29,28.6,28.71,25.727,-1.03%,4475272
2015/4/7,28.73,28.775,27.95,28.03,25.118,-2.37%,4353703
2015/4/8,28.03,28.58,27.95,28.54,25.575,1.82%,3782081
2015/4/9,28.43,28.69,27.87,28.48,25.521,-0.21%,3612715
2015/4/10,28.48,28.64,28.19,28.61,25.637,0.46%,2520185
2015/4/13,28.55,28.702,28.29,28.38,25.431,-0.80%,2081814
2015/4/14,28.39,28.77,28.13,28.74,25.754,1.27%,3030276
2015/4/15,28.86,29.25,28.73,29.04,26.023,1.04%,4006406
2015/4/16,28.89,28.89,28.27,28.46,25.503,-2.00%,5499628
2015/4/17,28.2,28.375,27.62,28.27,25.333,-0.67%,6220597
2015/4/20,28.55,28.61,27.71,28.04,25.127,-0.81%,6062527
2015/4/21,28.13,28.97,28.13,28.56,25.593,1.85%,8286141
2015/4/22,28.34,28.64,26.66,27.03,24.222,-5.36%,17809623
2015/4/23,26.92,26.92,25.93,26.15,23.433,-3.26%,15600549
2015/4/24,26.27,26.66,26.16,26.57,23.809,1.61%,5557973
2015/4/27,26.64,26.69,26.15,26.26,23.532,-1.17%,5866500
2015/4/28,26.13,26.472,25.86,26.4,23.657,0.53%,4017578
2015/4/29,26.21,26.23,25.72,25.94,23.245,-1.74%,5293336
2015/4/30,25.77,25.92,25.34,25.4,22.761,-2.08%,6600351
2015/5/1,25.53,25.93,25.435,25.79,23.11,1.54%,3827732
2015/5/4,25.82,26.07,25.49,25.62,22.958,-0.66%,3352228
2015/5/5,25.6,25.8,25.15,25.18,22.564,-1.72%,5165695
2015/5/6,25.27,25.38,24.915,25.27,22.644,0.36%,3299575
2015/5/7,25.2,25.81,25.19,25.72,23.048,1.78%,3945170
2015/5/8,26.03,26.45,25.88,25.92,23.227,0.78%,3760425
2015/5/11,25.89,26,25.37,25.44,22.797,-1.85%,4168603
2015/5/12,25.24,25.6,25.08,25.44,22.797,0.00%,3886777
2015/5/13,25.48,25.72,25.255,25.28,22.709,-0.63%,2590158
2015/5/14,25.48,25.87,25.32,25.79,23.168,2.02%,3837837
2015/5/15,25.78,26.31,25.475,26.31,23.635,2.02%,6455231
2015/5/18,26.3,26.57,26.11,26.46,23.769,0.57%,4841519
2015/5/19,27.2,27.47,26.61,26.77,24.048,1.17%,6263078
2015/5/20,26.85,27.05,26.4,26.92,24.183,0.56%,4704432
2015/5/21,26.87,27.03,26.63,26.9,24.165,-0.07%,6156921
2015/5/22,26.86,26.88,26.58,26.65,23.94,-0.93%,3956350
2015/5/26,26.63,26.67,26.25,26.27,23.599,-1.43%,3945541
2015/5/27,26.29,26.405,25.93,26.37,23.689,0.38%,4423567
2015/5/28,26.26,26.769,26.18,26.35,23.671,-0.08%,4233777
2015/5/29,26.25,26.5,26.1,26.12,23.464,-0.87%,4003443
2015/6/1,26.28,26.547,26.17,26.44,23.751,1.23%,4057578
2015/6/2,26.34,26.51,26.14,26.31,23.635,-0.49%,2703902
2015/6/3,26.44,26.8,26.12,26.46,23.769,0.57%,4609824
2015/6/4,26.23,26.64,26.095,26.21,23.545,-0.94%,4410373
2015/6/5,26.05,26.23,25.85,26.16,23.5,-0.19%,2466279
2015/6/8,26.13,26.21,25.9,25.92,23.284,-0.92%,2535188
2015/6/9,25.92,26.07,25.6,25.79,23.168,-0.50%,3113720
2015/6/10,25.94,26.36,25.84,26.28,23.608,1.90%,3002190
2015/6/11,26.42,26.84,26.39,26.42,23.733,0.53%,2935602
